Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,GROSS,IOS,2019,4,M,1,-,,Education,算数を簡単に(Math Learner 数学),Fun Games For Free,0.0,,2018-09-06,236442,https://itunes.apple.com/JP/app/id1148728253
JP,GROSS,IOS,2019,4,M,2,+1,,Education,英会話、英語リスニング - スタディサプリENGLISH,"Recruit Co.,Ltd.",0.0,,2015-10-29,164459,https://itunes.apple.com/JP/app/id1048103403
JP,GROSS,IOS,2019,4,M,3,-1,,Education,スタディサプリ,"Recruit Co.,Ltd.",0.0,,2016-02-24,141699,https://itunes.apple.com/JP/app/id1059640427
JP,GROSS,IOS,2019,4,M,4,+2,,Education,AI英会話SpeakBuddy(スピークバディ),appArray Inc.,0.0,"SpeakBuddyプレミアムサービス : ¥1,950 / 英会話・英語学習アプリスピークバディプレミアムサービス : ¥1,950 / SpeakBuddyプレミアムサービス - 1年プラン : ¥14,000",2016-09-25,62330,https://itunes.apple.com/JP/app/id1129621266
JP,GROSS,IOS,2019,4,M,5,-,,Education,AI英語教材abceed（エービーシード）,Globee.Inc,0.0,,2015-12-15,55593,https://itunes.apple.com/JP/app/id1060016132
JP,GROSS,IOS,2019,4,M,6,-2,,Education,スタディサプリENGLISH TOEIC®L&Rテスト対策,"Recruit Co.,Ltd.",0.0,"スタディサプリ ENGLISH TOEICプレミアムサービス : ¥3,700",2017-08-06,51348,https://itunes.apple.com/JP/app/id1256890650
JP,GROSS,IOS,2019,4,M,7,-,,Education,英単語アプリ mikan,"mikan Co.,Ltd.",0.0,,2014-10-27,38177,https://itunes.apple.com/JP/app/id920856839
JP,GROSS,IOS,2019,4,M,8,+1,,Education,JoyTunes がおくる Simply Piano,JoyTunes,0.0,,2015-09-01,33006,https://itunes.apple.com/JP/app/id1019442026
JP,GROSS,IOS,2019,4,M,9,+1,,Education,Duolingoで英会話 - リスニングや会話の練習,Duolingo,0.0,,2012-11-13,28585,https://itunes.apple.com/JP/app/id570060128
JP,GROSS,IOS,2019,4,M,10,+1,,Education,語学プレーヤー〈NHK出版〉,"NHK Publishing,Inc.",0.0,NHK 基礎英語３　2011年4月号（上） : ¥730 / NHK 基礎英語３　2011年4月号（下） : ¥860 / NHK ラジオ英会話　2011年4月号（上） : ¥980,2011-03-08,26408,https://itunes.apple.com/JP/app/id420342384
JP,GROSS,IOS,2019,4,M,11,-3,,Education,Udemy:ビデオで授業が受けられる学習アプリ,Udemy,0.0,,2012-10-15,24499,https://itunes.apple.com/JP/app/id562413829
JP,GROSS,IOS,2019,4,M,12,+7,,Education,PEAK（ピーク）- 脳トレ,brainbow,0.0,,2014-09-01,22723,https://itunes.apple.com/JP/app/id806223188
JP,GROSS,IOS,2019,4,M,13,+3,,Education,Busuu | 言語学習 - 英語、中国語、外国語勉強,Busuu Limited,0.0,,2010-09-21,21449,https://itunes.apple.com/JP/app/id379968583
JP,GROSS,IOS,2019,4,M,14,-,,Education,続く英語学習 えいぽんたん！ 英単語からリスニングまで,"Drecom Co., Ltd.",0.0,,2013-04-14,20918,https://itunes.apple.com/JP/app/id592674216
JP,GROSS,IOS,2019,4,M,15,-2,,Education,LissN ビジネスニュースを英語でリスニング,NIKKEI INC.,0.0,Basic Plan 1 Month : ¥600 / Unlimited Plan 1 Month : ¥980,2015-06-21,20693,https://itunes.apple.com/JP/app/id991262185
JP,GROSS,IOS,2019,4,M,16,-4,,Education,HelloTalkハロートーク-英語を勉強する,HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP,0.0,,2012-12-15,20669,https://itunes.apple.com/JP/app/id557130558
JP,GROSS,IOS,2019,4,M,17,+193,,Education,EWA English: 初心者のために英語を学ぶ,Lithium Lab Pte Ltd,0.0,,2017-05-18,20060,https://itunes.apple.com/JP/app/id1200778841
JP,GROSS,IOS,2019,4,M,18,+5,,Education,ニック式英会話ジム,INSTYLE GROUP,"¥3,000",,2019-02-19,18420,https://itunes.apple.com/JP/app/id1441895583
JP,GROSS,IOS,2019,4,M,19,+1,,Education,Progate -楽しく学べるプログラミング学習アプリ,Progate,0.0,,2018-01-21,17110,https://itunes.apple.com/JP/app/id1335868128
JP,GROSS,IOS,2019,4,M,20,-5,,Education,うたって！おどって！アンパンマン,"SMARTEDUCATION, Ltd.",0.0,"うたっておどってアンパンマン あそびほうだいコース : ¥600 / うたっておどってアンパンマン あそびほうだいコース : ¥4,800",2015-02-18,17009,https://itunes.apple.com/JP/app/id958023729
JP,GROSS,IOS,2019,4,M,21,-4,,Education,英語学習 iKnow!,Cerego,0.0,"6 Month Plan : ￦59,000 / 12 Month Plan : ￦99,000",2011-03-19,16864,https://itunes.apple.com/JP/app/id417713473
JP,GROSS,IOS,2019,4,M,22,-4,,Education,やったね！できたね！アンパンマン,"SMARTEDUCATION, Ltd.",0.0,やったねできたねアンパンマン　あそびほうだいコース : ¥600,2015-04-29,14022,https://itunes.apple.com/JP/app/id973379577
JP,GROSS,IOS,2019,4,M,23,+5,,Education,ターゲットの友 英単語アプリ,"Obunsha Co.,Ltd.",0.0,必勝パック(マイリスニング+苦手特訓） : ¥730 / マイリスニングのみ : ¥490 / 苦手特訓のみ : ¥490,2014-04-29,13482,https://itunes.apple.com/JP/app/id860500836
JP,GROSS,IOS,2019,4,M,24,-3,,Education,Real英会話,"LT Box Co., Ltd.",¥600,,2010-05-26,13415,https://itunes.apple.com/JP/app/id373563219
JP,GROSS,IOS,2019,4,M,25,-3,,Education,Bright - 初心者のための英語,Language Apps Limited,0.0,,2017-09-04,12830,https://itunes.apple.com/JP/app/id1258621855
JP,GROSS,IOS,2019,4,M,26,-2,,Education,英会話で親日外国人と友達になろうーLangmate,Langmate Inc.,0.0,,2016-04-05,11144,https://itunes.apple.com/JP/app/id1093968775
JP,GROSS,IOS,2019,4,M,27,-2,,Education,タッチ！あそベビー,WAO CORPORATION,0.0,,2013-05-07,10465,https://itunes.apple.com/JP/app/id634212248
JP,GROSS,IOS,2019,4,M,28,-2,,Education,英語学習 POLYGLOTS - TOEIC・TOEFL対策,POLYGLOTS inc.,0.0,プレミアム購読 : ¥480 / 旺文社TOEFLテスト英単語3800 ランク1 : ¥730 / 旺文社TOEFLテスト英単語3800 ランク2 : ¥730,2014-06-14,9923,https://itunes.apple.com/JP/app/id877494771
JP,GROSS,IOS,2019,4,M,29,+20,,Education,英単語  by 物書堂,物書堂,0.0,英単語ターゲット1900（5訂版） : ¥610 / チャンクで英単語 Basic : ¥610 / チャンクで英単語 Basic【無料お試し版】 : 0,2019-03-04,9298,https://itunes.apple.com/JP/app/id1398954789
JP,GROSS,IOS,2019,4,M,30,-1,,Education,Think!Think!シンクシンク 思考力が育つ教育アプリ,WonderLab Inc.,0.0,,2016-03-11,9218,https://itunes.apple.com/JP/app/id1082259392
JP,GROSS,IOS,2019,4,M,31,-1,,Education,バイリンガルニュース,Michael Yamaura,0.0,"38. Bilingual News 11.04.13 : ￦1,200 / 39. Bilingual News 11.07.13 : ￦1,200 / 1. Bilingual News 05.15.13 : 0",2014-01-17,8873,https://itunes.apple.com/JP/app/id722855127
JP,GROSS,IOS,2019,4,M,32,+4,,Education,楽しく外国語を覚えるならMemrise - スピーキング重視,Memrise,0.0,,2013-05-20,8804,https://itunes.apple.com/JP/app/id635966718
JP,GROSS,IOS,2019,4,M,33,+12,,Education,ユーキャン資格本アプリ,"U-CAN,Inc.",0.0,"保育士 一問一答 2018年版 : ¥1,100 / 社労士 速習レッスン 2018年版 : ¥3,540 / 登録販売者 一問一答 第5版 : ¥1,100",2018-04-01,8764,https://itunes.apple.com/JP/app/id1339813610
JP,GROSS,IOS,2019,4,M,34,-7,,Education,きこえ〜ご　生きた英語を楽しくリスニング！,Reducate,0.0,,2015-09-04,8567,https://itunes.apple.com/JP/app/id977104066
JP,GROSS,IOS,2019,4,M,35,-4,,Education,究極英単語,Yibei Inc,0.0,"究極英単語(3ヵ月) : ¥1,500 / 究極英単語(6ヵ月) : ¥2,700 / 究極英単語(1年間) : ¥3,600",2012-11-25,7836,https://itunes.apple.com/JP/app/id556736118
JP,GROSS,IOS,2019,4,M,36,-2,,Education,2020 辰已の肢別 [司試・予備・LS],辰已法律研究所,0.0,,2019-02-13,7769,https://itunes.apple.com/JP/app/id1451572532
JP,GROSS,IOS,2019,4,M,37,+3,,Education,CNN ENGLISH EXPRESS,"Asahipress Co., Ltd.",0.0,,2014-03-06,7694,https://itunes.apple.com/JP/app/id826292491
JP,GROSS,IOS,2019,4,M,38,+5,,Education,Schoo（スクー） - ライブ動画で学べるアプリ,SCHOO INC.,0.0,,2015-03-30,7427,https://itunes.apple.com/JP/app/id903311774
JP,GROSS,IOS,2019,4,M,39,-7,,Education,だいすけお兄さんから電話,MediaActive Inc.,0.0,だいすけお兄さんアプリ月額会員 : ¥350 / 100Point : ¥120 / 200Point : ¥250,2017-12-04,7418,https://itunes.apple.com/JP/app/id1290089796
