"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","AI英会話SpeakBuddy(スピークバディ)","appArray Inc.","0.0","SpeakBuddyプレミアムサービス : ¥1,950 / 英会話・英語学習アプリスピークバディプレミアムサービス : ¥1,950 / SpeakBuddyプレミアムサービス - 1年プラン : ¥14,000","2016-09-25","320000","https://itunes.apple.com/JP/app/id1129621266"
"2","-","Education","スタディサプリ","Recruit Co.,Ltd.","0.0","","2016-02-24","127942","https://itunes.apple.com/JP/app/id1059640427"
"3","+2","Education","PictureThis：撮ったら、判る-1秒植物図鑑","Glority Global Group Ltd.","0.0","","2017-09-25","122558","https://itunes.apple.com/JP/app/id1252497129"
"4","-","Education","AI英語教材abceed（エービーシード）","Globee.Inc","0.0","","2015-12-15","65112","https://itunes.apple.com/JP/app/id1060016132"
"5","+5","Education","JoyTunes がおくる Simply Piano","JoyTunes","0.0","","2015-09-01","52643","https://itunes.apple.com/JP/app/id1019442026"
"6","-","Education","スタディサプリENGLISH TOEIC®L&Rテスト対策","Recruit Co.,Ltd.","0.0","スタディサプリ ENGLISH TOEICプレミアムサービス : ¥3,700","2017-08-06","52530","https://itunes.apple.com/JP/app/id1256890650"
"7","-","Education","英会話、英語リスニング - スタディサプリENGLISH","Recruit Co.,Ltd.","0.0","","2015-10-29","50292","https://itunes.apple.com/JP/app/id1048103403"
"8","-5","Education","算数を簡単に(Math Learner 数学)","Fun Games For Free","0.0","","2018-09-06","49406","https://itunes.apple.com/JP/app/id1148728253"
"9","-","Education","Udemy:ビデオで授業が受けられる学習アプリ","Udemy","0.0","","2012-10-15","48838","https://itunes.apple.com/JP/app/id562413829"
"10","-2","Education","Duolingoで英会話 - リスニングや会話の練習","Duolingo","0.0","","2012-11-13","35586","https://itunes.apple.com/JP/app/id570060128"
"11","-","Education","英単語アプリ mikan","mikan Co.,Ltd.","0.0","","2014-10-27","33529","https://itunes.apple.com/JP/app/id920856839"
"12","+1","Education","HelloTalkハロートーク-英語を勉強する","HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP","0.0","","2012-12-15","25931","https://itunes.apple.com/JP/app/id557130558"
"13","-1","Education","Progate -楽しく学べるプログラミング学習アプリ","Progate","0.0","","2018-01-21","25292","https://itunes.apple.com/JP/app/id1335868128"
"14","+1","Education","ニック式英会話ジム","INSTYLE GROUP","¥3,060","","2019-02-19","22362","https://itunes.apple.com/JP/app/id1441895583"
"15","+10","Education","flowkey - ピアノ演奏を好きな曲で練習 フローキー","flowkey GmbH","0.0","","2015-08-21","17991","https://itunes.apple.com/JP/app/id1020357408"
"16","+1","Education","Think!Think!シンクシンク 思考力が育つ教育アプリ","WonderLab Inc.","0.0","","2016-03-11","16765","https://itunes.apple.com/JP/app/id1082259392"
"17","-3","Education","ターゲットの友 英単語アプリ","Obunsha Co.,Ltd.","0.0","必勝パック(マイリスニング+苦手特訓） : ¥730 / マイリスニングのみ : ¥490 / 苦手特訓のみ : ¥490","2014-04-29","16295","https://itunes.apple.com/JP/app/id860500836"
"18","+1","Education","Lingokids　子供向け英語","Monkimun Inc","0.0","","2015-09-10","16207","https://itunes.apple.com/JP/app/id1002043426"
"19","-1","Education","LissN ビジネスニュースを英語でリスニング","NIKKEI INC.","0.0","Basic Plan 1 Month : ¥600 / Unlimited Plan 1 Month : ¥980","2015-06-21","15740","https://itunes.apple.com/JP/app/id991262185"
"20","+8","Education","EWA English: 初心者のために英語を学ぶ","Lithium Lab Pte Ltd","0.0","","2017-05-18","15260","https://itunes.apple.com/JP/app/id1200778841"
