"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+2","Education","Handy Art Reference Tool","Belief Engine","¥250","","2011-11-10","219210","https://itunes.apple.com/JP/app/id478643661"
"2","-1","Education","ニック式英会話ジム","INSTYLE GROUP","¥3,060","","2019-02-19","168094","https://itunes.apple.com/JP/app/id1441895583"
"3","+2","Education","どんどん話すための瞬間英作文トレーニング","Beret Publishing Co. INC","¥1,220","おかわり！どんどん話すための瞬間英作文トレーニング : ¥860","2011-06-14","88767","https://itunes.apple.com/JP/app/id443332137"
"4","-2","Education","Real英会話","LT Box Co., Ltd.","¥980","","2010-05-26","86070","https://itunes.apple.com/JP/app/id373563219"
"5","+1","Education","英単語ターゲット1900（5訂版）","物書堂","¥610","ターゲット実戦問題集 : ¥490","2011-11-23","67747","https://itunes.apple.com/JP/app/id481033328"
"6","-2","Education","TEDICT","CoCO SWING","¥490","","2012-08-14","54023","https://itunes.apple.com/JP/app/id537961396"
"7","+1","Education","AnkiMobile Flashcards","Ankitects Pty Ltd","¥3,060","","2010-05-26","41960","https://itunes.apple.com/JP/app/id373493387"
"8","+4","Education","SPI言語 【Study Pro】","Study Pro","¥370","SPI英語(ENG) : ¥120","2011-11-03","35852","https://itunes.apple.com/JP/app/id476550251"
"9","+2","Education","mikan 古典","mikan Co.,Ltd.","¥730","","2017-01-29","35434","https://itunes.apple.com/JP/app/id1195737635"
"10","+11","Education","新ユメタン1 ～ 大学合格必須レベル","ALC PRESS, INC.","¥730","","2017-03-26","33770","https://itunes.apple.com/JP/app/id1198439798"
"11","+2","Education","SPI非言語 【Study Pro】","Study Pro","¥370","","2011-12-21","33495","https://itunes.apple.com/JP/app/id490470296"
"12","+24","Education","SpaceStationAR","Toriningen Co.,Ltd.","¥370","","2010-03-16","31885","https://itunes.apple.com/JP/app/id361194118"
"13","+29","Education","宅建 過去問集 2020年版「スタケン問題編」","OWNER'S AGENT INC.","¥370","","2018-03-18","24649","https://itunes.apple.com/JP/app/id1348708899"
"14","-4","Education","キクタン  【Basic】  4000 ～聞いて覚える英単語～(アルク)","ALC PRESS, INC.","¥730","","2012-09-18","24368","https://itunes.apple.com/JP/app/id546276382"
"15","-8","Education","Toca Kitchen 2","Toca Boca AB","¥490","","2014-12-17","23880","https://itunes.apple.com/JP/app/id943869618"
"16","-7","Education","「１級建築士」受験対策","TK office","¥980","","2013-04-04","21094","https://itunes.apple.com/JP/app/id628381163"
"17","-2","Education","「２級建築士」受験対策","TK office","¥730","","2012-06-13","18716","https://itunes.apple.com/JP/app/id532066477"
"18","-2","Education","金のフレーズ 2","物書堂","¥610","","2017-05-07","18082","https://itunes.apple.com/JP/app/id1216020754"
"19","+11","Education","キクタン TOEIC®【All-in-One版】(アルク)","PLAYSQUARE INC.","¥1,840","例文音声 : ¥1,220 / 総合テスト(8種のテスト形式) : ¥1,220 / 総合テスト＋例文音声＋単語レベル診断 : ¥2,440","2017-04-28","15265","https://itunes.apple.com/JP/app/id1230841760"
"20","-1","Education","ALL IN ONE 英語全分野を制覇!","Yosuke Oki","¥370","聞き流し : ¥610 / 全単語暗記 : ¥250 / 文法解説 : ¥1,220","2016-04-18","14528","https://itunes.apple.com/JP/app/id1102033130"
"21","+17","Education","mikan 鉄壁","mikan Co.,Ltd.","¥2,080","","2017-10-31","11847","https://itunes.apple.com/JP/app/id1287396055"
"22","+1","Education","パブロフ簿記３級","yudai yoseda","¥730","","2011-09-20","11598","https://itunes.apple.com/JP/app/id465136874"
"23","+3","Education","パブロフ簿記２級商業簿記","yudai yoseda","¥730","","2011-10-03","11165","https://itunes.apple.com/JP/app/id468640323"
"24","-2","Education","中高英文法を10時間で！マジグラ","appArray Inc.","¥120","","2016-05-19","11052","https://itunes.apple.com/JP/app/id1071712425"
"25","-5","Education","ALL IN ONE Basic 英語全分野を制覇!","Yosuke Oki","¥370","全機能割引セット : ¥1,840 / 聞き流し : ¥610 / 全単語暗記 : ¥250","2017-06-01","10910","https://itunes.apple.com/JP/app/id1224625873"
"26","+1","Education","スラスラ話すための瞬間英作文シャッフルトレーニング","Beret Publishing Co. INC","¥1,220","おかわり！スラスラ話すための瞬間英作文トレーニング : ¥860","2013-03-15","10058","https://itunes.apple.com/JP/app/id601669848"
"27","-2","Education","最後の英単語学習！マジタン","appArray Inc.","¥610","","2014-08-04","9974","https://itunes.apple.com/JP/app/id872461032"
"28","+68","Education","席替え","Takatoshi Fukino","¥370","","2014-12-02","9330","https://itunes.apple.com/JP/app/id942015274"
"29","-11","Education","Dumb Ways JR Boffo's Breakfast","Metro Trains Melbourne Pty Ltd","¥250","","2016-05-25","8857","https://itunes.apple.com/JP/app/id1087693451"
"30","+31","Education","パブロフ簿記２級工業簿記","Atsuko Yoseda","¥730","","2012-03-02","8529","https://itunes.apple.com/JP/app/id504102949"
"31","+308","Education","生保一般課程試験対策","Takahide Kambe","¥490","","2020-05-27","8480","https://itunes.apple.com/JP/app/id1510636913"
"32","+48","Education","漢字検定・漢検漢字トレーニングDX","Gakko Net Inc.","¥730","","2016-01-28","8363","https://itunes.apple.com/JP/app/id1078507750"
"33","-2","Education","トッカ・ライフ・スクール(Toca Life:School)","Toca Boca AB","¥490","","2015-10-28","8102","https://itunes.apple.com/JP/app/id1043579926"
"34","-6","Education","英検®1級 でた単","Namiko Takahashi","¥980","","2018-02-15","8087","https://itunes.apple.com/JP/app/id1349212601"
"35","-18","Education","Toca Life: Hospital","Toca Boca AB","¥490","","2017-04-12","7884","https://itunes.apple.com/JP/app/id1156114278"
"36","+12","Education","CAB（SPI） 【Study Pro】","Study Pro","¥370","","2012-04-18","7855","https://itunes.apple.com/JP/app/id517913763"
"37","+3","Education","おんぷちゃんプラス","tokentoken","¥250","","2009-12-17","7807","https://itunes.apple.com/JP/app/id346169076"
"38","+8","Education","mikan 日本史","mikan Co.,Ltd.","¥610","","2018-04-08","7783","https://itunes.apple.com/JP/app/id1335850814"
