Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,FREE,AND,2019,8,M,1,-,,Travel & Local,Tokyo Disney Resort App,"Oriental Land Co.,Ltd.",0.0,,2020-07-02,320000,https://play.google.com/store/apps/details?id=jp.tokyodisneyresort.portalapp
JP,FREE,AND,2019,8,M,2,-,,Travel & Local,Yahoo! MAP - 【無料】ヤフーのナビ、地図アプリ,Yahoo Japan Corp.,0.0,,2020-07-13,153029,https://play.google.com/store/apps/details?id=jp.co.yahoo.android.apps.map
JP,FREE,AND,2019,8,M,3,-,,Travel & Local,Google Earth,Google LLC,0.0,,2020-07-20,108363,https://play.google.com/store/apps/details?id=com.google.earth
JP,FREE,AND,2019,8,M,4,+4,,Travel & Local,ANA,All Nippon Airways,0.0,,2020-07-14,73471,https://play.google.com/store/apps/details?id=jp.co.ana.android.tabidachi
JP,FREE,AND,2019,8,M,5,-1,,Finance,モバイルSuica　-電子マネーでキャッシュレス、定期券も買えて、電車や新幹線にも乗れる-,東日本旅客鉄道株式会社,0.0,,2020-06-25,59133,https://play.google.com/store/apps/details?id=com.mobilesuica.msb.android
JP,FREE,AND,2019,8,M,6,-1,,Travel & Local,楽天トラベル - 宿泊検索/宿泊予約,"Rakuten,Inc.",0.0,,2020-07-15,54725,https://play.google.com/store/apps/details?id=jp.co.rakuten.travel.andro
JP,FREE,AND,2019,8,M,7,-,,Travel & Local,ホテル予約のブッキングドットコム,Booking.com Hotels & Vacation Rentals,0.0,,2020-07-20,46934,https://play.google.com/store/apps/details?id=com.booking
JP,FREE,AND,2019,8,M,8,+2,,Travel & Local,JAL（国内線・国際線）,"Japan Airlines Co.,Ltd.",0.0,,2020-05-22,45504,https://play.google.com/store/apps/details?id=jp.co.jal.dom
JP,FREE,AND,2019,8,M,9,-3,,Travel & Local,エアトリ:格安航空券を検索・比較,AirTrip Corp.,0.0,,2020-07-10,33179,https://play.google.com/store/apps/details?id=com.evolableasia.airtrip
JP,FREE,AND,2019,8,M,10,+2,,Travel & Local,じゃらん ビジネスにもレジャーにも 宿泊・ホテル検索/予約アプリ,"Recruit Co.,Ltd.",0.0,,2020-05-20,29985,https://play.google.com/store/apps/details?id=net.jalan.android
JP,FREE,AND,2019,8,M,11,-,,Travel & Local,EXアプリ,Central Japan Railway Company,0.0,,2020-06-16,27651,https://play.google.com/store/apps/details?id=jp.co.jr_central.exreserve
JP,FREE,AND,2019,8,M,12,+1,,Travel & Local,trivago: トリバゴ・ホテル料金を比較,trivago,0.0,,2020-07-08,26256,https://play.google.com/store/apps/details?id=com.trivago
JP,FREE,AND,2019,8,M,13,+1,,Travel & Local,まっぷるリンク - 旅行ガイドを丸ごとアプリで持ち歩き,株式会社昭文社,0.0,,2020-06-01,25871,https://play.google.com/store/apps/details?id=jp.mappleon.android.mapplelink
JP,FREE,AND,2019,8,M,14,+6,,Travel & Local,ユニバーサル・スタジオ・ジャパン 公式アプリ,ユニバーサル・スタジオ・ジャパン,0.0,,2020-01-29,23260,https://play.google.com/store/apps/details?id=jp.co.usj.guideapp
JP,FREE,AND,2019,8,M,15,-6,,Travel & Local,格安航空券 skyticket 国内・海外航空券・ホテル・レンタカーをお得に予約,"Adventure.,Inc.",0.0,,2020-05-24,21807,https://play.google.com/store/apps/details?id=com.adventure.skyticket
JP,FREE,AND,2019,8,M,16,+3,,Travel & Local,Google Maps Go - ルート案内、交通情報、乗換案内,Google LLC,0.0,,2020-07-14,19948,https://play.google.com/store/apps/details?id=com.google.android.apps.mapslite
JP,FREE,AND,2019,8,M,17,-1,,Travel & Local,アパ直（アパホテル）公式アプリ,アパホテル株式会社,0.0,,2020-07-13,19520,https://play.google.com/store/apps/details?id=com.apahotel.apaapp
JP,FREE,AND,2019,8,M,18,-3,,Travel & Local,エクスペディア-ホテル予約、格安航空券＆現地ツアー予約,Expedia,0.0,,2020-07-16,19073,https://play.google.com/store/apps/details?id=com.expedia.bookings
JP,FREE,AND,2019,8,M,19,-1,,Travel & Local,ANAマイレージクラブ,All Nippon Airways,0.0,,2020-06-30,17824,https://play.google.com/store/apps/details?id=jp.co.ana.anamile
JP,FREE,AND,2019,8,M,20,-3,,Travel & Local,アゴダ(Agoda),agoda.com,0.0,,2020-07-21,16729,https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer
JP,FREE,AND,2019,8,M,21,+1,,Travel & Local,Googleストリートビュー,Google LLC,0.0,,2019-11-18,15025,https://play.google.com/store/apps/details?id=com.google.android.street
