"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","Tokyo Disney Resort App","Oriental Land Co.,Ltd.","0.0","","2020-07-02","229295","https://play.google.com/store/apps/details?id=jp.tokyodisneyresort.portalapp"
"2","-","Finance","モバイルSuica　-電子マネーでキャッシュレス、定期券も買えて、電車や新幹線にも乗れる-","東日本旅客鉄道株式会社","0.0","","2020-06-25","138464","https://play.google.com/store/apps/details?id=com.mobilesuica.msb.android"
"3","-","Travel & Local","Yahoo! MAP - 【無料】ヤフーのナビ、地図アプリ","Yahoo Japan Corp.","0.0","","2020-07-13","121140","https://play.google.com/store/apps/details?id=jp.co.yahoo.android.apps.map"
"4","+44","Travel & Local","LINE STEP","LINE Corporation","0.0","","2019-10-24","90905","https://play.google.com/store/apps/details?id=com.linecorp.dapp.step"
"5","-1","Travel & Local","Google Earth","Google LLC","0.0","","2020-07-20","85714","https://play.google.com/store/apps/details?id=com.google.earth"
"6","+29","Travel & Local","QR Code Reader & QR scanner & Barcode Scanner app","FancyApp","0.0","","2019-09-25","51878","https://play.google.com/store/apps/details?id=tw.fancyapp.qrcode.barcode.scanner.reader.maker.generator.flashlight"
"7","+2","Travel & Local","ホテル予約のブッキングドットコム","Booking.com Hotels & Vacation Rentals","0.0","","2020-07-20","45826","https://play.google.com/store/apps/details?id=com.booking"
"8","-3","Travel & Local","楽天トラベル - 宿泊検索/宿泊予約","Rakuten,Inc.","0.0","","2020-07-15","43679","https://play.google.com/store/apps/details?id=jp.co.rakuten.travel.andro"
"9","-3","Travel & Local","ANA","All Nippon Airways","0.0","","2020-07-14","40633","https://play.google.com/store/apps/details?id=jp.co.ana.android.tabidachi"
"10","+1","Travel & Local","格安航空券 skyticket 国内・海外航空券・ホテル・レンタカーをお得に予約","Adventure.,Inc.","0.0","","2020-05-24","38000","https://play.google.com/store/apps/details?id=com.adventure.skyticket"
"11","-1","Travel & Local","JAL（国内線・国際線）","Japan Airlines Co.,Ltd.","0.0","","2020-05-22","31627","https://play.google.com/store/apps/details?id=jp.co.jal.dom"
"12","+10","Travel & Local","マップ - ナビ、乗換案内","Google LLC","0.0","","2020-07-16","30724","https://play.google.com/store/apps/details?id=com.google.android.apps.maps"
"13","-1","Travel & Local","EXアプリ","Central Japan Railway Company","0.0","","2020-06-16","27552","https://play.google.com/store/apps/details?id=jp.co.jr_central.exreserve"
"14","+4","Travel & Local","アパ直（アパホテル）公式アプリ","アパホテル株式会社","0.0","","2020-07-13","23543","https://play.google.com/store/apps/details?id=com.apahotel.apaapp"
