"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Travel & Local","山と高原地図","株式会社昭文社","0.0","￥360～￥500/アイテム","2020-07-02","241739","https://play.google.com/store/apps/details?id=jp.mappleon.android.yamatokogen"
"2","-1","Travel & Local","Flightradar24 フライトトラッカー","Flightradar24 AB","0.0","￥140～￥7,700/アイテム","2020-05-12","210534","https://play.google.com/store/apps/details?id=com.flightradar24free"
"3","-","Travel & Local","旅行英会話 - Help me Travel","Unicorn Creations","￥1,080","","2020-06-11","122425","https://play.google.com/store/apps/details?id=com.bilingirl.helpmetravel"
"4","-","Travel & Local","山と高原地図ホーダイ","株式会社昭文社","0.0","￥370～￥400/アイテム","2020-06-09","87835","https://play.google.com/store/apps/details?id=jp.co.mapple.yamahodai"
"5","-","Travel & Local","internavi Pocket","Honda Motor Co.,Ltd.","0.0","￥730～￥3,060/アイテム","2020-06-16","64847","https://play.google.com/store/apps/details?id=jp.ne.internavi.drivelocator"
"6","-","Travel & Local","地図マピオン-境界を知ろう (都道府県/市区町村境/町丁目)","ONE COMPATH CO., LTD.","0.0","￥315/アイテム","2020-06-17","48074","https://play.google.com/store/apps/details?id=jp.co.mapion.android.app.maps"
"7","+4","Travel & Local","PeakFinder","Fabio Soldati","￥560","","2020-03-03","44479","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"8","+7","Travel & Local","スマホ御朱印帳（広告無し版）","hiroshimamaful","￥1,500","","2020-06-06","32779","https://play.google.com/store/apps/details?id=com.hiroshimamaful.sumaphogoshuinchouz"
"9","-","Travel & Local","キョリ測 - 地図をタップでかんたん距離計測","ONE COMPATH CO., LTD.","0.0","￥330/アイテム","2020-06-17","31494","https://play.google.com/store/apps/details?id=jp.co.mapion.android.app.kyorisoku"
"10","-3","Travel & Local","世界の霧","Ollix","￥1,600","","2020-07-09","28455","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"11","+1","Travel & Local","旅の指さし会話帳アプリ「YUBISASHI」22か国以上対応","YUBISASHI (Joho Center Publishing CO,Ltd)","0.0","￥120～￥1,220/アイテム","2020-05-01","27139","https://play.google.com/store/apps/details?id=com.yubisashi.a001"
"12","+4","Travel & Local","無料神社がいいね 日本No.160000神社と御朱印帳参拝記録 戦国幕末歴史 初詣厄払い祈願のお参り","Recstu Inc.","0.0","￥240～￥14,000/アイテム","2020-06-29","27066","https://play.google.com/store/apps/details?id=net.jinja_bukkaku.jinja"
"13","+1","Travel & Local","GPS Status & Toolbox","EclipSim","0.0","￥190/アイテム","2019-09-26","27020","https://play.google.com/store/apps/details?id=com.eclipsim.gpsstatus2"
"14","-4","Travel & Local","LiveATC for Android","LiveATC","￥440","","2020-01-31","26757","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"15","-7","Travel & Local","AsianMate - ローカルガイドを探そう","ATSTLLC","0.0","￥1,080～￥33,000/アイテム","2020-07-11","26468","https://play.google.com/store/apps/details?id=asia.jmate.travelfriends"
"16","-3","Travel & Local","Pokke[ポッケ]  国内も海外も！旅行・観光のガイドアプリ","MEBUKU - Audio Walking Tours app","0.0","￥100～￥1,900/アイテム","2019-12-11","19904","https://play.google.com/store/apps/details?id=jp.co.mebuku.pokkeapp"
"17","-","Travel & Local","山旅ロガーGOLD","KMI Software","￥400","","2020-04-19","18539","https://play.google.com/store/apps/details?id=com.kamoland.ytlog_g"
"18","-","Travel & Local","ことりっぷ電子ガイドブック-女性向け旅行ガイド","株式会社昭文社","0.0","₩999 - ₩11,000 per item","2018-04-02","18164","https://play.google.com/store/apps/details?id=jp.co.mapple.cotrip"
"19","+1","Travel & Local","まっぷるマガジン - 定番旅行ガイドブック","株式会社昭文社","0.0","$0.99 - $9.99 per item","2018-04-02","15720","https://play.google.com/store/apps/details?id=jp.co.mapple.magazine"
"20","+54","Productivity","WiFi Map® マップ - 無料のパスワードとホットスポット","WiFi Map LLC","0.0","￥160～￥3,290/アイテム","2020-06-10","14090","https://play.google.com/store/apps/details?id=io.wifimap.wifimap"
"21","+6","Travel & Local","GPS Status PRO - (legacy key)","EclipSim","￥390","","2013-05-23","12193","https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro"
"22","+12","Travel & Local","国土地図　圏外・オフラインでも使えるGPS地図アプリ","gacool","0.0","￥648/アイテム","2020-06-16","11992","https://play.google.com/store/apps/details?id=jp.gacool.map"
"23","-4","Travel & Local","レールチャレンジ","XSPIRIT","0.0","","2020-04-04","11646","https://play.google.com/store/apps/details?id=jp.xspirit.android.railchallenge"
"24","-1","Travel & Local","どこいるの - 相手の位置がすぐわかる","atto soft","0.0","￥100～￥200/アイテム","2020-05-05","11386","https://play.google.com/store/apps/details?id=com.ryunos.linkmap"
"25","-1","Travel & Local","デイリー３か国語辞典シリーズ フランス語・ドイツ語（三省堂）","㈱富士通パーソナルズ","￥2,300","","2019-08-05","11213","https://play.google.com/store/apps/details?id=jp.co.kgc.android.oneswingviewer.WSANT003G"
"26","+5","Travel & Local","ファミリー•ロケータ 。家族と位置情報共有アプリ","FAMILY LOCATOR LLC","0.0","￥291～￥6,600/アイテム","2020-07-10","10922","https://play.google.com/store/apps/details?id=com.sygic.familywhere.android"
"27","-5","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","￥600","￥120～￥640/アイテム","2020-06-09","10178","https://play.google.com/store/apps/details?id=net.osmand.plus"
"28","+24","Travel & Local","正確な高度計","AR Labs","0.0","￥250/アイテム","2020-06-05","10038","https://play.google.com/store/apps/details?id=com.arlabsmobile.altimeterfree"
"29","+6","Travel & Local","My Visit to the Louvre","Musée du Louvre","0.0","$0.99 - $5.49 per item","2019-07-16","9798","https://play.google.com/store/apps/details?id=fr.smartapps.louvre"
"30","-2","Travel & Local","H.I.S.クーポン","H.I.S. Co., Ltd.","0.0","$0.99 - $3.49 per item","2017-06-06","9426","https://play.google.com/store/apps/details?id=jp.co.his.android.coupon"
"31","+2","Travel & Local","震災時帰宅支援マップ首都圏版 - オフラインで使える","株式会社昭文社","￥400","","2018-03-05","9397","https://play.google.com/store/apps/details?id=jp.mappleon.android.kitakushien2014"
"32","+6","Travel & Local","RadarBox  - ライブ航空便追跡＆エアポートステータス","AirNav Systems LLC","0.0","￥280～￥45,200/アイテム","2020-06-24","9048","https://play.google.com/store/apps/details?id=com.airnav.radarbox"
"33","+4","Travel & Local","ことりっぷ 会話帖 Pro　～海外旅行向け音声翻訳アプリ～","株式会社昭文社","￥150","","2015-10-08","8620","https://play.google.com/store/apps/details?id=jp.mappleon.CotripKaigaiKaiwaCharged"
"34","-4","Travel & Local","無料お寺がいいね 日本No.160000寺院と御朱印帳参拝記録 戦国幕末歴史 正月お彼岸お盆のお参り","Recstu Inc.","0.0","￥240～￥14,000/アイテム","2020-06-29","8445","https://play.google.com/store/apps/details?id=net.jinja_bukkaku.otera"
"35","+8","Travel & Local","舞台めぐり - アニメ聖地巡礼・コンテンツツーリズムアプリ","Sony Music Solutions Inc.","0.0","￥100～￥6,000/アイテム","2020-06-22","8183","https://play.google.com/store/apps/details?id=jp.linknetwork.anitrip"
"36","-4","Travel & Local","ボイス翻訳","HawsoftMob Inc.","￥540","","2019-07-29","8085","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro"
"37","+10","Travel & Local","GOマップ2020forポケモン","iGameTouch Studio","0.0","￥1,120～￥3,080/アイテム","2020-06-11","7193","https://play.google.com/store/apps/details?id=com.nineteen.pokeradar"
"38","+7","Travel & Local","英語をかざして翻訳Trip Clip","Information System Products Co.,Ltd.","0.0","￥240/アイテム","2018-10-24","7184","https://play.google.com/store/apps/details?id=jp.co.isp21.TripClipForeignTravel"
"39","-14","Travel & Local","MAPS.ME －オフラインのマップ、ナビゲーション、そしてガイド","My.com B.V.","0.0","￥100～￥3,499/アイテム","2020-07-07","7089","https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro"
"40","+1","Travel & Local","Plat(ぷらっと) 旅行,観光,グルメ,お出かけ,イベント記事のメディアアプリ","NAVITIME JAPAN CO., LTD.","0.0","￥389/アイテム","2019-03-07","6945","https://play.google.com/store/apps/details?id=com.navitime.local.plat"
"41","-12","Travel & Local","OsmAnd — Offline Maps, Travel & Navigation","OsmAnd","0.0","￥150～￥850/アイテム","2020-06-09","6933","https://play.google.com/store/apps/details?id=net.osmand"
"42","+195","Travel & Local","World Factbook plus History Pro","ENVI World Info","￥689","","2019-12-09","6677","https://play.google.com/store/apps/details?id=com.envi.worldfactbookplushistory"
