Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,GROSS,AND,2019,7,M,1,+1,,Travel & Local,山と高原地図,株式会社昭文社,0.0,￥360～￥500/アイテム,2020-07-02,257209,https://play.google.com/store/apps/details?id=jp.mappleon.android.yamatokogen
JP,GROSS,AND,2019,7,M,2,-1,,Travel & Local,Flightradar24 フライトトラッカー,Flightradar24 AB,0.0,"￥140～￥7,700/アイテム",2020-05-12,221200,https://play.google.com/store/apps/details?id=com.flightradar24free
JP,GROSS,AND,2019,7,M,3,-,,Travel & Local,山と高原地図ホーダイ,株式会社昭文社,0.0,￥370～￥400/アイテム,2020-06-09,106656,https://play.google.com/store/apps/details?id=jp.co.mapple.yamahodai
JP,GROSS,AND,2019,7,M,4,-,,Travel & Local,旅行英会話 - Help me Travel,Unicorn Creations,"￥1,080",,2020-06-11,71700,https://play.google.com/store/apps/details?id=com.bilingirl.helpmetravel
JP,GROSS,AND,2019,7,M,5,+6,,Travel & Local,Pokke[ポッケ]  国内も海外も！旅行・観光のガイドアプリ,MEBUKU - Audio Walking Tours app,0.0,"￥100～￥1,900/アイテム",2019-12-11,58553,https://play.google.com/store/apps/details?id=jp.co.mebuku.pokkeapp
JP,GROSS,AND,2019,7,M,6,-1,,Travel & Local,AsianMate - ローカルガイドを探そう,ATSTLLC,0.0,"￥1,080～￥33,000/アイテム",2020-07-11,53920,https://play.google.com/store/apps/details?id=asia.jmate.travelfriends
JP,GROSS,AND,2019,7,M,7,-1,,Travel & Local,internavi Pocket,"Honda Motor Co.,Ltd.",0.0,"￥730～￥3,060/アイテム",2020-06-16,53379,https://play.google.com/store/apps/details?id=jp.ne.internavi.drivelocator
JP,GROSS,AND,2019,7,M,8,-1,,Travel & Local,地図マピオン-境界を知ろう (都道府県/市区町村境/町丁目),"ONE COMPATH CO., LTD.",0.0,￥315/アイテム,2020-06-17,44910,https://play.google.com/store/apps/details?id=jp.co.mapion.android.app.maps
JP,GROSS,AND,2019,7,M,9,-,,Travel & Local,キョリ測 - 地図をタップでかんたん距離計測,"ONE COMPATH CO., LTD.",0.0,￥330/アイテム,2020-06-17,28197,https://play.google.com/store/apps/details?id=jp.co.mapion.android.app.kyorisoku
JP,GROSS,AND,2019,7,M,10,+7,,Travel & Local,無料神社がいいね 日本No.160000神社と御朱印帳参拝記録 戦国幕末歴史 初詣厄払い祈願のお参り,Recstu Inc.,0.0,"￥240～￥14,000/アイテム",2020-06-29,28038,https://play.google.com/store/apps/details?id=net.jinja_bukkaku.jinja
JP,GROSS,AND,2019,7,M,11,+4,,Travel & Local,GPS Status & Toolbox,EclipSim,0.0,￥190/アイテム,2019-09-26,26176,https://play.google.com/store/apps/details?id=com.eclipsim.gpsstatus2
JP,GROSS,AND,2019,7,M,12,-4,,Travel & Local,PeakFinder,Fabio Soldati,￥560,,2020-03-03,26048,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
JP,GROSS,AND,2019,7,M,13,-1,,Travel & Local,LiveATC for Android,LiveATC,￥440,,2020-01-31,25942,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
JP,GROSS,AND,2019,7,M,14,-1,,Travel & Local,世界の霧,Ollix,"￥1,800",,2020-07-09,20383,https://play.google.com/store/apps/details?id=com.ollix.fogofworld
JP,GROSS,AND,2019,7,M,15,+6,,Travel & Local,ことりっぷ電子ガイドブック-女性向け旅行ガイド,株式会社昭文社,0.0,"₩999 - ₩11,000 per item",2018-04-02,19159,https://play.google.com/store/apps/details?id=jp.co.mapple.cotrip
JP,GROSS,AND,2019,7,M,16,-6,,Travel & Local,旅の指さし会話帳アプリ「YUBISASHI」22か国以上対応,"YUBISASHI (Joho Center Publishing CO,Ltd)",0.0,"￥120～￥1,220/アイテム",2020-05-01,18108,https://play.google.com/store/apps/details?id=com.yubisashi.a001
JP,GROSS,AND,2019,7,M,17,+2,,Travel & Local,まっぷるマガジン - 定番旅行ガイドブック,株式会社昭文社,0.0,$0.99 - $9.99 per item,2018-04-02,16950,https://play.google.com/store/apps/details?id=jp.co.mapple.magazine
JP,GROSS,AND,2019,7,M,18,+15,,Travel & Local,舞台めぐり - アニメ聖地巡礼・コンテンツツーリズムアプリ,Sony Music Solutions Inc.,0.0,"￥100～￥6,000/アイテム",2020-06-22,16946,https://play.google.com/store/apps/details?id=jp.linknetwork.anitrip
JP,GROSS,AND,2019,7,M,19,-3,,Travel & Local,山旅ロガーGOLD,KMI Software,￥400,,2020-04-19,14097,https://play.google.com/store/apps/details?id=com.kamoland.ytlog_g
JP,GROSS,AND,2019,7,M,20,+4,,Travel & Local,無料お寺がいいね 日本No.160000寺院と御朱印帳参拝記録 戦国幕末歴史 正月お彼岸お盆のお参り,Recstu Inc.,0.0,"￥240～￥14,000/アイテム",2020-06-29,12902,https://play.google.com/store/apps/details?id=net.jinja_bukkaku.otera
JP,GROSS,AND,2019,7,M,21,+1,,Travel & Local,どこいるの - 相手の位置がすぐわかる,atto soft,0.0,￥100～￥200/アイテム,2020-05-05,11876,https://play.google.com/store/apps/details?id=com.ryunos.linkmap
JP,GROSS,AND,2019,7,M,22,-4,,Travel & Local,レールチャレンジ,XSPIRIT,0.0,,2020-04-04,11818,https://play.google.com/store/apps/details?id=jp.xspirit.android.railchallenge
JP,GROSS,AND,2019,7,M,23,-9,,Travel & Local,スマホ御朱印帳（広告無し版）,hiroshimamaful,"￥1,500",,2020-06-06,11724,https://play.google.com/store/apps/details?id=com.hiroshimamaful.sumaphogoshuinchouz
JP,GROSS,AND,2019,7,M,24,-4,,Travel & Local,RadarBox  - ライブ航空便追跡＆エアポートステータス,AirNav Systems LLC,0.0,"￥280～￥45,200/アイテム",2020-06-24,11588,https://play.google.com/store/apps/details?id=com.airnav.radarbox
JP,GROSS,AND,2019,7,M,25,+20,,Travel & Local,My Visit to the Louvre,Musée du Louvre,0.0,$0.99 - $5.49 per item,2019-07-16,11150,https://play.google.com/store/apps/details?id=fr.smartapps.louvre
JP,GROSS,AND,2019,7,M,26,-1,,Travel & Local,GPS Status PRO - (legacy key),EclipSim,￥390,,2013-05-23,10910,https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro
JP,GROSS,AND,2019,7,M,27,+21,,Travel & Local,App in the Air — フライトトラッカーや空港ガイド,"App in the Air, Inc.",0.0,"￥110～￥8,100/アイテム",2020-06-07,10904,https://play.google.com/store/apps/details?id=com.aita
JP,GROSS,AND,2019,7,M,28,-5,,Travel & Local,震災時帰宅支援マップ首都圏版 - オフラインで使える,株式会社昭文社,￥400,,2018-03-05,9910,https://play.google.com/store/apps/details?id=jp.mappleon.android.kitakushien2014
JP,GROSS,AND,2019,7,M,29,-2,,Travel & Local,ファミリー•ロケータ 。家族と位置情報共有アプリ,FAMILY LOCATOR LLC,0.0,"￥291～￥6,600/アイテム",2020-07-10,9161,https://play.google.com/store/apps/details?id=com.sygic.familywhere.android
JP,GROSS,AND,2019,7,M,30,+17,,Travel & Local,H.I.S.クーポン,"H.I.S. Co., Ltd.",0.0,$0.99 - $3.49 per item,2017-06-06,8971,https://play.google.com/store/apps/details?id=jp.co.his.android.coupon
JP,GROSS,AND,2019,7,M,31,+1,,Travel & Local,GOマップ2020forポケモン,iGameTouch Studio,0.0,"￥1,120～￥3,080/アイテム",2020-06-11,8769,https://play.google.com/store/apps/details?id=com.nineteen.pokeradar
JP,GROSS,AND,2019,7,M,32,-6,,Travel & Local,国土地図　圏外・オフラインでも使えるGPS地図アプリ,gacool,0.0,￥648/アイテム,2020-06-16,8691,https://play.google.com/store/apps/details?id=jp.gacool.map
JP,GROSS,AND,2019,7,M,33,+30,,Travel & Local,フライトトラッカー,Impala Studios,0.0,"￥130～￥1,550/アイテム",2020-07-06,8665,https://play.google.com/store/apps/details?id=com.flistholding.flightplus
JP,GROSS,AND,2019,7,M,34,+1,,Travel & Local,Mobile Passport,Airside Mobile Inc.,0.0,"￥550～￥1,660/アイテム",2020-05-20,8574,https://play.google.com/store/apps/details?id=us.mobilepassport
JP,GROSS,AND,2019,7,M,35,-5,,Travel & Local,"Plat(ぷらっと) 旅行,観光,グルメ,お出かけ,イベント記事のメディアアプリ","NAVITIME JAPAN CO., LTD.",0.0,￥389/アイテム,2019-03-07,8466,https://play.google.com/store/apps/details?id=com.navitime.local.plat
JP,GROSS,AND,2019,7,M,36,-5,,Travel & Local,正確な高度計,AR Labs,0.0,￥250/アイテム,2020-06-05,8437,https://play.google.com/store/apps/details?id=com.arlabsmobile.altimeterfree
JP,GROSS,AND,2019,7,M,37,-8,,Travel & Local,"OsmAnd+ — Offline Maps, Travel & Navigation",OsmAnd,"￥1,000",￥120～￥640/アイテム,2020-06-09,8164,https://play.google.com/store/apps/details?id=net.osmand.plus
