"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","LiveATC for Android","LiveATC","￥478","","2020-01-31","272750","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"2","-","Travel & Local","PeakFinder","Fabio Soldati","￥560","","2020-03-03","146206","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"3","-","Travel & Local","山旅ロガーGOLD","KMI Software","￥400","","2020-04-19","132189","https://play.google.com/store/apps/details?id=com.kamoland.ytlog_g"
"4","-","Travel & Local","GPS Status PRO - (legacy key)","EclipSim","￥390","","2013-05-23","55971","https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro"
"5","+6","Travel & Local","スマホ御朱印帳（広告無し版）","hiroshimamaful","￥1,500","","2020-06-06","55683","https://play.google.com/store/apps/details?id=com.hiroshimamaful.sumaphogoshuinchouz"
"6","+104","Travel & Local","世界の霧","Ollix","￥1,060","","2020-07-09","54883","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"7","-2","Travel & Local","ボイス翻訳","HawsoftMob Inc.","￥540","","2019-07-29","40428","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro"
"8","-","Travel & Local","複数時計","Udell Enterprises, Inc","￥110","","2016-03-08","38504","https://play.google.com/store/apps/details?id=com.polyclock"
"9","+5","Travel & Local","都道府県制覇プラス","ydbs","￥100","","2019-01-24","37848","https://play.google.com/store/apps/details?id=com.ydbs.jpm"
"10","-3","Travel & Local","ことりっぷ 会話帖 Pro　～海外旅行向け音声翻訳アプリ～","株式会社昭文社","￥150","","2015-10-08","36808","https://play.google.com/store/apps/details?id=jp.mappleon.CotripKaigaiKaiwaCharged"
"11","-2","Travel & Local","震災時帰宅支援マップ首都圏版 - オフラインで使える","株式会社昭文社","￥400","","2018-03-05","31818","https://play.google.com/store/apps/details?id=jp.mappleon.android.kitakushien2014"
"12","+13","Travel & Local","Royal Palace of Madrid","GVAM Guías Interactivas","￥210","","2016-06-27","18428","https://play.google.com/store/apps/details?id=com.gvam.palacioMovil"
"13","+9","Travel & Local","ぽちっと東国の城 - 復元イラストで戦国時代へトリップ","POWER MEDIA Inc.","￥360","","2018-08-01","16701","https://play.google.com/store/apps/details?id=jp.co.powermedia.castleapp"
"14","+14","Travel & Local","TripView","TripView Pty Ltd","￥370","","2020-04-28","16494","https://play.google.com/store/apps/details?id=com.grofsoft.tripview"
"15","+14","Travel & Local","クメール語会話メモ","TM Include","￥120","","2015-03-15","13242","https://play.google.com/store/apps/details?id=tmInclude.application.khmerlanguagefull"
"16","+4","Travel & Local","道の駅サーチ 全国版","Clarion Co., Ltd.","￥150","","2016-09-15","12914","https://play.google.com/store/apps/details?id=com.clarion.android.roadstation"
"17","+86","Travel & Local","指さし会話 中国 中国語 touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","￥720","$1.00 - $5.93 per item","2015-10-29","12889","https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.jpncn"
"18","-","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","￥1,000","￥120～￥640/アイテム","2020-06-09","12866","https://play.google.com/store/apps/details?id=net.osmand.plus"
"19","-13","Travel & Local","全国車中泊マップ for Android","A&O Inc","￥360","","2016-08-03","12745","https://play.google.com/store/apps/details?id=jp.aando.PcamMap"
"20","+28","Travel & Local","指さし会話インドネシア インドネシア語 touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","￥720","","2014-08-05","12224","https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.jpid"
"21","-6","Travel & Local","3レター特訓","ydbs","￥100","","2018-07-14","11628","https://play.google.com/store/apps/details?id=com.ydbs.tle"
"22","+21","Travel & Local","そうだ 聖地、行こう Pro","GoodClues","￥100","","2017-09-09","10685","https://play.google.com/store/apps/details?id=com.goodclues.ssipro"
"23","+30","Travel & Local","Contour lines plugin — OsmAnd","OsmAnd","￥400","","2016-12-27","10225","https://play.google.com/store/apps/details?id=net.osmand.srtmPlugin.paid"
"24","-8","Travel & Local","指さし会話 タイ タイ語 touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","￥720","￥120～￥720/アイテム","2015-04-08","9779","https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.jpth"
"25","+5","Travel & Local","YUBISASHI Italia touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","￥720","","2015-01-08","9475","https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.jpit"
