Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,PAID,AND,2019,11,M,1,-,,Travel & Local,旅行英会話 - Help me Travel,Unicorn Creations,"¥1,080",,2020-06-11,268333,https://play.google.com/store/apps/details?id=com.bilingirl.helpmetravel
JP,PAID,AND,2019,11,M,2,+1,,Travel & Local,PeakFinder,Fabio Soldati,¥560,,2020-03-03,169004,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
JP,PAID,AND,2019,11,M,3,-1,,Travel & Local,LiveATC for Android,LiveATC,¥440,,2020-01-31,124485,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
JP,PAID,AND,2019,11,M,4,-,,Travel & Local,山旅ロガーGOLD,KMI Software,¥400,,2020-04-19,71239,https://play.google.com/store/apps/details?id=com.kamoland.ytlog_g
JP,PAID,AND,2019,11,M,5,-,,Travel & Local,都道府県制覇プラス,ydbs,¥100,,2019-01-24,59604,https://play.google.com/store/apps/details?id=com.ydbs.jpm
JP,PAID,AND,2019,11,M,6,+2,,Travel & Local,世界の霧,Ollix,"¥2,440",,2020-07-09,39910,https://play.google.com/store/apps/details?id=com.ollix.fogofworld
JP,PAID,AND,2019,11,M,7,-,,Travel & Local,震災時帰宅支援マップ首都圏版 - オフラインで使える,株式会社昭文社,¥400,,2018-03-05,33619,https://play.google.com/store/apps/details?id=jp.mappleon.android.kitakushien2014
JP,PAID,AND,2019,11,M,8,-2,,Travel & Local,GPS Status PRO - (legacy key),EclipSim,¥390,,2013-05-23,33215,https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro
JP,PAID,AND,2019,11,M,9,+1,,Travel & Local,複数時計,"Udell Enterprises, Inc",¥110,,2016-03-08,30299,https://play.google.com/store/apps/details?id=com.polyclock
JP,PAID,AND,2019,11,M,10,+16,,Travel & Local,TripView,TripView Pty Ltd,¥400,,2020-04-28,18477,https://play.google.com/store/apps/details?id=com.grofsoft.tripview
JP,PAID,AND,2019,11,M,11,+3,,Travel & Local,OruxMaps GP,jose vazquez,¥390,￥110～￥980/アイテム,2020-07-10,18130,https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate
JP,PAID,AND,2019,11,M,12,+40,,Travel & Local,音声翻訳 Pro,AxismobInc.,¥380,,2019-07-23,17684,https://play.google.com/store/apps/details?id=com.axis.mobile.chapters.transpro
JP,PAID,AND,2019,11,M,13,+41,,Travel & Local,近くのビーガンレストランを探す - HappyCow,HappyCow,¥450,,2020-07-14,15977,https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide
JP,PAID,AND,2019,11,M,14,+72,,Travel & Local,指さし会話 香港 広東語 touch&talk,"YUBISASHI (Joho Center Publishing CO,Ltd)",¥720,,2014-08-05,14739,https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.jphk
JP,PAID,AND,2019,11,M,15,+14,,Travel & Local,スマホ御朱印帳（広告無し版）,hiroshimamaful,"¥1,500",,2020-06-06,14717,https://play.google.com/store/apps/details?id=com.hiroshimamaful.sumaphogoshuinchouz
JP,PAID,AND,2019,11,M,16,+45,,Travel & Local,Phrasebook Thai,Planetinpocket,¥225,,2018-11-02,13158,https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.th
JP,PAID,AND,2019,11,M,17,new,,Travel & Local,仙台地図さんぽ,Stroly Inc,¥190,,2016-10-27,12241,https://play.google.com/store/apps/details?id=com.stroly.android.SendaiBurari
JP,PAID,AND,2019,11,M,18,+6,,Travel & Local,ぽちっと東国の城 - 復元イラストで戦国時代へトリップ,POWER MEDIA Inc.,¥360,,2018-08-01,11927,https://play.google.com/store/apps/details?id=jp.co.powermedia.castleapp
JP,PAID,AND,2019,11,M,19,-,,Travel & Local,AR GPS Compass Map 3D Pro,CodeKonditor,¥500,,2018-06-13,11416,https://play.google.com/store/apps/details?id=com.kettler.argpscm3dpro
JP,PAID,AND,2019,11,M,20,+5,,Travel & Local,ことりっぷ 会話帖 Pro　～海外旅行向け音声翻訳アプリ～,株式会社昭文社,¥150,,2015-10-08,11228,https://play.google.com/store/apps/details?id=jp.mappleon.CotripKaigaiKaiwaCharged
JP,PAID,AND,2019,11,M,21,+6,,Travel & Local,3レター特訓,ydbs,¥100,,2018-07-14,11105,https://play.google.com/store/apps/details?id=com.ydbs.tle
JP,PAID,AND,2019,11,M,22,-13,,Travel & Local,"OsmAnd+ — Offline Maps, Travel & Navigation",OsmAnd,"¥1,000",￥120～￥640/アイテム,2020-06-09,10637,https://play.google.com/store/apps/details?id=net.osmand.plus
JP,PAID,AND,2019,11,M,23,+16,,Travel & Local,沖縄の魚図鑑,いたさんち,¥120,,2018-10-09,10429,https://play.google.com/store/apps/details?id=com.okinawa.ita.okinawa_fishes
JP,PAID,AND,2019,11,M,24,new,,Travel & Local,デイリー３か国語辞典 フランス語・イタリア語・スペイン語,㈱富士通パーソナルズ,"¥3,420",,2019-08-05,10015,https://play.google.com/store/apps/details?id=jp.co.kgc.android.oneswingviewer.WSANT002G
JP,PAID,AND,2019,11,M,25,+37,,Travel & Local,WiFox,"foXnoMad, LLC",¥110,,2019-10-15,9989,https://play.google.com/store/apps/details?id=com.foxnomad.wifox.wifox
JP,PAID,AND,2019,11,M,26,new,,Travel & Local,デイリー３か国語辞典シリーズ フランス語・ドイツ語（三省堂）,㈱富士通パーソナルズ,"¥2,320",,2019-08-05,9568,https://play.google.com/store/apps/details?id=jp.co.kgc.android.oneswingviewer.WSANT003G
JP,PAID,AND,2019,11,M,27,new,,Travel & Local,デイリー３か国語辞典シリーズ 中国語・韓国語（三省堂）,㈱富士通パーソナルズ,"¥2,320",,2019-08-05,9065,https://play.google.com/store/apps/details?id=jp.co.kgc.android.oneswingviewer.WSANT001G
JP,PAID,AND,2019,11,M,28,-16,,Travel & Local,ひこにゃんWITH,株式会社夢京橋,¥240,,2020-06-11,9018,https://play.google.com/store/apps/details?id=com.yumekyobashi.hikonyan2shot
JP,PAID,AND,2019,11,M,29,+64,,Travel & Local,指さし会話 ブラジル ポルトガル語 touch＆talk,"YUBISASHI (Joho Center Publishing CO,Ltd)",¥720,,2014-08-05,8487,https://play.google.com/store/apps/details?id=com.gdc.android.yubisashi.BA.br
JP,PAID,AND,2019,11,M,30,-14,,Travel & Local,Tide Table Chart,AppMosaic,¥410,,2020-06-04,7895,https://play.google.com/store/apps/details?id=com.appmosaic.tidechart
