"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Entertainment","Tokyo Disney Resort App","Oriental Land Co., Ltd.","0","ダウンロード写真　10枚 : ¥2,700 / ダウンロード写真　11枚 : ¥2,820 / ダウンロード写真　12枚 : ¥3,060","2018-06-19","320000","https://itunes.apple.com/JP/app/id1313147771"
"2","+1","Utilities","タウンWiFi by GMO　WiFi自動接続アプリ","TownWiFi Inc.","0","","2015-09-18","133873","https://itunes.apple.com/JP/app/id988737164"
"3","-1","Reference","Google 翻訳","Google LLC","0","","2011-02-08","114030","https://itunes.apple.com/JP/app/id414706506"
"4","+3","Travel","DiDi(ディディ)-タクシーがすぐ呼べる配車アプリ","DiDi","0","","2018-04-22","90004","https://itunes.apple.com/JP/app/id1362398401"
"5","-1","Finance","Suica","East Japan Railway Company","0","","2016-10-23","59267","https://itunes.apple.com/JP/app/id1156875272"
"6","+6","Travel","ANA","ANA (All Nippon Airways)","0","","2010-07-26","46890","https://itunes.apple.com/JP/app/id382028327"
"7","-1","Travel","旅行予約のブッキングドットコム","Booking.com","0","","2010-04-14","42479","https://itunes.apple.com/JP/app/id367003839"
"8","+2","Travel","JapanTaxi（旧:全国タクシー）","Mobility Technologies Co., Ltd.","0","","2011-12-13","36602","https://itunes.apple.com/JP/app/id481647073"
"9","+6","Travel","JAL","Japan Airlines Co., Ltd.","0","","2010-02-14","29510","https://itunes.apple.com/JP/app/id351785536"
"10","+1","Navigation","NAVITIME（乗換と地図の総合ナビ）","NAVITIME JAPAN CO.,LTD.","0","","2010-04-20","24797","https://itunes.apple.com/JP/app/id365876050"
"11","new","Travel","長岡花火 公式アプリ","Fuller, Inc.","0","","2020-03-02","15333","https://itunes.apple.com/JP/app/id1226371399"
"12","-7","Travel","格安航空券・ホテル予約アプリ スカイチケット","Adventure,Inc.","0","","2015-05-22","9450","https://itunes.apple.com/JP/app/id995125257"
"13","-5","Travel","aumo(アウモ)","aumo, Inc.","0","","2018-01-14","7410","https://itunes.apple.com/JP/app/id1330108791"
"14","new","Travel","Google ストリートビュー","Google LLC","0","","2014-08-19","7204","https://itunes.apple.com/JP/app/id904418768"
"15","new","Travel","ドラぷら－ETC料金検索と渋滞予報士の渋滞予測！","ZENRIN DataCom CO.,LTD.","0","","2012-08-13","6666","https://itunes.apple.com/JP/app/id507103338"
"16","new","Travel","Google Earth","Google LLC","0","","2008-10-27","6358","https://itunes.apple.com/JP/app/id293622097"
"17","-3","Travel","EXアプリ","Central Japan Railway Company","0","","2017-02-21","3212","https://itunes.apple.com/JP/app/id1153448703"
"18","new","Navigation","駅すぱあと","Val Laboratory Corporation","0","","2011-09-15","2500","https://itunes.apple.com/JP/app/id463431091"
"19","new","Utilities","写真を撮って、それを翻訳 - Triplens","KITA BILGI TEKNOLOJILERI LIMITED SIRKETI","0","","2019-02-13","1818","https://itunes.apple.com/JP/app/id1450813744"
