"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","旅行英会話 - Help me Travel","バイリンガール","¥1,080","","2018-09-27","274643","https://itunes.apple.com/JP/app/id1432582444"
"2","-","Travel","Flightradar24 | フライトトラッカー","Flightradar24 AB","0.0","","2010-07-21","144827","https://itunes.apple.com/JP/app/id382233851"
"3","-","Travel","フライトライブ - フライトレーダー＆天気情報","Weather or Not Apps, LLC","0.0","","2016-06-16","74876","https://itunes.apple.com/JP/app/id1097815000"
"4","-","Travel","iTranslate Converse 翻訳","iTranslate","0.0","","2017-08-03","69055","https://itunes.apple.com/JP/app/id1241264761"
"5","+6","Travel","LiveATC Air Radio","LiveATC.net","¥480","","2009-06-09","47459","https://itunes.apple.com/JP/app/id317809458"
"6","+1","Travel","Pokke［ポッケ］オフライン機能で、海外旅行にも便利。","MEBUKU","0.0","ローマ : ¥1,220 / フィレンツェ : ¥980 / ミラノ : ¥610","2016-06-20","41418","https://itunes.apple.com/JP/app/id1124486160"
"7","+2","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","¥600","","2012-10-08","36867","https://itunes.apple.com/JP/app/id563910324"
"8","-3","Travel","nemo 韓国語","Nemo Apps LLC","0.0","","2011-12-21","31289","https://itunes.apple.com/JP/app/id487077174"
"9","+6","Travel","nemo スペイン語","Nemo Apps LLC","0.0","","2012-01-01","25442","https://itunes.apple.com/JP/app/id487054746"
"10","-2","Travel","御朱印マップ","Tateaki Uehara","0.0","","2015-01-06","24023","https://itunes.apple.com/JP/app/id953694060"
"11","+2","Travel","旅の指さし会話帳アプリ「YUBISASHI」22か国以上対応","YUBISASHI (Joho Center Publishing CO,Ltd)","0.0","","2014-05-30","23005","https://itunes.apple.com/JP/app/id811094280"
"12","+2","Travel","nemo アメリカ英語","Nemo Apps LLC","0.0","","2011-12-21","22084","https://itunes.apple.com/JP/app/id487069717"
"13","+6","Travel","nemo タイ語","Nemo Apps LLC","0.0","","2011-12-28","20472","https://itunes.apple.com/JP/app/id487076453"
"14","+4","Travel","まっぷるマガジン -定番旅行ガイドブック","Shobunsha Publications, Inc.","0.0","","2018-05-21","19966","https://itunes.apple.com/JP/app/id498403950"
"15","+7","Travel","英会話「ネイティブ1000人と作った英会話～旅行英会話編～」","Yasunori Numakoshi","¥1,200","","2016-12-15","18753","https://itunes.apple.com/JP/app/id1172442916"
"16","-","Travel","nemo 中国語","Nemo Apps LLC","0.0","","2011-04-20","18565","https://itunes.apple.com/JP/app/id430676177"
"17","-5","Travel","nemo フランス語","Nemo Apps LLC","0.0","","2011-12-21","18172","https://itunes.apple.com/JP/app/id487067065"
"18","-8","Travel","ことりっぷ電子ガイドブック","Shobunsha Publications, Inc.","0.0","","2018-05-21","16953","https://itunes.apple.com/JP/app/id404970558"
"19","+12","Travel","世界の路線図・オフライン対応","Urban-Map","0.0","","2015-10-03","15553","https://itunes.apple.com/JP/app/id1032469973"
"20","-3","Travel","nemo ベトナム語","Nemo Apps LLC","0.0","","2013-07-24","15359","https://itunes.apple.com/JP/app/id635605857"
"21","-1","Travel","PeakFinder AR","Fabio Soldati","¥600","","2010-03-12","12602","https://itunes.apple.com/JP/app/id357421934"
"22","+8","Travel","Louvre : ma visite","MUSEE DU LOUVRE","0.0","","2016-07-05","12179","https://itunes.apple.com/JP/app/id1100629786"
"23","+24","Travel","神社がいいね　御朱印帳・春の参拝の記録","Recstu Inc.","0.0","プレミアム会員(1ヶ月) : ¥240 / プレミアム会員(1年間) : ¥2,600 / プレミアム会員(3年一括) : ¥8,000","2017-09-21","12126","https://itunes.apple.com/JP/app/id1281193778"
"24","+1","Travel","ことりっぷ 会話帖","Shobunsha Publications, Inc.","0.0","イタリア語コンテンツ一式 : ￦3,900 / スペイン語コンテンツ一式 : ￦3,900 / タイ語コンテンツ一式 : ￦3,900","2012-11-26","11520","https://itunes.apple.com/JP/app/id571623264"
"25","+42","Travel","nemo ポルトガル語（ブラジル）","Nemo Apps LLC","0.0","","2012-01-01","10654","https://itunes.apple.com/JP/app/id487058704"
"26","-","Travel","nemo ロシア語","Nemo Apps LLC","0.0","","2011-12-28","9979","https://itunes.apple.com/JP/app/id487071813"
"27","new","Travel","WiFi Map：インターネットとVPN今","WiFi Map LLC","0.0","","2012-09-20","9508","https://itunes.apple.com/JP/app/id548925969"
"28","+8","Travel","世界の霧","Ollix","¥1,200","","2012-09-18","8761","https://itunes.apple.com/JP/app/id505367096"
"29","+10","Travel","Calc Convert: 通貨コンバータと交換","Currency Converter & Calculator, Taschenrechner, Calculatrice, Calculadora","0.0","","2011-04-22","8758","https://itunes.apple.com/JP/app/id426007025"
"30","+5","Travel","ON THE TRIP 旅の体験をふくらませる","ON THE TRIP","0.0","大地の芸術祭 : ¥610 / 浅草寺 : ¥120 / Daichi Art Festival : ¥610","2017-05-18","8587","https://itunes.apple.com/JP/app/id1221976012"
"31","-8","Travel","nemo イタリア語","Nemo Apps LLC","0.0","","2012-01-01","7721","https://itunes.apple.com/JP/app/id487064887"
"32","+1","Travel","自宅にいながら世界旅行：ライブカメラとタイムラプス","Travel And Play","0.0","","2015-12-17","7713","https://itunes.apple.com/JP/app/id1067256452"
"33","+120","Travel","お寺がいいね　御朱印帳・お彼岸参拝の記録","Recstu Inc.","0.0","プレミアム会員(1ヶ月) : ¥240 / プレミアム会員(1年間) : ¥2,600 / プレミアム会員(永年利用可) : ¥8,000","2017-10-17","7710","https://itunes.apple.com/JP/app/id1293061100"
"34","+27","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","¥360","","2009-03-26","7636","https://itunes.apple.com/JP/app/id294730339"
"35","+5","Travel","フライトトラッカー","International Airport Flight Track Technologies","0.0","","2012-07-20","7151","https://itunes.apple.com/JP/app/id533365777"
"36","+21","Travel","旅の手帖","KOTSU SHIMBUNSHA Transportation News Co.,Ltd.","0.0","","2014-10-09","6901","https://itunes.apple.com/JP/app/id915235214"
"37","+5","Travel","フライトレーダー24 飛行機 トラッカー Pro radar","Stewart Swatton","¥600","","2015-04-03","6840","https://itunes.apple.com/JP/app/id933997029"
"38","-6","Travel","レールチャレンジ","Hideki Hara","0.0","","2020-05-13","6823","https://itunes.apple.com/JP/app/id1054431295"
"39","+16","Travel","Elk - 旅の通貨換算ツール","Clean Shaven Apps","0.0","","2017-04-10","6698","https://itunes.apple.com/JP/app/id1189748820"
"40","-11","Travel","App in the Air","AITA LIMITED","0.0","","2012-05-31","6562","https://itunes.apple.com/JP/app/id527299553"
"41","+2","Travel","飛行機ライブ - フライトレーダー","Weather or Not Apps, LLC","¥840","","2019-08-16","6522","https://itunes.apple.com/JP/app/id1064962398"
"42","+47","Travel","WikiCamps Australia","WikiCamps pty ltd","¥600","","2012-03-01","6305","https://itunes.apple.com/JP/app/id505365608"
"43","-9","Travel","HappyCow Find Vegan Food","HappyCow","¥480","","2011-05-11","6153","https://itunes.apple.com/JP/app/id435871950"
"44","+52","Travel","3レター特訓","Sohta Itoh","¥120","","2015-03-18","6139","https://itunes.apple.com/JP/app/id965849712"
"45","+25","Travel","指さし会話ベトナム　touch＆talk 【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥840","旅に役立つ ベトナム語単語集 : ¥120 / 指さし会話 ベトナム×ハノイ 36通りグルメ : ¥490 / 【音声なし】食べる指さし会話ベトナム : ¥490","2010-12-28","5902","https://itunes.apple.com/JP/app/id411835605"
"46","-8","Travel","OpenADSB","Steve Kuo","¥720","","2018-01-19","5691","https://itunes.apple.com/JP/app/id1178703539"
"47","+3","Travel","オフラインのマップ、GPS ナビゲーション:MAPS.ME","MY COM","0.0","","2012-04-11","5655","https://itunes.apple.com/JP/app/id510623322"
"48","+55","Travel","旅行業務取扱管理者試験 2020","JTB Tourism Research & Consulting Co.","0.0","2018 旅行業法令 : ¥730 / 2018 旅行業約款、運送・宿泊約款 : ¥860 / 2018 国内運賃・料金 : ¥980","2014-08-19","5575","https://itunes.apple.com/JP/app/id909535982"
"49","+48","Travel","ひこにゃんWITH","株式会社夢京橋","¥240","","2018-10-21","5520","https://itunes.apple.com/JP/app/id1438697634"
"50","+12","Travel","全国お城マップ","A&O","¥360","","2014-04-17","5431","https://itunes.apple.com/JP/app/id830257181"
"51","-10","Travel","Currency","Jeffrey Grossman","0.0","","2019-02-01","5407","https://itunes.apple.com/JP/app/id284220417"
"52","-25","Travel","InviteTravel","Reflcto UAB","0.0","","2015-08-10","5287","https://itunes.apple.com/JP/app/id1007162664"
"53","-9","Travel","H.I.S. クーポン","H.I.S. Co.,Ltd.","0.0","","2010-12-15","5273","https://itunes.apple.com/JP/app/id408828943"
"54","+15","Travel","ツクツク","Yoshihiko Eto","0.0","","2015-11-18","5038","https://itunes.apple.com/JP/app/id1039751190"
"55","+102","Travel","フライトレーダー 飛行機 トラッカー flight 24 P","Stewart Swatton","¥600","","2012-05-22","5034","https://itunes.apple.com/JP/app/id525956148"
"56","-","Travel","AirPano City Book","CONCEPT360 GmbH","¥960","","2017-03-15","4986","https://itunes.apple.com/JP/app/id1142577996"
"57","-12","Travel","通貨換算+ 為替レート計算、通貨レート","monkeyLabs Inc.","0.0","","2014-05-06","4980","https://itunes.apple.com/JP/app/id844099556"
"58","-12","Travel","乗換路線図","TOKYO STUDIO INC.","0.0","","2016-01-27","4902","https://itunes.apple.com/JP/app/id1077627714"
