Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,GROSS,IOS,2020,3,M,1,new,,Travel,Flightradar24 | フライトトラッカー,Flightradar24 AB,0.0,,2010-07-21,234583,https://itunes.apple.com/JP/app/id382233851
JP,GROSS,IOS,2020,3,M,2,new,,Travel,フライトライブ - フライトレーダー＆天気情報,"Weather or Not Apps, LLC",0.0,,2016-06-16,125111,https://itunes.apple.com/JP/app/id1097815000
JP,GROSS,IOS,2020,3,M,3,new,,Travel,VoiTra Pro,otar mosidze,0.0,1ヶ月定期利用 : ¥580,2018-11-28,79992,https://itunes.apple.com/JP/app/id1441516811
JP,GROSS,IOS,2020,3,M,4,new,,Travel,旅行英会話 - Help me Travel,バイリンガール,"¥1,100",,2018-09-27,56919,https://itunes.apple.com/JP/app/id1432582444
JP,GROSS,IOS,2020,3,M,5,new,,Travel,OkTalkトランスレータ,Zapps Mobi,0.0,,2019-02-19,34853,https://itunes.apple.com/JP/app/id1452146565
JP,GROSS,IOS,2020,3,M,6,new,,Travel,iTranslate Converse 翻訳,iTranslate,0.0,,2017-08-03,34242,https://itunes.apple.com/JP/app/id1241264761
JP,GROSS,IOS,2020,3,M,7,new,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,¥610,,2012-10-08,33724,https://itunes.apple.com/JP/app/id563910324
JP,GROSS,IOS,2020,3,M,8,new,,Travel,LiveATC Air Radio,LiveATC.net,¥490,,2009-06-09,27125,https://itunes.apple.com/JP/app/id317809458
JP,GROSS,IOS,2020,3,M,9,new,,Travel,御朱印マップ,Tateaki Uehara,0.0,,2015-01-06,26606,https://itunes.apple.com/JP/app/id953694060
JP,GROSS,IOS,2020,3,M,10,new,,Travel,Disneyland®,Disney,0.0,,2020-02-10,21086,https://itunes.apple.com/JP/app/id1022164656
JP,GROSS,IOS,2020,3,M,11,new,,Travel,nemo 韓国語,Nemo Apps LLC,0.0,,2011-12-21,15282,https://itunes.apple.com/JP/app/id487077174
JP,GROSS,IOS,2020,3,M,12,new,,Travel,PeakFinder AR,Fabio Soldati,¥610,,2010-03-12,13958,https://itunes.apple.com/JP/app/id357421934
JP,GROSS,IOS,2020,3,M,13,new,,Travel,Pokke［ポッケ］オフライン機能で、海外旅行にも便利。,MEBUKU,0.0,"ローマ : ¥1,220 / フィレンツェ : ¥980 / ミラノ : ¥610",2016-06-20,13932,https://itunes.apple.com/JP/app/id1124486160
JP,GROSS,IOS,2020,3,M,14,new,,Travel,ON THE TRIP 旅の体験をふくらませる,ON THE TRIP,0.0,大地の芸術祭 : ¥610 / 浅草寺 : ¥120 / Daichi Art Festival : ¥610,2017-05-18,13138,https://itunes.apple.com/JP/app/id1221976012
JP,GROSS,IOS,2020,3,M,15,new,,Travel,nemo フランス語,Nemo Apps LLC,0.0,,2011-12-21,12745,https://itunes.apple.com/JP/app/id487067065
JP,GROSS,IOS,2020,3,M,16,new,,Travel,nemo ベトナム語,Nemo Apps LLC,0.0,,2013-07-24,11849,https://itunes.apple.com/JP/app/id635605857
JP,GROSS,IOS,2020,3,M,17,new,,Travel,旅の指さし会話帳アプリ「YUBISASHI」22か国以上対応,"YUBISASHI (Joho Center Publishing CO,Ltd)",0.0,,2014-05-30,11056,https://itunes.apple.com/JP/app/id811094280
JP,GROSS,IOS,2020,3,M,18,new,,Travel,nemo イタリア語,Nemo Apps LLC,0.0,,2012-01-01,10907,https://itunes.apple.com/JP/app/id487064887
JP,GROSS,IOS,2020,3,M,19,new,,Travel,-tabiori- 共有できる旅のしおり,Tuclicks inc.,0.0,"tabiori premium(年額) : ¥3,900 / tabiori premium(月額) : ¥480",2017-02-20,10405,https://itunes.apple.com/JP/app/id1193502519
JP,GROSS,IOS,2020,3,M,20,new,,Travel,レールチャレンジ,Hideki Hara,0.0,,2020-05-13,9567,https://itunes.apple.com/JP/app/id1054431295
JP,GROSS,IOS,2020,3,M,21,new,,Travel,神社がいいね　御朱印帳・春の参拝の記録,Recstu Inc.,0.0,"プレミアム会員(1ヶ月) : ¥240 / プレミアム会員(1年間) : ¥2,600 / プレミアム会員(3年一括) : ¥8,000",2017-09-21,8896,https://itunes.apple.com/JP/app/id1281193778
JP,GROSS,IOS,2020,3,M,22,new,,Travel,フライトレーダー24 飛行機 トラッカー Pro radar,Stewart Swatton,¥610,,2015-04-03,8244,https://itunes.apple.com/JP/app/id933997029
JP,GROSS,IOS,2020,3,M,23,new,,Travel,nemo スペイン語,Nemo Apps LLC,0.0,,2012-01-01,8196,https://itunes.apple.com/JP/app/id487054746
JP,GROSS,IOS,2020,3,M,24,new,,Travel,"フライトレーダー24(Flight Live), 天気情報",2traces,0.0,,2017-06-12,8105,https://itunes.apple.com/JP/app/id1228730481
JP,GROSS,IOS,2020,3,M,25,new,,Travel,御朱印帳 No.1 30万DL神社・お寺がいいね,Recstu Inc.,0.0,"プレミアム(月払い) : ¥240 / プレミアム(月払い) : ¥240 / プレミアム(年払い) : ¥2,600 / プレミアム(年払い) : ¥2,600 / プレミアム(永年) : ¥7,500 / プレミアム(永年) : ¥7,500",2019-10-06,7896,https://itunes.apple.com/JP/app/id1480639171
JP,GROSS,IOS,2020,3,M,26,new,,Travel,世界の路線図・オフライン対応,Urban-Map,0.0,,2015-10-03,7657,https://itunes.apple.com/JP/app/id1032469973
JP,GROSS,IOS,2020,3,M,27,new,,Travel,World Phone,Norwood Systems,0.0,,2015-07-16,7494,https://itunes.apple.com/JP/app/id956373738
JP,GROSS,IOS,2020,3,M,28,new,,Travel,英会話「ネイティブ1000人と作った英会話～旅行英会話編～」,Yasunori Numakoshi,"¥1,220",,2016-12-15,7305,https://itunes.apple.com/JP/app/id1172442916
