Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,PAID,IOS,2019,2,M,1,-,,Travel,旅行英会話 - Help me Travel,バイリンガール,"¥1,080",,2018-09-27,264000,https://itunes.apple.com/JP/app/id1432582444
JP,PAID,IOS,2019,2,M,2,-,,Travel,LiveATC Air Radio,LiveATC.net,¥480,,2009-06-09,136271,https://itunes.apple.com/JP/app/id317809458
JP,PAID,IOS,2019,2,M,3,-,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,¥600,,2012-10-08,83457,https://itunes.apple.com/JP/app/id563910324
JP,PAID,IOS,2019,2,M,4,-,,Travel,PeakFinder AR,Fabio Soldati,¥600,,2010-03-12,43736,https://itunes.apple.com/JP/app/id357421934
JP,PAID,IOS,2019,2,M,5,+4,,Travel,3レター特訓,Sohta Itoh,¥120,,2015-03-18,39161,https://itunes.apple.com/JP/app/id965849712
JP,PAID,IOS,2019,2,M,6,+19,,Travel,TripView - Sydney & Melbourne,TripView Pty Ltd,¥360,,2009-03-26,37180,https://itunes.apple.com/JP/app/id294730339
JP,PAID,IOS,2019,2,M,7,-2,,Travel,英会話「ネイティブ1000人と作った英会話～旅行英会話編～」,Yasunori Numakoshi,"¥1,200",,2016-12-15,31095,https://itunes.apple.com/JP/app/id1172442916
JP,PAID,IOS,2019,2,M,8,+7,,Travel,eCurrency -  通貨のコンバーター,Hendrik Holtmann,¥150,,2009-04-08,26442,https://itunes.apple.com/JP/app/id310516332
JP,PAID,IOS,2019,2,M,9,+32,,Travel,Inquire by Tamper,Tamper,¥120,,2015-12-07,25105,https://itunes.apple.com/JP/app/id1045268097
JP,PAID,IOS,2019,2,M,10,-3,,Travel,都道府県制覇プラス,Sohta Itoh,¥120,,2018-10-11,21602,https://itunes.apple.com/JP/app/id1438523622
JP,PAID,IOS,2019,2,M,11,+7,,Travel,フライトレーダー24 飛行機 トラッカー Pro radar,Stewart Swatton,¥600,,2015-04-03,18584,https://itunes.apple.com/JP/app/id933997029
JP,PAID,IOS,2019,2,M,12,+18,,Travel,ひこにゃんWITH,株式会社夢京橋,¥240,,2018-10-21,17660,https://itunes.apple.com/JP/app/id1438697634
JP,PAID,IOS,2019,2,M,13,+10,,Travel,全国お城マップ,A&O,¥360,,2014-04-17,17387,https://itunes.apple.com/JP/app/id830257181
JP,PAID,IOS,2019,2,M,14,+12,,Travel,仙台地図さんぽ,Stroly Inc.,¥240,,2012-09-20,17131,https://itunes.apple.com/JP/app/id560439202
