"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","旅行英会話 - Help me Travel","バイリンガール","¥1,100","","2018-09-27","228621","https://itunes.apple.com/JP/app/id1432582444"
"2","+1","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","¥610","","2012-10-08","189998","https://itunes.apple.com/JP/app/id563910324"
"3","-1","Travel","LiveATC Air Radio","LiveATC.net","¥490","","2009-06-09","125391","https://itunes.apple.com/JP/app/id317809458"
"4","+2","Travel","3レター特訓","Sohta Itoh","¥120","","2015-03-18","58898","https://itunes.apple.com/JP/app/id965849712"
"5","-","Travel","PeakFinder AR","Fabio Soldati","¥610","","2010-03-12","56970","https://itunes.apple.com/JP/app/id357421934"
"6","+1","Travel","フライトレーダー24 飛行機 トラッカー Pro radar","Stewart Swatton","¥610","","2015-04-03","32586","https://itunes.apple.com/JP/app/id933997029"
"7","+3","Travel","英会話「ネイティブ1000人と作った英会話～旅行英会話編～」","Yasunori Numakoshi","¥860","","2016-12-15","26804","https://itunes.apple.com/JP/app/id1172442916"
"8","+1","Travel","ことりっぷ 会話帖 Pro ～海外旅行会話&翻訳～","Shobunsha Publications, Inc.","¥150","イタリア語コンテンツ一式 : ¥370 / フランス語コンテンツ一式 : ¥370 / 中国語コンテンツ一式 : ¥370","2012-12-16","25724","https://itunes.apple.com/JP/app/id582950720"
"9","+13","Travel","世界の霧","Ollix","¥1,840","","2012-09-18","25119","https://itunes.apple.com/JP/app/id505367096"
"10","+5","Travel","持ち歩き！ひとこと中国語会話６００","株式会社イーチャイナ","¥120","","2010-04-12","23846","https://itunes.apple.com/JP/app/id366782456"
"11","+42","Travel","仙台地図さんぽ","Stroly Inc.","¥250","","2012-09-20","23764","https://itunes.apple.com/JP/app/id560439202"
"12","+63","Travel","フライトレーダー 飛行機 トラッカー flight 24 P","Stewart Swatton","¥610","","2012-05-22","22675","https://itunes.apple.com/JP/app/id525956148"
"13","-5","Travel","eCurrency -  通貨のコンバーター","Hendrik Holtmann","¥150","","2009-04-08","21392","https://itunes.apple.com/JP/app/id310516332"
"14","+4","Travel","全国日帰り温泉マップ","A&O","¥490","","2011-12-13","18882","https://itunes.apple.com/JP/app/id488097290"
"15","+65","Travel","指さし会話フィリピン　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2011-02-21","18383","https://itunes.apple.com/JP/app/id420849837"
"16","+3","Travel","指さし会話アメリカ touch&talk 【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-08-05","17780","https://itunes.apple.com/JP/app/id385243155"
"17","-5","Travel","HappyCow Find Vegan Food","HappyCow","¥490","","2011-05-11","17718","https://itunes.apple.com/JP/app/id435871950"
"18","-2","Travel","全国車中泊マップ","A&O","¥370","","2012-12-10","17604","https://itunes.apple.com/JP/app/id581240751"
"19","+5","Travel","らくらく通貨・単位換算","ロゴヴィスタ株式会社","¥250","","2009-08-15","16233","https://itunes.apple.com/JP/app/id326132180"
"20","+8","Travel","指さし会話韓国　touch＆talk【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-05-05","15409","https://itunes.apple.com/JP/app/id370522805"
"21","+26","Travel","全国オートキャンプ場マップ","A&O","¥370","","2012-05-09","14972","https://itunes.apple.com/JP/app/id524303955"
"22","+9","Travel","パリの地下鉄 乗換案内","Presselite","¥120","","2017-10-14","14676","https://itunes.apple.com/JP/app/id297404959"
"23","+11","Travel","指さし会話台湾　touch＆talk【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","指さし会話 台湾×夜市 : ￦4,900 / 【音声なし】食べる指さし会話台湾 : ￦4,900 / 旅に役立つ 台湾華語単語集 : ￦1,200","2010-10-13","14001","https://itunes.apple.com/JP/app/id396417278"
"24","+9","Travel","都道府県制覇プラス","Sohta Itoh","¥120","","2018-10-11","13468","https://itunes.apple.com/JP/app/id1438523622"
"25","+13","Travel","指さし会話中国　touch＆talk【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-04-05","13394","https://itunes.apple.com/JP/app/id365214752"
"26","-3","Travel","Babelshot (フォト 翻訳家)","Codium Labs LLC","¥730","","2016-02-20","12829","https://itunes.apple.com/JP/app/id334194705"
"27","+27","Travel","指さし会話ベトナム　touch＆talk 【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","旅に役立つ ベトナム語単語集 : ¥120 / 指さし会話 ベトナム×ハノイ 36通りグルメ : ¥490 / 【音声なし】食べる指さし会話ベトナム : ¥490","2010-12-28","12456","https://itunes.apple.com/JP/app/id411835605"
"28","+13","Travel","らく旅 英語","Brain","¥370","","2017-05-21","12320","https://itunes.apple.com/JP/app/id320222256"
"29","+14","Travel","指さし会話フランス　touch&talk【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","【音声なし】指さし会話スイス : ¥490 / 指さし会話 パリ×スイーツ : ¥490 / 旅に役立つ フランス語単語集 : ¥120","2010-10-10","11842","https://itunes.apple.com/JP/app/id395902811"
"30","+10","Travel","指さし会話タイ　touch&talk 【PV】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-10-13","11668","https://itunes.apple.com/JP/app/id396417946"
"31","+25","Travel","The Flight Tracker Pro","International Airport Flight Track Technologies","¥860","","2012-04-22","11064","https://itunes.apple.com/JP/app/id499826209"
"32","+10","Travel","巡礼Go","Toraiwax","¥610","","2010-07-12","10940","https://itunes.apple.com/JP/app/id380354577"
"33","+29","Travel","世界時計 (News Clocks)","National Spork LLC","¥120","","2010-06-17","10738","https://itunes.apple.com/JP/app/id374367975"
"34","-2","Travel","Plane Finder - Flight Tracker","pinkfroot limited","¥610","","2009-11-03","10693","https://itunes.apple.com/JP/app/id336477530"
"35","+15","Travel","CityMaps2Go Pro  Offline Maps","Ulmon GmbH","¥1,480","","2009-09-02","10167","https://itunes.apple.com/JP/app/id327783342"
"36","+15","Travel","ぽちっと東国の城 - 復元イラストで戦国時代へトリップ","PowerMedia Inc.","¥370","","2016-12-12","10050","https://itunes.apple.com/JP/app/id1183709172"
"37","-1","Travel","指さし会話スペイン　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-12-28","9843","https://itunes.apple.com/JP/app/id411843489"
"38","+72","Travel","航旅纵横PRO-官方航班动态、手机值机、机票","China Travelsky Technology Limited","¥120","","2013-12-18","9570","https://itunes.apple.com/JP/app/id768160271"
"39","-18","Travel","時差プラス","NagisaWorks, K.K.","¥120","","2013-07-03","9560","https://itunes.apple.com/JP/app/id657705793"
"40","-15","Travel","WikiCamps Australia","WikiCamps pty ltd","¥610","","2012-03-01","9520","https://itunes.apple.com/JP/app/id505365608"
"41","+11","Travel","指さし会話イタリア　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-10-08","9398","https://itunes.apple.com/JP/app/id395442677"
"42","+43","Travel","TS１０ヶ国語会話翻訳機","TIME SPACE SYSTEM Co.,Ltd","¥1,220","","2011-01-27","9272","https://itunes.apple.com/JP/app/id415832231"
"43","+44","Travel","西国三十三観音霊場マップ","A&O","¥250","","2012-11-21","9236","https://itunes.apple.com/JP/app/id579205508"
"44","+95","Travel","GPS Status & Toolbox","MobiWIA Kft.","¥370","","2017-02-17","8921","https://itunes.apple.com/JP/app/id1198499960"
"45","-6","Travel","初めてのタイ","Matsuhouse9999","¥610","","2014-03-02","8682","https://itunes.apple.com/JP/app/id386127632"
"46","-17","Travel","ポケットマップ Pro","Huirong Li","¥250","","2014-09-09","8644","https://itunes.apple.com/JP/app/id910570079"
"47","+56","Travel","追っかけ韓国語 韓ペン ～Kanpen～","SWEET ROOM CO.,LTD.","¥490","","2012-08-10","8437","https://itunes.apple.com/JP/app/id548592536"
"48","+7","Travel","指さし会話インドネシア　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-12-09","8408","https://itunes.apple.com/JP/app/id406490782"
"49","+14","Travel","クメール語辞書　-　翻訳機能・学習機能・音声機能","Empower Tech Pte Ltd","¥250","","2014-01-05","8166","https://itunes.apple.com/JP/app/id787077482"
"50","+9","Travel","全国お城マップ","A&O","¥370","","2014-04-17","7996","https://itunes.apple.com/JP/app/id830257181"
"51","+15","Travel","らく旅 フランス語","Brain","¥370","","2017-05-21","7621","https://itunes.apple.com/JP/app/id416979419"
"52","+27","Travel","地図ツール","MilkNoPapa","¥250","","2019-04-10","7610","https://itunes.apple.com/JP/app/id1459360961"
"53","+14","Travel","Offline Pages","Codium Labs LLC","¥610","","2010-04-01","7437","https://itunes.apple.com/JP/app/id364859644"
"54","+18","Travel","フラッシュライト - 開発: Winkpass","Winkpass Creations, Inc.","¥120","","2010-07-07","7265","https://itunes.apple.com/JP/app/id375524587"
"55","+106","Travel","日本羽田空港 フライト情報","LAU, DUSTIN","¥250","","2011-04-08","7150","https://itunes.apple.com/JP/app/id430313008"
"56","+17","Travel","Packing Pro","Quinn Genzel","¥370","","2009-04-16","7092","https://itunes.apple.com/JP/app/id312266675"
"57","+17","Travel","Packing (+TO DO!)","Quinn Genzel","¥120","","2008-10-27","6842","https://itunes.apple.com/JP/app/id294710480"
"58","+19","Travel","指さし会話香港　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2010-11-30","6684","https://itunes.apple.com/JP/app/id405235306"
"59","+19","Travel","指さし会話ドイツ　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2014-09-13","6542","https://itunes.apple.com/JP/app/id394361164"
"60","+158","Travel","タイ語 ひとり歩きの会話集【JTB】","Keisokugiken Corporation","¥1,100","","2014-11-17","6418","https://itunes.apple.com/JP/app/id934286645"
"61","+20","Travel","パリ 旅行ガイド","cityscouter GmbH","¥370","","2010-06-17","6322","https://itunes.apple.com/JP/app/id375664105"
"62","+21","Travel","らく旅 中国語","Brain","¥370","","2017-05-21","6194","https://itunes.apple.com/JP/app/id321202112"
"63","+58","Travel","全国五つ星の手みやげ","Ea, Inc.","¥980","","2010-11-18","6154","https://itunes.apple.com/JP/app/id404137742"
"64","-47","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","¥490","","2009-03-26","6070","https://itunes.apple.com/JP/app/id294730339"
"65","+23","Travel","TS２ヶ国語会話翻訳機","TIME SPACE SYSTEM Co.,Ltd","¥610","","2011-03-18","5811","https://itunes.apple.com/JP/app/id425584085"
"66","+25","Travel","タガログ語 会話集","Enfour, Inc.","¥610","","2009-07-12","5638","https://itunes.apple.com/JP/app/id317436110"
"67","+25","Travel","しゃべる通貨換算アプリ YUBISASHI Exchange","YUBISASHI (Joho Center Publishing CO,Ltd)","¥120","","2013-12-09","5534","https://itunes.apple.com/JP/app/id768614808"
"68","+25","Travel","旅の英会話 by ロバート・ハリス","Ea, Inc.","¥1,340","","2012-07-18","5439","https://itunes.apple.com/JP/app/id541055237"
"69","-9","Travel","gothere.sg","gothere.sg","¥490","","2010-08-05","5346","https://itunes.apple.com/JP/app/id348131804"
"70","+24","Travel","トラベル・リスト","Leonardo Nakashima","¥250","","2010-01-04","5249","https://itunes.apple.com/JP/app/id348737462"
"71","-2","Travel","AirPano City Book","CONCEPT360 GmbH","¥120","","2017-03-15","5138","https://itunes.apple.com/JP/app/id1142577996"
"72","+88","Travel","指さし会話 タイ語版－日本 touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","¥370","","2015-07-07","5057","https://itunes.apple.com/JP/app/id1008071299"
"73","-8","Travel","Plane Finder 3D","pinkfroot limited","¥610","","2017-10-02","5018","https://itunes.apple.com/JP/app/id1286867331"
"74","+24","Travel","WiFi Map Pro - WiFi Everywhere","WiFi Map LLC","¥610","","2012-07-26","5000","https://itunes.apple.com/JP/app/id543032054"
"75","+11","Travel","Azul - Video Player for iPhone","Kathleen Gallagher Mody","¥250","","2010-12-10","4864","https://itunes.apple.com/JP/app/id406845187"
"76","+23","Travel","指さし会話ロシア　touch＆talk　【personal version】","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2011-02-02","4863","https://itunes.apple.com/JP/app/id417359612"
"77","+23","Travel","ロンドン 旅行ガイド","cityscouter GmbH","¥370","","2010-08-28","4777","https://itunes.apple.com/JP/app/id388463936"
"78","-32","Travel","全国神社マップ","A&O","¥370","","2012-05-09","4714","https://itunes.apple.com/JP/app/id524303294"
"79","+73","Travel","五つ星の手みやげ-関東版","Ea, Inc.","¥120","","2010-11-18","4647","https://itunes.apple.com/JP/app/id403982154"
"80","+84","Travel","イタリア語辞書　-　翻訳機能・学習機能・音声機能","Empower Tech Pte Ltd","¥250","","2012-10-04","4603","https://itunes.apple.com/JP/app/id565938968"
"81","+21","Travel","NYArtBeat","Art Beat inc","¥250","","2010-02-12","4585","https://itunes.apple.com/JP/app/id354569809"
"82","+24","Travel","Airline Flight Status Tracker","Ildar Khanov","¥610","","2012-04-24","4499","https://itunes.apple.com/JP/app/id519200450"
"83","-46","Travel","ひこにゃんWITH","株式会社夢京橋","¥250","","2018-10-21","4434","https://itunes.apple.com/JP/app/id1438697634"
"84","+23","Travel","AllSubway","carmat","¥120","","2008-12-05","4432","https://itunes.apple.com/JP/app/id299081353"
"85","-50","Travel","OBD Fusion","OCTech, LLC","¥1,220","","2013-06-01","4410","https://itunes.apple.com/JP/app/id650684932"
"86","new","Travel","ウィーン音楽史跡マップ","TSUTOMU CHUUJO","¥120","","2017-04-18","4409","https://itunes.apple.com/JP/app/id1227214975"
"87","+22","Travel","らく旅 ドイツ語","Brain","¥370","","2017-05-21","4341","https://itunes.apple.com/JP/app/id416976827"
"88","+9","Travel","北の大地をめぐる旅","Hirataka Saito","¥610","","2020-03-02","4341","https://itunes.apple.com/JP/app/id1039622884"
"89","+22","Travel","ICOON  グローバル図解辞書","AMBERPRESS","¥120","","2008-12-06","4214","https://itunes.apple.com/JP/app/id294236771"
"90","+22","Travel","シンガポール 旅行ガイド","cityscouter GmbH","¥370","","2010-08-28","4143","https://itunes.apple.com/JP/app/id388487233"
"91","-33","Travel","緊急通報","AppsFab AS","¥370","","2011-02-16","4118","https://itunes.apple.com/JP/app/id416442703"
"92","+21","Travel","らく旅 イタリア語","Brain","¥370","","2017-05-21","4050","https://itunes.apple.com/JP/app/id416974453"
"93","-23","Travel","ベトナム語辞書　-　翻訳機能・学習機能・音声機能","Empower Tech Pte Ltd","¥250","","2013-11-22","3970","https://itunes.apple.com/JP/app/id757759447"
"94","+22","Travel","ジオアート","Stroly Inc.","¥370","","2011-04-01","3903","https://itunes.apple.com/JP/app/id426626063"
"95","new","Travel","mccPilotCal","MCC bvba","¥370","","2015-08-11","3885","https://itunes.apple.com/JP/app/id434265036"
"96","-70","Travel","XE Pro 通貨換算ツール＆為替レート計算機","XE.com Inc.","¥250","","2020-05-16","3851","https://itunes.apple.com/JP/app/id598967192"
"97","+20","Travel","Airport Pro-フライト追跡","Renji Mathew","¥120","","2012-12-13","3804","https://itunes.apple.com/JP/app/id584620730"
"98","+21","Travel","バンコク 旅行ガイド","cityscouter GmbH","¥370","","2010-11-06","3757","https://itunes.apple.com/JP/app/id398898353"
"99","+21","Travel","iRail European Rail Timetables","John Holdsworth","¥370","","2008-11-28","3710","https://itunes.apple.com/JP/app/id297701447"
"100","new","Travel","フライト状況そして情報 飛行機 トラッカー flight P","Stewart Swatton","¥730","","2013-11-11","3670","https://itunes.apple.com/JP/app/id727297302"
"101","+21","Travel","Flight Update Pro","Silverware Software, LLC","¥730","","2009-05-30","3631","https://itunes.apple.com/JP/app/id317703490"
"102","+23","Travel","Postale","Brian Smith","¥120","","2011-06-17","3572","https://itunes.apple.com/JP/app/id436737730"
"103","+23","Travel","ローマ 旅行ガイド","cityscouter GmbH","¥370","","2010-06-16","3532","https://itunes.apple.com/JP/app/id376694253"
"104","new","Travel","Tide Table Chart","AppMosaic.com","¥490","","2020-06-05","3515","https://itunes.apple.com/JP/app/id995895082"
"105","-48","Travel","飞常准Pro-全球航班查询机票酒店预订","FEEYO.COM E-COMMERCE CORP.","¥120","","2011-10-05","3500","https://itunes.apple.com/JP/app/id469338840"
"106","+2","Travel","Visited Japan Map","Li Chenhui","¥120","","2013-12-20","3464","https://itunes.apple.com/JP/app/id781524261"
"107","+20","Travel","ニューヨーク 旅行ガイド","cityscouter GmbH","¥370","","2010-08-28","3452","https://itunes.apple.com/JP/app/id388483817"
"108","new","Travel","札幌市営地下鉄","LASZLO FACZAN","¥120","","2017-03-19","3444","https://itunes.apple.com/JP/app/id870666716"
"109","+19","Travel","指さし会話 英語－日本 touch&talk","YUBISASHI (Joho Center Publishing CO,Ltd)","¥860","","2009-10-22","3410","https://itunes.apple.com/JP/app/id334829764"
"110","+19","Travel","TS東南アジア会話翻訳機","TIME SPACE SYSTEM Co.,Ltd","¥860","","2011-03-18","3373","https://itunes.apple.com/JP/app/id425597897"
"111","+19","Travel","香港 旅行ガイド","cityscouter GmbH","¥370","","2010-09-08","3326","https://itunes.apple.com/JP/app/id388488125"
"112","+19","Travel","フランス語辞書　-　翻訳機能・学習機能・音声機能","Empower Tech Pte Ltd","¥250","","2012-09-25","3283","https://itunes.apple.com/JP/app/id562199521"
"113","+19","Travel","ウィーン 旅行ガイド","cityscouter GmbH","¥370","","2010-08-28","3246","https://itunes.apple.com/JP/app/id388488613"
"114","+19","Travel","らく旅 韓国語","Brain","¥370","","2017-05-21","3211","https://itunes.apple.com/JP/app/id416966267"
