"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Finance","우리은행 우리WON뱅킹","WooriBank","0.0","","2020-07-14","227787","https://play.google.com/store/apps/details?id=com.wooribank.smart.npib"
"2","+65","Productivity","Samsung Notes","Samsung Electronics Co.,  Ltd.","0.0","","2019-12-24","144333","https://play.google.com/store/apps/details?id=com.samsung.android.app.notes"
"3","+4","Shopping","Wish - 쇼핑은 즐겁다","Wish Inc.","0.0","","2020-07-14","92725","https://play.google.com/store/apps/details?id=com.contextlogic.wish"
"4","-2","Finance","토스","Viva Republica","0.0","","2020-07-15","59457","https://play.google.com/store/apps/details?id=viva.republica.toss"
"5","-","Entertainment","wavve(웨이브) - 재미의 파도를 타다!","wavve","0.0","","2020-07-09","56250","https://play.google.com/store/apps/details?id=kr.co.captv.pooqV2"
"6","-","Shopping","당근마켓 - 우리 동네 중고 직거래 벼룩장터","Danggeun Market Inc.","0.0","","2020-07-13","51138","https://play.google.com/store/apps/details?id=com.towneers.www"
"7","-4","Social","Instagram","Instagram","0.0","항목당 ₩1,300 - ₩6,900","2020-07-13","47293","https://play.google.com/store/apps/details?id=com.instagram.android"
"8","+27","Photography","SNOW 스노우","SNOW, Inc.","0.0","","2020-07-04","38686","https://play.google.com/store/apps/details?id=com.campmobile.snow"
"9","-","Books & Reference","네이버 - NAVER","NAVER Corp.","0.0","","2020-07-06","34622","https://play.google.com/store/apps/details?id=com.nhn.android.search"
"10","+10","Travel & Local","카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 )","Kakao Corp.","0.0","","2020-07-13","32820","https://play.google.com/store/apps/details?id=net.daum.android.map"
"11","-1","Tools","Samsung Smart Switch Mobile","Samsung Electronics Co.,  Ltd.","0.0","","2020-06-05","30937","https://play.google.com/store/apps/details?id=com.sec.android.easyMover"
"12","+14","Social","밴드","NAVER Corp.","0.0","항목당 ₩1,800 - ₩53,636","2020-07-15","28373","https://play.google.com/store/apps/details?id=com.nhn.android.band"
"13","-5","Communication","카카오톡 KakaoTalk","Kakao Corporation","0.0","항목당 ₩1,000 - ₩90,909","2020-06-30","25288","https://play.google.com/store/apps/details?id=com.kakao.talk"
"14","-2","Travel & Local","네이버 지도, 내비게이션","NAVER Corp.","0.0","","2020-05-27","23365","https://play.google.com/store/apps/details?id=com.nhn.android.nmap"
"15","+1","Shopping","쿠팡 (Coupang)","쿠팡","0.0","","2020-07-09","23026","https://play.google.com/store/apps/details?id=com.coupang.mobile"
"16","-2","Tools","V3 Mobile Plus","AhnLab Inc.","0.0","","2020-07-08","22969","https://play.google.com/store/apps/details?id=com.ahnlab.v3mobileplus"
"17","-2","Food & Drink","배달의민족","WoowaBrothers","0.0","","2020-07-13","22767","https://play.google.com/store/apps/details?id=com.sampleapp"
"18","-5","Food & Drink","배달요기요","DeliveryHero Korea","0.0","","2020-07-11","22572","https://play.google.com/store/apps/details?id=com.fineapp.yogiyo"
"19","+35","Finance","KB국민은행 스타뱅킹","KB국민은행","0.0","","2020-06-18","22425","https://play.google.com/store/apps/details?id=com.kbstar.kbbank"
"20","-9","Finance","NH스마트뱅킹","농협BANK","0.0","","2020-07-03","17165","https://play.google.com/store/apps/details?id=nh.smart.banking"
"21","-","Entertainment","Netflix(넷플릭스)","Netflix, Inc.","0.0","항목당 ₩8,600 - ₩14,788","2020-07-13","16859","https://play.google.com/store/apps/details?id=com.netflix.mediaclient"
"22","-18","Productivity","사용자 휴대폰 도우미 - Windows와 연결","Microsoft Corporation","0.0","","2020-07-09","16664","https://play.google.com/store/apps/details?id=com.microsoft.appmanager"
"23","new","Entertainment","팝콘티비 – 세상의 모든 콘텐츠, POPKONTV","Bae Joohyun","0.0","","2019-10-31","16228","https://play.google.com/store/apps/details?id=com.social.media.pop.c"
"24","-7","Maps & Navigations","카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크","Kakao Mobility Corp.","0.0","","2020-07-13","15966","https://play.google.com/store/apps/details?id=com.kakao.taxi"
"25","+56","Music & Audio","NAVER VIBE (바이브)","NAVER Corp.","0.0","","2020-06-29","15658","https://play.google.com/store/apps/details?id=com.naver.vibe"
"26","+22","Shopping","에이블리 - 셀럽마켓 모음앱","ably","0.0","","2020-07-13","13855","https://play.google.com/store/apps/details?id=com.banhala.android"
"27","-8","Maps & Navigations","T map - 내비게이션 / 지도","SK telecom Inc.","0.0","","2020-06-25","12724","https://play.google.com/store/apps/details?id=com.skt.tmap.ku"
"28","-6","Lifestyle","Bill Letter","SKTelecom","0.0","","2020-07-02","10957","https://play.google.com/store/apps/details?id=com.skt.smartbill"
"29","-4","Travel & Local","SRT - 수서고속철도(NEW)","㈜SR - 새로운 고속열차 SRT","0.0","","2019-07-17","10740","https://play.google.com/store/apps/details?id=kr.co.srail.newapp"
"30","+4","Maps & Navigations","카카오내비","Kakao Mobility Corp.","0.0","","2020-07-14","10395","https://play.google.com/store/apps/details?id=com.locnall.KimGiSa"
"31","new","Video Players & Editors","SBS - 온에어, VOD 7만편 무료","SBS I&M Co., Ltd.","0.0","","2020-06-02","10079","https://play.google.com/store/apps/details?id=kr.co.sbs.videoplayer"
"32","-1","Travel & Local","코레일톡","KORAIL","0.0","","2020-07-01","10030","https://play.google.com/store/apps/details?id=com.korail.talk"
"33","+7","Business","모바일 관세청","관세청 (4세대 국가관세종합정보망)","0.0","","2020-07-13","9929","https://play.google.com/store/apps/details?id=kr.go.kcs.mobile.pubservice"
"34","+13","Finance","ISP/페이북","VP Inc","0.0","","2020-07-13","9760","https://play.google.com/store/apps/details?id=kvp.jjy.MispAndroid320"
"35","-2","Tools","네이버 파파고 - AI 통번역","NAVER Corp.","0.0","","2020-06-08","9372","https://play.google.com/store/apps/details?id=com.naver.labs.translator"
"36","-13","Social","Facebook","Facebook","0.0","항목당 ₩1,200 - ₩450,000","2020-07-14","9176","https://play.google.com/store/apps/details?id=com.facebook.katana"
"37","+18","Entertainment","Bigfoot: 수많은 게임들을 지원하는 게임 어시스턴트 앱","Oz Interactive","0.0","항목당 ₩6,500 - ₩80,000","2020-05-13","8494","https://play.google.com/store/apps/details?id=us.ozteam.bigfoot"
"38","new","Finance","NH콕뱅크","농협BANK","0.0","","2020-03-19","8100","https://play.google.com/store/apps/details?id=nh.smart.nhcok"
"39","+20","House & Home","오늘의집 - 1000만이 선택한 No.1 인테리어 필수앱","Bucketplace Inc.","0.0","","2020-07-14","7520","https://play.google.com/store/apps/details?id=net.bucketplace"
"40","+2","Shopping","롯데홈쇼핑","Lotte Homeshopping","0.0","","2020-07-08","7190","https://play.google.com/store/apps/details?id=com.omnitel.android.lottewebview"
