"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Role Playing","리니지M","NCSOFT","0.0","항목당 ₩1,200 - ₩120,000","2020-07-10","320000","https://play.google.com/store/apps/details?id=com.ncsoft.lineagem19"
"2","-","Role Playing","블레이드&소울 레볼루션","Netmarble","0.0","항목당 ₩1,200 - ₩119,000","2020-06-25","142578","https://play.google.com/store/apps/details?id=com.netmarble.bnsmkr"
"3","+2","Action","브롤스타즈","Supercell","0.0","항목당 ₩1,200 - ₩119,000","2020-07-08","75643","https://play.google.com/store/apps/details?id=com.supercell.brawlstars"
"4","-1","Role Playing","검은사막 모바일","PEARL ABYSS","0.0","항목당 ₩1,100 - ₩110,000","2020-07-07","74600","https://play.google.com/store/apps/details?id=com.pearlabyss.blackdesertm"
"5","new","Action","킹 오브 파이터 올스타","Netmarble","0.0","항목당 ₩1,200 - ₩119,000","2020-06-04","71635","https://play.google.com/store/apps/details?id=com.netmarble.kofkr"
"6","-2","Role Playing","리니지2 레볼루션","Netmarble","0.0","항목당 ₩1,100 - ₩225,000","2020-05-08","70895","https://play.google.com/store/apps/details?id=com.netmarble.lineageII"
"7","-","Role Playing","트라하","NEXON Company","0.0","항목당 ₩1,100 - ₩110,000","2020-06-22","38552","https://play.google.com/store/apps/details?id=com.nexon.traha"
"8","+8","Sports","FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","0.0","항목당 ₩999 - ₩100,000","2020-06-19","35671","https://play.google.com/store/apps/details?id=com.nexon.fo4m"
"9","-1","Communication","카카오톡 KakaoTalk","Kakao Corporation","0.0","항목당 ₩1,000 - ₩90,909","2020-06-30","35169","https://play.google.com/store/apps/details?id=com.kakao.talk"
"10","+2","Casino","피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","0.0","항목당 ₩1,200 - ₩99,000","2020-06-02","29632","https://play.google.com/store/apps/details?id=com.neowiz.games.poker"
