Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,AND,2019,11,M,1,-,,Communication,카카오톡 KakaoTalk,Kakao Corporation,0.0,"항목당 ₩1,000 - ₩90,909",2020-06-30,310000,https://play.google.com/store/apps/details?id=com.kakao.talk
KR,GROSS,AND,2019,11,M,2,-,,Social,위피 - 동네 친구가 필요할 때,NRISE,0.0,"항목당 ₩3,900 - ₩150,000",2020-07-10,141076,https://play.google.com/store/apps/details?id=net.nrise.wippy
KR,GROSS,AND,2019,11,M,3,-,,Entertainment,왓챠,Watcha Inc.,0.0,"항목당 ₩1,000 - ₩80,900",2020-07-14,89222,https://play.google.com/store/apps/details?id=com.frograms.wplay
KR,GROSS,AND,2019,11,M,4,+3,,Communication,아자르 Azar - 새 친구로 일상을 새로고침,Hyperconnect inc,0.0,"항목당 ₩1,100 - ₩450,000",2020-07-08,65440,https://play.google.com/store/apps/details?id=com.azarlive.android
KR,GROSS,AND,2019,11,M,5,-,,Social,심쿵 - 여사친 남사친 동네친구 만들기,Colondee,0.0,"항목당 ₩3,300 - ₩379,500",2020-07-06,65403,https://play.google.com/store/apps/details?id=com.colondee.simkoong3
KR,GROSS,AND,2019,11,M,6,+2,,Entertainment,하쿠나 라이브 -  Live 방송,MOVEFAST Company,0.0,"항목당 ₩1,100 - ₩279,000",2020-07-08,64454,https://play.google.com/store/apps/details?id=com.movefastcompany.bora
KR,GROSS,AND,2019,11,M,7,-1,,Social,정오의데이트 소개팅 - 동네친구와 톡 하고 싶을때,Mozzet Co.Ltd.,0.0,"항목당 ₩1,100 - ₩160,490",2020-07-07,48874,https://play.google.com/store/apps/details?id=com.NoonDate
KR,GROSS,AND,2019,11,M,8,+2,,Entertainment,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청","Twitch Interactive, Inc.",0.0,"항목당 ₩2,300 - ₩375,000",2020-07-09,37378,https://play.google.com/store/apps/details?id=tv.twitch.android.app
KR,GROSS,AND,2019,11,M,9,-,,Productivity,Google One,Google LLC,0.0,"항목당 ₩1,200 - ₩178,500",2020-07-13,36048,https://play.google.com/store/apps/details?id=com.google.android.apps.subscriptions.red
KR,GROSS,AND,2019,11,M,10,+3,,Social,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",BIGO TECHNOLOGY PTE. LTD.,0.0,"항목당 ₩1,000 - ₩450,000",2020-07-07,32290,https://play.google.com/store/apps/details?id=sg.bigo.live
KR,GROSS,AND,2019,11,M,11,+1,,Dating,글램 - 모든 매력적인 만남,Cupist Inc.,0.0,"항목당 ₩5,900 - ₩109,000",2020-07-13,29178,https://play.google.com/store/apps/details?id=com.charmy.cupist
KR,GROSS,AND,2019,11,M,12,-1,,Dating,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,에이치소사이어티,0.0,"항목당 ₩4,300 - ₩156,800",2020-07-14,25600,https://play.google.com/store/apps/details?id=app.hybirds.skypeople
KR,GROSS,AND,2019,11,M,13,-9,,Entertainment,V LIVE,NAVER Corp.,0.0,"항목당 ₩1,100 - ₩52,800",2020-07-15,25341,https://play.google.com/store/apps/details?id=com.naver.vapp
