"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Arcade","Minecraft","Mojang","₩8,429","항목당 ₩999 - ₩60,000","2020-06-29","320000","https://play.google.com/store/apps/details?id=com.mojang.minecraftpe"
"2","+1","Role Playing","에버테일","ZigZaGame Inc.","₩999","항목당 ₩1,200 - ₩99,000","2020-07-02","104445","https://play.google.com/store/apps/details?id=com.zigzagame.evertale"
"3","+2","Music","A Dance Of Fire and Ice","7th Beat Games","₩2,200","","2020-06-27","81459","https://play.google.com/store/apps/details?id=com.fizzd.connectedworlds"
"4","-2","Sports","Football Manager 2019 Mobile","SEGA","₩11,000","$0.99 - $14.99 per item","2019-07-31","56126","https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile"
"5","+15","Role Playing","던전공주","SSICOSM","₩999","항목당 ₩1,000 - ₩29,000","2019-07-23","46479","https://play.google.com/store/apps/details?id=com.ssicosm.dungeon_princess"
"6","+41","Simulation","This War of Mine","11 bit studios","₩15,000","항목당 ₩3,700","2020-06-05","41761","https://play.google.com/store/apps/details?id=com.elevenbitstudios.twommobile"
"7","new","Adventure","서울 2033 : 유시진","반지하게임즈","₩3,900","","2019-08-10","41299","https://play.google.com/store/apps/details?id=com.banjihagames.seoul2033_zero"
"8","+7","Card","Pirates Outlaws","Fabled Game","₩1,300","항목당 ₩1,100 - ₩12,000","2020-07-14","41134","https://play.google.com/store/apps/details?id=com.piratesoutlaws.fabledgame"
"9","+2","Strategy","카툰 크래프트","Studio NAP","₩999","항목당 ₩999 - ₩110,000","2020-06-30","37423","https://play.google.com/store/apps/details?id=com.magmon.cartooncraft"
"10","-3","Arcade","Geometry Dash","RobTop Games","₩2,100","","2017-11-15","32977","https://play.google.com/store/apps/details?id=com.robtopx.geometryjump"
"11","-5","Puzzle","Human: Fall Flat","505 Games Srl","₩7,900","","2020-05-06","32099","https://play.google.com/store/apps/details?id=com.and.games505.humanfallflat"
"12","+14","Adventure","서울 2033 : 후원자","반지하게임즈","₩3,900","항목당 ₩1,300 - ₩38,000","2020-05-11","31781","https://play.google.com/store/apps/details?id=com.banjihagames.seoul2033_backer"
"13","-4","Photography","SOVS 소브스 - 구도 카메라","SOVS Co., Ltd.","₩1,200","","2020-01-16","28990","https://play.google.com/store/apps/details?id=me.sovs.sovs"
"14","new","Action","15 Slimes : Defence","SSICOSM","₩999","₩1,000 - ₩110,000 per item","2019-07-30","27594","https://play.google.com/store/apps/details?id=com.ssicosm.slime_great_war_pay"
"15","+25","Adventure","60 Seconds! Atomic Adventure","Robot Gentleman","₩4,700","","2020-05-05","25417","https://play.google.com/store/apps/details?id=com.robotgentleman.game60seconds"
"16","-3","Productivity","유니콘:광고차단 필수 앱","Unicorn Soft, Inc.","₩2,200","","2020-04-18","24798","https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn"
"17","+206","Action","Titan Quest","HandyGames","₩9,900","","2020-03-05","24686","https://play.google.com/store/apps/details?id=com.dotemu.titanquest"
"18","new","Role Playing","스타듀 밸리 Stardew Valley","Chucklefish Limited","₩9,900","","2020-03-23","21262","https://play.google.com/store/apps/details?id=com.chucklefish.stardewvalley"
"19","-3","Strategy","던전메이커","GameCoaster","₩1,600","항목당 ₩3,000 - ₩55,000","2020-06-11","20458","https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker"
"20","+7","Strategy","삼국지 한말패업","ChengDu LongYou Tech","₩12,000","","2020-06-23","19194","https://play.google.com/store/apps/details?id=com.longyoug.hmby"
"21","-9","Music","Muse Dash","X.D. Network","₩3,200","항목당 ₩1,200 - ₩36,000","2020-07-10","18402","https://play.google.com/store/apps/details?id=com.prpr.musedash"
"22","-4","Simulation","미니 메트로","Dinosaur Polo Club","₩1,400","","2019-12-23","18348","https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro"
"23","+2","Books & Reference","갓피플성경","GODpeople, LTD","₩1,000","항목당 ₩3,900 - ₩8,900","2020-07-06","17464","https://play.google.com/store/apps/details?id=com.godpeople.GPBIBLE"
"24","+49","Simulation","RFS - Real Flight Simulator","RORTOS","₩1,000","항목당 ₩4,500 - ₩35,000","2020-07-07","17104","https://play.google.com/store/apps/details?id=it.rortos.realflightsimulator"
"25","-8","Role Playing","언노운 나이츠","teamarex","₩3,400","","2020-05-02","16567","https://play.google.com/store/apps/details?id=com.teamarex.troop"
"26","+2","Adventure","Terraria","505 Games Srl","₩6,500","","2020-04-28","16314","https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid"
"27","-23","Photography","@picn2k camera (피크닉 카메라)","2U","₩2,500","","2020-07-01","16166","https://play.google.com/store/apps/details?id=eyu.on.pica"
"28","+21","Puzzle","룸즈: 장난감 장인의 저택","HandMade Game","₩4,900","항목당 ₩1,000 - ₩3,000","2020-07-05","15213","https://play.google.com/store/apps/details?id=rooms.handmadegame.net"
"29","-6","Video Players & Editors","nPlayer","Newin Inc.","₩5,500","","2019-12-20","15205","https://play.google.com/store/apps/details?id=com.newin.nplayer.pro"
"30","-22","Adventure","레이튼 교수와 악마의 상자 모바일 HD 리마스터","LEVEL-5 Inc.","₩12,000","","2019-07-17","13206","https://play.google.com/store/apps/details?id=com.Level5.LT2RKR"
"31","+2","Simulation","Poly Bridge","Dry Cactus Limited","₩1,200","","2018-04-17","11837","https://play.google.com/store/apps/details?id=com.drycactus.polybridge"
"32","-8","Music","Cytus II (사이터스Ⅱ)","Rayark International Limited","₩2,500","항목당 ₩1,200 - ₩43,000","2020-06-19","11037","https://play.google.com/store/apps/details?id=com.rayark.cytus2"
"33","+3","Arcade","팔라독(Paladog)","FazeCat","₩3,000","항목당 ₩1,000 - ₩20,000","2015-11-11","9460","https://play.google.com/store/apps/details?id=com.Paladog.KorGG"
"34","-13","Strategy","도박 디펜스","NewMeta","₩1,000","","2019-05-20","9444","https://play.google.com/store/apps/details?id=com.NewMeta.GambleDefence"
"35","-3","Strategy","Age of Civilizations II","Łukasz Jakowski","₩5,500","","2018-12-20","9419","https://play.google.com/store/apps/details?id=age.of.civilizations2.jakowski.lukasz"
"36","-1","Productivity","LectureNotes","Acadoid Developer","₩8,000","","2020-05-16","8901","https://play.google.com/store/apps/details?id=com.acadoid.lecturenotes"
"37","+1","Video Players & Editors","MX 플레이어 Pro","MXP Media India (formerly J2 Interactive)","₩6,000","","2020-06-09","8769","https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro"
"38","+4","Communication","Puffin Browser Pro","CloudMosa Inc","₩6,000","","2020-06-01","8226","https://play.google.com/store/apps/details?id=com.cloudmosa.puffin"
"39","+5","Strategy","Bloons TD 6","ninja kiwi","₩6,500","항목당 ₩1,200 - ₩60,000","2020-07-07","8135","https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6"
"40","+245","Maps & Navigations","MarineTraffic ship positions","MarineTraffic","₩5,400","항목당 ₩1,300 - ₩120,000","2020-06-15","7880","https://play.google.com/store/apps/details?id=com.marinetraffic.android"
"41","new","Strategy","나이트런:홈커밍","이미지프레임","₩11,000","","2019-08-19","7707","https://play.google.com/store/apps/details?id=pier.imageframe.android.knightrunpro"
