Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,PAID,AND,2019,12,M,1,-,,Productivity,유니콘:광고차단 필수 앱,"Unicorn Soft, Inc.","₩2,200",,2020-04-18,186160,https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn
KR,PAID,AND,2019,12,M,2,+3,,Books & Reference,갓피플성경,"GODpeople, LTD","₩1,000","항목당 ₩3,900 - ₩8,900",2020-07-06,185459,https://play.google.com/store/apps/details?id=com.godpeople.GPBIBLE
KR,PAID,AND,2019,12,M,3,+19,,Personalization,Nova Launcher Prime,TeslaCoil Software,"₩5,900",,2019-01-18,93813,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime
KR,PAID,AND,2019,12,M,4,+15,,Tools,무음모드 (순정 무음카메라),GazamiSoftware,"₩1,500",,2020-05-19,77699,https://play.google.com/store/apps/details?id=com.choco.silentmode
KR,PAID,AND,2019,12,M,5,-2,,Productivity,LectureNotes,Acadoid Developer,"₩7,900",,2020-05-16,72841,https://play.google.com/store/apps/details?id=com.acadoid.lecturenotes
KR,PAID,AND,2019,12,M,6,-,,Video Players & Editors,nPlayer,Newin Inc.,"₩5,500",,2019-12-20,70206,https://play.google.com/store/apps/details?id=com.newin.nplayer.pro
KR,PAID,AND,2019,12,M,7,-5,,Photography,@picn2k camera (피크닉 카메라),2U,"₩2,500",,2020-07-01,57586,https://play.google.com/store/apps/details?id=eyu.on.pica
KR,PAID,AND,2019,12,M,8,-,,Video Players & Editors,MX 플레이어 Pro,MXP Media India (formerly J2 Interactive),"₩6,000",,2020-06-09,40907,https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro
KR,PAID,AND,2019,12,M,9,-,,Business,한컴오피스 한글,Hancom Inc.,"₩24,900",,2020-06-30,38221,https://play.google.com/store/apps/details?id=com.hancom.office.hwp.editor.hwp_apk.gplaystore
KR,PAID,AND,2019,12,M,10,+7,,Photography,무음무음 PRO,PlusTwo,"₩1,500",,2020-05-12,34155,https://play.google.com/store/apps/details?id=com.plustwo.silentcamera.pro
KR,PAID,AND,2019,12,M,11,+1,,Photography,SOVS 소브스 - 구도 카메라,"SOVS Co., Ltd.","₩1,200",,2020-01-16,29278,https://play.google.com/store/apps/details?id=me.sovs.sovs
KR,PAID,AND,2019,12,M,12,-2,,Communication,Puffin Browser Pro,CloudMosa Inc,"₩6,000",,2020-06-01,29059,https://play.google.com/store/apps/details?id=com.cloudmosa.puffin
KR,PAID,AND,2019,12,M,13,+66,,Books & Reference,Moon+ Reader Pro,Moon+,"₩3,200",,2020-05-22,28507,https://play.google.com/store/apps/details?id=com.flyersoft.moonreaderp
KR,PAID,AND,2019,12,M,14,-3,,Education,토익 PART5 종결자,HS soft,"₩1,000",,2020-01-09,24371,https://play.google.com/store/apps/details?id=com.hs.toeic5finish
KR,PAID,AND,2019,12,M,15,-11,,Medical,Human Anatomy Atlas 2021: Complete 3D Human Body,Visible Body,"₩33,000","항목당 ₩10,000 - ₩26,000",2020-03-19,23950,https://play.google.com/store/apps/details?id=com.visiblebody.atlas
KR,PAID,AND,2019,12,M,16,-2,,Video Players & Editors,µTorrent® Pro - Torrent App,"BitTorrent, Inc.","₩3,700",,2020-07-11,22294,https://play.google.com/store/apps/details?id=com.utorrent.client.pro
KR,PAID,AND,2019,12,M,17,+3,,Education,Word master 워드마스터 수능 2000(18개정),이투스북,"₩4,900",,2020-02-04,20336,https://play.google.com/store/apps/details?id=com.etoos.wordmaster.sat20002018
KR,PAID,AND,2019,12,M,18,-11,,Tools,Panda Gamepad Pro (BETA),Panda Gaming Studio,"₩2,399",,2020-02-11,19896,https://play.google.com/store/apps/details?id=com.panda.gamepad
KR,PAID,AND,2019,12,M,19,+2,,Music & Audio,Poweramp Full Version Unlocker,Max MP,"₩5,808",,2020-01-20,19829,https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock
KR,PAID,AND,2019,12,M,20,-4,,Communication,Torque Pro (OBD2 / 자동차),Ian Hawkins,"₩5,214",,2019-11-15,19648,https://play.google.com/store/apps/details?id=org.prowl.torque
KR,PAID,AND,2019,12,M,21,-6,,Music & Audio,USB Audio Player PRO,eXtream Software Development,"₩9,500","항목당 ₩2,600 - ₩5,000",2020-07-06,19634,https://play.google.com/store/apps/details?id=com.extreamsd.usbaudioplayerpro
KR,PAID,AND,2019,12,M,22,-9,,Music & Audio,AirBuds Popup - airpod battery app,Designer J,"₩1,400",,2020-01-12,15938,https://play.google.com/store/apps/details?id=kr.pe.designerj.airbudspopup
