Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,IOS,2019,5,M,1,new,,Action,킹 오브 파이터 올스타,Netmarble Corporation,0.0,"루비 40개 : ￦1,200 / 루비 160개 : ￦4,900 / 루비 320개 : ￦9,900",2019-05-08,214545,https://itunes.apple.com/KR/app/id1439768881
KR,FREE,IOS,2019,5,M,2,+69,,Finance,국세청 홈택스 [손택스],국세청,0.0,,2012-01-27,189081,https://itunes.apple.com/KR/app/id495157796
KR,FREE,IOS,2019,5,M,3,-1,,Photo & Video,SODA 소다 Natural Beauty Camera,SNOW INC.,0.0,,2018-10-20,92919,https://itunes.apple.com/KR/app/id1437880869
KR,FREE,IOS,2019,5,M,4,+14,,Board,Rummikub,Kinkajoo Ltd,0.0,"10,000 Rummikub coins : ￦3,900 / 18,350 coins : ￦5,900 / 40000 coins : ￦12,000",2019-04-10,67526,https://itunes.apple.com/KR/app/id1015322991
KR,FREE,IOS,2019,5,M,5,-4,,Puzzle,프렌즈타운,Kakao Games Corp.,0.0,"31 보석 : ￦5,900 / 329 보석 : ￦55,000 / 13 보석 : ￦2,500",2019-04-17,59823,https://itunes.apple.com/KR/app/id1435757638
KR,FREE,IOS,2019,5,M,6,new,,Kids,캐주얼 디펜스M-책략 삼국 취미 싱글게임,"ICE GAMES KOREA CO., LTD.",0.0,"60금화 구매 : ￦1,200 / 180금화 구매 : ￦3,900 / 980금화 구매 : ￦19,000",2019-04-30,57520,https://itunes.apple.com/KR/app/id1460805402
KR,FREE,IOS,2019,5,M,7,-,,Photo & Video,Ulike유라이크,Bytedance Pte. Ltd,0.0,"필터 무료제공 (기간한정) : 0 / Ulike 연간 VIP : ￦28,000 / Ulike  월정액회원 : ￦4,500",2018-07-28,50229,https://itunes.apple.com/KR/app/id1398796436
KR,FREE,IOS,2019,5,M,8,+1,,Food & Drink,배달의민족,"Woowa Bros Co.,Ltd.",0.0,,2010-06-24,45408,https://itunes.apple.com/KR/app/id378084485
KR,FREE,IOS,2019,5,M,9,+1,,Food & Drink,배달요기요,Delivery Hero Korea,0.0,,2012-08-01,29648,https://itunes.apple.com/KR/app/id543831532
KR,FREE,IOS,2019,5,M,10,+9,,Arcade,Run Race 3D,Good Job Games,0.0,"No Ads : ￦5,900 / Coin Pack (1000) : ￦2,500 / Coin Pack (3000) : ￦4,900",2019-03-24,29284,https://itunes.apple.com/KR/app/id1456492106
KR,FREE,IOS,2019,5,M,11,+47,,Lifestyle,0한동,SK Telecom,0.0,,2019-03-28,26294,https://itunes.apple.com/KR/app/id1455441179
KR,FREE,IOS,2019,5,M,12,-1,,Finance,카카오뱅크 - 같지만 다른 은행,KakaoBank Corp.,0.0,,2017-07-26,22675,https://itunes.apple.com/KR/app/id1258016944
KR,FREE,IOS,2019,5,M,13,+4,,Entertainment,Netflix,"Netflix, Inc.",0.0,"Netflix 프리미엄 : ￦14,500 / Netflix 스탠다드 : ￦12,000 / Netflix 베이식 : ￦9,500",2016-01-06,20190,https://itunes.apple.com/KR/app/id363590051
KR,FREE,IOS,2019,5,M,14,+11,,Shopping,당근마켓 - 중고거래 필수앱,Danggeun Market Inc.,0.0,,2015-07-22,20108,https://itunes.apple.com/KR/app/id1018769995
KR,FREE,IOS,2019,5,M,15,+64,,Action,Traffic Run!,Geisha Tokyo Inc.,0.0,,2019-04-05,17478,https://itunes.apple.com/KR/app/id1434400630
KR,FREE,IOS,2019,5,M,16,+13,,Role Playing,재벌 양성기 3,huanning ma,0.0,"소형 보석 가방 : ￦2,500 / 중형 보석 가방 : ￦5,900 / 대형 보석 가방 : ￦12,000",2019-07-17,14848,https://itunes.apple.com/KR/app/id1439142826
KR,FREE,IOS,2019,5,M,17,+106,,Arcade,Blast Punk,zhe zhang,0.0,"Super galaxy car : ￦1,200 / Missile Chariot : ￦2,500 / No Ads+ Super Galaxy Car * 1 : ￦4,900",2019-04-04,14752,https://itunes.apple.com/KR/app/id1449580700
KR,FREE,IOS,2019,5,M,18,+13,,Photo & Video,Instagram,"Instagram, Inc.",0.0,,2010-10-06,14719,https://itunes.apple.com/KR/app/id389801252
KR,FREE,IOS,2019,5,M,19,+14,,Photo & Video,YouTube,Google LLC,0.0,"YouTube Red : ￦11,500 / Membership : ￦11,500 / Movies & Shows : ￦1,200",2012-09-11,14338,https://itunes.apple.com/KR/app/id544007664
KR,FREE,IOS,2019,5,M,20,+120,,Puzzle,Draw it,Kwalee Ltd,0.0,"광고 제거 : ￦3,900 / 광고 제거 할인 : ￦2,500 / VIP 멤버십 : ￦6,900",2019-03-14,13372,https://itunes.apple.com/KR/app/id1451505313
KR,FREE,IOS,2019,5,M,21,+22,,Travel,SRT - 수서고속철도(NEW),"SR Co.,Ltd.",0.0,,2019-03-04,13136,https://itunes.apple.com/KR/app/id1350286957
KR,FREE,IOS,2019,5,M,22,+2,,Finance,토스,Viva Republica,0.0,,2014-03-27,12849,https://itunes.apple.com/KR/app/id839333328
KR,FREE,IOS,2019,5,M,23,+12,,Shopping,쿠팡 (Coupang),Coupang Corp.,0.0,,2011-08-11,12379,https://itunes.apple.com/KR/app/id454434967
KR,FREE,IOS,2019,5,M,24,+53,,Navigation,"네이버 지도, 내비게이션",NAVER Corp.,0.0,,2009-05-01,12328,https://itunes.apple.com/KR/app/id311867728
KR,FREE,IOS,2019,5,M,25,+26,,Social Networking,카카오톡 KakaoTalk,Kakao Corp.,0.0,"Item Ticket : ￦2,500 / 200초코 : ￦2,500 / 300초코 : ￦3,900",2010-03-17,12270,https://itunes.apple.com/KR/app/id362057947
KR,FREE,IOS,2019,5,M,26,new,,Shopping,엽기떡볶이,(주)핫시즈너,0.0,,2017-03-23,11955,https://itunes.apple.com/KR/app/id1190023113
KR,FREE,IOS,2019,5,M,27,new,,Photo & Video,NewBorder - 뉴보더 여백의 미,ThirtyFive Inc.,0.0,Video : 0,2019-04-17,11949,https://itunes.apple.com/KR/app/id1458958919
KR,FREE,IOS,2019,5,M,28,-24,,Finance,NH스마트뱅킹,농협,0.0,,2018-12-07,11732,https://itunes.apple.com/KR/app/id1444712671
