"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+4","Board","피망 뉴맞고 : 고스톱으로 대한민국 1등","NEOWIZ","0","다이아 1188개 : ￦99,000 / 다이아 380개 : ￦33,000 / 다이아 107개 : ￦9,900","2019-08-22","155667","https://itunes.apple.com/KR/app/id1458568643"
"2","+16","Finance","토스","Viva Republica","0","","2014-03-27","79565","https://itunes.apple.com/KR/app/id839333328"
"3","-1","Shopping","에이블리 - 셀럽마켓 모음앱","PaletteCo, Inc.","0","","2016-02-23","71579","https://itunes.apple.com/KR/app/id1084960428"
"4","new","Racing","Mario Kart Tour","Nintendo Co., Ltd.","0","골드 패스 : ￦6,500 / 스페셜 오퍼 : ￦25,000","2019-09-25","60000","https://itunes.apple.com/KR/app/id1293634699"
"5","new","Strategy","라이즈 오브 킹덤즈","Lilith Games","0","120 보석 패키지 : ￦1,200 / 200 보석 선물 : ￦1,200 / 250 보석 패키지 : ￦2,500","2019-09-02","58548","https://itunes.apple.com/KR/app/id1474599374"
"6","+101","Entertainment","wavve(웨이브)","Content Wavve Corp.","0","실시간TV 이용권 (모바일 전용) : ￦7,000 / 실시간TV 이용권 (모바일+PC+TV) : ￦8,500 / 실시간TV 초고화질 이용권 (모바일+PC+TV) : ￦12,000","2015-06-13","51486","https://itunes.apple.com/KR/app/id987782077"
"7","-6","Trivia","쿵야 캐치마인드","Netmarble Corporation","0","다이아01 : ￦1,200 / 다이아02 : ￦4,900 / 다이아03 : ￦9,900","2019-08-06","51286","https://itunes.apple.com/KR/app/id1334005595"
"8","+17","Board","피망 섯다","NEOWIZ","0","다이아 1188개 : ￦99,000 / 다이아 645개 : ￦55,000 / 다이아 107개 : ￦9,900","2019-08-22","42545","https://itunes.apple.com/KR/app/id1465855712"
"9","new","Sportsgame","올스타 스매시","Kakao Games Corp.","0","브론즈 패키지 : ￦9,900 / 일일 출석 패키지 : ￦5,900 / 레벨업 축하 패키지 : ￦11,000","2019-11-24","33856","https://itunes.apple.com/KR/app/id1448993055"
"10","+121","Simulation","Dart or Die","Changbo Li","0","Little Gold : ￦1,200 / More Gold : ￦2,500 / Mass Gold : ￦5,900","2019-11-18","30753","https://itunes.apple.com/KR/app/id1450705290"
"11","-3","Photo & Video","Ulike유라이크","Bytedance Pte. Ltd","0","필터 무료제공 (기간한정) : 0 / Ulike 연간 VIP : ￦28,000 / Ulike  월정액회원 : ￦4,500","2018-07-28","29909","https://itunes.apple.com/KR/app/id1398796436"
"12","+7","Finance","국세청 홈택스 [손택스]","국세청","0","","2012-01-27","25082","https://itunes.apple.com/KR/app/id495157796"
"13","-6","Photo & Video","SODA 소다 Natural Beauty Camera","SNOW INC.","0","","2018-10-20","23017","https://itunes.apple.com/KR/app/id1437880869"
"14","-4","Card","한게임 섯다","NHN BIGFOOT CORPORATION","0","스타터패키지 : ￦3,900 / 보석 매우쪼금 : ￦1,200 / 보석 잔뜩 : ￦55,000","2019-08-22","22298","https://itunes.apple.com/KR/app/id1471942989"
"15","-3","Food & Drink","배달요기요","Delivery Hero Korea","0","","2012-08-01","20743","https://itunes.apple.com/KR/app/id543831532"
"16","+215","Education","열정품은 타이머","UnCheon Baek","0","","2018-11-16","20659","https://itunes.apple.com/KR/app/id1441909643"
