Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,IOS,2019,9,M,1,new,,Strategy,라이즈 오브 킹덤즈,Lilith Games,0,"120 보석 패키지 : ￦1,200 / 200 보석 선물 : ￦1,200 / 250 보석 패키지 : ￦2,500",2019-09-02,178798,https://itunes.apple.com/KR/app/id1474599374
KR,GROSS,IOS,2019,9,M,2,-1,,Action,리니지M(12),NCSOFT,0,"132 다이아 : ￦3,900 / 440 다이아 : ￦12,000 / 1,320 다이아 : ￦37,000",2017-06-19,168024,https://itunes.apple.com/KR/app/id1128255542
KR,GROSS,IOS,2019,9,M,3,-1,,Social Networking,카카오톡 KakaoTalk,Kakao Corp.,0,"Item Ticket : ￦2,500 / 200초코 : ￦2,500 / 300초코 : ￦3,900",2010-03-17,112499,https://itunes.apple.com/KR/app/id362057947
KR,GROSS,IOS,2019,9,M,4,+2,,Simulation,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,0,"MC 390 : ￦3,900 / MC 590 + 12 : ￦5,900 / MC 1,100 + 44 : ￦11,000",2018-08-01,65193,https://itunes.apple.com/KR/app/id1273957743
KR,GROSS,IOS,2019,9,M,5,-,,Photo & Video,YouTube,Google LLC,0,"YouTube Red : ￦11,500 / Membership : ￦11,500 / Movies & Shows : ￦1,200",2012-09-11,64229,https://itunes.apple.com/KR/app/id544007664
KR,GROSS,IOS,2019,9,M,6,-2,,Role Playing,리니지2 레볼루션,Netmarble Corporation,0,"90 다이아몬드 : ￦3,900 / 150+55 다이아 : ￦5,900 / 430  다이아 : ￦11,000",2016-12-13,60467,https://itunes.apple.com/KR/app/id1090814275
KR,GROSS,IOS,2019,9,M,7,-4,,Entertainment,카카오페이지,Kakao Page Corp.,0,"1000캐시 : ￦1,200 / 카카오페이지 10000캐시 상품 (이전 상품) : ￦12,000 / 10,000캐시 : ￦11,000",2013-04-09,54884,https://itunes.apple.com/KR/app/id616643813
KR,GROSS,IOS,2019,9,M,8,-1,,Adventure,라플라스M,ZlongGames,0,"서포터 츄카 : ￦3,900 / 헬릭스 60개 : ￦1,200 / 신입선물 : ￦1,200",2019-07-16,54483,https://itunes.apple.com/KR/app/id1455432291
KR,GROSS,IOS,2019,9,M,9,-1,,Entertainment,네이버 웹툰 - Naver Webtoon,NAVER WEBTOON CORP.,0,"쿠키 10개 : ￦1,200 / 쿠키 49개 : ￦5,900 / 쿠키 100개 : ￦12,000",2009-05-29,44254,https://itunes.apple.com/KR/app/id315795555
KR,GROSS,IOS,2019,9,M,10,-1,,Role Playing,블레이드&소울 레볼루션,Netmarble Corporation,0,"푸른 신석 4,000개 : ￦109,000 / 월간 목판 주화 패키지 : ￦55,000 / 이벤트 패키지 5 : ￦5,900",2018-12-04,31299,https://itunes.apple.com/KR/app/id1220720235
KR,GROSS,IOS,2019,9,M,11,+1,,Arcade,브롤스타즈,Supercell,0,"보석 30개 : ￦2,500 / 보석 80개 : ￦5,900 / 보석 170개 : ￦12,000",2018-12-12,29702,https://itunes.apple.com/KR/app/id1229016807
KR,GROSS,IOS,2019,9,M,12,-2,,Action,검은사막 모바일,Pearl Abyss Corp.,0,"120펄상자 : ￦3,900 / 200펄상자 : ￦5,900 / 400펄상자 : ￦11,000",2018-02-27,28956,https://itunes.apple.com/KR/app/id1323002999
KR,GROSS,IOS,2019,9,M,13,-2,,Strategy,랑그릿사,ZlongGames,0,"30크리스탈 : ￦1,200 / 150크리스탈 : ￦5,900 / 310크리스탈 : ￦12,000",2019-06-03,26941,https://itunes.apple.com/KR/app/id1450127722
KR,GROSS,IOS,2019,9,M,14,-,,Arcade,메이플스토리M,NEXON Company,0,"크리스탈 한 줌 : ￦2,500 / 크리스탈 주머니 : ￦5,900 / 크리스탈 바구니 : ￦9,900",2016-10-12,25286,https://itunes.apple.com/KR/app/id1133463693
KR,GROSS,IOS,2019,9,M,15,+1,,Board,모두의마블,Netmarble Corporation,0,"모두의마블_다이아20 : ￦2,500 / 모두의마블_다이아30 : ￦2,500 / 모두의마블_다이아50 : ￦4,900",2013-06-10,24592,https://itunes.apple.com/KR/app/id646315802
KR,GROSS,IOS,2019,9,M,16,-3,,Books,SERIES - 네이버 시리즈,NAVER WEBTOON CORP.,0,"쿠키 10개 : ￦1,200 / 쿠키 49개 : ￦5,900 / 쿠키 100개 : ￦12,000",2011-10-19,23000,https://itunes.apple.com/KR/app/id433592412
