Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,PAID,IOS,2019,5,M,1,+2,,Photo & Video,FILCA - SLR 필름 카메라,Cheol Kim,"￦1,200","UPGRADE PRO VERSION : ￦4,900 / KODAK SERIES FILM : ￦2,500 / RETRO SERIES FILM : ￦2,500",2018-09-22,302708,https://itunes.apple.com/KR/app/id1436429074
KR,PAID,IOS,2019,5,M,2,-1,,Photo & Video,Analog Paris,ordinaryfactory Inc.,"￦1,200",,2016-03-17,153251,https://itunes.apple.com/KR/app/id1035219562
KR,PAID,IOS,2019,5,M,3,-1,,Photo & Video,Analog Wedding,ordinaryfactory Inc.,"￦1,200",,2015-06-26,101585,https://itunes.apple.com/KR/app/id992047786
KR,PAID,IOS,2019,5,M,4,+3,,Arcade,A Dance of Fire and Ice,7th Beat Games S.A.C.,"￦2,500",,2019-04-22,82459,https://itunes.apple.com/KR/app/id1456547302
KR,PAID,IOS,2019,5,M,5,-1,,Photo & Video,Analog Tokyo,ordinaryfactory Inc.,"￦1,200",,2015-02-05,58557,https://itunes.apple.com/KR/app/id961932335
KR,PAID,IOS,2019,5,M,6,+15,,Utilities,유니콘:광고차단 필수앱,OH NAM KWON,"￦1,200",,2015-10-16,46331,https://itunes.apple.com/KR/app/id1046714401
KR,PAID,IOS,2019,5,M,7,-2,,Photo & Video,Analog Brooklyn,ordinaryfactory Inc.,"￦1,200",,2018-12-16,44503,https://itunes.apple.com/KR/app/id1138250941
KR,PAID,IOS,2019,5,M,8,-,,Role Playing,Stardew Valley,Chucklefish Limited,"￦9,900",,2018-10-23,42663,https://itunes.apple.com/KR/app/id1406710800
KR,PAID,IOS,2019,5,M,9,+5,,Adventure,Minecraft,Mojang,"￦8,900","Realms Plus:10 Friends w/trial : ￦9,500 / Minecraft Store Item 6 : ￦7,500 / Minecraft Store Item 2 : ￦2,500",2011-11-17,29262,https://itunes.apple.com/KR/app/id479516143
KR,PAID,IOS,2019,5,M,10,-4,,Photo & Video,@picn2k camera (피크닉 카메라),JIN WOOK KOO,"￦2,500",,2018-06-18,28541,https://itunes.apple.com/KR/app/id1376609012
KR,PAID,IOS,2019,5,M,11,-,,Photo & Video,Facetune,Lightricks Ltd.,"￦4,900",,2013-03-06,28274,https://itunes.apple.com/KR/app/id606310581
KR,PAID,IOS,2019,5,M,12,-2,,Photo & Video,SOVS 소브스 - 구도 카메라,"SOVS Co., Ltd","￦1,200",,2017-12-23,27627,https://itunes.apple.com/KR/app/id1326747827
KR,PAID,IOS,2019,5,M,13,+13,,Strategy,Mini Metro,Dinosaur Polo Club,"￦4,900",,2015-12-25,25694,https://itunes.apple.com/KR/app/id837860959
KR,PAID,IOS,2019,5,M,14,-5,,Simulation,Football Manager 2019 Mobile,SEGA,"￦11,000",,2018-11-02,21505,https://itunes.apple.com/KR/app/id1437397276
KR,PAID,IOS,2019,5,M,15,+3,,Strategy,Plague Inc. (전염병 주식회사),Ndemic Creations,￦900,"모든 유전자를 잠금 해제하십시오 : ￦9,900 / 네크로아 바이러스 확장 팩 : ￦2,500 / 뇌신경 기생충 확장 팩 : ￦2,500",2012-05-25,21204,https://itunes.apple.com/KR/app/id525818839
KR,PAID,IOS,2019,5,M,16,-4,,Productivity,Forest,"SEEKRTECH CO., LTD.","￦2,500","선샤인 세럼 한 병 : ￦1,200 / 선샤인 세럼 한 박스 : ￦2,500 / 크리스탈 한 스푼 : ￦1,200",2014-05-10,20022,https://itunes.apple.com/KR/app/id866450515
KR,PAID,IOS,2019,5,M,17,-2,,Adventure,세븐데이즈 : 서포터,Buff Studio Co.Ltd.,￦900,,2018-09-19,19818,https://itunes.apple.com/KR/app/id1411823462
KR,PAID,IOS,2019,5,M,18,-1,,Photo & Video,Analog Budapest,ordinaryfactory Inc.,"￦1,200",,2015-11-30,17851,https://itunes.apple.com/KR/app/id1035220162
KR,PAID,IOS,2019,5,M,19,-,,Photo & Video,Analog Jeju,ordinaryfactory Inc.,"￦1,200",,2015-07-16,17633,https://itunes.apple.com/KR/app/id1017225151
KR,PAID,IOS,2019,5,M,20,+221,,Puzzle,Isoland,"COTTONGAME Network Technology Co., Ltd.",￦500,Get coffin password : ￦500 / Props Tip: Temple corner : ￦500 / Props Tip: Pyramid : ￦500,2016-09-08,17545,https://itunes.apple.com/KR/app/id1134805859
KR,PAID,IOS,2019,5,M,21,-1,,Photo & Video,Analog Seoul,ordinaryfactory Inc.,"￦1,200",,2017-07-09,15631,https://itunes.apple.com/KR/app/id1138248035
KR,PAID,IOS,2019,5,M,22,-,,Photo & Video,Analog London,ordinaryfactory Inc.,"￦1,200",,2015-09-23,14649,https://itunes.apple.com/KR/app/id1035219553
KR,PAID,IOS,2019,5,M,23,+1,,Board,Rummikub®,Kinkajoo Ltd,"￦8,900","World Rummikub Online Championship spot : ￦3,900",2015-04-01,13171,https://itunes.apple.com/KR/app/id973113361
KR,PAID,IOS,2019,5,M,24,+5,,Music,DEEMO,Rayark International Limited,"￦2,500","Rayark Selection Vol.1 : ￦4,900 / 잊혀진 모래시계 : ￦12,000 / V.K Collection : ￦4,900",2013-11-12,12157,https://itunes.apple.com/KR/app/id700637744
KR,PAID,IOS,2019,5,M,25,-2,,Photo & Video,Gudak Cam,Screw Bar Inc.,"￦1,200","Black&White Flim : ￦1,200",2017-06-07,12037,https://itunes.apple.com/KR/app/id1237692856
KR,PAID,IOS,2019,5,M,26,+1,,Strategy,Rebel Inc. (반란 주식회사),Ndemic Creations,"￦2,500","Region Tour : ￦4,900 / Early Unlock Cheats : ￦12,000 / All Advisors Unlock : ￦12,000",2018-12-04,10310,https://itunes.apple.com/KR/app/id1439187947
KR,PAID,IOS,2019,5,M,27,+4,,Lifestyle,DayGram,"SaltyCrackers Co., Ltd.",￦900,사진 테마 : 0 / 테두리 D : 0,2015-06-12,9737,https://itunes.apple.com/KR/app/id977949232
KR,PAID,IOS,2019,5,M,28,+10,,Books,갓피플성경,"GODpeople, LTD","￦1,200","역본추가 - 새번역(대한성서공회) : ￦3,900 / 역본추가 - 쉬운성경(아가페출판사) : ￦3,900 / 개역개정 입체낭독 : ￦5,900",2012-05-01,9515,https://itunes.apple.com/KR/app/id511852665
KR,PAID,IOS,2019,5,M,29,-4,,Photo & Video,ilSang Pro,ByungHo Yu,"￦2,500",,2018-08-05,9205,https://itunes.apple.com/KR/app/id1400792124
KR,PAID,IOS,2019,5,M,30,+4,,Photo & Video,Analog Portland,ordinaryfactory Inc.,"￦1,200",,2015-01-11,9059,https://itunes.apple.com/KR/app/id952704587
KR,PAID,IOS,2019,5,M,31,+117,,Puzzle,레플리카 ( Replica ),Zero Rock Entertainment,"￦2,500",,2016-11-14,9005,https://itunes.apple.com/KR/app/id1172179917
KR,PAID,IOS,2019,5,M,32,+27,,Education,개념 한국사,별책,"￦3,900",,2015-07-20,8891,https://itunes.apple.com/KR/app/id994470614
KR,PAID,IOS,2019,5,M,33,-1,,Social Networking,Cute Emoticon Keyboard,kitamura hira,"￦1,200",,2014-11-04,8863,https://itunes.apple.com/KR/app/id931267826
KR,PAID,IOS,2019,5,M,34,-4,,Entertainment,nPlayer,Newin Inc.,"￦5,900",,2016-07-20,8617,https://itunes.apple.com/KR/app/id1116905928
KR,PAID,IOS,2019,5,M,35,-19,,Photo & Video,페이카 Filmlike,Hyun-il Kim,"￦1,200",,2017-09-30,8546,https://itunes.apple.com/KR/app/id1286255182
KR,PAID,IOS,2019,5,M,36,+18,,Photo & Video,TouchRetouch,ADVA Soft GmbH,"￦2,500",,2010-06-08,8474,https://itunes.apple.com/KR/app/id373311252
KR,PAID,IOS,2019,5,M,37,-,,Photo & Video,kirakira+,bytes inc.,"￦1,200",,2015-02-25,8172,https://itunes.apple.com/KR/app/id955687901
KR,PAID,IOS,2019,5,M,38,+40,,Strategy,삼국지:한말패업,ChengDu LongYou Tech Ltd,"￦12,000",,2018-09-27,8163,https://itunes.apple.com/KR/app/id1373057849
KR,PAID,IOS,2019,5,M,39,new,,Simulation,마왕신부 -스토리 버전-,Day7,"￦3,900","베르뮤트 스토리 오픈 : ￦1,200 / 란 스토리 오픈 : ￦1,200 / 코르네 스토리 오픈 : ￦1,200",2019-05-08,8101,https://itunes.apple.com/KR/app/id1458466440
KR,PAID,IOS,2019,5,M,40,new,,Action,마왕 (Demon King),Gumin Kang,"￦2,500","assassin armor (throw) : ￦1,200 / assassin gauntlet (throw) : ￦1,200 / desperado armor (throw) : ￦1,200",2019-05-06,7986,https://itunes.apple.com/KR/app/id1461699849
KR,PAID,IOS,2019,5,M,41,+2,,Photo & Video,Analog Acoustic,ordinaryfactory Inc.,"￦1,200",,2017-10-23,7663,https://itunes.apple.com/KR/app/id1282979041
