"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Photo & Video","Analog Paris","ordinaryfactory Inc.","￦1,200","","2016-03-17","229907","https://itunes.apple.com/KR/app/id1035219562"
"10","-","Photo & Video","Analog Brooklyn","ordinaryfactory Inc.","￦1,200","","2018-12-16","37817","https://itunes.apple.com/KR/app/id1138250941"
"100","-10","Action","Doodle Jump","Lima Sky","￦500","10,000 coins : ￦5,900 / 1000 coins : ￦1,200 / 30,000 coins : ￦12,000","2011-11-01","3009","https://itunes.apple.com/KR/app/id307727765"
"101","-4","Lifestyle","지피지기-사주운세궁합","Softchaser","￦11,000","택일 : ￦3,900","2010-02-16","2989","https://itunes.apple.com/KR/app/id356181358"
"102","-9","Family","Florence","Annapurna Interactive","￦3,900","","2018-02-12","2979","https://itunes.apple.com/KR/app/id1297430468"
"103","+13","Family","Pou","Paul Salameh","￦2,500","2,000 coins : ￦1,200 / Adult Potion : ￦1,200 / Baby Potion : ￦1,200","2012-11-26","2884","https://itunes.apple.com/KR/app/id575154654"
"104","-5","Role Playing","마녀의 샘3","SUYOUNG JANG","￦4,900","","2017-10-26","2810","https://itunes.apple.com/KR/app/id1298366657"
"105","+1","Action","킹덤 러쉬 벤전스","Ironhide S.A.","￦5,900","Hero Beresad : ￦5,900 / Mega Tower Bundle : ￦19,000 / Mega Heroe Bundle : ￦21,000","2018-11-22","2803","https://itunes.apple.com/KR/app/id1248033433"
"106","+26","Education","영단어 완전학습 - 영어사전 & 단어장","kyochoul lee","￦5,900","","2015-09-09","2716","https://itunes.apple.com/KR/app/id995780261"
"107","+28","Photo & Video","페이카 시티 Filmlike City","Hyun-il Kim","앱 번들 ￦2,500","","2018-11-19","2686","https://itunes.apple.com/KR/app/id1443458809"
"108","-4","Role Playing","마녀의 샘","SUYOUNG JANG","￦2,500","","2015-07-12","2635","https://itunes.apple.com/KR/app/id1012970102"
"109","+31","Role Playing","Titan Quest HD","HandyGames","￦2,500","","2018-11-07","2602","https://itunes.apple.com/KR/app/id1424977227"
"11","-8","Photo & Video","FILCA - SLR 필름 카메라","Cheol Kim","￦4,900","UPGRADE PRO VERSION : ￦4,900 / KODAK SERIES FILM : ￦2,500 / RETRO SERIES FILM : ￦2,500","2018-09-22","32713","https://itunes.apple.com/KR/app/id1436429074"
"110","+7","Action","Kingdom Rush Origins","Ironhide S.A.","￦3,900","영웅 파우스투스 : ￦5,900 / 영웅 불사조 : ￦5,900 / 영웅 파우스투스 특가 : ￦5,900","2014-11-20","2571","https://itunes.apple.com/KR/app/id904737816"
"111","-","Puzzle","Rusty Lake: Roots KR","Rusty Lake","￦3,900","","2019-01-25","2509","https://itunes.apple.com/KR/app/id1450407076"
"112","+33","Photo & Video","MONG LI","CHUNGNYUNG KANG","￦1,200","","2019-05-08","2405","https://itunes.apple.com/KR/app/id1462754972"
"113","+8","Puzzle","The Room: Old Sins","NetEase Games","￦5,900","","2018-03-21","2364","https://itunes.apple.com/KR/app/id1328732959"
"114","+12","Education","TEDICT","CoCO SWING","￦4,900","","2012-08-14","2345","https://itunes.apple.com/KR/app/id537961396"
