Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,AND,2019,9,M,1,+1,,Education,콴다 - 1등 수학 공부앱,Mathpresso,0.0,"항목당 ₩1,000 - ₩65,000",2020-07-06,155000,https://play.google.com/store/apps/details?id=com.mathpresso.qanda
KR,FREE,AND,2019,9,M,2,+1,,Education,"커넥츠 Q&A – 전과목 문제풀이 무료 (중/고등학교, 대학교, 경찰, 공무원 교육앱)",ST Unitas,0.0,,2020-07-10,148437,https://play.google.com/store/apps/details?id=com.stu.conects
KR,FREE,AND,2019,9,M,3,-2,,Education,Cake(케이크): 무료 영어 학습,Playlist Corporation,0.0,,2020-06-08,117437,https://play.google.com/store/apps/details?id=me.mycake
KR,FREE,AND,2019,9,M,4,+1,,Education,네이버 사전,NAVER Corp.,0.0,,2020-06-18,55712,https://play.google.com/store/apps/details?id=com.nhn.android.naverdic
KR,FREE,AND,2019,9,M,5,+7,,Education,고용노동부 HRD-Net 및 출결관리,KoreaEmploymentInformationService,0.0,,2020-04-16,39565,https://play.google.com/store/apps/details?id=kr.go.hrd.app
KR,FREE,AND,2019,9,M,6,+2,,Education,저절로암기영단어 - 통합 영어사전 영어 영어단어 TOEIC  번역 번역기,Wafour Corporation,0.0,"항목당 ₩29,000",2020-07-14,31884,https://play.google.com/store/apps/details?id=com.wafour.wapiceng
KR,FREE,AND,2019,9,M,7,-1,,Entertainment,"오디오클립 - 다양한 채널, 팟캐스트와 오디오북 그리고 ASMR",NAVER Corp.,0.0,,2020-06-17,29335,https://play.google.com/store/apps/details?id=com.naver.naveraudio
KR,FREE,AND,2019,9,M,8,+8,,Education,윌라 오디오북,윌라(welaaa),0.0,"항목당 ₩9,900 - ₩14,000",2020-07-02,27031,https://play.google.com/store/apps/details?id=kr.co.influential.youngkangapp
KR,FREE,AND,2019,9,M,9,+1,,Education,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,CatchItPlay,0.0,"항목당 ₩1,200 - ₩450,000",2020-07-13,23281,https://play.google.com/store/apps/details?id=com.nxc.catchitenglishbasic.google
KR,FREE,AND,2019,9,M,10,+53,,Education,성경과 찬송(Bible and Hymns),Verybest,0.0,,2020-05-26,22784,https://play.google.com/store/apps/details?id=com.jaemin.bible
KR,FREE,AND,2019,9,M,11,+8,,Education,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,pallo,0.0,,2020-07-08,22736,https://play.google.com/store/apps/details?id=com.pallo.passiontimerscoped
