"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+2","Education","Cake(케이크): 무료 영어 학습","Playlist Corporation","0.0","","2020-06-08","206665","https://play.google.com/store/apps/details?id=me.mycake"
"2","-","Education","콴다 - 1등 수학 공부앱","Mathpresso","0.0","항목당 ₩1,000 - ₩65,000","2020-07-06","104315","https://play.google.com/store/apps/details?id=com.mathpresso.qanda"
"3","+1","Education","네이버 사전","NAVER Corp.","0.0","","2020-06-18","95716","https://play.google.com/store/apps/details?id=com.nhn.android.naverdic"
"4","-3","Education","한국장학재단","한국장학재단","0.0","","2020-04-24","94618","https://play.google.com/store/apps/details?id=com.mo.kosaf"
"5","+10","Education","AI 토익 튜터, 산타","Riiid!","0.0","항목당 ₩39,000 - ₩249,000","2020-07-15","71715","https://play.google.com/store/apps/details?id=co.riiid.vida"
"6","new","Education","JoyTunes의 Simply Piano","JoyTunes","0.0","항목당 ₩12,000 - ₩200,000","2020-07-12","65713","https://play.google.com/store/apps/details?id=com.joytunes.simplypiano"
"7","+51","Education","열공시간 - 집중력 공부시간 타이머","RinaSoft","0.0","항목당 ₩2,000 - ₩20,000","2020-07-02","56243","https://play.google.com/store/apps/details?id=kr.co.rinasoft.yktime"
"8","-3","Education","운전면허 PLUS - 운전면허필기시험 (최신판 100%무료)","애드락애드버테인먼트","0.0","","2020-07-07","52385","https://play.google.com/store/apps/details?id=com.adrock.driverlicense300"
"9","-2","Education","스픽나우 - 인공지능 영어회화","Moneybrain","0.0","항목당 ₩2,000 - ₩450,000","2020-04-21","46126","https://play.google.com/store/apps/details?id=ai.moneybrain.speaknow"
"10","-4","Education","윌라 오디오북","윌라(welaaa)","0.0","항목당 ₩9,900 - ₩14,000","2020-07-02","41932","https://play.google.com/store/apps/details?id=kr.co.influential.youngkangapp"
"11","-2","Education","저절로암기영단어 - 통합 영어사전 영어 영어단어 TOEIC  번역 번역기","Wafour Corporation","0.0","항목당 ₩29,000","2020-07-14","34847","https://play.google.com/store/apps/details?id=com.wafour.wapiceng"
"12","+42","Education","야나두 Yanadoo","야나두","0.0","","2020-06-19","34152","https://play.google.com/store/apps/details?id=kr.co.yanadoo.mobile"
"13","-5","Education","캐치잇 잉글리시 : 게임보다 쉬운 영어 학습","CatchItPlay","0.0","항목당 ₩1,200 - ₩450,000","2020-07-13","30799","https://play.google.com/store/apps/details?id=com.nxc.catchitenglishbasic.google"
"14","+23","Education","EBS 초등","EBS(한국교육방송공사)","0.0","","2020-04-23","24452","https://play.google.com/store/apps/details?id=kr.ebs.primary.player"
"15","+10","Education","이투스 수강앱","Etoos Education","0.0","","2020-02-11","23742","https://play.google.com/store/apps/details?id=com.etoos.etoosapp"
"16","-6","Education","고용노동부 HRD-Net 및 출결관리","KoreaEmploymentInformationService","0.0","","2020-04-16","22529","https://play.google.com/store/apps/details?id=kr.go.hrd.app"
"17","-1","Education","Q-Net 큐넷(자격의 모든 것)","한국산업인력공단.","0.0","","2020-02-26","21666","https://play.google.com/store/apps/details?id=com.mcnc.parecis.hrdkorea.qnet"
"18","+3","Education","스픽 (Speak): 영어회화, 스피킹, 발음","Speakeasy Labs","0.0","항목당 ₩29,000 - ₩450,000","2020-07-14","21174","https://play.google.com/store/apps/details?id=com.selabs.speak"
"19","-5","Education","EBSi 고교강의","EBS(한국교육방송공사)","0.0","","2020-04-20","20074","https://play.google.com/store/apps/details?id=com.coden.android.ebs"
"20","-8","Education","도깨비 전화","MEDIA ACTIVE.INC","0.0","항목당 ₩1,097 - ₩14,000","2020-04-13","19973","https://play.google.com/store/apps/details?id=com.dokebi.dokebi"
"21","-1","Education","xAR","XOsoft Inc.","0.0","","2020-04-27","18014","https://play.google.com/store/apps/details?id=kr.co.xosoft.android.xar"
"22","-3","Education","AquaNManager","CDNetworks Co., Ltd.","0.0","","2020-06-04","17684","https://play.google.com/store/apps/details?id=com.cdn.aquanmanager"
"23","-","Entertainment","오디오클립 - 다양한 채널, 팟캐스트와 오디오북 그리고 ASMR","NAVER Corp.","0.0","","2020-06-17","14968","https://play.google.com/store/apps/details?id=com.naver.naveraudio"
"24","-13","Education","저절로암기 일본어 - 무료 JLPT 사전 회화","Wafour Corporation","0.0","항목당 ₩29,000","2020-07-10","14919","https://play.google.com/store/apps/details?id=com.wafour.wapicjapanese"
"25","+17","Education","Toca Hair Salon 2 - Free!","Toca Boca","0.0","항목당 ₩3,000","2016-09-20","13424","https://play.google.com/store/apps/details?id=com.tocaboca.hairsalon2.iap"
"26","+3","Education","성경과 찬송(Bible and Hymns)","Verybest","0.0","","2020-05-26","13327","https://play.google.com/store/apps/details?id=com.jaemin.bible"
"27","+4","Education","튜터링: 24시간 1:1 영어회화","TUTORING","0.0","","2020-06-15","13052","https://play.google.com/store/apps/details?id=tutoring.app"
"28","-11","Education","탈잉 - 세상의 모든 재능","Taling","0.0","","2020-07-10","12302","https://play.google.com/store/apps/details?id=com.taling"
"29","-3","Education","열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!","pallo","0.0","","2020-07-08","11967","https://play.google.com/store/apps/details?id=com.pallo.passiontimerscoped"
"30","-3","Education","대성마이맥 Player","Digital Daesung Inc.","0.0","","2020-05-18","11737","https://play.google.com/store/apps/details?id=com.ds.mimacstudy.smartnplayer"
"31","+5","Education","암기고래 - 말해주는 단어장, 동영상 강의(영어,중국어 등)","위런에듀","0.0","","2020-07-10","11122","https://play.google.com/store/apps/details?id=com.belugaedu.amgigorae"
"32","-19","Education","Samsung Global Goals","Samsung Electronics Co.,  Ltd.","0.0","","2020-05-30","10955","https://play.google.com/store/apps/details?id=com.samsung.sree"
"33","-1","Education","EBS 중학 +","EBS(한국교육방송공사)","0.0","","2020-06-02","10952","https://play.google.com/store/apps/details?id=kr.ebs.middle.player"
"34","+4","Education","뽀로로콘 - 어린이 아바타 놀이 학습","KIGLE","0.0","항목당 ₩1,000 - ₩66,000","2019-12-24","8962","https://play.google.com/store/apps/details?id=com.weplli.project.pororocon"
"35","-11","Education","저절로암기 중국어 - 무료 HSK 사전 회화","Wafour Corporation","0.0","항목당 ₩4,900 - ₩29,000","2020-07-10","8542","https://play.google.com/store/apps/details?id=com.wafour.wapicchinese"
"36","-18","Education","듀오링고(Duolingo): 무료 영어 학습","Duolingo","0.0","항목당 ₩1,300 - ₩168,000","2020-07-13","8418","https://play.google.com/store/apps/details?id=com.duolingo"
"37","-7","Education","한자 필기인식 사전","Dev CHOE","0.0","항목당 ₩1,000","2020-07-02","8096","https://play.google.com/store/apps/details?id=name.choe.hanjahandwritingrecog"
"38","+28","Education","왕초보 영어스쿨-영어회화, 생활영어, 여행영어, 영어공부, 영어단어","sisun","0.0","","2020-03-18","7883","https://play.google.com/store/apps/details?id=com.appnomad.factory_sisuneng"
"39","-6","Education","도깨비 전화 DX","MEDIA ACTIVE.INC","0.0","항목당 ₩1,300 - ₩2,900","2020-07-14","7872","https://play.google.com/store/apps/details?id=jp.co.mediaactive.ghostcalldx"
"40","+3","Education","메가스터디 스마트러닝","megastudyEdu.Co.,Ltd","0.0","","2020-06-16","7822","https://play.google.com/store/apps/details?id=net.megastudy.smartplay.main"
"41","-1","Education","코참패스","Korea Chamber of Commerce & Industry","0.0","","2020-02-17","7728","https://play.google.com/store/apps/details?id=net.korcham.korchampass"
"42","new","Education","야나두 틈새단어 – 틈날 때 보는 영어단어장, 저절로 외워지는 영단어 앱","야나두","0.0","항목당 ₩99,000","2020-06-10","7601","https://play.google.com/store/apps/details?id=kr.co.yanadoo.voca"
"43","+13","Education","EWA English  초급자를 위한 영어 학습","Lithium Lab Pte Ltd","0.0","항목당 ₩2,000 - ₩190,000","2020-07-01","7333","https://play.google.com/store/apps/details?id=com.ewa.ewaapp"
"44","+2","Education","단기PLAYER","ST Unitas","0.0","","2020-07-07","7285","https://play.google.com/store/apps/details?id=com.stn.mobile_player"
"45","new","Education","무료 외국어 공부 - 몬들리(Mondly)","ATi Studios","0.0","항목당 ₩6,999 - ₩191,990","2020-07-13","7271","https://play.google.com/store/apps/details?id=com.atistudios.mondly.languages"
"46","-12","Education","쥬니어 네이버 - Jr.Naver","NAVER Corp.","0.0","","2020-07-01","6213","https://play.google.com/store/apps/details?id=air.com.nhncorp.jrapp"
"47","-6","Education","스피드 운전면허 필기시험 (2020년) - 100%무료","MAFU","0.0","","2020-02-08","6071","https://play.google.com/store/apps/details?id=mafu.driving.free"
"48","-20","Education","임신육아종합포털(아이사랑 모바일)","보건복지부(보육정책과)","0.0","","2019-06-25","5472","https://play.google.com/store/apps/details?id=com.mw.Android_KidsLove2"
"49","-5","Education","한국어 - 영어 번역기","Klays-Development","0.0","","2019-12-11","5467","https://play.google.com/store/apps/details?id=free_translator.koen"
"50","+20","Education","뽀로로 치과의사 - 어린이 치과의사 직업놀이","KIGLE","0.0","항목당 ₩1,000","2020-06-17","4785","https://play.google.com/store/apps/details?id=com.kigle.project.pororo.dentist"
"51","new","Education","통합교육연수시스템","교육부 중앙교육연수원","0.0","","2020-05-12","3607","https://play.google.com/store/apps/details?id=kr.go.neti.ui"
"52","-13","Education","사이버폭력 백신","Creative α","0.0","","2019-10-08","3506","https://play.google.com/store/apps/details?id=com.alpha.CyberBullying"
"53","new","Education","이상스쿨 - 주식 재테크 온ㆍ오프라인 교육 학교","이상미디랩","0.0","","2019-12-09","3404","https://play.google.com/store/apps/details?id=com.esangschool.lsinvest.android.esangschool"
"54","-9","Education","아이엠스쿨 - 한국 1위 알림장","NHN Edu Corp.","0.0","","2020-07-06","3366","https://play.google.com/store/apps/details?id=com.imcompany.school2"
"55","+6","Education","HelloTalk-외국어 회화 연습과 전세계 친구들과 교류하기","HelloTalk Learn Languages App","0.0","항목당 ₩1,150 - ₩330,000","2020-07-13","2946","https://play.google.com/store/apps/details?id=com.hellotalk"
"56","new","Education","아임크리 - IMCRE 영상편집 교육(프리미어)","Ballantine Dream","0.0","₩3,300 - ₩55,000 per item","2020-02-14","2882","https://play.google.com/store/apps/details?id=com.bdm.bdm_imcre"
