Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,AND,2019,4,M,1,-,,Education,카카오키즈,야나두,0.0,"항목당 ₩999 - ₩100,000",2020-04-20,231667,https://play.google.com/store/apps/details?id=com.bluepin.kidsworldforgoogleplay
KR,GROSS,AND,2019,4,M,2,-,,Education,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,CatchItPlay,0.0,"항목당 ₩1,200 - ₩450,000",2020-07-13,231667,https://play.google.com/store/apps/details?id=com.nxc.catchitenglishbasic.google
KR,GROSS,AND,2019,4,M,3,-,,Education,"AI 토익 튜터, 산타",Riiid!,0.0,"항목당 ₩39,000 - ₩249,000",2020-07-15,86841,https://play.google.com/store/apps/details?id=co.riiid.vida
KR,GROSS,AND,2019,4,M,4,-,,Education,핑크퐁 TV : 아기상어 동요동화,SMARTSTUDY PINKFONG,0.0,"항목당 ₩1,000 - ₩150,000",2020-07-14,74559,https://play.google.com/store/apps/details?id=kr.co.smartstudy.pinkfongtv.ko_android_googlemarket
KR,GROSS,AND,2019,4,M,5,-,,Education,HelloTalk-외국어 회화 연습과 전세계 친구들과 교류하기,HelloTalk Learn Languages App,0.0,"항목당 ₩1,150 - ₩330,000",2020-07-13,62059,https://play.google.com/store/apps/details?id=com.hellotalk
KR,GROSS,AND,2019,4,M,6,+1,,Education,토도 수학,Enuma,0.0,"항목당 ₩5,900 - ₩109,000",2020-07-07,54828,https://play.google.com/store/apps/details?id=com.enuma.todomath
KR,GROSS,AND,2019,4,M,7,-1,,Education,EBS어학FM,"Dong-A publishing co., ltd",0.0,"항목당 ₩2,800 - ₩122,880",2020-07-15,51645,https://play.google.com/store/apps/details?id=com.doosan.newebsfm
KR,GROSS,AND,2019,4,M,8,+28,,Education,이지보카 - 영어단어 어원을 읽어주는 특별한 영단어 암기앱 단어장,Shouter Inc.,0.0,"항목당 ₩1,000 - ₩160,000",2020-06-24,35357,https://play.google.com/store/apps/details?id=com.shouter.easyvoca
KR,GROSS,AND,2019,4,M,9,-1,,Education,멤라이즈와 함께 외국어 공부하기,Memrise,0.0,"항목당 ₩999 - ₩124,000",2020-07-03,32619,https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion
KR,GROSS,AND,2019,4,M,10,+2,,Education,듀오링고(Duolingo): 무료 영어 학습,Duolingo,0.0,"항목당 ₩1,300 - ₩168,000",2020-07-13,31911,https://play.google.com/store/apps/details?id=com.duolingo
