"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Education","캐치잇 잉글리시 : 게임보다 쉬운 영어 학습","CatchItPlay","0.0","항목당 ₩1,200 - ₩450,000","2020-07-13","273108","https://play.google.com/store/apps/details?id=com.nxc.catchitenglishbasic.google"
"2","-1","Education","카카오키즈","야나두","0.0","항목당 ₩999 - ₩100,000","2020-04-20","190660","https://play.google.com/store/apps/details?id=com.bluepin.kidsworldforgoogleplay"
"3","-","Education","AI 토익 튜터, 산타","Riiid!","0.0","항목당 ₩39,000 - ₩249,000","2020-07-15","85533","https://play.google.com/store/apps/details?id=co.riiid.vida"
"4","+2","Education","스픽 (Speak): 영어회화, 스피킹, 발음","Speakeasy Labs","0.0","항목당 ₩29,000 - ₩450,000","2020-07-14","72738","https://play.google.com/store/apps/details?id=com.selabs.speak"
"5","+9","Education","EWA English  초급자를 위한 영어 학습","Lithium Lab Pte Ltd","0.0","항목당 ₩2,000 - ₩190,000","2020-07-01","64883","https://play.google.com/store/apps/details?id=com.ewa.ewaapp"
"6","-2","Education","핑크퐁 TV : 아기상어 동요동화","SMARTSTUDY PINKFONG","0.0","항목당 ₩1,000 - ₩150,000","2020-07-14","48165","https://play.google.com/store/apps/details?id=kr.co.smartstudy.pinkfongtv.ko_android_googlemarket"
"7","-2","Education","HelloTalk-외국어 회화 연습과 전세계 친구들과 교류하기","HelloTalk Learn Languages App","0.0","항목당 ₩1,150 - ₩330,000","2020-07-13","47374","https://play.google.com/store/apps/details?id=com.hellotalk"
"8","-","Education","토도 수학","Enuma","0.0","항목당 ₩5,900 - ₩109,000","2020-07-07","41305","https://play.google.com/store/apps/details?id=com.enuma.todomath"
"9","-2","Education","EBS어학FM","Dong-A publishing co., ltd","0.0","항목당 ₩2,800 - ₩122,880","2020-07-15","32724","https://play.google.com/store/apps/details?id=com.doosan.newebsfm"
"10","-1","Education","멤라이즈와 함께 외국어 공부하기","Memrise","0.0","항목당 ₩999 - ₩124,000","2020-07-03","31031","https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion"
"11","+1","Education","이지보카 - 영어단어 어원을 읽어주는 특별한 영단어 암기앱 단어장","Shouter Inc.","0.0","항목당 ₩1,000 - ₩160,000","2020-06-24","30222","https://play.google.com/store/apps/details?id=com.shouter.easyvoca"
"12","-1","Education","듀오링고(Duolingo): 무료 영어 학습","Duolingo","0.0","항목당 ₩1,300 - ₩168,000","2020-07-13","30195","https://play.google.com/store/apps/details?id=com.duolingo"
