"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Education","Word master 워드마스터 수능 2000(18개정)","이투스북","₩4,900","","2020-02-04","229410","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.sat20002018"
"2","+2","Education","Flashcards Deluxe","OrangeOrApple.com","₩5,000","","2020-05-26","148559","https://play.google.com/store/apps/details?id=com.orangeorapple.flashcards"
"3","-2","Education","토익 PART5 종결자","HS soft","₩1,000","","2020-01-09","128852","https://play.google.com/store/apps/details?id=com.hs.toeic5finish"
"4","+5","Education","영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어","MEsoft","₩4,400","항목당 ₩1,100","2020-07-03","98618","https://play.google.com/store/apps/details?id=com.mesoft.meplayer"
"5","-2","Education","Toca Hair Salon 3","Toca Boca","₩5,000","","2019-03-06","85910","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"6","+2","Education","Word Master 워드마스터 중등 고난도(개정)","이투스북","₩3,800","","2019-07-18","47945","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.midhighlevel2016"
"7","-2","Education","Word Master 워드마스터 중등 실력","이투스북","₩3,800","","2019-07-22","47071","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.midskill2016"
"8","-1","Education","한글 달인 - 맞춤법 공부","별책","₩3,300","","2019-11-01","42742","https://play.google.com/store/apps/details?id=com.elsebook.handal"
"9","+1","Education","우리말 공부","별책","₩3,900","","2020-04-07","35618","https://play.google.com/store/apps/details?id=co.byeol.gongbudeul.urimal"
"10","+10","Education","Word Master 워드마스터 하이퍼 2000(개정)","이투스북","₩3,800","","2020-05-06","31297","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.hyper20002016"
"11","-","Education","띄어쓰기","별책","₩2,200","","2019-06-08","30641","https://play.google.com/store/apps/details?id=com.elsebook.handal.spacing"
"12","-","Education","Word Master 워드마스터 중등 기초","이투스북","₩3,800","","2019-07-18","29390","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.midbasic2016"
