Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,IOS,2019,1,M,1,+2,,Education,Cake(케이크) 영어회화,Playlist Corporation,0.0,,2018-04-10,213135,https://itunes.apple.com/KR/app/id1350420987
KR,FREE,IOS,2019,1,M,2,-,,Education,운전면허 PLUS - 운전면허 필기시험(2020최신판),Adrock Advertainment,0.0,"프리미엄 서비스 : ￦2,500 / 프리미엄서비스 : ￦3,900 / 10타이어 : ￦1,200",2013-05-15,188725,https://itunes.apple.com/KR/app/id644223359
KR,FREE,IOS,2019,1,M,3,-2,,Education,한국장학재단 앱,kosaf,0.0,,2018-08-20,116317,https://itunes.apple.com/KR/app/id1400580506
KR,FREE,IOS,2019,1,M,4,+3,,Education,튜터링: 24시간 1:1 영어회화,Tutoring Corp.,0.0,,2016-06-09,74165,https://itunes.apple.com/KR/app/id1115973003
KR,FREE,IOS,2019,1,M,5,+1,,Education,네이버 사전,NAVER Corp.,0.0,,2013-08-19,61120,https://itunes.apple.com/KR/app/id673085116
KR,FREE,IOS,2019,1,M,6,-1,,Education,콴다 - 500만 다운로드 수학 공부앱,Mathpresso,0.0,"베이직 정기 구독 : ￦14,000 / 플러스 정기 구독 : ￦21,500 / 프리미엄 정기 구독 : ￦55,000",2017-11-28,50333,https://itunes.apple.com/KR/app/id1270676408
KR,FREE,IOS,2019,1,M,7,+8,,Education,"AI 토익 튜터, 산타","Riiid, Inc.",0.0,"프리패스 2개월 : ￦89,000 / 프리패스 6개월 : ￦129,000 / 프리패스 12개월 : ￦99,000",2017-06-30,50055,https://itunes.apple.com/KR/app/id1148006701
KR,FREE,IOS,2019,1,M,8,-4,,Education,쉬운 수학 (Math Learner),Fun Games For Free,0.0,"Math Plus : ￦33,000",2018-09-06,45475,https://itunes.apple.com/KR/app/id1148728253
KR,FREE,IOS,2019,1,M,9,+12,,Education,Q-Net 큐넷(자격의 모든 것),한국산업인력공단,0.0,,2013-03-05,43626,https://itunes.apple.com/KR/app/id609324286
KR,FREE,IOS,2019,1,M,10,+41,,Education,듀오링고 (Duolingo),Duolingo,0.0,"Duolingo Plus : ￦105,000",2012-11-13,36039,https://itunes.apple.com/KR/app/id570060128
KR,FREE,IOS,2019,1,M,11,-1,,Education,EBSi 고교강의,EBS(한국교육방송공사),0.0,,2013-07-12,32673,https://itunes.apple.com/KR/app/id669006959
KR,FREE,IOS,2019,1,M,12,-3,,Education,스피드 운전면허 필기시험 (2020년 최신문항),Seong Wook Kwak,0.0,,2018-02-14,30390,https://itunes.apple.com/KR/app/id1348210599
KR,FREE,IOS,2019,1,M,13,+9,,Education,탈잉 - 세상의 모든 재능,Taling,0.0,"VOD 수강권 : ￦89,000 / VOD 수강권 : ￦23,000 / VOD 수강권 : ￦89,000",2017-03-14,28972,https://itunes.apple.com/KR/app/id1153218962
KR,FREE,IOS,2019,1,M,14,+9,,Education,대성마이맥 Player,Digital Daesung,0.0,"7일 무제한 스트리밍 전용수강권 : ￦49,000",2018-12-18,24550,https://itunes.apple.com/KR/app/id1441926211
KR,FREE,IOS,2019,1,M,15,+25,,Education,야나두 Yanadoo,Yanadoo Corp.,0.0,"야나두 영어 강좌 패키지 : ￦550,000",2018-03-09,20037,https://itunes.apple.com/KR/app/id1339938941
KR,FREE,IOS,2019,1,M,16,+2,,Education,이투스 수강앱,ETOOS Education,0.0,"이투스머니충전 10,000원 : ￦15,000",2018-06-22,18147,https://itunes.apple.com/KR/app/id1319164773
KR,FREE,IOS,2019,1,M,17,-1,,Education,JoyTunes의 Simply Piano,JoyTunes,0.0,"완전 접근 : ￦105,000 / 프리미엄 액세스 : ￦105,000 / 프리미엄 액세스 (12개월) : ￦84,000",2015-09-01,17113,https://itunes.apple.com/KR/app/id1019442026
KR,FREE,IOS,2019,1,M,18,-7,,Education,슈퍼팬,Qualson,0.0,"자유이용권 1개월 : ￦21,000 / 자유이용권 12개월 : ￦55,000 / 자유이용권 3개월 : ￦31,000",2016-09-02,16478,https://itunes.apple.com/KR/app/id1139458445
KR,FREE,IOS,2019,1,M,19,+20,,Education,Peak - 브레인 트레이닝,brainbow,0.0,"Peak Pro Plan : ￦42,000 / Peak pro : ￦44,000",2014-09-01,16025,https://itunes.apple.com/KR/app/id806223188
KR,FREE,IOS,2019,1,M,20,-,,Education,"켜자마자 영단어 +회화 (강제로 영어공부-토익,수능)",BrainUp,0.0,,2016-07-08,15859,https://itunes.apple.com/KR/app/id1131502065
KR,FREE,IOS,2019,1,M,21,-4,,Education,HelloTalk헬로톡-언어공부 외국친구찾기,HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP,0.0,"VIP Membership : ￦38,000 / VIP Membership(Free Trial) : ￦5,500",2012-12-15,15574,https://itunes.apple.com/KR/app/id557130558
KR,FREE,IOS,2019,1,M,22,+6,,Education,Aqua nManager,"CDNetworks Co., Ltd.",0.0,,2015-11-08,15303,https://itunes.apple.com/KR/app/id1048325731
KR,FREE,IOS,2019,1,M,23,-11,,Education,고용노동부 HRD-Net 및 출결관리,한국고용정보원,0.0,,2012-12-24,14294,https://itunes.apple.com/KR/app/id588283412
KR,FREE,IOS,2019,1,M,24,-5,,Education,코참패스,대한상공회의소,0.0,,2017-03-04,14179,https://itunes.apple.com/KR/app/id1205403862
KR,FREE,IOS,2019,1,M,25,+11,,Education,해커스 MP3 플레이어,"Hackers Co., Ltd.",0.0,,2012-06-11,13783,https://itunes.apple.com/KR/app/id531669642
KR,FREE,IOS,2019,1,M,26,+1,,Education,투데잇 - Todait,"Todait, Inc.",0.0,"공부 계획 프리미엄 팩 (D58) : ￦54,000 / 공부 계획 프리미엄 팩 (D50) : ￦63,000 / 공부 계획 프리미엄 팩 (D40) : ￦29,000",2016-05-14,12768,https://itunes.apple.com/KR/app/id1083321139
KR,FREE,IOS,2019,1,M,27,+31,,Education,ETS TOEIC Books by YBM,"YBM NET, Inc.",0.0,,2011-11-22,12232,https://itunes.apple.com/KR/app/id480908919
KR,FREE,IOS,2019,1,M,28,+154,,Education,Lumosity: 일일 두뇌 게임,"Lumos Labs, Inc.",0.0,"Lumosity Premium : ￦73,000",2013-06-12,12228,https://itunes.apple.com/KR/app/id577232024
KR,FREE,IOS,2019,1,M,29,-21,,Education,애드캠퍼스 - 대한민국 1등 대학 리뷰 앱,TENDOM,0.0,,2016-11-04,12032,https://itunes.apple.com/KR/app/id1170775232
KR,FREE,IOS,2019,1,M,30,+5,,Education,해커스 토익 기출보카,Champ Study Institute,0.0,,2014-05-19,11564,https://itunes.apple.com/KR/app/id875258834
KR,FREE,IOS,2019,1,M,31,+10,,Education,해커스토익 - TOEIC,Hackers Language Institute,0.0,,2011-04-11,11394,https://itunes.apple.com/KR/app/id430260350
KR,FREE,IOS,2019,1,M,32,+17,,Education,기출문제,AppSea Soft,0.0,,2014-06-06,11244,https://itunes.apple.com/KR/app/id882313725
KR,FREE,IOS,2019,1,M,33,-,,Education,단기 OTP,ST&Company inc.,0.0,,2018-08-27,11124,https://itunes.apple.com/KR/app/id1424821371
KR,FREE,IOS,2019,1,M,34,+20,,Education,Star Walk 2 Ads+: 별자리표 AR,Vito Technology Inc.,0.0,"Star Walk 2 Ads+: 풀 버전,  광고없는 : ￦7,500 / 풀 버전, 광고없는. 특별 메뉴 : ￦4,900 / Star Walk 2 Ads+ 광고없는 : ￦3,900",2016-07-07,9979,https://itunes.apple.com/KR/app/id1112481571
KR,FREE,IOS,2019,1,M,35,-6,,Education,김과외(대한민국 1위 과외 플랫폼),jaeyong kim,0.0,,2018-07-06,9898,https://itunes.apple.com/KR/app/id1392809044
KR,FREE,IOS,2019,1,M,36,+11,,Education,해커스인강 챔프스터디,"Hackers Co., Ltd.",0.0,,2015-07-09,9759,https://itunes.apple.com/KR/app/id738913826
KR,FREE,IOS,2019,1,M,37,+13,,Education,CBT컴활,© 2013 OZO Inc.,0.0,,2016-07-25,9571,https://itunes.apple.com/KR/app/id844019318
KR,FREE,IOS,2019,1,M,38,-6,,Education,리얼클래스 - 영어인강 & 리얼영상,Qualson,0.0,"검볼 시즌1 : ￦239,000 / 로라의 리얼 패턴영어 : ￦369,000 / 스티븐 유니버스 시즌1 : ￦239,000",2017-12-20,9568,https://itunes.apple.com/KR/app/id1322259727
