Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,IOS,2020,3,M,1,new,,Entertainment,오디오클립 – AudioClip,NAVER Corp.,0.0,,2017-01-23,159107,https://itunes.apple.com/KR/app/id1192635213
KR,FREE,IOS,2020,3,M,2,new,,Education,클래스팅 - 학교 플랫폼,Classting Inc.,0.0,,2012-03-19,122669,https://itunes.apple.com/KR/app/id510033756
KR,FREE,IOS,2020,3,M,3,-1,,Education,열정품은 타이머,UnCheon Baek,0.0,,2018-11-16,87894,https://itunes.apple.com/KR/app/id1441909643
KR,FREE,IOS,2020,3,M,4,new,,Education,Google Classroom,Google LLC,0.0,,2015-01-13,85243,https://itunes.apple.com/KR/app/id924620788
KR,FREE,IOS,2020,3,M,5,new,,Education,HelloLMS,IMAXSOFT Inc,0.0,,2019-02-14,72930,https://itunes.apple.com/KR/app/id1450244711
KR,FREE,IOS,2020,3,M,6,new,,Education,코스모스,"Ubion Co.,Ltd.",0.0,,2016-09-15,70313,https://itunes.apple.com/KR/app/id1142523906
KR,FREE,IOS,2020,3,M,7,-2,,Education,키즈노트 - 원과 가정의 바른소통,"Kids Note, Inc",0.0,"4~6개월 추억 다운받기 : ￦3,900 / 1~3개월 추억 다운받기 : ￦2,500 / 7~9개월 추억 다운받기 : ￦4,900",2012-05-22,66329,https://itunes.apple.com/KR/app/id527574743
KR,FREE,IOS,2020,3,M,8,+3,,Education,스마트 공지시스템 e알리미,(c) E-WUT,0.0,,2014-08-11,53979,https://itunes.apple.com/KR/app/id899929551
KR,FREE,IOS,2020,3,M,9,new,,Education,하이클래스: 똑똑한 학급소통앱,"i-Scream Media CO.,LTD.",0.0,,2020-02-20,49836,https://itunes.apple.com/KR/app/id1472488819
KR,FREE,IOS,2020,3,M,10,new,,Education,클래스카드,Learnersmind Inc.,0.0,,2017-01-17,34701,https://itunes.apple.com/KR/app/id1176435331
KR,FREE,IOS,2020,3,M,11,-8,,Education,콴다 - 500만 다운로드 수학 공부앱,Mathpresso,0.0,"베이직 정기 구독 : ￦14,000 / 플러스 정기 구독 : ￦21,500 / 프리미엄 정기 구독 : ￦55,000",2017-11-28,32581,https://itunes.apple.com/KR/app/id1270676408
KR,FREE,IOS,2020,3,M,12,new,,Education,아이엠스쿨 학교 애플리케이션,NHN Edu Corp.,0.0,,2012-08-21,30016,https://itunes.apple.com/KR/app/id540665717
KR,FREE,IOS,2020,3,M,13,-12,,Education,한국장학재단 앱,kosaf,0.0,,2018-08-20,26353,https://itunes.apple.com/KR/app/id1400580506
KR,FREE,IOS,2020,3,M,14,new,,Education,LearningX Student (학습자 용),Xinics Inc.,0.0,,2018-08-18,26306,https://itunes.apple.com/KR/app/id1428254462
KR,FREE,IOS,2020,3,M,15,new,,Education,EBSi 고교강의,EBS(한국교육방송공사),0.0,,2013-07-12,21916,https://itunes.apple.com/KR/app/id669006959
KR,FREE,IOS,2020,3,M,16,new,,Education,EBS 중학+,EBS(한국교육방송공사),0.0,"프리미엄 강의 1회 이용권 : ￦119,000",2018-04-22,20447,https://itunes.apple.com/KR/app/id1360224883
KR,FREE,IOS,2020,3,M,17,-9,,Education,Cake(케이크) 영어회화,Playlist Corporation,0.0,,2018-04-10,18339,https://itunes.apple.com/KR/app/id1350420987
KR,FREE,IOS,2020,3,M,18,new,,Education,네이버 사전,NAVER Corp.,0.0,,2013-08-19,17809,https://itunes.apple.com/KR/app/id673085116
KR,FREE,IOS,2020,3,M,19,new,,Education,리로스쿨,rirosoft Inc,0.0,,2015-06-24,17450,https://itunes.apple.com/KR/app/id995221497
KR,FREE,IOS,2020,3,M,20,new,,Education,"위두랑, Wedorang",KERIS,0.0,,2013-07-19,14704,https://itunes.apple.com/KR/app/id669849105
KR,FREE,IOS,2020,3,M,21,-17,,Education,운전면허 PLUS - 운전면허 필기시험(2020최신판),Adrock Advertainment,0.0,"프리미엄 서비스 : ￦2,500 / 프리미엄서비스 : ￦3,900 / 10타이어 : ￦1,200",2013-05-15,12215,https://itunes.apple.com/KR/app/id644223359
KR,FREE,IOS,2020,3,M,22,new,,Education,열공시간 - 집중력 공부시간 타이머,Rinasoft Inc.,0.0,"프리미엄 서비스 - 3개월 : ￦5,900 / 프리미엄 서비스 - 6개월 : ￦9,900 / 프리미엄 서비스 - 1개월 : ￦2,500",2018-11-01,12119,https://itunes.apple.com/KR/app/id1435127190
KR,FREE,IOS,2020,3,M,23,new,,Education,학교종이,HYEUNGGYUN KIM,0.0,,2015-10-16,11759,https://itunes.apple.com/KR/app/id1046769258
KR,FREE,IOS,2020,3,M,24,-14,,Education,"스픽 (Speak) - 영어회화, 스피킹, 발음",Speakeasy Labs,0.0,"앱 출시 기념 이벤트 : ￦11,000 / 월간 이용권 : ￦29,000 / 연간 이용권 : ￦179,000",2017-12-21,10985,https://itunes.apple.com/KR/app/id1286609883
KR,FREE,IOS,2020,3,M,25,new,,Education,EBS 초등,EBS(한국교육방송공사),0.0,,2015-01-06,9792,https://itunes.apple.com/KR/app/id950938690
KR,FREE,IOS,2020,3,M,26,new,,Education,Blackboard,Blackboard Inc.,0.0,,2020-06-15,9585,https://itunes.apple.com/KR/app/id950424861
KR,FREE,IOS,2020,3,M,27,new,,Education,디지털교과서 2018,KERIS,0.0,,2018-02-06,9249,https://itunes.apple.com/KR/app/id1343756578
KR,FREE,IOS,2020,3,M,28,new,,Education,틈새단어,주식회사 야나두,0.0,"PRO UPGRADE : ￦99,000",2019-10-11,8412,https://itunes.apple.com/KR/app/id1479391299
KR,FREE,IOS,2020,3,M,29,new,,Education,나이스대국민,KERIS,0.0,,2018-03-25,8169,https://itunes.apple.com/KR/app/id1316357222
KR,FREE,IOS,2020,3,M,30,new,,Education,보육맘,on&on Information System,0.0,,2019-09-11,8127,https://itunes.apple.com/KR/app/id1478844957
KR,FREE,IOS,2020,3,M,31,new,,Education,Quizlet 퀴즐렛 퀴즈렛,Quizlet Inc,0.0,"Quizlet Plus : ￦24,500 / Quizlet Go : ￦15,000",2012-08-08,8024,https://itunes.apple.com/KR/app/id546473125
