"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Education","콴다 - 500만 다운로드 수학 공부앱","Mathpresso","0.0","베이직 정기 구독 : ￦14,000 / 플러스 정기 구독 : ￦21,500 / 프리미엄 정기 구독 : ￦55,000","2017-11-28","272750","https://itunes.apple.com/KR/app/id1270676408"
"2","+5","Education","열정품은 타이머","UnCheon Baek","0.0","","2018-11-16","167759","https://itunes.apple.com/KR/app/id1441909643"
"3","-2","Education","Google Classroom","Google LLC","0.0","","2015-01-13","84479","https://itunes.apple.com/KR/app/id924620788"
"4","+2","Education","스마트 공지시스템 e알리미","(c) E-WUT","0.0","","2014-08-11","72945","https://itunes.apple.com/KR/app/id899929551"
"5","+4","Education","네이버 사전","NAVER Corp.","0.0","","2013-08-19","70851","https://itunes.apple.com/KR/app/id673085116"
"6","+21","Education","Q-Net 큐넷(자격의 모든 것)","한국산업인력공단","0.0","","2013-03-05","59144","https://itunes.apple.com/KR/app/id609324286"
"7","-4","Education","클래스카드","Learnersmind Inc.","0.0","","2017-01-17","50872","https://itunes.apple.com/KR/app/id1176435331"
"8","+6","Education","운전면허 PLUS - 운전면허 필기시험(2020최신판)","Adrock Advertainment","0.0","프리미엄 서비스 : ￦2,500 / 프리미엄서비스 : ￦3,900 / 10타이어 : ￦1,200","2013-05-15","44748","https://itunes.apple.com/KR/app/id644223359"
"9","+7","Education","한국장학재단 앱","kosaf","0.0","","2018-08-20","43849","https://itunes.apple.com/KR/app/id1400580506"
"10","-","Education","커리어넷 앱","한국직업능력개발원","0.0","","2013-01-04","32191","https://itunes.apple.com/KR/app/id590413285"
"11","+8","Education","열공시간 - 집중력 공부시간 타이머","Rinasoft Inc.","0.0","프리미엄 서비스 - 3개월 : ￦5,900 / 프리미엄 서비스 - 6개월 : ￦9,900 / 프리미엄 서비스 - 1개월 : ￦2,500","2018-11-01","31522","https://itunes.apple.com/KR/app/id1435127190"
"12","+9","Education","스픽 (Speak) - 영어회화, 스피킹, 발음","Speakeasy Labs","0.0","앱 출시 기념 이벤트 : ￦11,000 / 월간 이용권 : ￦29,000 / 연간 이용권 : ￦179,000","2017-12-21","23363","https://itunes.apple.com/KR/app/id1286609883"
"13","-2","Education","Cake(케이크) 영어회화","Playlist Corporation","0.0","","2018-04-10","23355","https://itunes.apple.com/KR/app/id1350420987"
"14","+9","Education","고용노동부 HRD-Net 및 출결관리","한국고용정보원","0.0","","2012-12-24","23172","https://itunes.apple.com/KR/app/id588283412"
"15","-2","Education","아이엠스쿨 학교 애플리케이션","NHN Edu Corp.","0.0","","2012-08-21","22516","https://itunes.apple.com/KR/app/id540665717"
"16","-12","Education","클래스팅 - 학교 플랫폼","Classting Inc.","0.0","","2012-03-19","20374","https://itunes.apple.com/KR/app/id510033756"
"17","+17","Education","기출문제","AppSea Soft","0.0","","2014-06-06","19873","https://itunes.apple.com/KR/app/id882313725"
"18","+10","Education","키즈노트 - 원과 가정의 바른소통","Kids Note, Inc","0.0","4~6개월 추억 다운받기 : ￦3,900 / 1~3개월 추억 다운받기 : ￦2,500 / 7~9개월 추억 다운받기 : ￦4,900","2012-05-22","19606","https://itunes.apple.com/KR/app/id527574743"
"19","-7","Education","EBSi 고교강의","EBS(한국교육방송공사)","0.0","","2013-07-12","19169","https://itunes.apple.com/KR/app/id669006959"
"20","+12","Education","코참패스","대한상공회의소","0.0","","2017-03-04","18088","https://itunes.apple.com/KR/app/id1205403862"
"21","+10","Education","탈잉 - 세상의 모든 재능","Taling","0.0","VOD 수강권 : ￦89,000 / VOD 수강권 : ￦23,000 / VOD 수강권 : ￦89,000","2017-03-14","15653","https://itunes.apple.com/KR/app/id1153218962"
"22","+2","Education","Quizlet 퀴즐렛 퀴즈렛","Quizlet Inc","0.0","Quizlet Plus : ￦24,500 / Quizlet Go : ￦15,000","2012-08-08","15119","https://itunes.apple.com/KR/app/id546473125"
"23","-1","Education","커넥츠Q&A: 전과목 결제없는 문제풀이앱(수학, 숙제)","ST&Company inc.","0.0","커넥츠 멤버십 정기결제 : ￦14,000","2018-10-01","14227","https://itunes.apple.com/KR/app/id1435555792"
"24","+11","Education","HelloTalk헬로톡-언어공부 외국친구찾기","HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP","0.0","VIP Membership : ￦38,000 / VIP Membership(Free Trial) : ￦5,500","2012-12-15","12903","https://itunes.apple.com/KR/app/id557130558"
"25","+8","Education","Aqua nManager","CDNetworks Co., Ltd.","0.0","","2015-11-08","12800","https://itunes.apple.com/KR/app/id1048325731"
"26","-9","Education","리로스쿨","rirosoft Inc","0.0","","2015-06-24","12704","https://itunes.apple.com/KR/app/id995221497"
"27","-2","Education","학교종이","HYEUNGGYUN KIM","0.0","","2015-10-16","10670","https://itunes.apple.com/KR/app/id1046769258"
"28","+17","Education","PictureThis：사진을 찍고 식물에 대해 배웁니다","Glority Global Group Ltd.","0.0","PictureThis Premium : ￦24,500 / PictureThis Gold : ￦2,500","2017-09-25","10409","https://itunes.apple.com/KR/app/id1252497129"
"29","-","Education","HelloLMS","IMAXSOFT Inc","0.0","","2019-02-14","9890","https://itunes.apple.com/KR/app/id1450244711"
"30","+7","Education","틈새단어","주식회사 야나두","0.0","PRO UPGRADE : ￦99,000","2019-10-11","9694","https://itunes.apple.com/KR/app/id1479391299"
"31","+12","Education","스피드 운전면허 필기시험 (2020년 최신문항)","Seong Wook Kwak","0.0","","2018-02-14","9656","https://itunes.apple.com/KR/app/id1348210599"
"32","+18","Education","김과외(대한민국 1위 과외 플랫폼)","jaeyong kim","0.0","","2018-07-06","9562","https://itunes.apple.com/KR/app/id1392809044"
"33","+25","Education","윌라 오디오북","influential Corp.","0.0","윌라 프리미엄 올패스 : ￦13,500 / 윌라 오디오 북클럽 : ￦9,900 / 윌라 클래스 멤버스 : ￦9,900","2017-11-14","9535","https://itunes.apple.com/KR/app/id1250319483"
"34","+27","Education","튜터링: 24시간 1:1 영어회화","Tutoring Corp.","0.0","","2016-06-09","9354","https://itunes.apple.com/KR/app/id1115973003"
"35","-15","Education","EBS 초등","EBS(한국교육방송공사)","0.0","","2015-01-06","9319","https://itunes.apple.com/KR/app/id950938690"
"36","+4","Education","듀오링고 (Duolingo)","Duolingo","0.0","Duolingo Plus : ￦105,000","2012-11-13","9259","https://itunes.apple.com/KR/app/id570060128"
"37","+11","Education","임신육아종합포털(아이사랑)","Ministry of Health and Welfare","0.0","","2012-01-03","9057","https://itunes.apple.com/KR/app/id490070696"
"38","-8","Education","JoyTunes의 Simply Piano","JoyTunes","0.0","완전 접근 : ￦105,000 / 프리미엄 액세스 : ￦105,000 / 프리미엄 액세스 (12개월) : ￦84,000","2015-09-01","8966","https://itunes.apple.com/KR/app/id1019442026"
"39","-21","Education","EBS 중학+","EBS(한국교육방송공사)","0.0","프리미엄 강의 1회 이용권 : ￦119,000","2018-04-22","8879","https://itunes.apple.com/KR/app/id1360224883"
"40","+6","Education","AI 토익 튜터, 산타","Riiid, Inc.","0.0","프리패스 2개월 : ￦89,000 / 프리패스 6개월 : ￦129,000 / 프리패스 12개월 : ￦99,000","2017-06-30","8810","https://itunes.apple.com/KR/app/id1148006701"
"41","+19","Education","밀당영어 (공무원영어, 공무원 영단어, 경찰영어)","I Hate Flying Bugs","0.0","","2017-03-29","8577","https://itunes.apple.com/KR/app/id1218091327"
"42","-4","Education","Kahoot! Play & Create Quizzes","Kahoot! AS","0.0","Kahoot! Plus : ￦149,000 / Kahoot! Pro : ￦44,000","2016-09-19","7795","https://itunes.apple.com/KR/app/id1131203560"
"43","-35","Education","위두랑, Wedorang","KERIS","0.0","","2013-07-19","7478","https://itunes.apple.com/KR/app/id669849105"
"44","-2","Education","울학교_스마트 스쿨 라이프(급식/시간표/일정)","Jinhak Co.","0.0","","2018-08-09","7309","https://itunes.apple.com/KR/app/id1417841556"
"45","+19","Education","ETS TOEIC Books by YBM","YBM NET, Inc.","0.0","","2011-11-22","7279","https://itunes.apple.com/KR/app/id480908919"
"46","+13","Education","해커스 MP3 플레이어","Hackers Co., Ltd.","0.0","","2012-06-11","6793","https://itunes.apple.com/KR/app/id531669642"
"47","-6","Education","코스모스","Ubion Co.,Ltd.","0.0","","2016-09-15","6709","https://itunes.apple.com/KR/app/id1142523906"
"48","+3","Education","이투스 수강앱 - Smart Study","ETOOS Education","0.0","","2020-04-01","6459","https://itunes.apple.com/KR/app/id1486564159"
"49","-10","Education","LearningX Student (학습자 용)","Xinics Inc.","0.0","","2018-08-18","6380","https://itunes.apple.com/KR/app/id1428254462"
"50","+18","Education","Star Walk 2 Ads+: 별자리표 AR","Vito Technology Inc.","0.0","Star Walk 2 Ads+: 풀 버전,  광고없는 : ￦7,500 / 풀 버전, 광고없는. 특별 메뉴 : ￦4,900 / Star Walk 2 Ads+ 광고없는 : ￦3,900","2016-07-07","6293","https://itunes.apple.com/KR/app/id1112481571"
"51","-4","Education","투데잇 - Todait","Todait, Inc.","0.0","공부 계획 프리미엄 팩 (D58) : ￦54,000 / 공부 계획 프리미엄 팩 (D50) : ￦63,000 / 공부 계획 프리미엄 팩 (D40) : ￦29,000","2016-05-14","6293","https://itunes.apple.com/KR/app/id1083321139"
"52","-37","Education","하이클래스: 똑똑한 학급소통앱","i-Scream Media CO.,LTD.","0.0","","2020-02-20","6175","https://itunes.apple.com/KR/app/id1472488819"
"53","-1","Education","Photomath","Photomath, Inc.","0.0","Photomath Plus : ￦77,000 / Photomath Plus (1 month) : ￦24,500","2014-10-17","5920","https://itunes.apple.com/KR/app/id919087726"
"54","+3","Education","해커스 토익 기출보카","Champ Study Institute","0.0","","2014-05-19","5895","https://itunes.apple.com/KR/app/id875258834"
"55","-","Education","암기고래","belugaedu","0.0","시원스쿨 1년 프리패스 : ￦119,000 / 시원스쿨 일본어 1년 프리패스 : ￦119,000 / 시원스쿨 중국어 1년 프리패스 : ￦119,000","2016-01-18","5819","https://itunes.apple.com/KR/app/id1071024844"
