Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,IOS,2019,6,M,1,+2,,Education,"스픽 (Speak) - 영어회화, 스피킹, 발음",Speakeasy Labs,0,"앱 출시 기념 이벤트 : ￦11,000 / 월간 이용권 : ￦29,000 / 연간 이용권 : ￦179,000",2017-12-21,380150,https://itunes.apple.com/KR/app/id1286609883
KR,GROSS,IOS,2019,6,M,2,-1,,Education,EWA English: 영어를 말하는 법을 배우십시오,Lithium Lab Pte Ltd,0,"One-Year Subscription : ￦135,000 / Six-Month Subscription : ￦39,000",2017-05-18,160899,https://itunes.apple.com/KR/app/id1200778841
KR,GROSS,IOS,2019,6,M,3,+6,,Education,"AI 토익 튜터, 산타","Riiid, Inc.",0,"프리패스 2개월 : ￦89,000 / 프리패스 6개월 : ￦129,000 / 프리패스 12개월 : ￦99,000",2017-06-30,155266,https://itunes.apple.com/KR/app/id1148006701
KR,GROSS,IOS,2019,6,M,4,-,,Education,쉬운 수학 (Math Learner),Fun Games For Free,0,"Math Plus : ￦33,000",2018-09-06,130514,https://itunes.apple.com/KR/app/id1148728253
KR,GROSS,IOS,2019,6,M,5,-3,,Education,JoyTunes의 Simply Piano,JoyTunes,0,"완전 접근 : ￦105,000 / 프리미엄 액세스 : ￦105,000 / 프리미엄 액세스 (12개월) : ￦84,000",2015-09-01,91031,https://itunes.apple.com/KR/app/id1019442026
KR,GROSS,IOS,2019,6,M,6,-1,,Education,카카오키즈,Yanadoo Corp.,0.0,"1500코인 : ￦3,900 / 2500코인 : ￦5,900 / 5000코인 : ￦12,000",2012-12-13,20365,https://itunes.apple.com/KR/app/id575065652
KR,GROSS,IOS,2019,6,M,7,-1,,Education,윌라 오디오북,influential Corp.,0.0,"윌라 프리미엄 올패스 : ￦13,500 / 윌라 오디오 북클럽 : ￦9,900 / 윌라 클래스 멤버스 : ￦9,900",2017-11-14,18442,https://itunes.apple.com/KR/app/id1250319483
KR,GROSS,IOS,2019,6,M,8,+2,,Education,Bright 초급자를 위한 영어 학습,Language Apps Limited,0.0,"전체 버전 가입 : ￦33,000 / 전체 버전 영구적 가입 : ￦49,000",2017-09-04,18353,https://itunes.apple.com/KR/app/id1258621855
KR,GROSS,IOS,2019,6,M,9,-1,,Education,HelloTalk헬로톡-언어공부 외국친구찾기,HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP,0.0,"VIP Membership : ￦38,000 / VIP Membership(Free Trial) : ￦5,500",2012-12-15,15094,https://itunes.apple.com/KR/app/id557130558
KR,GROSS,IOS,2019,6,M,10,+1,,Education,핑크퐁 TV : 아기상어 동요동화,SmartStudy,0.0,"핑크퐁TV 무제한 통합이용 할인구독권 : ￦11,000 / 애니메이션+EBS 구독권 : ￦12,000 / EBS 이용권 : ￦6,000",2014-05-06,11427,https://itunes.apple.com/KR/app/id860497608
KR,GROSS,IOS,2019,6,M,11,+3,,Education,"Busuu | 외국어 - 영어, 일본어, 중국어 공부",Busuu Limited,0.0,"프리미엄 플러스 : ￦109,000 / 1년 가입 : ￦85,000 / Monthly Subscription : ￦13,000",2010-09-21,11012,https://itunes.apple.com/KR/app/id379968583
KR,GROSS,IOS,2019,6,M,12,-,,Education,듀오링고 (Duolingo),Duolingo,0.0,"Duolingo Plus : ￦105,000",2012-11-13,10689,https://itunes.apple.com/KR/app/id570060128
KR,GROSS,IOS,2019,6,M,13,+4,,Education,뉴로제타스톤,"Rosetta Stone, Ltd.",0.0,"영어 12 개월 이용권 : ￦119,000 / 영어(미국) (1-5단계) : ￦249,000 / 언어 무제한 - 12 개월 이용권 : ￦119,000",2011-08-04,8585,https://itunes.apple.com/KR/app/id435588892
KR,GROSS,IOS,2019,6,M,14,+2,,Education,Epic! - Kids’ Books and Videos,"Epic Creations, Inc.",0.0,"무제한 어린이 도서 : ￦6,000 / 무제한 어린이 도서 : ￦98,000 / Unlimited Children's Books : ￦10,500",2013-12-01,8518,https://itunes.apple.com/KR/app/id719219382
KR,GROSS,IOS,2019,6,M,15,+10,,Education,Lingokids - 어린이 위한 영어,Monkimun Inc,0.0,"Lingokids : ￦99,000 / Lingokids : ￦12,000 / Lingokids : ￦29,000 / Unlimited Membership : ￦23,500 / Premium Plan : ￦27,000",2015-09-10,8281,https://itunes.apple.com/KR/app/id1002043426
KR,GROSS,IOS,2019,6,M,16,+2,,Education,쎔 SEM 영화/미드로 영어 공부,"Harrison & Company, Inc",0.0,"슈퍼맨 : ￦5,900 / 슈퍼맨2 : ￦5,900 / 해피피트 : ￦5,900",2015-03-03,8234,https://itunes.apple.com/KR/app/id913897709
KR,GROSS,IOS,2019,6,M,17,-2,,Education,Study with Chegg Homework Help,"Chegg, Inc.",0.0,"Chegg Study : ￦18,500 / Chegg Study : ￦18,500 / Chegg Study Basic : ￦20,000",2010-08-09,7716,https://itunes.apple.com/KR/app/id385758163
KR,GROSS,IOS,2019,6,M,18,-11,,Education,캐치잇 잉글리시,"CatchItPlay, Inc.",0.0,"빌딩 : ￦21,000 / 월 정기권 : ￦6,900 / 월 정기권(할인) : ￦3,900",2014-06-21,7139,https://itunes.apple.com/KR/app/id881322806
KR,GROSS,IOS,2019,6,M,19,+2,,Education,EBS어학FM,"Dong-A publishing Co., Ltd",0.0,"EBS 초급일본어회화 10월호 : ￦3,900 / EBS 중급일본어회화 10월호 : ￦3,900 / EBS 초급중국어회화 10월호 : ￦3,900",2011-03-13,7003,https://itunes.apple.com/KR/app/id424184555
KR,GROSS,IOS,2019,6,M,20,+3,,Education,암기고래,belugaedu,0.0,"시원스쿨 1년 프리패스 : ￦119,000 / 시원스쿨 일본어 1년 프리패스 : ￦119,000 / 시원스쿨 중국어 1년 프리패스 : ￦119,000",2016-01-18,6328,https://itunes.apple.com/KR/app/id1071024844
KR,GROSS,IOS,2019,6,M,21,+1,,Education,Tandem 탄뎀 언어교환어플 - 외국인 친구 사귀기,Tripod Technology,0.0,"Tandem Pro – 1개월 : ￦8,500 / Tandem Pro – 1년 : ￦60,000",2015-02-20,6242,https://itunes.apple.com/KR/app/id959001619
KR,GROSS,IOS,2019,6,M,22,+8,,Education,멤라이즈와 함께 외국어 공부하기,Memrise,0.0,"Monthly Language Learning Plan : ￦9,000 / Memrise Subscription Offer : ￦65,000",2013-05-20,6208,https://itunes.apple.com/KR/app/id635966718
KR,GROSS,IOS,2019,6,M,23,-3,,Education,Quizlet 퀴즐렛 퀴즈렛,Quizlet Inc,0.0,"Quizlet Plus : ￦24,500 / Quizlet Go : ￦15,000",2012-08-08,6164,https://itunes.apple.com/KR/app/id546473125
KR,GROSS,IOS,2019,6,M,24,new,,Simulation,어비스리움 - 탭으로 키우는 수족관,SangHeon Kim,0,"초심자 팩 : ￦5,900 / 슈퍼 세일 팩 : ￦1,200 / 농장 자동 수확 : ￦1,200",2016-07-14,6000,https://itunes.apple.com/KR/app/id1068366937
KR,GROSS,IOS,2019,6,M,25,+19,,Education,리딩게이트,"Reading Gate Co., LTD.",0.0,"온라인 학습 이용권 1개월 : ￦30,000 / 온라인 학습 이용권 6개월권 : ￦139,000",2017-03-13,5968,https://itunes.apple.com/KR/app/id1207688674
KR,GROSS,IOS,2019,6,M,26,+1,,Education,투데잇 - Todait,"Todait, Inc.",0.0,"공부 계획 프리미엄 팩 (D58) : ￦54,000 / 공부 계획 프리미엄 팩 (D50) : ￦63,000 / 공부 계획 프리미엄 팩 (D40) : ￦29,000",2016-05-14,5821,https://itunes.apple.com/KR/app/id1083321139
KR,GROSS,IOS,2019,6,M,27,+2,,Education,콴다 - 500만 다운로드 수학 공부앱,Mathpresso,0.0,"베이직 정기 구독 : ￦14,000 / 플러스 정기 구독 : ￦21,500 / 프리미엄 정기 구독 : ￦55,000",2017-11-28,4997,https://itunes.apple.com/KR/app/id1270676408
KR,GROSS,IOS,2019,6,M,28,-4,,Education,핑크퐁! 인기동요∙동화,SmartStudy,0.0,"쿵작쿵작 신나는 인기율동동요 : ￦4,900 / 숲속마을 동물친구 인기율동동요 : ￦4,900 / 깡총깡총 으쓱으쓱 인기율동동요 : ￦4,900",2011-06-22,4858,https://itunes.apple.com/KR/app/id441050169
KR,GROSS,IOS,2019,6,M,29,+11,,Education,에듀캐스트: 온라인 강의 학습,"Educast Co., Ltd.",0.0,"쵸크 1개 : ￦3,900 / 쵸크 5개 : ￦5,900 / 쵸크 11개 : ￦12,000",2016-04-19,4674,https://itunes.apple.com/KR/app/id1098479953
KR,GROSS,IOS,2019,6,M,30,+11,,Education,에어클래스,"Quriously, Inc.",0.0,"4,900 캐시 : ￦4,900 / 9,900 캐시 : ￦9,900 / 29,000 캐시 : ￦29,000",2014-10-09,4551,https://itunes.apple.com/KR/app/id894926532
KR,GROSS,IOS,2019,6,M,31,+22,,Education,리틀팍스 - 영어동화 도서관,LITTLE FOX INC.,0.0,"Little Fox 1 Month Membership : ￦25,000",2013-01-19,4482,https://itunes.apple.com/KR/app/id577332278
KR,GROSS,IOS,2019,6,M,32,-,,Education,미티영 : 미국 티비로 영어 리스닝 끝내기,byungchol kim,0.0,"1개월권 : ￦5,900 / 미티영 30일 이용권 (첫날할인) : ￦4,900 / 미티영 90일 이용권 : ￦17,000",2015-07-10,4400,https://itunes.apple.com/KR/app/id1000047719
KR,GROSS,IOS,2019,6,M,33,-7,,Education,개념 한국사,별책,"￦3,900",,2015-07-20,4347,https://itunes.apple.com/KR/app/id994470614
KR,GROSS,IOS,2019,6,M,34,-,,Education,배우는 외국어 - LinGo Play - 언어 배우기,Lingo Play Ltd,0.0,"7 days FREE trial : ￦14,500 / Language learning for 30 days : ￦24,500 / 1 month trial : ￦24,500",2015-03-09,4335,https://itunes.apple.com/KR/app/id969976197
KR,GROSS,IOS,2019,6,M,35,+22,,Education,슈퍼팬,Qualson,0.0,"자유이용권 1개월 : ￦21,000 / 자유이용권 12개월 : ￦55,000 / 자유이용권 3개월 : ￦31,000",2016-09-02,4120,https://itunes.apple.com/KR/app/id1139458445
KR,GROSS,IOS,2019,6,M,36,+15,,Education,Ling 영어 배우기 -  우리 아이 영어 공부 첫걸음,Generation Z Inc.,0.0,"Learn English : ￦49,000 / You new language : ￦49,000 / Premium : ￦49,000",2017-04-11,3905,https://itunes.apple.com/KR/app/id1201153518
KR,GROSS,IOS,2019,6,M,37,+13,,Education,Blinkist: 15min Book Insights,Blinks Labs,0.0,"Blinkist Premium (1 Year) : ￦98,000 / Blinkist Premium (1 year) : ￦79,000",2013-11-13,3800,https://itunes.apple.com/KR/app/id568839295
KR,GROSS,IOS,2019,6,M,38,+35,,Education,FluentU - 외국어 공부,FluentU,0.0,"FluentU Plus : ￦18,000 / FluentU Plus : $319.99 / FluentU Plus : $39.99",2020-06-28,3800,https://itunes.apple.com/KR/app/id917892175
KR,GROSS,IOS,2019,6,M,39,+4,,Education,Peak - 브레인 트레이닝,brainbow,0.0,"Peak Pro Plan : ￦42,000 / Peak pro : ￦44,000",2014-09-01,3787,https://itunes.apple.com/KR/app/id806223188
KR,GROSS,IOS,2019,6,M,40,-4,,Education,핑크퐁! 가나다 한글,SmartStudy,0.0,"가나다 한글 전체 세트 : ￦16,000",2017-09-20,3743,https://itunes.apple.com/KR/app/id1239679037
KR,GROSS,IOS,2019,6,M,41,-8,,Education,Drops: 외국어 공부 앱,PLANB LABS OU,0.0,"프리미엄 : ￦12,000",2014-11-14,3550,https://itunes.apple.com/KR/app/id939540371
KR,GROSS,IOS,2019,6,M,42,+39,,Education,실전영어 트레이닝 오잉글리시,hanbitsoft inc.,0.0,"30일 이용권 : ￦41,000 / 연간 이용권 : ￦199,000 / 오잉 30일 재이용권 : ￦36,000",2020-04-21,3500,https://itunes.apple.com/KR/app/id1150318448
KR,GROSS,IOS,2019,6,M,43,+15,,Education,파이널리스피크 : No.1 영어회화 훈련 어플,"INTORAW Inc,.",0.0,"30일 이용권 : ￦9,900 / 90일 이용권 : ￦23,000 / 365일 이용권 : ￦65,000",2016-01-12,3409,https://itunes.apple.com/KR/app/id1058333712
KR,GROSS,IOS,2019,6,M,44,-2,,Education,원보카 - 나만의 단어장,Minsu Kim,0.0,"슬롯 확장 (1000칸) : ￦2,500 / 슬롯 확장 (5000칸) : ￦9,900",2017-06-02,3244,https://itunes.apple.com/KR/app/id1242173441
