"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","스픽 (Speak) - 영어회화, 스피킹, 발음","Speakeasy Labs","0.0","앱 출시 기념 이벤트 : ￦11,000 / 월간 이용권 : ￦29,000 / 연간 이용권 : ￦179,000","2017-12-21","304677","https://itunes.apple.com/KR/app/id1286609883"
"2","-","Education","JoyTunes의 Simply Piano","JoyTunes","0.0","완전 접근 : ￦105,000 / 프리미엄 액세스 : ￦105,000 / 프리미엄 액세스 (12개월) : ￦84,000","2015-09-01","144346","https://itunes.apple.com/KR/app/id1019442026"
"3","-","Education","탈잉 - 세상의 모든 재능","Taling","0.0","VOD 수강권 : ￦89,000 / VOD 수강권 : ￦23,000 / VOD 수강권 : ￦89,000","2017-03-14","81990","https://itunes.apple.com/KR/app/id1153218962"
"4","+1","Education","윌라 오디오북","influential Corp.","0.0","윌라 프리미엄 올패스 : ￦13,500 / 윌라 오디오 북클럽 : ￦9,900 / 윌라 클래스 멤버스 : ￦9,900","2017-11-14","62909","https://itunes.apple.com/KR/app/id1250319483"
"5","+1","Education","카카오키즈","Yanadoo Corp.","0.0","1500코인 : ￦3,900 / 2500코인 : ￦5,900 / 5000코인 : ￦12,000","2012-12-13","58543","https://itunes.apple.com/KR/app/id575065652"
"6","-2","Education","EWA English: 영어를 말하는 법을 배우십시오","Lithium Lab Pte Ltd","0.0","One-Year Subscription : ￦135,000 / Six-Month Subscription : ￦39,000","2017-05-18","51489","https://itunes.apple.com/KR/app/id1200778841"
"7","+3","Education","Lingokids - 어린이 위한 영어","Monkimun Inc","0.0","Lingokids : ￦99,000 / Lingokids : ￦12,000 / Lingokids : ￦29,000 / Unlimited Membership : ￦23,500 / Premium Plan : ￦27,000","2015-09-10","49581","https://itunes.apple.com/KR/app/id1002043426"
"8","+3","Education","토도 수학","Enuma, Inc.","0.0","One Year Subscription : ￦89,000 / Two Years Subscription : ￦109,000","2013-08-15","44682","https://itunes.apple.com/KR/app/id666465255"
"9","-1","Education","듀오링고 (Duolingo)","Duolingo","0.0","Duolingo Plus : ￦105,000","2012-11-13","42596","https://itunes.apple.com/KR/app/id570060128"
"10","-1","Education","쉬운 수학 (Math Learner)","Fun Games For Free","0.0","Math Plus : ￦33,000","2018-09-06","32647","https://itunes.apple.com/KR/app/id1148728253"
