Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,PAID,IOS,2019,3,M,1,-,,Education,개념 한국사,별책,"￦3,900",,2015-07-20,167082,https://itunes.apple.com/KR/app/id994470614
KR,PAID,IOS,2019,3,M,10,-7,,Education,8-STEP 영어회화 자동암기,Woori Kim,"￦5,900","응원하기 : ￦5,900 / 응원하기 : ￦3,900 / 응원하기 : ￦5,900",2016-11-02,35286,https://itunes.apple.com/KR/app/id1007368983
KR,PAID,IOS,2019,3,M,100,-3,,Education,천문학 3D+: Sky Map,Sanville Software,"￦3,900","더 많은 별 : ￦2,500",2010-01-25,3605,https://itunes.apple.com/KR/app/id351986992
KR,PAID,IOS,2019,3,M,101,+25,,Education,키즈 뮤지션 - 악기연주,dayYom ( '')/,"￦2,500",,2011-09-19,3435,https://itunes.apple.com/KR/app/id465292787
KR,PAID,IOS,2019,3,M,102,+7,,Education,천문학 3D,Sanville Software,"￦2,500","별자리 아트 : ￦1,200 / 더 많은 별 : ￦2,500",2009-07-27,3378,https://itunes.apple.com/KR/app/id324038407
KR,PAID,IOS,2019,3,M,103,+78,,Education,Dr. Panda의 레스토랑 2,Dr. Panda Ltd,"￦4,900",,2014-02-13,3350,https://itunes.apple.com/KR/app/id796333129
KR,PAID,IOS,2019,3,M,104,+50,,Education,바른 발음 - 우리말 발음 공부,별책,"￦2,500",,2014-01-09,3312,https://itunes.apple.com/KR/app/id785176960
KR,PAID,IOS,2019,3,M,105,+54,,Education,A Plus - 대학 생활 필수앱,Youk Chansim,"￦2,500",,2018-01-01,3281,https://itunes.apple.com/KR/app/id1330224186
KR,PAID,IOS,2019,3,M,106,+87,,Education,사면초가: 사자성어 공부,별책,"￦2,500",,2014-03-07,3188,https://itunes.apple.com/KR/app/id826905412
KR,PAID,IOS,2019,3,M,107,+1,,Education,VerbForms Español,Laura Mueller,"￦4,900",,2010-10-07,3184,https://itunes.apple.com/KR/app/id395718701
KR,PAID,IOS,2019,3,M,108,+25,,Education,자장자장 서커스,Fox and Sheep GmbH,"￦3,900","동물 세트 1 : ￦2,500",2014-11-05,3181,https://itunes.apple.com/KR/app/id931936670
KR,PAID,IOS,2019,3,M,109,+21,,Education,최고 어휘,별책,"￦2,500",,2015-03-23,3145,https://itunes.apple.com/KR/app/id972111984
KR,PAID,IOS,2019,3,M,11,+45,,Education,Haus - 암기앱,Sung Hee Bae,"￦1,200","Pro Kit (42% 할인) : ￦3,900 / 폴더1 : ￦1,200 / 알람 : ￦1,200",2018-11-01,34614,https://itunes.apple.com/KR/app/id1438957387
KR,PAID,IOS,2019,3,M,110,-8,,Education,마이클의 영어 5분 과외,IDEASAM,"￦2,500",,2018-03-07,3143,https://itunes.apple.com/KR/app/id598857601
KR,PAID,IOS,2019,3,M,111,-30,,Education,뇌새김 영단어 - TEPS,WEAVERSMIND,"￦20,000",,2017-01-04,3136,https://itunes.apple.com/KR/app/id437447520
KR,PAID,IOS,2019,3,M,112,+45,,Education,영어 듣기 플레이어 Listano,Yosuke Oki,"￦3,900",,2013-01-04,3128,https://itunes.apple.com/KR/app/id588732209
KR,PAID,IOS,2019,3,M,113,+252,,Education,Fiete Math Climber,Ahoiii Entertainment,"￦2,500",,,3085,https://itunes.apple.com/KR/app/id1271712039
KR,PAID,IOS,2019,3,M,114,+46,,Education,Sounds of Speech,The University of Iowa Research Foundation,"￦4,900",,2014-01-02,3001,https://itunes.apple.com/KR/app/id780656219
KR,PAID,IOS,2019,3,M,115,+6,,Education,도전! 사자성어 Chinese Four-Idiom,"DaolSoft, Co., Ltd.","￦1,200",,2009-05-28,2916,https://itunes.apple.com/KR/app/id316361170
KR,PAID,IOS,2019,3,M,116,+78,,Education,프랑스어는 뻔한 패턴의 반복이다 Full,Mi Seon Seo,"￦4,900",,2013-11-08,2908,https://itunes.apple.com/KR/app/id738209405
KR,PAID,IOS,2019,3,M,117,-58,,Education,우끼는 채소! 어린이와 유아에게 교육적인 게임.,"DOG&FROG Educational preschool kids games for girls and boys, toddlers and babies","￦3,900",,2013-10-24,2898,https://itunes.apple.com/KR/app/id724786142
KR,PAID,IOS,2019,3,M,118,-50,,Education,토막 영작,별책,"￦2,500",,2016-04-01,2898,https://itunes.apple.com/KR/app/id1087204888
KR,PAID,IOS,2019,3,M,119,+31,,Education,토익 영단어 완전학습 - 사전 & 단어장,kyochoul lee,"￦5,900",,2015-08-11,2873,https://itunes.apple.com/KR/app/id957054160
KR,PAID,IOS,2019,3,M,12,+7,,Education,AnkiMobile Flashcards,Ankitects Pty Ltd,"￦31,000",,2010-05-26,33284,https://itunes.apple.com/KR/app/id373493387
KR,PAID,IOS,2019,3,M,120,+4,,Education,NEXUS 중국어일기 표현사전,"DaolSoft, Co., Ltd.","￦16,000",,2009-08-09,2868,https://itunes.apple.com/KR/app/id325626557
KR,PAID,IOS,2019,3,M,121,-10,,Education,중국어는 뻔한 패턴의 반복이다 Full,Mi Seon Seo,"￦4,900",,2013-12-02,2863,https://itunes.apple.com/KR/app/id767097566
KR,PAID,IOS,2019,3,M,122,+76,,Education,외래어 표기,별책,"￦2,500",,2015-09-08,2860,https://itunes.apple.com/KR/app/id1034669885
KR,PAID,IOS,2019,3,M,123,+212,,Education,Toca Lab: Plants,Toca Boca AB,"￦4,900",,2017-06-14,2817,https://itunes.apple.com/KR/app/id1225994089
KR,PAID,IOS,2019,3,M,124,-29,,Education,NEXUS 일본어일기 표현사전,"DaolSoft, Co., Ltd.","￦15,000",,2009-08-24,2777,https://itunes.apple.com/KR/app/id326610446
KR,PAID,IOS,2019,3,M,125,+48,,Education,Mensa Brain Test,Barnstorm Games,"￦2,500",,2010-09-16,2776,https://itunes.apple.com/KR/app/id387692731
KR,PAID,IOS,2019,3,M,126,+1,,Education,닥터팬더의 아이스크림 트럭,Dr. Panda Ltd,"￦4,900",,2015-03-12,2758,https://itunes.apple.com/KR/app/id950593464
KR,PAID,IOS,2019,3,M,127,+8,,Education,Tinybop의 지구,Tinybop Inc.,"￦3,900",,2015-09-13,2751,https://itunes.apple.com/KR/app/id1001247878
KR,PAID,IOS,2019,3,M,128,-49,,Education,끄덕끄덕 중국어,IDEASAM,"￦5,900",,2017-10-26,2741,https://itunes.apple.com/KR/app/id543488637
KR,PAID,IOS,2019,3,M,129,+3,,Education,Kids Songs Machine,Genera Kids,"￦3,900",,2013-10-17,2668,https://itunes.apple.com/KR/app/id357884687
KR,PAID,IOS,2019,3,M,13,+9,,Education,스캔 및 번역 - 사진을 텍스트로 변환,Tiemei Yan,"￦3,900","Pro Version : ￦3,900",2018-03-14,26452,https://itunes.apple.com/KR/app/id1359014928
KR,PAID,IOS,2019,3,M,130,-36,,Education,일본어 회화 사전 - Jp Conversation,"DaolSoft, Co., Ltd.","￦15,000",,2009-12-15,2640,https://itunes.apple.com/KR/app/id343556122
