"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Wordmaster 워드마스터 수능 2000(18개정)","ETOOS Education","￦4,900","","2018-11-17","147495","https://itunes.apple.com/KR/app/id1441713524"
"2","+2","Education","8-STEP 영어회화 자동암기","Woori Kim","￦4,900","응원하기 : ￦5,900 / 응원하기 : ￦3,900 / 응원하기 : ￦5,900","2016-11-02","140499","https://itunes.apple.com/KR/app/id1007368983"
"3","-1","Education","개념 한국사","별책","￦3,900","","2015-07-20","131913","https://itunes.apple.com/KR/app/id994470614"
"4","+2","Productivity","Notability","Ginger Labs","￦11,000","풍선껌 팩 : ￦2,500 / 봄 테마 : ￦1,200 / 필기 인식 : ￦3,900","2010-04-01","76836","https://itunes.apple.com/KR/app/id360593530"
"5","+4","Education","TEDICT","CoCO SWING","￦4,900","","2012-08-14","40239","https://itunes.apple.com/KR/app/id537961396"
"6","+2","Music","iReal Pro","Technimo LLC","￦17,000","Jazz Styles Pack : 0 / Latin Styles Pack : 0 / Pop Styles Pack : 0","2008-12-02","37006","https://itunes.apple.com/KR/app/id298206806"
"7","-4","Puzzle","7 Billion Humans","Experimental Gameplay Group","￦3,900","","2018-12-06","35737","https://itunes.apple.com/KR/app/id1393923918"
"8","+4","Education","Flashcards Deluxe","OrangeOrApple.com","￦4,900","","2009-03-26","35456","https://itunes.apple.com/KR/app/id307840670"
"9","-4","Education","한국사 능력","별책","￦3,900","","2019-01-14","34893","https://itunes.apple.com/KR/app/id1445502301"
"10","+12","Education","우리말 공부","별책","￦4,900","","2018-04-05","28090","https://itunes.apple.com/KR/app/id1332548752"
"11","+5","Education","우리말 공부 완성판","별책","앱 번들 ￦7,500","","2015-09-30","20244","https://itunes.apple.com/KR/app/id1038340147"
"12","-2","Education","Speater (Smart Repeater)","Sungyoon","￦5,900","","2012-08-08","20086","https://itunes.apple.com/KR/app/id549627415"
"13","-6","Education","영단어 완전학습 - 영어사전 & 단어장","kyochoul lee","￦5,900","","2015-09-09","17856","https://itunes.apple.com/KR/app/id995780261"
"14","+6","Education","마니행정학","Manhi Kim","￦2,500","","2019-08-16","17587","https://itunes.apple.com/KR/app/id1475461596"
"15","+14","Strategy","Civilization Revolution 2","2K","￦5,900","","2014-07-18","15737","https://itunes.apple.com/KR/app/id864880531"
"16","-3","Education","Word Master 워드마스터 수능 2000(개정)","ETOOS Education","￦4,900","","2016-11-11","12549","https://itunes.apple.com/KR/app/id1174330013"
"17","+1","Reference","스카이 가이드","Fifth Star Labs LLC","￦3,900","슈퍼매시브 : ￦3,000","2013-05-06","11455","https://itunes.apple.com/KR/app/id576588894"
"18","+3","Simulation","Pocket Aquarium!","yuan liu","¥6.00","","2016-12-02","11392","https://itunes.apple.com/KR/app/id1180989940"
"19","+16","Education","Calculator ∞ - 공학용 계산기","Incpt.Mobis","￦3,900","","2011-09-15","10353","https://itunes.apple.com/KR/app/id458535809"
"20","+36","Education","Haus - 암기앱","Sung Hee Bae","￦1,200","Pro Kit (42% 할인) : ￦3,900 / 폴더1 : ￦1,200 / 알람 : ￦1,200","2018-11-01","10041","https://itunes.apple.com/KR/app/id1438957387"
