Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,AND,2019,6,M,1,+1,,Travel & Local,"네이버 지도, 내비게이션",NAVER Corp.,0.0,,2020-05-27,265809,https://play.google.com/store/apps/details?id=com.nhn.android.nmap
KR,FREE,AND,2019,6,M,2,-1,,Travel & Local,SRT - 수서고속철도(NEW),㈜SR - 새로운 고속열차 SRT,0.0,,2019-07-17,161908,https://play.google.com/store/apps/details?id=kr.co.srail.newapp
KR,FREE,AND,2019,6,M,3,-,,Travel & Local,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Kakao Corp.,0.0,,2020-07-13,134049,https://play.google.com/store/apps/details?id=net.daum.android.map
KR,FREE,AND,2019,6,M,4,-,,Travel & Local,코레일톡,KORAIL,0.0,,2020-07-01,73606,https://play.google.com/store/apps/details?id=com.korail.talk
KR,FREE,AND,2019,6,M,5,-,,Travel & Local,트리플 - 여행 가이드,Triple Corp.,0.0,,2020-07-15,58368,https://play.google.com/store/apps/details?id=com.titicacacorp.triple
KR,FREE,AND,2019,6,M,6,+6,,Travel & Local,"트립스토어 - 특가 여행 : 국내 호텔, 해외 패키지 예약",트립스토어,0.0,,2020-07-03,51560,https://play.google.com/store/apps/details?id=kr.tripstore.tripstore
KR,FREE,AND,2019,6,M,7,-1,,Travel & Local,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 레저, 렌터카, KTX 최대 80% 할인",(주)야놀자,0.0,,2020-07-14,49350,https://play.google.com/store/apps/details?id=com.cultsotry.yanolja.nativeapp
KR,FREE,AND,2019,6,M,8,-1,,Travel & Local,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",GC COMPANY Corp.,0.0,,2020-07-14,40148,https://play.google.com/store/apps/details?id=kr.goodchoice.abouthere
KR,FREE,AND,2019,6,M,9,-1,,Travel & Local,"트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱",Trip.com,0.0,,2020-07-06,34803,https://play.google.com/store/apps/details?id=ctrip.english
KR,FREE,AND,2019,6,M,10,-1,,Travel & Local,"스카이스캐너 – 항공권,호텔,렌터카 최저가 비교 예약",Skyscanner Ltd,0.0,,2020-07-13,31077,https://play.google.com/store/apps/details?id=net.skyscanner.android.main
KR,FREE,AND,2019,6,M,11,-,,Travel & Local,아고다 (Agoda),agoda.com,0.0,,2020-07-15,28443,https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer
KR,FREE,AND,2019,6,M,12,+6,,Travel & Local,호텔스컴바인 - 전 세계 호텔 가격비교 & 예약,HotelsCombined.com,0.0,,2020-07-13,22601,https://play.google.com/store/apps/details?id=com.hotelscombined.mobile
KR,FREE,AND,2019,6,M,13,-,,Travel & Local,"호텔스닷컴: 호텔, 펜션, 리조트를 최저가로 예약하세요",Hotels.com LP,0.0,,2020-07-01,22590,https://play.google.com/store/apps/details?id=com.hcom.android
KR,FREE,AND,2019,6,M,14,+2,,Travel & Local,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,Airbnb,0.0,,2020-07-14,22165,https://play.google.com/store/apps/details?id=com.airbnb.android
KR,FREE,AND,2019,6,M,15,-,,Maps & Navigations,"GPS,지도, 음성 내비게이션 및 목적지",AppStar Studios,0.0,"항목당 ₩1,000 - ₩4,000",2020-07-13,21614,https://play.google.com/store/apps/details?id=com.maps.voice.navigation.traffic.gps.location.route.driving.directions
KR,FREE,AND,2019,6,M,16,-2,,Travel & Local,제주항공,jejuair,0.0,,2020-07-06,20401,https://play.google.com/store/apps/details?id=com.parksmt.jejuair.android16
KR,FREE,AND,2019,6,M,17,-7,,Travel & Local,"KLOOK 클룩: 해외여행, 국내여행 가이드, 자유여행, 투어 추천, 액티비티 예약",Klook Travel Technology Ltd.,0.0,,2020-07-08,18092,https://play.google.com/store/apps/details?id=com.klook
KR,FREE,AND,2019,6,M,18,+1,,Travel & Local,"Google Maps Go - 경로, 교통정보, 대중교통",Google LLC,0.0,,2020-07-14,17778,https://play.google.com/store/apps/details?id=com.google.android.apps.mapslite
KR,FREE,AND,2019,6,M,19,-2,,Travel & Local,대한항공,"KOREAN AIR LINES.CO., LTD.",0.0,,2020-06-16,16959,https://play.google.com/store/apps/details?id=Kal.FlightInfo
KR,FREE,AND,2019,6,M,20,+18,,Travel & Local,제주지니 – 똑똑한 제주여행,제주은행(JBANK),0.0,,2020-06-11,15276,https://play.google.com/store/apps/details?id=com.jeju.genie
KR,FREE,AND,2019,6,M,21,+1,,Travel & Local,아시아나항공,Asiana Airlines,0.0,,2020-06-19,15051,https://play.google.com/store/apps/details?id=com.ssm.asiana
KR,FREE,AND,2019,6,M,22,-1,,Travel & Local,데일리호텔,데일리호텔,0.0,,2020-07-15,15024,https://play.google.com/store/apps/details?id=com.twoheart.dailyhotel
KR,FREE,AND,2019,6,M,23,+1,,Travel & Local,"익스피디아 - 항공권, 호텔, 여행 계획",Expedia,0.0,,2020-07-13,12852,https://play.google.com/store/apps/details?id=com.expedia.bookings
KR,FREE,AND,2019,6,M,24,-4,,Travel & Local,마이리얼트립,마이리얼트립,0.0,,2020-06-27,12678,https://play.google.com/store/apps/details?id=com.mrt.ducati
KR,FREE,AND,2019,6,M,25,-2,,Travel & Local,"하나투어 - 해외여행, 항공, 호텔, 현지투어, 국내여행",Hanatour Service Inc,0.0,,2020-05-29,12650,https://play.google.com/store/apps/details?id=com.hanatour.dotcom
KR,FREE,AND,2019,6,M,26,+10,,Travel & Local,소노호텔&리조트,SONO HOTELS & RESORTS,0.0,,2020-07-09,12395,https://play.google.com/store/apps/details?id=com.mn.daemyungresort
KR,FREE,AND,2019,6,M,27,-2,,Travel & Local,"인터파크투어 - 특가항공권, 호텔/펜션/리조트예약",INTERPARK,0.0,,2020-07-14,11855,https://play.google.com/store/apps/details?id=com.interpark.tour.mobile.main
