"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Travel & Local","SRT - 수서고속철도(NEW)","㈜SR - 새로운 고속열차 SRT","0.0","","2019-07-17","240103","https://play.google.com/store/apps/details?id=kr.co.srail.newapp"
"2","-1","Travel & Local","네이버 지도, 내비게이션","NAVER Corp.","0.0","","2020-05-27","197010","https://play.google.com/store/apps/details?id=com.nhn.android.nmap"
"3","-","Travel & Local","카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 )","Kakao Corp.","0.0","","2020-07-13","105868","https://play.google.com/store/apps/details?id=net.daum.android.map"
"4","+2","Travel & Local","야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 레저, 렌터카, KTX 최대 80% 할인","(주)야놀자","0.0","","2020-07-14","94726","https://play.google.com/store/apps/details?id=com.cultsotry.yanolja.nativeapp"
"5","-","Travel & Local","여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","GC COMPANY Corp.","0.0","","2020-07-14","70932","https://play.google.com/store/apps/details?id=kr.goodchoice.abouthere"
"6","-2","Travel & Local","코레일톡","KORAIL","0.0","","2020-07-01","70654","https://play.google.com/store/apps/details?id=com.korail.talk"
"7","-","Travel & Local","트리플 - 여행 가이드","Triple Corp.","0.0","","2020-07-15","45171","https://play.google.com/store/apps/details?id=com.titicacacorp.triple"
"8","+1","Travel & Local","트립스토어 - 특가 여행 : 국내 호텔, 해외 패키지 예약","트립스토어","0.0","","2020-07-03","35417","https://play.google.com/store/apps/details?id=kr.tripstore.tripstore"
"9","+3","Travel & Local","호텔스닷컴: 호텔, 펜션, 리조트를 최저가로 예약하세요","Hotels.com LP","0.0","","2020-07-01","34802","https://play.google.com/store/apps/details?id=com.hcom.android"
"10","+7","Travel & Local","소노호텔&리조트","SONO HOTELS & RESORTS","0.0","","2020-07-09","29833","https://play.google.com/store/apps/details?id=com.mn.daemyungresort"
"11","-3","Travel & Local","트립닷컴 - 전 세계 항공권, 호텔, 기차표 & 액티비티 특가 예약, 블록버스터급 여행앱","Trip.com","0.0","","2020-07-06","28118","https://play.google.com/store/apps/details?id=ctrip.english"
"12","-1","Travel & Local","아고다 (Agoda)","agoda.com","0.0","","2020-07-15","26497","https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer"
"13","-3","Travel & Local","스카이스캐너 – 항공권,호텔,렌터카 최저가 비교 예약","Skyscanner Ltd","0.0","","2020-07-13","23643","https://play.google.com/store/apps/details?id=net.skyscanner.android.main"
"14","+1","Travel & Local","데일리호텔","데일리호텔","0.0","","2020-07-15","22964","https://play.google.com/store/apps/details?id=com.twoheart.dailyhotel"
"15","-2","Travel & Local","호텔스컴바인 - 전 세계 호텔 가격비교 & 예약","HotelsCombined.com","0.0","","2020-07-13","21856","https://play.google.com/store/apps/details?id=com.hotelscombined.mobile"
"16","+43","Travel & Local","T map 주차 - 티맵주차, T맵주차","SKTelecom","0.0","","2020-06-29","20225","https://play.google.com/store/apps/details?id=com.tmapparking.user"
"17","-3","Travel & Local","Airbnb (에어비앤비) - 색다른 숙소 특별한 여행","Airbnb","0.0","","2020-07-14","19839","https://play.google.com/store/apps/details?id=com.airbnb.android"
"18","-","Travel & Local","대한항공","KOREAN AIR LINES.CO., LTD.","0.0","","2020-06-16","17965","https://play.google.com/store/apps/details?id=Kal.FlightInfo"
"19","+2","Travel & Local","트리바고: 호텔 요금 비교","trivago","0.0","","2020-07-08","15995","https://play.google.com/store/apps/details?id=com.trivago"
"20","-1","Travel & Local","익스피디아 - 항공권, 호텔, 여행 계획","Expedia","0.0","","2020-07-13","15320","https://play.google.com/store/apps/details?id=com.expedia.bookings"
"21","-1","Travel & Local","Google Maps Go - 경로, 교통정보, 대중교통","Google LLC","0.0","","2020-07-14","14637","https://play.google.com/store/apps/details?id=com.google.android.apps.mapslite"
"22","+3","Travel & Local","마이리얼트립","마이리얼트립","0.0","","2020-06-27","14627","https://play.google.com/store/apps/details?id=com.mrt.ducati"
"23","+16","Lifestyle","프리파이 (FreeFi) - 와이파이 쓰는 만큼 포인트 문상, 깊카 무료","파이언스","0.0","","2020-07-11","14471","https://play.google.com/store/apps/details?id=com.pience.wifi"
"24","-8","Travel & Local","제주항공","jejuair","0.0","","2020-07-06","13818","https://play.google.com/store/apps/details?id=com.parksmt.jejuair.android16"
"25","+1","Travel & Local","아시아나항공","Asiana Airlines","0.0","","2020-06-19","13269","https://play.google.com/store/apps/details?id=com.ssm.asiana"
"26","-3","Travel & Local","KLOOK 클룩: 해외여행, 국내여행 가이드, 자유여행, 투어 추천, 액티비티 예약","Klook Travel Technology Ltd.","0.0","","2020-07-08","12618","https://play.google.com/store/apps/details?id=com.klook"
"27","-5","Travel & Local","제주지니 – 똑똑한 제주여행","제주은행(JBANK)","0.0","","2020-06-11","12419","https://play.google.com/store/apps/details?id=com.jeju.genie"
"28","-4","Travel & Local","호텔 예약은 Booking.com","Booking.com Hotels & Vacation Rentals","0.0","","2020-07-14","11886","https://play.google.com/store/apps/details?id=com.booking"
"29","-","Travel & Local","인터파크투어 - 특가항공권, 호텔/펜션/리조트예약","INTERPARK","0.0","","2020-07-14","10999","https://play.google.com/store/apps/details?id=com.interpark.tour.mobile.main"
