Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,AND,2019,1,M,1,-,,Communication,"지나리 - 실시간 위치추적, 위치공유, 과거위치, 분실방지",GNali LBS System,0.0,"항목당 ₩1,000 - ₩26,400",2020-05-02,320000,https://play.google.com/store/apps/details?id=com.xsol.gnali
KR,GROSS,AND,2019,1,M,2,-,,Travel & Local,Flightradar24 Flight Tracker,Flightradar24 AB,0.0,"항목당 ₩1,500 - ₩75,000",2020-05-12,160000,https://play.google.com/store/apps/details?id=com.flightradar24free
KR,GROSS,AND,2019,1,M,3,+1,,Travel & Local,AlpineQuest Off-Road Explorer,Psyberia,"₩8,999",,2020-05-26,95407,https://play.google.com/store/apps/details?id=psyberia.alpinequest.full
KR,GROSS,AND,2019,1,M,4,+1,,Travel & Local,"트라비포켓 - 여행가계부, 여행 경비 노트",trabee,0.0,"항목당 ₩2,200",2019-06-26,65694,https://play.google.com/store/apps/details?id=com.trabee.exnote.travel
KR,GROSS,AND,2019,1,M,5,+1,,Travel & Local,OruxMaps GP,jose vazquez,"₩4,200","항목당 ₩1,200 - ₩11,000",2020-07-10,61442,https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate
KR,GROSS,AND,2019,1,M,6,+3,,Travel & Local,세이브트립 - 여행 노트 가계부,wooman.labs,0.0,"항목당 ₩1,490 - ₩4,900",2020-05-08,51625,https://play.google.com/store/apps/details?id=com.woomanlabs.mytravelnote
KR,GROSS,AND,2019,1,M,7,-,,Travel & Local,글로벌 통역기 [10개국어],"TIME SPACE SYSTEM Co., Ltd.",0.0,"항목당 ₩9,990 - ₩15,000",2020-04-16,40303,https://play.google.com/store/apps/details?id=com.tss21.interpreter.l10
KR,GROSS,AND,2019,1,M,8,-5,,Travel & Local,Casino AZ/Talking Stick Resort,Casino Arizona,0.0,$0.99 - $199.99 per item,2019-05-08,38688,https://play.google.com/store/apps/details?id=com.mvl.CasinoArizona
KR,GROSS,AND,2019,1,M,9,-1,,Travel & Local,TourBar -  여행 친구를 찾아보세요,TourBar,0.0,"항목당 ₩4,100 - ₩160,000",2020-04-23,33038,https://play.google.com/store/apps/details?id=com.tourbar
KR,GROSS,AND,2019,1,M,10,+2,,Travel & Local,"램블러 (등산, 걷기, 여행, 자전거, 지도, 어플)","Bientus, Inc.",0.0,"항목당 ₩1,200 - ₩120,000",2020-07-02,30577,https://play.google.com/store/apps/details?id=com.bientus.cirque.android
KR,GROSS,AND,2019,1,M,11,-1,,Travel & Local,LiveATC for Android,LiveATC,"₩4,724",,2020-01-31,27926,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
KR,GROSS,AND,2019,1,M,12,+9,,Travel & Local,가볍게 배우는 베트남어,Simya Solutions Ltd.,0.0,"항목당 ₩1,300 - ₩65,000",2020-05-18,25569,https://play.google.com/store/apps/details?id=simply.learn.vietnamese
KR,GROSS,AND,2019,1,M,13,+4,,Travel & Local,Sygic Travel 오프라인 지도 & 여행 플래너,Sygic.,0.0,"항목당 ₩4,700 - ₩26,000",2020-06-15,23176,https://play.google.com/store/apps/details?id=com.tripomatic
KR,GROSS,AND,2019,1,M,14,+2,,Maps & Navigations,Wärtsilä iSailor,Wärtsilä Voyage Limited,0.0,"항목당 ₩1,500 - ₩130,000",2020-07-07,19642,https://play.google.com/store/apps/details?id=com.transas.uninav.plotter
KR,GROSS,AND,2019,1,M,15,-4,,Travel & Local,CityMaps2Go  Plan Trips Travel Guide Offline Maps,Ulmon GmbH,0.0,"₩14,000 - ₩42,000 per item",2020-03-04,19461,https://play.google.com/store/apps/details?id=com.ulmon.android.citymaps2go
KR,GROSS,AND,2019,1,M,16,+27,,Travel & Local,루텔라 - 오디오 여행 가이드,Routela Inc.,0.0,"항목당 ₩1,200 - ₩9,900",2020-05-17,18040,https://play.google.com/store/apps/details?id=com.routela.android
KR,GROSS,AND,2019,1,M,17,-2,,Travel & Local,crewCONNECT,MCC bvba,0.0,$7.49 per item,2019-07-04,17690,https://play.google.com/store/apps/details?id=net.crewCONNECT.aero
KR,GROSS,AND,2019,1,M,18,+21,,Travel & Local,My Visit to the Louvre,Musée du Louvre,0.0,$0.99 - $5.49 per item,2019-07-16,16324,https://play.google.com/store/apps/details?id=fr.smartapps.louvre
KR,GROSS,AND,2019,1,M,19,-5,,Travel & Local,가볍게 배우는 라오스어,Simya Solutions Ltd.,0.0,"항목당 ₩1,200 - ₩65,000",2020-05-18,15862,https://play.google.com/store/apps/details?id=simply.learn.lao
KR,GROSS,AND,2019,1,M,20,+56,,Productivity,WiFi Map 지도 - 무료 암호 및 핫스팟,WiFi Map LLC,0.0,"항목당 ₩1,800 - ₩42,000",2020-06-10,14547,https://play.google.com/store/apps/details?id=io.wifimap.wifimap
KR,GROSS,AND,2019,1,M,21,+26,,Travel & Local,TS Translator [10 Languages],"TIME SPACE SYSTEM Co., Ltd.","₩9,990",,2020-02-06,13085,https://play.google.com/store/apps/details?id=com.tss21.translator.l10.main
KR,GROSS,AND,2019,1,M,22,+14,,Travel & Local,TripView,TripView Pty Ltd,"₩4,000",,2020-05-28,12530,https://play.google.com/store/apps/details?id=com.grofsoft.tripview
KR,GROSS,AND,2019,1,M,23,-5,,Travel & Local,Serentrip - Travel Buddy & Locals,LIKECRAZY Inc.,0.0,"₩1,000 - ₩85,000 per item",2019-02-10,12236,https://play.google.com/store/apps/details?id=cool.likecrazy.at
KR,GROSS,AND,2019,1,M,24,-4,,Travel & Local,GPS Status & Toolbox,EclipSim,0.0,"항목당 ₩2,200",2019-09-26,12158,https://play.google.com/store/apps/details?id=com.eclipsim.gpsstatus2
KR,GROSS,AND,2019,1,M,25,-2,,Travel & Local,여권/신분증 사이즈 사진 편집기,Yarsa Labs,0.0,"항목당 ₩1,100 - ₩7,500",2020-01-02,11928,https://play.google.com/store/apps/details?id=id.passport.photo.lite
KR,GROSS,AND,2019,1,M,26,-4,,Travel & Local,Aa연애소설™ 한국어 Flipfont,Monotype Imaging Inc.,"₩3,500",,2020-06-30,10970,https://play.google.com/store/apps/details?id=com.monotype.android.font.aalovenovel
KR,GROSS,AND,2019,1,M,27,+114,,Travel & Local,세계의 안개 (Fog of World),Ollix,"₩12,000",,2020-06-25,10801,https://play.google.com/store/apps/details?id=com.ollix.fogofworld
KR,GROSS,AND,2019,1,M,28,-2,,Travel & Local,스투비플래너 - 상상속 유럽여행을 현실로,스투비,0.0,"₩9,900 - ₩15,000 per item",2019-04-06,10698,https://play.google.com/store/apps/details?id=company.stubby.pocket
KR,GROSS,AND,2019,1,M,29,-5,,Travel & Local,Simply Learn Russian,Simya Solutions Ltd.,0.0,"₩1,349 - ₩65,000 per item",2019-12-12,10584,https://play.google.com/store/apps/details?id=simply.learn.russian
KR,GROSS,AND,2019,1,M,30,+5,,Travel & Local,가볍게 배우는 미얀마어,Simya Solutions Ltd.,0.0,"항목당 ₩1,349 - ₩65,000",2020-05-15,10122,https://play.google.com/store/apps/details?id=simply.learn.burmese
KR,GROSS,AND,2019,1,M,31,+106,,Travel & Local,"MAPS.ME – 오프라인 맵, 내비게이션 및 가이드들",My.com B.V.,0.0,"항목당 ₩1,000 - ₩38,000",2020-07-07,9617,https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro
KR,GROSS,AND,2019,1,M,32,+9,,Travel & Local,WikiCamps Australia,WikiCamps,0.0,"항목당 ₩6,212",2020-07-09,9328,https://play.google.com/store/apps/details?id=au.com.angryrobot.wikicamps
KR,GROSS,AND,2019,1,M,33,-6,,Travel & Local,"핸드트립: 여행 가계부, 여행경비, 출장경비",VENTISIZE,0.0,"항목당 ₩2,000",2019-03-29,9100,https://play.google.com/store/apps/details?id=com.ventisize.util.handtrip
KR,GROSS,AND,2019,1,M,34,+10,,Travel & Local,"최고의 파리 여행 plan,최고의 파리 가이드",PARIS INFO,0.0,"₩1,000 per item",2019-04-17,9029,https://play.google.com/store/apps/details?id=kr.co.parisinfo.parisinfo
