"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","Flightradar24 Flight Tracker","Flightradar24 AB","0.0","항목당 ₩1,500 - ₩75,000","2020-05-12","257209","https://play.google.com/store/apps/details?id=com.flightradar24free"
"2","-","Travel & Local","AsianMate - 일본의 지방 가이드 찾기","ATSTLLC","0.0","항목당 ₩12,000 - ₩370,000","2020-07-11","214073","https://play.google.com/store/apps/details?id=asia.jmate.travelfriends"
"3","-","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","₩9,999","","2020-05-26","113474","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
"4","-","Travel & Local","램블러 (등산, 걷기, 여행, 자전거, 지도, 어플)","Bientus, Inc.","0.0","항목당 ₩1,200 - ₩120,000","2020-07-02","61992","https://play.google.com/store/apps/details?id=com.bientus.cirque.android"
"5","+1","Travel & Local","OruxMaps GP","jose vazquez","₩4,200","항목당 ₩1,200 - ₩11,000","2020-07-10","60588","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"6","+2","Travel & Local","루텔라 - 오디오 여행 가이드","Routela Inc.","0.0","항목당 ₩1,200 - ₩9,900","2020-05-17","57650","https://play.google.com/store/apps/details?id=com.routela.android"
"7","-2","Travel & Local","트라비포켓 - 여행가계부, 여행 경비 노트","trabee","0.0","항목당 ₩2,200","2019-06-26","54505","https://play.google.com/store/apps/details?id=com.trabee.exnote.travel"
"8","-1","Travel & Local","세이브트립 - 여행 노트 가계부","wooman.labs","0.0","항목당 ₩1,490 - ₩4,900","2020-05-08","34363","https://play.google.com/store/apps/details?id=com.woomanlabs.mytravelnote"
"9","-","Travel & Local","LiveATC for Android","LiveATC","₩5,000","","2020-01-31","27744","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"10","+3","Travel & Local","TourBar -  여행 친구를 찾아보세요","TourBar","0.0","항목당 ₩4,100 - ₩160,000","2020-04-23","27070","https://play.google.com/store/apps/details?id=com.tourbar"
"11","-1","Travel & Local","글로벌 통역기 [10개국어]","TIME SPACE SYSTEM Co., Ltd.","0.0","항목당 ₩9,990 - ₩15,000","2020-04-16","25052","https://play.google.com/store/apps/details?id=com.tss21.interpreter.l10"
"12","-","Travel & Local","GPS Status & Toolbox","EclipSim","0.0","항목당 ₩2,200","2019-09-26","19309","https://play.google.com/store/apps/details?id=com.eclipsim.gpsstatus2"
"13","+2","Travel & Local","세계의 안개 (Fog of World)","Ollix","₩22,000","","2020-06-25","19285","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"14","+2","Travel & Local","가볍게 배우는 베트남어","Simya Solutions Ltd.","0.0","항목당 ₩1,300 - ₩65,000","2020-05-18","18260","https://play.google.com/store/apps/details?id=simply.learn.vietnamese"
"15","-4","Travel & Local","Sygic Travel 오프라인 지도 & 여행 플래너","Sygic.","0.0","항목당 ₩4,700 - ₩26,000","2020-06-15","18215","https://play.google.com/store/apps/details?id=com.tripomatic"
"16","+21","Travel & Local","MAPS.ME – 오프라인 맵, 내비게이션 및 가이드들","My.com B.V.","0.0","항목당 ₩1,000 - ₩38,000","2020-07-07","16049","https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro"
