Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,PAID,AND,2019,3,M,1,+1,,Travel & Local,AlpineQuest Off-Road Explorer,Psyberia,"₩8,999",,2020-05-26,239929,https://play.google.com/store/apps/details?id=psyberia.alpinequest.full
KR,PAID,AND,2019,3,M,2,-1,,Travel & Local,OruxMaps GP,jose vazquez,"₩4,200","항목당 ₩1,200 - ₩11,000",2020-07-10,236596,https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate
KR,PAID,AND,2019,3,M,3,-,,Travel & Local,LiveATC for Android,LiveATC,"₩4,724",,2020-01-31,102972,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
KR,PAID,AND,2019,3,M,4,-,,Travel & Local,TripView,TripView Pty Ltd,"₩4,000",,2020-05-28,72609,https://play.google.com/store/apps/details?id=com.grofsoft.tripview
KR,PAID,AND,2019,3,M,5,-,,Travel & Local,Aa연애소설™ 한국어 Flipfont,Monotype Imaging Inc.,"₩3,500",,2020-06-30,44571,https://play.google.com/store/apps/details?id=com.monotype.android.font.aalovenovel
KR,PAID,AND,2019,3,M,6,+2,,Travel & Local,Phrasebook Thai,Planetinpocket,"₩2,300",,2018-11-02,32279,https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.th
KR,PAID,AND,2019,3,M,7,+6,,Travel & Local,XE Currency Converter & Money Transfers Pro,XE.com Inc.,"₩1,728",,2020-05-16,26566,https://play.google.com/store/apps/details?id=com.xe.currencypro
KR,PAID,AND,2019,3,M,8,+1,,Travel & Local,한국의약초-2200,한국의 야생화,"₩4,500",,2018-07-06,21419,https://play.google.com/store/apps/details?id=kr.yasangwha2200_05.android
KR,PAID,AND,2019,3,M,9,+5,,Travel & Local,PeakFinder,Fabio Soldati,"₩5,500",,2020-03-03,20576,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
KR,PAID,AND,2019,3,M,10,+7,,Travel & Local,Hanping Chinese Camera: Chinese OCR,Hanping,"₩12,000",,2019-04-05,17933,https://play.google.com/store/apps/details?id=com.embermitre.hanping.app.reader.pro
KR,PAID,AND,2019,3,M,11,-5,,Travel & Local,음성 번역기 Pro,AxismobInc.,"₩3,900",,2019-07-23,17815,https://play.google.com/store/apps/details?id=com.axis.mobile.chapters.transpro
KR,PAID,AND,2019,3,M,12,-5,,Travel & Local,TS Translator [10 Languages],"TIME SPACE SYSTEM Co., Ltd.","₩9,990",,2020-02-06,17444,https://play.google.com/store/apps/details?id=com.tss21.translator.l10.main
KR,PAID,AND,2019,3,M,13,+63,,Travel & Local,회화집 PRO (17개의 언어로),Planetinpocket,"₩8,000",,2018-11-02,16329,https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxpro
KR,PAID,AND,2019,3,M,14,new,,Travel & Local,주머니속의 여행 회화 몽골어,"DaolSoft, Co., Ltd.","₩5,500",,2018-08-24,15970,https://play.google.com/store/apps/details?id=com.daol.travelmg
KR,PAID,AND,2019,3,M,15,-5,,Travel & Local,Royal Palace of Madrid,GVAM Guías Interactivas,"₩2,400",,2016-06-27,15586,https://play.google.com/store/apps/details?id=com.gvam.palacioMovil
