"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","OruxMaps GP","jose vazquez","₩4,200","항목당 ₩1,200 - ₩11,000","2020-07-10","252045","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"2","-","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","₩8,999","","2020-05-26","226327","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
"3","-","Travel & Local","LiveATC for Android","LiveATC","₩5,000","","2020-01-31","98611","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"4","-","Travel & Local","Aa연애소설™ 한국어 Flipfont","Monotype Imaging Inc.","₩3,500","","2020-06-30","56542","https://play.google.com/store/apps/details?id=com.monotype.android.font.aalovenovel"
"5","-","Travel & Local","TripView","TripView Pty Ltd","₩4,000","","2020-05-28","55980","https://play.google.com/store/apps/details?id=com.grofsoft.tripview"
"6","+1","Travel & Local","GPS Status PRO - (legacy key)","EclipSim","₩3,900","","2013-05-23","53154","https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro"
"7","+2","Travel & Local","세계의 안개 (Fog of World)","Ollix","₩16,000","","2020-06-25","26708","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"8","+37","Travel & Local","Portuguese Way PREMIUM","Peregrino Online","₩3,900","","2020-02-25","26003","https://play.google.com/store/apps/details?id=com.independentrip.caminoportugues"
"9","-3","Travel & Local","PeakFinder","Fabio Soldati","₩5,500","","2020-03-03","22892","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"10","+30","Travel & Local","Royal Palace of Madrid","GVAM Guías Interactivas","₩2,400","","2016-06-27","19141","https://play.google.com/store/apps/details?id=com.gvam.palacioMovil"
"11","-","Travel & Local","TS Translator [10 Languages]","TIME SPACE SYSTEM Co., Ltd.","₩9,990","","2020-02-06","17881","https://play.google.com/store/apps/details?id=com.tss21.translator.l10.main"
"12","-2","Travel & Local","Phrasebook Thai","Planetinpocket","₩2,300","","2018-11-02","17515","https://play.google.com/store/apps/details?id=com.planetinpocket.phraseboxmini.th"
"13","-5","Travel & Local","한국의약초-2200","한국의 야생화","₩4,500","","2018-07-06","16998","https://play.google.com/store/apps/details?id=kr.yasangwha2200_05.android"
"14","+2","Travel & Local","Translate Voice(translator) Pro","HawsoftMob Inc.","₩5,500","","2019-07-29","14987","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro"
"15","-","Travel & Local","멀티 세계 시계","Udell Enterprises, Inc","₩1,200","","2016-03-08","14360","https://play.google.com/store/apps/details?id=com.polyclock"
"16","new","Travel & Local","홋카이도에 먹으러 가자! - 맛집/여행","대원씨아이(주)","₩5,900","","2016-08-09","11426","https://play.google.com/store/apps/details?id=com.spindle.dwci.dae02"
