"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","SRT - 수서고속철도(NEW)","SR Co.,Ltd.","0","","2019-03-04","239294","https://itunes.apple.com/KR/app/id1350286957"
"2","+1","Navigation","네이버 지도, 내비게이션","NAVER Corp.","0","","2009-05-01","177956","https://itunes.apple.com/KR/app/id311867728"
"3","+7","Entertainment","Everland","Samsung Everland Co. Ltd.","0","","2010-10-11","138618","https://itunes.apple.com/KR/app/id396584034"
"4","-2","Travel","카카오 T","Kakao Mobility Corp.","0","","2015-04-01","104089","https://itunes.apple.com/KR/app/id981110422"
"5","+1","Travel","코레일톡+","Korea Railroad Corporation","0","","2015-07-14","57010","https://itunes.apple.com/KR/app/id1000558562"
"6","+1","Travel","[공식]고속버스 티머니","Tmoney Co., Ltd","0","","2015-02-25","53067","https://itunes.apple.com/KR/app/id957276809"
"7","-3","Travel","[공식]시외버스 티머니","Tmoney Co., Ltd","0","","2016-09-10","50036","https://itunes.apple.com/KR/app/id933107825"
"8","+1","Travel","야놀자","(주)야놀자","0","","2011-05-24","38891","https://itunes.apple.com/KR/app/id436731843"
"9","-1","Travel","여기어때 - 호텔, 모텔, 펜션 최저가 예약!","GC COMPANY","0","","2014-06-21","33640","https://itunes.apple.com/KR/app/id884043462"
"10","-5","Travel","트리플 - 여행 가이드","Triple Corp.","0","","2017-04-21","32347","https://itunes.apple.com/KR/app/id1225499481"
"11","+1","Travel","Airbnb","Airbnb, Inc.","0","","2010-11-10","25087","https://itunes.apple.com/KR/app/id401626263"
"12","+1","Travel","쏘카 - 1등 카셰어링","SOCAR Inc.","0","","2012-04-06","24152","https://itunes.apple.com/KR/app/id515173864"
"13","+2","Travel","타다","VCNC","0","","2018-10-06","21485","https://itunes.apple.com/KR/app/id1422751774"
"14","-3","Travel","Grab App","Grab.com","0","","2013-05-15","20703","https://itunes.apple.com/KR/app/id647268330"
"15","+2","Reference","Google 번역","Google LLC","0","","2011-02-08","19525","https://itunes.apple.com/KR/app/id414706506"
"16","-","Travel","트립닷컴 Trip.com","Ctrip.com international","0","","2013-08-05","18454","https://itunes.apple.com/KR/app/id681752345"
"17","+2","Travel","스카이스캐너 – 항공권, 호텔, 렌터카","Skyscanner","0","","2011-02-17","16671","https://itunes.apple.com/KR/app/id415458524"
"18","-","Travel","마이리얼트립","마이리얼트립","0","","2016-09-05","14812","https://itunes.apple.com/KR/app/id1141745032"
"19","-5","Lifestyle","다방 - 대한민국 부동산 매물 최다보유","Station3, Inc.","0","","2014-02-19","14257","https://itunes.apple.com/KR/app/id814840066"
"20","new","Travel","Lime - 언제든지 이용 가능한 당신의 라이드","Neutron Holdings. Inc.","0","","2017-07-28","13249","https://itunes.apple.com/KR/app/id1199780189"
"21","new","Travel","유디니: 숙소, 맛집, 카페, 액티비티 후기 & 리뷰","Eudiny Inc.","0","","2017-04-11","11058","https://itunes.apple.com/KR/app/id1225135205"
"22","+1","Travel","아고다(Agoda) - 여행 할인 예약","Agoda.com","0","","2011-06-06","8798","https://itunes.apple.com/KR/app/id440676901"
"23","+2","Travel","데일리호텔","DAILY","0","","2013-11-22","7415","https://itunes.apple.com/KR/app/id742186886"
"24","new","Education","Tandem 탄뎀 언어교환어플 - 외국인 친구 사귀기","Tripod Technology","0","Tandem Pro – 1개월 : ￦8,500 / Tandem Pro – 1년 : ￦60,000","2015-02-20","4788","https://itunes.apple.com/KR/app/id959001619"
"25","+2","Travel","킥고잉 - 다운로드 1위 킥보드 공유 서비스","olulo","0","","2018-09-09","4534","https://itunes.apple.com/KR/app/id1435549774"
"26","-5","Lifestyle","LIFEPLUS","inc ZUMO","0","","2015-09-15","3987","https://itunes.apple.com/KR/app/id1037778235"
"27","-3","Travel","호텔스닷컴: 호텔, 펜션, 리조트 지금 예약","Hotels.com","0","","2019-02-11","3744","https://itunes.apple.com/KR/app/id284971959"
"28","new","Education","Drops: 외국어 공부 앱","PLANB LABS OU","0","프리미엄 : ￦12,000","2014-11-14","3333","https://itunes.apple.com/KR/app/id939540371"
"29","new","Travel","EastarJet Corp.","EastarJet","0","","2017-04-10","3286","https://itunes.apple.com/KR/app/id1199278868"
"30","new","Navigation","지하철 - 실시간 열차정보","Malang Studio Co. Ltd,","0","광고프리 이용권 (무제한) : ￦2,500 / 광고프리 이용권 (30일) : ￦1,200","2009-09-04","2561","https://itunes.apple.com/KR/app/id325924444"
"31","-2","Education","스픽 (Speak) - 영어회화, 스피킹, 발음","Speakeasy Labs","0","앱 출시 기념 이벤트 : ￦11,000 / 월간 이용권 : ￦29,000 / 연간 이용권 : ￦179,000","2017-12-21","1991","https://itunes.apple.com/KR/app/id1286609883"
"32","new","Travel","딜카 - 찾아가는 카셰어링","Hyundai Capital Services","0","","2017-08-31","1176","https://itunes.apple.com/KR/app/id1247819004"
"33","new","Travel","아시아나항공","Asiana Airlines","0","","2010-05-31","870","https://itunes.apple.com/KR/app/id373932237"
