Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,FREE,IOS,2020,2,M,1,+1,,Travel,카카오 T,Kakao Mobility Corp.,0,,2015-04-01,129305,https://itunes.apple.com/KR/app/id981110422
KR,FREE,IOS,2020,2,M,2,+6,,Travel,야놀자,(주)야놀자,0,,2011-05-24,58875,https://itunes.apple.com/KR/app/id436731843
KR,FREE,IOS,2020,2,M,3,+1,,Travel,코레일톡+,Korea Railroad Corporation,0,,2015-07-14,42174,https://itunes.apple.com/KR/app/id1000558562
KR,FREE,IOS,2020,2,M,4,+5,,Travel,"여기어때 - 호텔, 모텔, 펜션 최저가 예약!",GC COMPANY,0,,2014-06-21,39704,https://itunes.apple.com/KR/app/id884043462
KR,FREE,IOS,2020,2,M,5,+1,,Travel,[공식]고속버스 티머니,"Tmoney Co., Ltd",0,,2015-02-25,28772,https://itunes.apple.com/KR/app/id957276809
KR,FREE,IOS,2020,2,M,6,+1,,Travel,SRT - 수서고속철도(NEW),"SR Co.,Ltd.",0,,2019-03-04,27057,https://itunes.apple.com/KR/app/id1350286957
KR,FREE,IOS,2020,2,M,7,-2,,Travel,[공식]시외버스 티머니,"Tmoney Co., Ltd",0,,2016-09-10,26705,https://itunes.apple.com/KR/app/id933107825
KR,FREE,IOS,2020,2,M,8,+2,,Travel,Airbnb,"Airbnb, Inc.",0,,2010-11-10,24439,https://itunes.apple.com/KR/app/id401626263
KR,FREE,IOS,2020,2,M,9,+6,,Travel,쏘카 - 1등 카셰어링,SOCAR Inc.,0,,2012-04-06,14227,https://itunes.apple.com/KR/app/id515173864
KR,FREE,IOS,2020,2,M,10,-7,,Travel,트리플 - 여행 가이드,Triple Corp.,0,,2017-04-21,9568,https://itunes.apple.com/KR/app/id1225499481
KR,FREE,IOS,2020,2,M,11,new,,Travel,타다,VCNC,0,,2018-10-06,7079,https://itunes.apple.com/KR/app/id1422751774
KR,FREE,IOS,2020,2,M,12,+2,,Travel,"스카이스캐너 – 항공권, 호텔, 렌터카",Skyscanner,0,,2011-02-17,6636,https://itunes.apple.com/KR/app/id415458524
KR,FREE,IOS,2020,2,M,13,-12,,Travel,"트립스토어 - 국내 호텔, 해외 패키지 특가 예약",엑스트라이버,0,,2017-07-24,4742,https://itunes.apple.com/KR/app/id1259060182
KR,FREE,IOS,2020,2,M,14,+6,,Travel,Lime - 언제든지 이용 가능한 당신의 라이드,Neutron Holdings. Inc.,0,,2017-07-28,2612,https://itunes.apple.com/KR/app/id1199780189
KR,FREE,IOS,2020,2,M,15,-4,,Travel,Grab App,Grab.com,0,,2013-05-15,1428,https://itunes.apple.com/KR/app/id647268330
