"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","트라비포켓 - 여행가계부(여행 경비 관리)","jhcho","0.0","Pro 업그레이드 : ￦2,500","2013-08-05","195489","https://itunes.apple.com/KR/app/id673659438"
"2","+5","Travel","App in the Air","AITA LIMITED","0.0","일년생 식물구독을 신청하면 실시간 : ￦40,000 / 모든 항공편 알림을 위한 평생 문자/푸시 구독. : ￦65,000 / 월간 구독을 신청하면 실시간 : ￦6,000","2012-05-31","85312","https://itunes.apple.com/KR/app/id527299553"
"3","-1","Travel","Flightradar24 | Flight Tracker","Flightradar24 AB","0.0","Silver Plan - Monthly : ￦1,500 / Gold Plan - Monthly : ￦4,900","2010-07-21","85262","https://itunes.apple.com/KR/app/id382233851"
"4","-1","Travel","실시간 항공기 - 항공편 추적기 및 날씨","Weather or Not Apps, LLC","0.0","실시간 항공기 프리미엄 : ￦3,900 / 실시간 항공기 프리미엄한달 : ￦6,000","2016-06-16","84928","https://itunes.apple.com/KR/app/id1097815000"
"5","-","Travel","iTranslate Converse 음성 번역","iTranslate","0.0","iTranslate Pro : ￦11,000 / iTranslate PRO : ￦44,000","2017-08-03","55159","https://itunes.apple.com/KR/app/id1241264761"
"6","+18","Travel","City Rail Map - Travel Offline","Urban-Map","0.0","World Traveler - Lifetime : ￦22,000 / Miles Pack - Silver : ￦5,900 / Miles Pack - Gold : ￦12,000","2015-10-03","32701","https://itunes.apple.com/KR/app/id1032469973"
"7","+3","Travel","LiveATC Air Radio","LiveATC.net","￦4,900","","2009-06-09","31794","https://itunes.apple.com/KR/app/id317809458"
"8","+4","Travel","crewCONNECT","MCC bvba","0.0","","2018-10-12","28575","https://itunes.apple.com/KR/app/id1023212143"
"9","+6","Travel","핫츠고 플랜 (HOTSGO PLAN) - 여행일정 관리","minicat","0.0","HOTSGO PLAN Pro : ￦5,900","2017-08-08","28230","https://itunes.apple.com/KR/app/id1267418969"
"10","+15","Travel","nemo 베트남어","Nemo Apps LLC","0.0","Nemo Vietnamese Foundation pack : ￦15,000","2013-07-24","27354","https://itunes.apple.com/KR/app/id635605857"
"11","+25","Travel","nemo 인도네시아어","Nemo Apps LLC","0.0","Nemo Indonesian Foundation pack : ￦15,000","2011-12-21","24297","https://itunes.apple.com/KR/app/id487074209"
"12","-4","Travel","루텔라 - 오디오 여행 가이드","Routela Inc.","0.0","Routela Audio Content basic : ￦1,200 / Routela Audio Contents T04P014 : ￦4,900 / Routela Audio Contents T06P014 : ￦7,500","2017-10-03","24181","https://itunes.apple.com/KR/app/id1271309999"
"13","-4","Travel","nemo 스페인어","Nemo Apps LLC","0.0","Nemo Spanish Foundation pack : ￦15,000","2012-01-01","23511","https://itunes.apple.com/KR/app/id487054746"
"14","-","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","￦3,900","","2009-03-26","23473","https://itunes.apple.com/KR/app/id294730339"
"15","new","Travel","WiFi Map지도 : 인터넷 및 VPN 받기부스터","WiFi Map LLC","0.0","Remove Ads : ￦2,500 / PRO Version : ￦37,000","2012-09-20","20707","https://itunes.apple.com/KR/app/id548925969"
"16","+12","Travel","세계의 안개 (Fog of World)","Ollix","￦12,000","","2012-09-18","19577","https://itunes.apple.com/KR/app/id505367096"
"17","-4","Travel","Vegan Food Near You - HappyCow","HappyCow","￦4,900","","2011-05-12","16509","https://itunes.apple.com/KR/app/id435871950"
"18","+9","Travel","CityMaps2Go  여행 가이드","Ulmon GmbH","0.0","Unlimited Downloads : ￦19,000 / Premium Features : 0 / Pro Features : ￦15,000","2010-12-19","16352","https://itunes.apple.com/KR/app/id408866084"
"19","+121","Travel","Maui Road to Hana Driving Tour","Shaka Guide","0.0","Haleakala Volcano Driving Tour : ￦12,000 / Classic Road to Hana Tour : ￦15,000 / ""Reverse"" Road to Hana Tour : ￦12,000","2016-04-28","15116","https://itunes.apple.com/KR/app/id1070908005"
"20","-","Travel","Louvre : ma visite","MUSEE DU LOUVRE","0.0","","2016-07-05","14856","https://itunes.apple.com/KR/app/id1100629786"
"21","-10","Travel","nemo 미국식 영어","Nemo Apps LLC","0.0","Nemo English Foundation pack : ￦15,000","2011-12-21","14659","https://itunes.apple.com/KR/app/id487069717"
"22","-6","Travel","CalConvert : 환율 계산기","Currency Converter & Calculator, Taschenrechner, Calculatrice, Calculadora","0.0","광고 정지 : ￦21,000 / 5 태마를 포함하는 팩 : ￦2,500 / All Skins : ￦5,900","2011-04-22","14433","https://itunes.apple.com/KR/app/id426007025"
"23","+6","Travel","GNIB Appointments","Alexandr Zavalii","￦1,200","","2018-03-22","12911","https://itunes.apple.com/KR/app/id1361309535"
"24","-6","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","￦5,900","Augmented Reality : ￦3,900 / Access Plus 24 : ￦1,200 / Route Planner : ￦1,200","2012-10-08","12394","https://itunes.apple.com/KR/app/id563910324"
"25","-21","Travel","AirPano Travel Book","CONCEPT360 GmbH","0.0","AirPano Gold : ￦25,000 / AirPano Gold (Monthly) : ￦5,500 / AirPano Gold (annual) : ￦49,000","2014-06-26","12080","https://itunes.apple.com/KR/app/id887138564"
"26","+11","Travel","Elk - 여행 환율 변환기","Clean Shaven Apps","0.0","14일용 무료 시험 버전 : 0 / Elk 해제 : ￦4,900","2017-04-10","11464","https://itunes.apple.com/KR/app/id1189748820"
"27","-10","Travel","nemo 태국어","Nemo Apps LLC","0.0","Nemo Thai Foundation pack : ￦15,000","2011-12-28","11371","https://itunes.apple.com/KR/app/id487076453"
"28","-9","Travel","스투비플래너","STUBBY PLANNER Co.,Ltd.","0.0","6개월 프리미엄 회원권 : ￦11,000 / 1년 프리미엄 회원권 : ￦16,000","2018-02-02","10836","https://itunes.apple.com/KR/app/id1333435097"
"29","+22","Travel","maptales - 여행을 추억하는 새로운 방법","Se hwan Kim","￦2,500","","2017-04-04","10770","https://itunes.apple.com/KR/app/id1174694057"
"30","+81","Travel","지구본 3D - 지구 모형","Akadem GmbH","0.0","Full Pack : ￦25,000 / 1 Month Subscription : ￦19,000 / 3 Months Sale : ￦19,000","2017-03-19","10525","https://itunes.apple.com/KR/app/id1205858913"
"31","+92","Travel","nemo 터키어","Nemo Apps LLC","0.0","Nemo Turkish Foundation pack : ￦15,000","2013-07-24","10475","https://itunes.apple.com/KR/app/id635604246"
"32","-6","Travel","nemo 프랑스어","Nemo Apps LLC","0.0","Nemo French Foundation pack : ￦15,000","2011-12-21","10317","https://itunes.apple.com/KR/app/id487067065"
"33","-","Travel","nemo 이탈리아어","Nemo Apps LLC","0.0","Nemo Italian Foundation pack : ￦15,000","2012-01-01","10234","https://itunes.apple.com/KR/app/id487064887"
"34","+58","Travel","nemo 중국어","Nemo Apps LLC","0.0","Nemo Mandarin Foundation pack : ￦15,000","2011-04-20","10023","https://itunes.apple.com/KR/app/id430676177"
"35","+25","Travel","실시간 항공기 - 비행 레이더","Weather or Not Apps, LLC","￦8,900","","2019-08-16","9617","https://itunes.apple.com/KR/app/id1064962398"
"36","+9","Navigation","램블러","Bientus, Inc.","0.0","100R : ￦1,200 / 500R : ￦5,900 / 1000R : ￦12,000","2012-06-14","8710","https://itunes.apple.com/KR/app/id531276104"
"37","+15","Travel","환승 노선도","TOKYO STUDIO INC.","0.0","정기 구독 / 매월 청구 : ￦2,000 / 일시 이용 / 7 일간 유효 : ￦1,200 / 기한 없음 : ￦4,900","2016-01-27","8668","https://itunes.apple.com/KR/app/id1077627714"
"38","+62","Travel","AwardWallet: Track Rewards","AwardWallet, LLC","0.0","AwardWallet Plus (discounted for early supporters) : ￦12,000 / AwardWallet Plus : ￦36,000 / Set of 5 Balance Watch Credits : ￦19,000","2010-08-26","8451","https://itunes.apple.com/KR/app/id388442727"
"39","+36","Travel","PackPoint 여행 준비물 여행 도우미","Wawwo","0.0","Manage default activities and list items : $0.99 / TripIt Integration : $0.99 / Premium Package : $2.99","2014-07-16","8437","https://itunes.apple.com/KR/app/id896337401"
"40","-17","Travel","InviteTravel","Reflcto UAB","0.0","","2015-08-10","8092","https://itunes.apple.com/KR/app/id1007162664"
"41","+30","Travel","환율 : 환율계산기","Davetech Co., Ltd.","0.0","Sponsor us : ￦1,200 / Remove ads : ￦1,200 / 환율 계산기 프로 : ￦1,200","2015-01-28","8068","https://itunes.apple.com/KR/app/id946607423"
"42","-20","Travel","Tourbar - 만나고 여행하기","Travel Community LLP","0.0","TourBar : ￦73,000 / Tourbar Premium : ￦36,000","2014-09-14","7820","https://itunes.apple.com/KR/app/id767432923"
"43","+90","Travel","러시아어 상용 회화집 - 쉬운 러시아 여행","Smart Language Apps Limited","0.0","","2013-08-28","7740","https://itunes.apple.com/KR/app/id689702240"
"44","+14","Travel","nemo 러시아어","Nemo Apps LLC","0.0","Nemo Russian Foundation pack : ￦15,000","2011-12-28","7525","https://itunes.apple.com/KR/app/id487071813"
"45","-1","Travel","카미노 데 산티아고 가이드 (Buen Camino)","Buen camino","0.0","French Route : 0 / Route extension to Fisterra : 0 / Camino Portugués Central : 0","2014-04-17","7381","https://itunes.apple.com/KR/app/id858222947"
