Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,GROSS,IOS,2019,3,M,1,+2,,Travel,Flightradar24 | Flight Tracker,Flightradar24 AB,0.0,"Silver Plan - Monthly : ￦1,500 / Gold Plan - Monthly : ￦4,900",2010-07-21,157147,https://itunes.apple.com/KR/app/id382233851
KR,GROSS,IOS,2019,3,M,2,-1,,Travel,트라비포켓 - 여행가계부(여행 경비 관리),jhcho,0.0,"Pro 업그레이드 : ￦2,500",2013-08-05,145892,https://itunes.apple.com/KR/app/id673659438
KR,GROSS,IOS,2019,3,M,3,-1,,Travel,App in the Air,AITA LIMITED,0.0,"일년생 식물구독을 신청하면 실시간 : ￦40,000 / 모든 항공편 알림을 위한 평생 문자/푸시 구독. : ￦65,000 / 월간 구독을 신청하면 실시간 : ￦6,000",2012-05-31,82688,https://itunes.apple.com/KR/app/id527299553
KR,GROSS,IOS,2019,3,M,4,-,,Travel,실시간 항공기 - 항공편 추적기 및 날씨,"Weather or Not Apps, LLC",0.0,"실시간 항공기 프리미엄 : ￦3,900 / 실시간 항공기 프리미엄한달 : ￦6,000",2016-06-16,81497,https://itunes.apple.com/KR/app/id1097815000
KR,GROSS,IOS,2019,3,M,5,+27,,Travel,nemo 프랑스어,Nemo Apps LLC,0.0,"Nemo French Foundation pack : ￦15,000",2011-12-21,61222,https://itunes.apple.com/KR/app/id487067065
KR,GROSS,IOS,2019,3,M,6,+62,,Travel,My Disney Experience,Disney,0.0,"One Day Memory Maker : ￦89,000 / 30 Day Memory Maker : ￦249,000",2012-08-02,43687,https://itunes.apple.com/KR/app/id547436543
KR,GROSS,IOS,2019,3,M,7,+53,,Travel,CONNECT - CrewLounge AERO,MCC bvba,0.0,"1 Year Full License : ￦15,000",2019-01-30,42533,https://itunes.apple.com/KR/app/id1294765316
KR,GROSS,IOS,2019,3,M,8,-3,,Travel,iTranslate Converse 음성 번역,iTranslate,0.0,"iTranslate Pro : ￦11,000 / iTranslate PRO : ￦44,000",2017-08-03,35030,https://itunes.apple.com/KR/app/id1241264761
KR,GROSS,IOS,2019,3,M,9,-2,,Travel,LiveATC Air Radio,LiveATC.net,"￦4,900",,2009-06-09,34030,https://itunes.apple.com/KR/app/id317809458
KR,GROSS,IOS,2019,3,M,10,+3,,Travel,nemo 스페인어,Nemo Apps LLC,0.0,"Nemo Spanish Foundation pack : ￦15,000",2012-01-01,28845,https://itunes.apple.com/KR/app/id487054746
KR,GROSS,IOS,2019,3,M,11,+6,,Travel,Vegan Food Near You - HappyCow,HappyCow,"￦4,900",,2011-05-12,28768,https://itunes.apple.com/KR/app/id435871950
KR,GROSS,IOS,2019,3,M,12,+13,,Travel,AirPano Travel Book,CONCEPT360 GmbH,0.0,"AirPano Gold : ￦25,000 / AirPano Gold (Monthly) : ￦5,500 / AirPano Gold (annual) : ￦49,000",2014-06-26,28662,https://itunes.apple.com/KR/app/id887138564
KR,GROSS,IOS,2019,3,M,13,-1,,Travel,루텔라 - 오디오 여행 가이드,Routela Inc.,0.0,"Routela Audio Content basic : ￦1,200 / Routela Audio Contents T04P014 : ￦4,900 / Routela Audio Contents T06P014 : ￦7,500",2017-10-03,27797,https://itunes.apple.com/KR/app/id1271309999
KR,GROSS,IOS,2019,3,M,14,-5,,Travel,핫츠고 플랜 (HOTSGO PLAN) - 여행일정 관리,minicat,0.0,"HOTSGO PLAN Pro : ￦5,900",2017-08-08,25523,https://itunes.apple.com/KR/app/id1267418969
KR,GROSS,IOS,2019,3,M,15,+13,,Travel,스투비플래너,"STUBBY PLANNER Co.,Ltd.",0.0,"6개월 프리미엄 회원권 : ￦11,000 / 1년 프리미엄 회원권 : ￦16,000",2018-02-02,24978,https://itunes.apple.com/KR/app/id1333435097
KR,GROSS,IOS,2019,3,M,16,+17,,Travel,nemo 이탈리아어,Nemo Apps LLC,0.0,"Nemo Italian Foundation pack : ￦15,000",2012-01-01,21634,https://itunes.apple.com/KR/app/id487064887
KR,GROSS,IOS,2019,3,M,17,-11,,Travel,City Rail Map - Travel Offline,Urban-Map,0.0,"World Traveler - Lifetime : ￦22,000 / Miles Pack - Silver : ￦5,900 / Miles Pack - Gold : ￦12,000",2015-10-03,21225,https://itunes.apple.com/KR/app/id1032469973
KR,GROSS,IOS,2019,3,M,18,+6,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,"￦5,900","Augmented Reality : ￦3,900 / Access Plus 24 : ￦1,200 / Route Planner : ￦1,200",2012-10-08,21014,https://itunes.apple.com/KR/app/id563910324
KR,GROSS,IOS,2019,3,M,19,+76,,Travel,Metro Barcelona offline TBM,Samuel Ferrier,0.0,"Premium Metro : ￦5,900",2016-04-15,20322,https://itunes.apple.com/KR/app/id1100638484
KR,GROSS,IOS,2019,3,M,20,-5,,Travel,WiFi Map지도 : 인터넷 및 VPN 받기부스터,WiFi Map LLC,0.0,"Remove Ads : ￦2,500 / PRO Version : ￦37,000",2012-09-20,18713,https://itunes.apple.com/KR/app/id548925969
KR,GROSS,IOS,2019,3,M,21,-7,,Travel,TripView - Sydney & Melbourne,TripView Pty Ltd,"￦3,900",,2009-03-26,18020,https://itunes.apple.com/KR/app/id294730339
KR,GROSS,IOS,2019,3,M,22,-,,Travel,CalConvert : 환율 계산기,"Currency Converter & Calculator, Taschenrechner, Calculatrice, Calculadora",0.0,"광고 정지 : ￦21,000 / 5 태마를 포함하는 팩 : ￦2,500 / All Skins : ￦5,900",2011-04-22,16564,https://itunes.apple.com/KR/app/id426007025
KR,GROSS,IOS,2019,3,M,23,-,,Travel,GNIB Appointments,Alexandr Zavalii,"￦1,200",,2018-03-22,15600,https://itunes.apple.com/KR/app/id1361309535
KR,GROSS,IOS,2019,3,M,24,+10,,Travel,nemo 중국어,Nemo Apps LLC,0.0,"Nemo Mandarin Foundation pack : ￦15,000",2011-04-20,14155,https://itunes.apple.com/KR/app/id430676177
KR,GROSS,IOS,2019,3,M,25,+53,,Travel,TripIt: Travel Planner,TripIt,0.0,"TripIt Pro (1 Year) : ￦60,000",2009-04-10,13252,https://itunes.apple.com/KR/app/id311035142
KR,GROSS,IOS,2019,3,M,26,+5,,Travel,nemo 터키어,Nemo Apps LLC,0.0,"Nemo Turkish Foundation pack : ￦15,000",2013-07-24,12694,https://itunes.apple.com/KR/app/id635604246
KR,GROSS,IOS,2019,3,M,27,-7,,Travel,Louvre : ma visite,MUSEE DU LOUVRE,0.0,,2016-07-05,11735,https://itunes.apple.com/KR/app/id1100629786
KR,GROSS,IOS,2019,3,M,28,+33,,Travel,Sygic Travel 오프라인 지도 & 여행 플래너,Tripomatic s.r.o.,0.0,"Sygic Travel Premium : ￦25,000 / Sygic Travel Premium Monthly : ￦4,900 / Sygic Travel Premium Yearly : ￦19,000",2012-04-24,11734,https://itunes.apple.com/KR/app/id519058033
KR,GROSS,IOS,2019,3,M,29,-3,,Travel,Elk - 여행 환율 변환기,Clean Shaven Apps,0.0,"14일용 무료 시험 버전 : 0 / Elk 해제 : ￦4,900",2017-04-10,11682,https://itunes.apple.com/KR/app/id1189748820
KR,GROSS,IOS,2019,3,M,30,+36,,Travel,영어 (영국) 상용 회화집 - 쉬운 영국 여행,Smart Language Apps Limited,0.0,"정식 버전 : ￦5,900",2013-10-03,11567,https://itunes.apple.com/KR/app/id714749331
KR,GROSS,IOS,2019,3,M,31,-4,,Travel,nemo 태국어,Nemo Apps LLC,0.0,"Nemo Thai Foundation pack : ￦15,000",2011-12-28,11305,https://itunes.apple.com/KR/app/id487076453
KR,GROSS,IOS,2019,3,M,32,-11,,Travel,nemo 미국식 영어,Nemo Apps LLC,0.0,"Nemo English Foundation pack : ￦15,000",2011-12-21,11036,https://itunes.apple.com/KR/app/id487069717
KR,GROSS,IOS,2019,3,M,33,-23,,Travel,nemo 베트남어,Nemo Apps LLC,0.0,"Nemo Vietnamese Foundation pack : ￦15,000",2013-07-24,10806,https://itunes.apple.com/KR/app/id635605857
KR,GROSS,IOS,2019,3,M,34,+18,,Travel,PeakFinder AR,Fabio Soldati,"￦5,900",,2010-03-12,10620,https://itunes.apple.com/KR/app/id357421934
KR,GROSS,IOS,2019,3,M,35,+84,,Travel,HereNow - Asia's City Guide,"CINRA, Inc.",0.0,"HereNow Bangkok : ￦4,900 / HereNow Fukuoka : ￦4,900 / HereNow Kyoto : ￦4,900",2017-04-12,10317,https://itunes.apple.com/KR/app/id1198907441
KR,GROSS,IOS,2019,3,M,36,new,,Travel,Sky Guru Fear of flying help,SkyGuru,0.0,"1 flight with SkyGuru : ￦7,500 / 3 flights with SkyGuru : ￦15,000 / 10 flights with SkyGuru : ￦31,000",2020-03-25,10288,https://itunes.apple.com/KR/app/id1382240614
KR,GROSS,IOS,2019,3,M,37,+12,,Travel,MAPS.ME –오프라인 지도 및 길찾기 및 네비게이션,MY COM,0.0,"Weekly Ads Removal : ￦1,200 / 연간 광고 제거 : ￦4,500 / Overview guide : ￦1,200",2012-04-12,10061,https://itunes.apple.com/KR/app/id510623322
