Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
KR,PAID,IOS,2019,11,M,1,-,,Photo & Video,@picn2k camera (피크닉 카메라),JIN WOOK KOO,"￦2,500",,2018-06-18,310000,https://itunes.apple.com/KR/app/id1376609012
KR,PAID,IOS,2019,11,M,2,-,,Photo & Video,Pro Camera by Moment,Moment Inc.,"￦5,900","Pro Bundle : ￦4,900 / Time-lapse : ￦3,900 / Slow Shutter : ￦3,900",2014-11-18,124406,https://itunes.apple.com/KR/app/id927098908
KR,PAID,IOS,2019,11,M,3,-,,Photo & Video,ProCamera.,Cocologics,"￦11,000","San Fran : ￦1,200 / ProCamera HDR : ￦4,900 / LowLight Plus : ￦4,900",2013-09-18,33435,https://itunes.apple.com/KR/app/id694647259
KR,PAID,IOS,2019,11,M,4,+2,,Education,네이버 글로벌회화 Plus,NAVER Corp.,"￦3,900",,2012-05-10,30349,https://itunes.apple.com/KR/app/id523026881
KR,PAID,IOS,2019,11,M,5,new,,Travel,"전국여행지도 - 에이든, 국내여행지 1000개 총정리",Tabularasa,"￦4,900",,2019-10-31,22777,https://itunes.apple.com/KR/app/id1483036296
KR,PAID,IOS,2019,11,M,6,-2,,Navigation,BringGo Korea,Engis Technologies.Inc,"￦12,000","프리미엄 내비게이션 서비스 : ￦12,000",2013-02-12,14523,https://itunes.apple.com/KR/app/id596660614
KR,PAID,IOS,2019,11,M,7,+1,,Education,말이되는영어 여행필수회화,Mijeong Kim,"￦3,900",,2014-03-09,13500,https://itunes.apple.com/KR/app/id833443588
KR,PAID,IOS,2019,11,M,8,new,,Utilities,웹사이트 번역기,"Crypto, Inc.","￦5,900",,2016-09-04,10333,https://itunes.apple.com/KR/app/id1141312799
KR,PAID,IOS,2019,11,M,9,new,,Photo & Video,봄날 - Season Camera,JIN WOOK KOO,"￦1,200",,2017-08-16,10000,https://itunes.apple.com/KR/app/id1268325688
KR,PAID,IOS,2019,11,M,10,new,,Travel,GNIB Notifications,Ricardo Dantas Goncalves,"￦1,200",,2019-10-05,8690,https://itunes.apple.com/KR/app/id1313280347
KR,PAID,IOS,2019,11,M,11,new,,Weather,Weather+,Impala Studios,"￦4,900",,2010-11-23,6666,https://itunes.apple.com/KR/app/id403692190
KR,PAID,IOS,2019,11,M,12,-,,Travel,TripView - Sydney & Melbourne,TripView Pty Ltd,"￦4,900",,2009-03-26,6666,https://itunes.apple.com/KR/app/id294730339
KR,PAID,IOS,2019,11,M,13,+5,,Photo & Video,가을날 - Season Camera,JIN WOOK KOO,"￦1,200",,2017-08-16,6666,https://itunes.apple.com/KR/app/id1268339394
KR,PAID,IOS,2019,11,M,14,new,,Weather,My Aurora Forecast Pro,JRustonApps B.V.,"￦2,500",,2016-01-26,6666,https://itunes.apple.com/KR/app/id1075462280
KR,PAID,IOS,2019,11,M,15,-2,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,"￦5,900","Augmented Reality : ￦3,900 / Access Plus 24 : ￦1,200 / Route Planner : ￦1,200",2012-10-08,6666,https://itunes.apple.com/KR/app/id563910324
KR,PAID,IOS,2019,11,M,16,new,,Navigation,DIY Map GPS (세계 여행자를 위한 앱),Builtsoft,"￦3,900",,2013-02-12,5000,https://itunes.apple.com/KR/app/id574178731
KR,PAID,IOS,2019,11,M,17,-12,,Travel,Vegan Food Near You - HappyCow,HappyCow,"￦4,900",,2011-05-12,5000,https://itunes.apple.com/KR/app/id435871950
KR,PAID,IOS,2019,11,M,18,new,,Navigation,지켜보고있다 블랙박스 Plus,Bongwook Bin,"￦3,900",,2019-07-15,4000,https://itunes.apple.com/KR/app/id1220275950
KR,PAID,IOS,2019,11,M,19,new,,Photo & Video,여름날 - Season Camera,JIN WOOK KOO,"￦1,200",,2017-08-16,4000,https://itunes.apple.com/KR/app/id1268339390
