"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+2","Travel","전국여행지도 - 에이든, 국내여행지 1000개 총정리","Tabularasa","￦4,900","","2019-10-31","139253","https://itunes.apple.com/KR/app/id1483036296"
"2","-1","Travel","LiveATC Air Radio","LiveATC.net","￦4,900","","2009-06-09","127969","https://itunes.apple.com/KR/app/id317809458"
"3","-1","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","￦5,900","Augmented Reality : ￦3,900 / Access Plus 24 : ￦1,200 / Route Planner : ￦1,200","2012-10-08","108054","https://itunes.apple.com/KR/app/id563910324"
"4","+3","Travel","CityMaps2Go Pro 여행 플래너","Ulmon GmbH","￦15,000","Premium Features : ￦15,000 / Premium Features : $9.99 / Premium Features : $11.99","2009-09-03","86802","https://itunes.apple.com/KR/app/id327783342"
"5","+1","Travel","주머니속의 여행 일본어 - Travel Conv.","DaolSoft, Co., Ltd.","￦2,500","","2008-12-17","66448","https://itunes.apple.com/KR/app/id295618678"
"6","+3","Travel","Vegan Food Near You - HappyCow","HappyCow","￦4,900","","2011-05-12","64785","https://itunes.apple.com/KR/app/id435871950"
"7","+4","Travel","세계의 안개 (Fog of World)","Ollix","￦19,000","","2012-09-18","58925","https://itunes.apple.com/KR/app/id505367096"
"8","+2","Travel","주머니속의 여행 영어 - Travel Conv.","DaolSoft, Co., Ltd.","￦2,500","","2008-12-03","52234","https://itunes.apple.com/KR/app/id295463352"
"9","-4","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","￦4,900","","2009-03-26","44188","https://itunes.apple.com/KR/app/id294730339"
"10","-2","Travel","주머니속의 여행 중국어 - Travel Conv.","DaolSoft, Co., Ltd.","￦2,500","","2009-01-15","42336","https://itunes.apple.com/KR/app/id301246608"
"11","+6","Travel","Babelshot: Translate Instantly Using Phone Camera","Codium Labs LLC","￦7,500","","2016-02-20","31838","https://itunes.apple.com/KR/app/id334194705"
