"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Social","TikTok - Make Your Day","TikTok Inc.","0.0","$0.99 - $99.99 per item","2020-06-28","217008","https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically"
"2","+124","Business","ZOOM Cloud Meetings","zoom.us","0.0","","2020-06-17","147226","https://play.google.com/store/apps/details?id=us.zoom.videomeetings"
"3","+12","News & Magazines","News Break: Local, Breaking, & Live","Particle Media Inc.","0.0","","2020-06-23","101427","https://play.google.com/store/apps/details?id=com.particlenews.newsbreak"
"4","-1","Communication","Messenger – Text and Video Chat for Free","Facebook","0.0","$0.99 - $399.99 per item","2020-06-22","100098","https://play.google.com/store/apps/details?id=com.facebook.orca"
"5","-3","Social","Instagram","Instagram","0.0","$0.99 - $4.99 per item","2020-06-23","64655","https://play.google.com/store/apps/details?id=com.instagram.android"
"6","-2","Social","Snapchat","Snap Inc","0.0","","2020-06-23","50328","https://play.google.com/store/apps/details?id=com.snapchat.android"
"7","-","Communication","WhatsApp Messenger","WhatsApp Inc.","0.0","","2020-06-24","49009","https://play.google.com/store/apps/details?id=com.whatsapp"
"8","+5","Entertainment","Netflix","Netflix, Inc.","0.0","$7.99 - $13.99 per item","2020-06-25","41464","https://play.google.com/store/apps/details?id=com.netflix.mediaclient"
"9","+102","News & Magazines","SmartNews: Local Breaking News","SmartNews, Inc.","0.0","","2020-06-24","35817","https://play.google.com/store/apps/details?id=jp.gocro.smartnews.android"
"10","-1","Entertainment","Disney+","Disney","0.0","$6.99 - $69.99 per item","2020-06-22","34139","https://play.google.com/store/apps/details?id=com.disney.disneyplus"
"11","-6","Productivity","Your Phone Companion - Link to Windows","Microsoft Corporation","0.0","","2020-06-25","29502","https://play.google.com/store/apps/details?id=com.microsoft.appmanager"
"12","+2","Social","Facebook","Facebook","0.0","$0.99 - $399.99 per item","2020-06-25","27196","https://play.google.com/store/apps/details?id=com.facebook.katana"
"13","+207","Education","Google Classroom","Google LLC","0.0","","2020-06-10","26062","https://play.google.com/store/apps/details?id=com.google.android.apps.classroom"
"14","-4","Finance","Cash App","Square, Inc.","0.0","","2020-06-26","24031","https://play.google.com/store/apps/details?id=com.squareup.cash"
"15","-7","Auto & Vehicles","Android Auto - Google Maps, Media & Messaging","Google LLC","0.0","","2020-06-18","21397","https://play.google.com/store/apps/details?id=com.google.android.projection.gearhead"
"16","+5","Music & Audio","YouTube Music - Stream Songs & Music Videos","Google LLC","0.0","","2020-06-26","21149","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music"
"17","+1","Entertainment","Tubi - Free Movies & TV Shows","Tubi TV","0.0","","2020-06-22","18937","https://play.google.com/store/apps/details?id=com.tubitv"
"18","-2","Music & Audio","Spotify: Listen to new music, podcasts, and songs","Spotify Ltd.","0.0","","2020-06-26","17981","https://play.google.com/store/apps/details?id=com.spotify.music"
"19","-2","Entertainment","Hulu: Stream TV shows & watch the latest movies","Hulu","0.0","","2020-06-24","17294","https://play.google.com/store/apps/details?id=com.hulu.plus"
"20","+66","Health & Fitness","Samsung Health","Samsung Electronics Co.,  Ltd.","0.0","","2020-05-28","17277","https://play.google.com/store/apps/details?id=com.sec.android.app.shealth"
"21","-2","Entertainment","Google Play Games","Google LLC","0.0","","2020-05-26","16873","https://play.google.com/store/apps/details?id=com.google.android.play.games"
"22","+2","Food & Drink","DoorDash - Food Delivery","DoorDash","0.0","","2020-06-25","16190","https://play.google.com/store/apps/details?id=com.dd.doordash"
"23","-3","Music & Audio","Pandora - Streaming Music, Radio & Podcasts","Pandora","0.0","$0.99 - $9.99 per item","2020-06-23","16042","https://play.google.com/store/apps/details?id=com.pandora.android"
"24","new","Business","Google Meet","Google LLC","0.0","","2020-06-26","15482","https://play.google.com/store/apps/details?id=com.google.android.apps.meetings"
"25","+1","Entertainment","Amazon Prime Video","Amazon Mobile LLC","0.0","$0.99 - $100.00 per item","2020-06-26","13627","https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient"
"26","+187","Business","Microsoft Teams","Microsoft Corporation","0.0","","2020-06-25","13544","https://play.google.com/store/apps/details?id=com.microsoft.teams"
"27","-5","Shopping","Amazon Shopping - Search, Find, Ship, and Save","Amazon Mobile LLC","0.0","","2020-06-18","13503","https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping"
"28","-5","Shopping","Wish - Shopping Made Fun","Wish Inc.","0.0","","2020-06-24","13325","https://play.google.com/store/apps/details?id=com.contextlogic.wish"
"29","new","Social","Houseparty","Life on Air","0.0","$0.99 - $2.99 per item","2020-06-19","10314","https://play.google.com/store/apps/details?id=com.herzick.houseparty"
"30","-2","Finance","Venmo","PayPal, Inc.","0.0","","2020-06-25","10278","https://play.google.com/store/apps/details?id=com.venmo"
"31","+6","Entertainment","Pluto TV - Free Live TV and Movies","Pluto, Inc.","0.0","","2020-04-14","10007","https://play.google.com/store/apps/details?id=tv.pluto.android"
"32","+2","Shopping","Walmart Shopping & Grocery","Walmart","0.0","","2020-06-26","9927","https://play.google.com/store/apps/details?id=com.walmart.android"
"33","-8","Finance","PayPal Mobile Cash: Send and Request Money Fast","PayPal Mobile","0.0","","2020-06-22","9731","https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile"
"34","+72","Finance","Robinhood - Investment & Trading, Commission-free","Robinhood","0.0","","2020-06-24","7975","https://play.google.com/store/apps/details?id=com.robinhood.android"
"35","-6","Lifestyle","Pinterest","Pinterest","0.0","","2020-06-23","7786","https://play.google.com/store/apps/details?id=com.pinterest"
"36","-9","Communication","TextNow: Free Texting & Calling App","TextNow, Inc.","0.0","$0.99 - $99.99 per item","2020-06-24","7739","https://play.google.com/store/apps/details?id=com.enflick.android.TextNow"
"37","new","Communication","Messenger Kids – The Messaging App for Kids","Facebook","0.0","","2020-06-26","7189","https://play.google.com/store/apps/details?id=com.facebook.talk"
"38","-6","News & Magazines","Twitter","Twitter, Inc.","0.0","","2020-06-23","7165","https://play.google.com/store/apps/details?id=com.twitter.android"
"39","+105","Education","ABCmouse.com","Age of Learning, Inc.","0.0","$9.95 - $79.95 per item","2020-06-15","6699","https://play.google.com/store/apps/details?id=mobi.abcmouse.academy_goo"
"40","+5","Shopping","eBay: Buy, sell, and save money on home essentials","eBay Mobile","0.0","","2020-06-17","6381","https://play.google.com/store/apps/details?id=com.ebay.mobile"
"41","+5","Entertainment","Roku","Roku Inc.","0.0","","2020-05-13","6272","https://play.google.com/store/apps/details?id=com.roku.remote"
"42","-2","Food & Drink","McDonald's","McDonalds USA, LLC","0.0","","2020-06-23","6173","https://play.google.com/store/apps/details?id=com.mcdonalds.app"
"43","new","Tools","Editin Photos","Vanila iTech","0.0","","2020-03-01","6076","https://play.google.com/store/apps/details?id=com.aili.mycameras.imageedit"
"44","new","News & Magazines","News Home: Breaking News, Local & World News Today","My Home Apps","0.0","","2020-06-22","5951","https://play.google.com/store/apps/details?id=com.home.news.breaking"
"45","-14","Maps & Navigations","Uber - Request a ride","Uber Technologies, Inc.","0.0","","2020-06-25","5797","https://play.google.com/store/apps/details?id=com.ubercab"
"46","new","Food & Drink","SUBWAY®","SUBWAY Restaurants","0.0","","2020-06-02","5178","https://play.google.com/store/apps/details?id=com.subway.mobile.subwayapp03"
"47","+8","Productivity","Microsoft Outlook: Organize Your Email & Calendar","Microsoft Corporation","0.0","","2020-06-27","5141","https://play.google.com/store/apps/details?id=com.microsoft.office.outlook"
"48","new","Food & Drink","Instacart - Shop groceries & get same day delivery","Instacart","0.0","","2020-06-25","5138","https://play.google.com/store/apps/details?id=com.instacart.client"
"49","+1","Communication","Discord - Friends, Communities, & Gaming","Discord Inc.","0.0","","2020-06-18","5002","https://play.google.com/store/apps/details?id=com.discord"
"50","+109","Shopping","Walmart Grocery","Walmart","0.0","","2020-05-09","4696","https://play.google.com/store/apps/details?id=com.walmart.grocery"
"51","+164","Education","Remind: School Communication","Remind101","0.0","","2020-06-25","4638","https://play.google.com/store/apps/details?id=com.remind101"
"52","-16","Entertainment","YouTube Kids","Google LLC","0.0","","2020-06-25","4546","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.kids"
"53","new","Communication","Skype - free IM & video calls","Skype","0.0","","2020-06-18","4537","https://play.google.com/store/apps/details?id=com.skype.raider"
"54","+5","Lifestyle","Magic Face:face aging, young camera, fantastic app","Star Party","0.0","$28.99 - $99.99 per item","2020-05-14","4506","https://play.google.com/store/apps/details?id=faceapp.aging.young.ai.face"
"55","-22","Maps & Navigations","Lyft - Rideshare, Bikes, Scooters & Transit","Lyft, Inc.","0.0","","2020-06-24","4369","https://play.google.com/store/apps/details?id=me.lyft.android"
"56","new","Education","Conects Q&A: Photo Math Solver","ST Unitas","0.0","","2020-06-23","4274","https://play.google.com/store/apps/details?id=com.stu.conects"
"57","-27","Shopping","Poshmark - Buy & Sell Fashion","Poshmark, Inc","0.0","","2020-06-23","4186","https://play.google.com/store/apps/details?id=com.poshmark.app"
"58","-11","Shopping","Shop: delivery & order tracker","Shopify Inc.","0.0","","2020-06-24","4003","https://play.google.com/store/apps/details?id=com.shopify.arrive"
"59","-24","Finance","Credit Karma - Free Credit Scores & Reports","Credit Karma, Inc.","0.0","","2020-06-23","3920","https://play.google.com/store/apps/details?id=com.creditkarma.mobile"
"60","new","Education","ClassDojo","ClassDojo","0.0","$0.99 - $59.99 per item","2020-06-17","3747","https://play.google.com/store/apps/details?id=com.classdojo.android"
"61","new","Entertainment","Anymoji - Emoji Face Recorder","Avatar Animoji Labs","0.0","","2020-05-12","3653","https://play.google.com/store/apps/details?id=com.nxany.anymoji"
"62","-56","Finance","IRS2Go","Internal Revenue Service","0.0","","2019-12-26","3017","https://play.google.com/store/apps/details?id=gov.irs"
"63","new","Entertainment","Nintendo Switch Online","Nintendo Co., Ltd.","0.0","","2020-06-16","2936","https://play.google.com/store/apps/details?id=com.nintendo.znca"
"64","+1","Personalization","ZEDGE™ Wallpapers & Ringtones","Zedge","0.0","$0.99 - $19.99 per item","2020-06-27","2521","https://play.google.com/store/apps/details?id=net.zedge.android"
