Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,FREE,AND,2020,4,M,1,+1,,Business,ZOOM Cloud Meetings,zoom.us,0.0,,2020-06-17,304677,https://play.google.com/store/apps/details?id=us.zoom.videomeetings
US,FREE,AND,2020,4,M,2,-1,,Social,TikTok - Make Your Day,TikTok Inc.,0.0,$0.99 - $99.99 per item,2020-06-28,134263,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically
US,FREE,AND,2020,4,M,3,+26,,Social,Houseparty,Life on Air,0.0,$0.99 - $2.99 per item,2020-06-19,69152,https://play.google.com/store/apps/details?id=com.herzick.houseparty
US,FREE,AND,2020,4,M,4,+3,,Communication,WhatsApp Messenger,WhatsApp Inc.,0.0,,2020-06-24,63913,https://play.google.com/store/apps/details?id=com.whatsapp
US,FREE,AND,2020,4,M,5,-1,,Communication,Messenger – Text and Video Chat for Free,Facebook,0.0,$0.99 - $399.99 per item,2020-06-22,54939,https://play.google.com/store/apps/details?id=com.facebook.orca
US,FREE,AND,2020,4,M,6,+18,,Business,Google Meet,Google LLC,0.0,,2020-06-26,51230,https://play.google.com/store/apps/details?id=com.google.android.apps.meetings
US,FREE,AND,2020,4,M,7,-2,,Social,Instagram,Instagram,0.0,$0.99 - $4.99 per item,2020-06-23,42191,https://play.google.com/store/apps/details?id=com.instagram.android
US,FREE,AND,2020,4,M,8,-5,,News & Magazines,"News Break: Local, Breaking, & Live",Particle Media Inc.,0.0,,2020-06-23,41158,https://play.google.com/store/apps/details?id=com.particlenews.newsbreak
US,FREE,AND,2020,4,M,9,new,,Productivity,Samsung Security Policy Update,"Samsung Electronics Co.,  Ltd.",0.0,,2020-06-03,37589,https://play.google.com/store/apps/details?id=com.policydm
US,FREE,AND,2020,4,M,10,+12,,Food & Drink,DoorDash - Food Delivery,DoorDash,0.0,,2020-06-25,31437,https://play.google.com/store/apps/details?id=com.dd.doordash
US,FREE,AND,2020,4,M,11,-3,,Entertainment,Netflix,"Netflix, Inc.",0.0,$7.99 - $13.99 per item,2020-06-25,27980,https://play.google.com/store/apps/details?id=com.netflix.mediaclient
US,FREE,AND,2020,4,M,12,+1,,Education,Google Classroom,Google LLC,0.0,,2020-06-10,27782,https://play.google.com/store/apps/details?id=com.google.android.apps.classroom
US,FREE,AND,2020,4,M,13,+1,,Finance,Cash App,"Square, Inc.",0.0,,2020-06-26,26539,https://play.google.com/store/apps/details?id=com.squareup.cash
US,FREE,AND,2020,4,M,14,-4,,Entertainment,Disney+,Disney,0.0,$6.99 - $69.99 per item,2020-06-22,23995,https://play.google.com/store/apps/details?id=com.disney.disneyplus
US,FREE,AND,2020,4,M,15,+47,,Finance,IRS2Go,Internal Revenue Service,0.0,,2019-12-26,23004,https://play.google.com/store/apps/details?id=gov.irs
US,FREE,AND,2020,4,M,16,+12,,Shopping,Wish - Shopping Made Fun,Wish Inc.,0.0,,2020-06-24,22878,https://play.google.com/store/apps/details?id=com.contextlogic.wish
US,FREE,AND,2020,4,M,17,-5,,Social,Facebook,Facebook,0.0,$0.99 - $399.99 per item,2020-06-25,20885,https://play.google.com/store/apps/details?id=com.facebook.katana
