Rank,Change,Category,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
1,-,Productivity,Google One,Google LLC,0,$0.99 - $299.99 per item,2020-06-25,288378,https://play.google.com/store/apps/details?id=com.google.android.apps.subscriptions.red
2,-,Music & Audio,"Pandora - Streaming Music, Radio & Podcasts",Pandora,0,$0.99 - $9.99 per item,2020-06-23,146093,https://play.google.com/store/apps/details?id=com.pandora.android
3,-,Entertainment,Disney+,Disney,0,$6.99 - $69.99 per item,2020-06-22,138794,https://play.google.com/store/apps/details?id=com.disney.disneyplus
4,-,Lifestyle,Tinder,Tinder,0,$0.99 - $299.99 per item,2020-06-24,82185,https://play.google.com/store/apps/details?id=com.tinder
5,1,Entertainment,Twitch: Livestream Multiplayer Games & Esports,"Twitch Interactive, Inc.",0,$1.99 - $299.50 per item,2020-06-12,60644,https://play.google.com/store/apps/details?id=tv.twitch.android.app
6,2,Entertainment,"HBO Max: Stream HBO, TV, Movies & More","WarnerMedia Direct, LLC",0,$0.99 - $14.99 per item,2020-06-24,50344,https://play.google.com/store/apps/details?id=com.hbo.hbonow
7,3,Social,Facebook,Facebook,0,$0.99 - $399.99 per item,2020-06-25,44733,https://play.google.com/store/apps/details?id=com.facebook.katana
8,3,Social,"BIGO LIVE?Live Stream, Video Chat, Make Friends",BIGO TECHNOLOGY PTE. LTD.,0,$0.99 - $399.99 per item,2020-06-28,39117,https://play.google.com/store/apps/details?id=sg.bigo.live
9,-2,Sports,ESPN,ESPN Inc,0,$0.99 - $79.99 per item,2020-06-25,36255,https://play.google.com/store/apps/details?id=com.espn.score_center
10,2,Social,Tango - Live Video Broadcasts,Tango,0,$0.99 - $399.99 per item,2020-06-26,33641,https://play.google.com/store/apps/details?id=com.sgiggle.production
11,-6,Finance,TurboTax Tax Return App ? Max Refund Guaranteed,Intuit Inc,0,$29.99 - $374.94 per item,2020-05-29,32415,https://play.google.com/store/apps/details?id=com.intuit.turbotax.mobile
12,-3,Lifestyle,"Bumble - Dating, Friends & Business",Bumble Holding Limited,0,$0.99 - $149.99 per item,2020-06-26,28471,https://play.google.com/store/apps/details?id=com.bumble.app
13,6,Social,MeetMe: Chat & Meet New People,MeetMe.com,0,$1.00 - $399.99 per item,2020-06-27,25158,https://play.google.com/store/apps/details?id=com.myyearbook.m
14,-,Entertainment,STARZ,"Starz Entertainment, LLC",0,$2.99 - $89.99 per item,2020-06-23,22489,https://play.google.com/store/apps/details?id=com.bydeluxe.d3.android.program.starz
15,3,Productivity,Google Drive,Google LLC,0,"$0.99 - $1,024.00 per item",2020-06-24,22368,https://play.google.com/store/apps/details?id=com.google.android.apps.docs
16,4,Productivity,"Dropbox: Cloud Storage to Backup, Sync, File Share","Dropbox, Inc.",0,$9.99 - $11.99 per item,2020-06-23,20504,https://play.google.com/store/apps/details?id=com.dropbox.android
17,-1,Music & Audio,"iHeartRadio: Radio, Podcasts & Music On Demand","iHeartMedia, Inc.",0,$0.99 - $12.99 per item,2020-06-08,19086,https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller
18,-5,Communication,Messenger ? Text and Video Chat for Free,Facebook,0,$0.99 - $399.99 per item,2020-06-22,18950,https://play.google.com/store/apps/details?id=com.facebook.orca
19,-4,Health & Fitness,Calorie Counter - MyFitnessPal,"MyFitnessPal, Inc.",0,$0.99 - $99.99 per item,2020-06-22,17394,https://play.google.com/store/apps/details?id=com.myfitnesspal.android
20,-3,Entertainment,CBS - Full Episodes & Live TV,"CBS Interactive, Inc.",0,$1.00 - $9.99 per item,2020-06-25,16460,https://play.google.com/store/apps/details?id=com.cbs.app
21,5,Comics,WEBTOON,NAVER WEBTOON CORP.,0,$0.99 - $29.99 per item,2020-06-18,15783,https://play.google.com/store/apps/details?id=com.naver.linewebtoon
22,9,Social,"Tagged - Meet, Chat & Dating",Ifwe Inc.,0,$4.99 - $199.99 per item,2020-06-27,15628,https://play.google.com/store/apps/details?id=com.taggedapp
23,-1,Social,Grindr - Gay chat,Grindr LLC,0,$0.99 - $239.99 per item,2020-06-22,13577,https://play.google.com/store/apps/details?id=com.grindrapp.android
24,-3,Education,Duolingo: Learn Languages Free,Duolingo,0,$0.99 - $125.99 per item,2020-06-23,13471,https://play.google.com/store/apps/details?id=com.duolingo
25,-2,Health & Fitness,"Calm - Meditate, Sleep, Relax","Calm.com, Inc.",0,$0.99 - $399.99 per item,2020-06-22,12799,https://play.google.com/store/apps/details?id=com.calm.android
26,2,Dating,"Hily ? Meet New People, Make Friends & Find Dates",Hily Corp.,0,$0.99 - $127.53 per item,2020-06-24,12318,https://play.google.com/store/apps/details?id=com.hily.app
27,-2,Lifestyle,"Life360 - Family Locator, GPS Tracker",Life360,0,$1.49 - $149.99 per item,2020-06-08,11792,https://play.google.com/store/apps/details?id=com.life360.android.safetymapd
28,-1,Entertainment,Crunchyroll,"Ellation, LLC",0,$7.99 - $99.99 per item,2020-04-24,11051,https://play.google.com/store/apps/details?id=com.crunchyroll.crunchyroid
29,4,Entertainment,Claw Machine Game Toreba -Online Claw Machine Game,"CyberStep, Inc.",0,$4.99 - $239.99 per item,2020-02-19,10785,https://play.google.com/store/apps/details?id=com.cyberstep.toreba.android
30,-1,Health & Fitness,Fitbit,"Fitbit, Inc.",0,$7.99 - $399.99 per item,2020-06-26,10506,https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile
31,3,Dating,Hinge - Dating & Relationships,Hinge,0,$4.99 - $99.99 per item,2020-06-24,9918,https://play.google.com/store/apps/details?id=co.hinge.app
32,5,Health & Fitness,Headspace: Meditation & Sleep,"Headspace for Meditation, Mindfulness and Sleep",0,$6.49 - $119.99 per item,2020-06-23,9752,https://play.google.com/store/apps/details?id=com.getsomeheadspace.android
33,12,Social,"IMVU: 3D Social Media, Avatar, Chat, Party, Friend","IMVU, Inc.",0,$0.99 - $199.99 per item,2020-06-05,9397,https://play.google.com/store/apps/details?id=com.imvu.mobilecordova
34,4,Entertainment,DC Universe - The Ultimate DC Membership,Warner Bros. International Enterprises,0,$3.99 - $74.99 per item,2020-06-11,9128,https://play.google.com/store/apps/details?id=com.wb.goog.dcuniverse
35,-3,Sports,"DAZN Live Fight Sports: Boxing, MMA & More",DAZN,0,$4.49 - $109.99 per item,2020-05-14,8966,https://play.google.com/store/apps/details?id=com.dazn
36,7,Photography,"PicsArt Photo Editor: Pic, Video & Collage Maker",PicsArt,0,$0.99 - $119.99 per item,2020-06-27,8397,https://play.google.com/store/apps/details?id=com.picsart.studio
37,5,Entertainment,Pantaya,Pantaya,0,$5.99 - $59.99 per item,2020-06-25,8358,https://play.google.com/store/apps/details?id=com.lionsgate.pantaya
38,2,Finance,Mileage Tracker by MileIQ,Mobile Data Labs,0,$5.99 - $59.99 per item,2020-05-28,8221,https://play.google.com/store/apps/details?id=com.mobiledatalabs.mileiq
39,24,Sports,MLB,"MLB Advanced Media, L.P.",0,$0.99 - $119.99 per item,2020-05-27,8110,https://play.google.com/store/apps/details?id=com.bamnetworks.mobile.android.gameday.atbat
40,-4,Finance,QuickBooks Self-Employed:Mileage Tracker and Taxes,Intuit Inc,0,$2.49 - $159.99 per item,2020-06-08,8096,https://play.google.com/store/apps/details?id=com.intuit.qbse
41,-,Sports,"onX Hunt: Hunting Maps, Offline GPS/Nav & Weather",onXmaps,0,$9.99 - $99.99 per item,2020-06-25,8000,https://play.google.com/store/apps/details?id=onxmaps.hunt
42,2,Shopping,OfferUp - Buy. Sell. Offer Up,OfferUp Inc.,0,$0.99 - $49.99 per item,2020-06-26,7786,https://play.google.com/store/apps/details?id=com.offerup
43,-8,Books & Reference,Webnovel,Cloudary,0,$0.99 - $149.99 per item,2020-06-08,7770,https://play.google.com/store/apps/details?id=com.qidian.Int.reader
44,-5,Productivity,Microsoft OneDrive,Microsoft Corporation,0,$1.99 - $99.99 per item,2020-06-24,7521,https://play.google.com/store/apps/details?id=com.microsoft.skydrive
45,1,Music & Audio,Smule - The Social Singing App,Smule,0,$0.01 - $99.99 per item,2020-06-24,7400,https://play.google.com/store/apps/details?id=com.smule.singandroid
46,56,Entertainment,Funimation,"Funimation Global Group, LLC",0,$5.99 - $99.99 per item,2020-05-29,6136,https://play.google.com/store/apps/details?id=com.Funimation.FunimationNow
47,31,Social,TikTok - Make Your Day,TikTok Inc.,0,$0.99 - $99.99 per item,2020-06-28,3901,https://play.google.com/store/apps/details?id=com.zhiliaoapp.musically
48,3,Entertainment,BET+,BET Networks,0,$9.99 per item,2020-06-17,3655,https://play.google.com/store/apps/details?id=com.viacom.betplus
49,90,Books & Reference,Dreame,Dreame Media,0,$0.99 - $49.99 per item,2020-06-17,3582,https://play.google.com/store/apps/details?id=com.dreame.reader
50,5,News & Magazines,The New York Times,The New York Times Company,0,$0.99 - $199.99 per item,2020-06-26,3577,https://play.google.com/store/apps/details?id=com.nytimes.android
51,-21,Music & Audio,"TuneIn Radio: Live News, Sports & Music Stations",TuneIn Inc,0,$0.99 - $149.99 per item,2020-06-18,3184,https://play.google.com/store/apps/details?id=tunein.player
52,new,Sports,Bleacher Report Live,Bleacher Report Inc.,0,$0.99 - $199.99 per item,2020-05-18,3038,https://play.google.com/store/apps/details?id=com.catchsports.catchsports
53,46,Social,"SKOUT - Meet, Chat, Go Live",Skout Inc.,0,$0.99 - $99.99 per item,2020-06-27,2617,https://play.google.com/store/apps/details?id=com.skout.android
54,94,Lifestyle,Palmistry,Star Party,0,$24.99 - $94.99 per item,2020-05-08,2505,https://play.google.com/store/apps/details?id=com.academy.soular.star
55,104,Lifestyle,"Magic Face:face aging, young camera, fantastic app",Star Party,0,$28.99 - $99.99 per item,2020-05-14,2313,https://play.google.com/store/apps/details?id=faceapp.aging.young.ai.face
56,-,Entertainment,SHOWTIME,Showtime Digital Inc.,0,$8.99 - $74.99 per item,2020-05-04,1863,https://play.google.com/store/apps/details?id=com.showtime.standalone
57,-8,Communication,RoboKiller - Spam and Robocall Blocker,TelTech Systems Inc,0,$0.99 - $39.99 per item,2020-06-25,1688,https://play.google.com/store/apps/details?id=com.robokiller.app
58,-1,Entertainment,"Viki: Stream Asian TV Shows, Movies, and Kdramas","Viki, Inc",0,$0.99 - $99.99 per item,2020-06-16,1224,https://play.google.com/store/apps/details?id=com.viki.android
59,35,Health & Fitness,"AllTrails: Hiking, Running & Mountain Bike Trails","AllTrails, LLC",0,$1.00 - $129.99 per item,2020-06-26,639,https://play.google.com/store/apps/details?id=com.alltrails.alltrails
60,15,Business,Sideline - Second Number for a Business Line,"Pinger, Inc - Second Phone Number App",0,$0.99 - $99.99 per item,2020-06-25,612,https://play.google.com/store/apps/details?id=com.sideline.phone.number
61,1,Sports,"FOX Sports: LIVE Streaming, Scores, and News",FOX Sports Interactive,0,$0.99 - $79.99 per item,2020-05-27,512,https://play.google.com/store/apps/details?id=com.foxsports.android
62,-3,Education,Udemy - Online Courses,Udemy,0,$0.99 - $209.99 per item,2020-06-23,444,https://play.google.com/store/apps/details?id=com.udemy.android
63,46,Books & Reference,Radish ? Free Fiction & Chat Stories,Radish Media Inc.,0,$0.99 - $99.99 per item,2020-06-23,400,https://play.google.com/store/apps/details?id=com.noahclient
