"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+5","Tools","DroidCamX Wireless Webcam Pro","Dev47Apps","$4.99","","2020-05-20","241666","https://play.google.com/store/apps/details?id=com.dev47apps.droidcamx"
"2","+3","Entertainment","Scanner Radio Pro - Fire and Police Scanner","GordonEdwards.net LLC","$2.99","","2020-06-13","190261","https://play.google.com/store/apps/details?id=com.scannerradio_pro"
"3","+12","Education","SkyView® Explore the Universe","Terminal Eleven","$1.99","","2019-12-03","64299","https://play.google.com/store/apps/details?id=com.t11.skyview"
"4","+4","Music & Audio","FL Studio Mobile","Image-Line","$14.99","$0.99 - $13.99 per item","2020-06-12","60290","https://play.google.com/store/apps/details?id=com.imageline.FLM"
"5","-1","Communication","Torque Pro (OBD 2 & Car)","Ian Hawkins","$4.95","","2019-11-15","54387","https://play.google.com/store/apps/details?id=org.prowl.torque"
"6","-3","Maps & Navigations","Navigation Pro: Google Maps Navi on Samsung Watch","Smartwatch Studios","$2.99","","2020-03-31","48562","https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation"
"7","+7","Health & Fitness","The Wonder Weeks vs 9","Domus Technica","$3.49","$0.99 - $31.99 per item","2020-02-27","43140","https://play.google.com/store/apps/details?id=org.twisevictory.apps"
"8","-6","Education","XtraMath","XtraMath","$4.99","","2020-01-18","41897","https://play.google.com/store/apps/details?id=org.xtramath.mathfacts"
"9","+9","Entertainment","Ultimate Ghost Detector (real EMF, EVP recorder)","MRE Programming","$2.49","","2020-06-18","40799","https://play.google.com/store/apps/details?id=xyz.mreprogramming.ultimateghostdetector"
"10","+31","Tools","Screen Mirroring+ App","2kit consulting","$3.49","","2020-05-28","30906","https://play.google.com/store/apps/details?id=de.twokit.screen.mirroring.app.pro"
"11","+1","Video Players & Editors","Video & TV Cast | Ultimate Edition","2kit consulting","$7.99","","2019-11-06","30763","https://play.google.com/store/apps/details?id=de.twokit.video.tv.cast.browser.ultimate"
"12","new","Tools","Network Analyzer Pro","Jiri Techet","$0.99","","2020-05-02","30000","https://play.google.com/store/apps/details?id=net.techet.netanalyzer.an"
"13","-6","Personalization","Nova Launcher Prime","TeslaCoil Software","$4.99","","2019-01-18","27084","https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime"
"14","+31","Weather","RadarScope","DTN","$9.99","$0.99 - $99.99 per item","2020-04-08","26650","https://play.google.com/store/apps/details?id=com.basevelocity.radarscope"
"15","new","Education","CE5 Contact","Sirius Technology Advanced Research","$9.99","","2020-06-22","25933","https://play.google.com/store/apps/details?id=com.star.ce5contact"
"16","-7","Business","Tiny Scanner Pro: PDF Doc Scan","Appxy","$4.99","","2020-04-17","25182","https://play.google.com/store/apps/details?id=com.appxy.tinyscan"
"17","-6","Photography","TouchRetouch","ADVA Soft","$1.99","","2020-05-14","24501","https://play.google.com/store/apps/details?id=com.advasoft.touchretouch"
"18","+66","Weather","MyRadar Weather Radar Ad Free","ACME AtronOmatic LLC","$3.99","$0.99 - $24.99 per item","2020-06-22","23103","https://play.google.com/store/apps/details?id=com.acmeaom.android.myradarpro"
"19","+6","News & Magazines","Q Alerts! QAnon Q Drops, Alerts, Research, Share +","WalkTheLot.com, Inc.","$2.99","","2020-04-30","21452","https://play.google.com/store/apps/details?id=com.walkthelot.qalerts"
"20","+6","Lifestyle","Necrophonic","ChillSeekers","$9.99","","2018-06-25","17688","https://play.google.com/store/apps/details?id=com.chillseekers.Necrophonic"
"21","-2","Tools","Panda Gamepad Pro (BETA)","Panda Gaming Studio","$3.99","","2020-02-11","17195","https://play.google.com/store/apps/details?id=com.panda.gamepad"
"22","-5","Tools","Tasker","joaomgcd","$3.49","","2020-02-15","16469","https://play.google.com/store/apps/details?id=net.dinglisch.android.taskerm"
"23","+5","News & Magazines","QMAP: Qanon Drops, Alerts, WWG1WGA Wall and Memes!","QAPPANON","$1.99","","2020-05-08","14367","https://play.google.com/store/apps/details?id=com.qappanon.qmap"
"24","-11","Music & Audio","Poweramp Full Version Unlocker","Max MP","$4.99","","2020-01-20","13748","https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock"
"25","+7","Health & Fitness","Couch to 5K®","ACTIVE Network, LLC","$2.99","","2020-06-09","13336","https://play.google.com/store/apps/details?id=com.active.aps.c25k"
"26","+1","Education","Toca Lab: Elements","Toca Boca","$3.99","","2017-06-01","12968","https://play.google.com/store/apps/details?id=com.tocaboca.tocalab"
"27","+7","Education","Toca Life: Hospital","Toca Boca","$3.99","","2018-06-12","12459","https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital"
"28","-7","Communication","FoxFi Key (supports PdaNet)","FoxFi Software","$7.99","","2018-08-31","12057","https://play.google.com/store/apps/details?id=com.foxfi.key"
"29","-13","Education","Toca Hair Salon 3","Toca Boca","$3.99","","2019-03-06","11265","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"30","+12","Tools","WiFi Analyzer Premium","Abdelrahman M. Sid","$3.99","","2020-04-29","10607","https://play.google.com/store/apps/details?id=abdelrahman.wifianalyzerpremium"
"31","-2","Business","Package Disabler Pro (Samsung)","policedeveloper","$2.99","","2019-09-20","10520","https://play.google.com/store/apps/details?id=com.kinder.pksafety"
"32","-10","Tools","KWGT Kustom Widget Pro Key","Kustom Industries","$4.49","","2019-07-26","10148","https://play.google.com/store/apps/details?id=org.kustom.widget.pro"
"33","-10","Entertainment","Meme Generator PRO","ZomboDroid","$2.99","","2020-06-22","9861","https://play.google.com/store/apps/details?id=com.zombodroid.MemeGeneratorFullGplay"
"34","+4","Communication","TeamSpeak 3 - Voice Chat Software","TeamSpeak Systems GmbH","$0.99","","2020-04-16","9318","https://play.google.com/store/apps/details?id=com.teamspeak.ts3client"
"35","-15","Music & Audio","TonalEnergy Tuner and Metronome","TonalEnergy, Inc","$3.99","","2019-10-02","8581","https://play.google.com/store/apps/details?id=com.sonosaurus.tonalenergytuner"
"36","+7","Education","Toca Pet Doctor","Toca Boca","$3.99","","2017-09-19","7989","https://play.google.com/store/apps/details?id=com.tocaboca.tocapetdoctor"
"37","-1","Photography","FiLMiC Pro: Professional HD Manual Video Camera","FiLMiC Inc.","$14.99","$13.99 per item","2020-06-26","7911","https://play.google.com/store/apps/details?id=com.filmic.filmicpro"
"38","-7","Productivity","Easy Voice Recorder Pro","Digipom","$3.99","","2020-05-21","7447","https://play.google.com/store/apps/details?id=com.digipom.easyvoicerecorder.pro"
"39","-29","Productivity","Plague Inc: Scenario Creator","Ndemic Creations","$3.99","","2019-05-14","7353","https://play.google.com/store/apps/details?id=com.ndemiccreations.scenariocreator"
"40","new","Education","Star Walk 2 - Night Sky View and Stargazing Guide","Vito Technology","$0.99","$0.99 - $2.99 per item","2020-05-05","7163","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"41","-1","Books & Reference","WolframAlpha","Wolfram Group","$2.99","$6.99 per item","2020-06-05","7083","https://play.google.com/store/apps/details?id=com.wolfram.android.alpha"
"42","+13","Education","Toca Life: Vacation","Toca Boca","$3.99","","2018-06-21","6628","https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation"
