"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Photo & Video","YouTube: Watch, Listen, Stream","Google LLC","0.0","YouTube Red : $12.99 / YouTube Red : $9.99 / YouTube Red : $10.99 / YouTube Premium : $15.99 / Movies & Shows : $3.99","2020-06-23","250476","https://itunes.apple.com/US/app/id544007664"
"2","-","Action","Roblox","Roblox Corporation","0.0","80 ROBUX : $0.99 / Premium 80 Robux : $0.99 / 800 Robux Premium : $9.99","2020-06-18","131201","https://itunes.apple.com/US/app/id431946152"
"3","+1","Lifestyle","Tinder","Tinder Inc.","0.0","Tinder Plus : $9.99 / Tinder Plus : $1.99 / Tinder Plus : $2.99 / Tinder Gold : $14.99 / 5 Super Likes : $4.99","2020-06-18","89080","https://itunes.apple.com/US/app/id547702041"
"4","+2","Action","Fortnite","Epic Games","0.0","2500 (+300 Bonus) V-Bucks : $24.99 / 1000 V-Bucks : $9.99 / Yellowjacket Pack : $4.99","2020-06-23","85044","https://itunes.apple.com/US/app/id1261357853"
"5","-2","Entertainment","Disney+","Disney","0.0","Disney+ Monthly Subscription : $6.99 / Disney+ Annual Subscription : $69.99","2020-06-04","82350","https://itunes.apple.com/US/app/id1446075923"
"6","-1","Arcade","Candy Crush Saga","King","0.0","Extra Moves : $0.99 / Extra Lives : $0.99 / 10x Gold Bars package : $0.99","2020-06-17","52132","https://itunes.apple.com/US/app/id553834731"
"7","+1","Music","Pandora: Music & Podcasts","Pandora Media, Inc.","0.0","Pandora Plus : $4.99","2020-06-15","50885","https://itunes.apple.com/US/app/id284035177"
"8","+2","Strategy","Clash of Clans","Supercell","0.0","Pile of Gems : $4.99 / Bag of Gems : $9.99 / Sack of Gems : $19.99","2020-06-22","40505","https://itunes.apple.com/US/app/id529479190"
"9","-2","Arcade","Coin Master","Moon Active","0.0","Special Small Spins pack : $4.99 / Small Spins pack : $1.99 / Extra Pack v1 : $2.99","2020-06-09","40213","https://itunes.apple.com/US/app/id406889139"
"10","+3","Role Playing","Pokémon GO","Niantic, Inc.","0.0","100 PokéCoins : $0.99 / 550 PokéCoins : $4.99 / 1,200 PokéCoins : $9.99","2020-06-12","32097","https://itunes.apple.com/US/app/id1094591345"
"11","+3","Entertainment","Hulu: Stream TV shows & movies","Hulu, LLC","0.0","Hulu : $5.99 / Hulu (No Ads) : $11.99","2020-06-17","30986","https://itunes.apple.com/US/app/id376510438"
"12","-1","Entertainment","Netflix","Netflix, Inc.","0.0","Netflix : $12.99 / Netflix 1 Screen - Unlimited Streaming : $8.99 / Netflix 2 Screens - Unlimited Streaming : $12.99","2020-06-23","29596","https://itunes.apple.com/US/app/id363590051"
"13","+6","Lifestyle","Bumble: Matches. Chats. Dating","Bumble Holding Limited","0.0","Bumble Boost : $9.99 / Bumble Boost : $24.99 / Bumble Boost : $39.99","2020-06-24","28005","https://itunes.apple.com/US/app/id930441707"
"14","+3","Action","Call of Duty®: Mobile","Activision Publishing, Inc.","0.0","COD Points - Extra Small Pack : $0.99 / COD Points - Large Pack : $9.99 / COD Points - Medium Pack : $4.99","2020-06-11","27894","https://itunes.apple.com/US/app/id1287282214"
