Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,PAID,IOS,2019,9,M,1,-,,Adventure,Minecraft,Mojang,$6.99,Minecraft Store Item 2 : $1.99 / Minecraft Store Item 6 : $5.99 / Realms Plus:10 Friends w/trial : $7.99,2011-11-17,310000,https://itunes.apple.com/US/app/id479516143
US,PAID,IOS,2019,9,M,2,-,,Card,Heads Up!,Warner Bros.,$0.99,Adult Supervision : $1.99 / Just For Kids : 0 / Mix It Up : 0,2013-05-02,94436,https://itunes.apple.com/US/app/id623592465
US,PAID,IOS,2019,9,M,3,-,,Action,Bloons TD 6,Ninja Kiwi,$4.99,Full Tower Unlock : $4.99 / Monkey Money : $1.99 / Pile O Monkey Money Sale : $2.99,2018-06-14,80378,https://itunes.apple.com/US/app/id1118115766
US,PAID,IOS,2019,9,M,4,new,,Games,NBA 2K20,2K,$5.99,All-Star VC Pack : $4.99 / Starter VC Pack : $1.99 / Superstar VC Pack : $9.99,2019-09-04,75725,https://itunes.apple.com/US/app/id1471692155
US,PAID,IOS,2019,9,M,5,-,,Business,HotSchedules,HotSchedules,$2.99,,2008-10-30,72855,https://itunes.apple.com/US/app/id294934058
US,PAID,IOS,2019,9,M,6,new,,Utilities,Tap Roulette - Make Decisions with Friends!,Laan Labs,$0.99,,2011-04-11,49332,https://itunes.apple.com/US/app/id430254631
US,PAID,IOS,2019,9,M,7,-3,,Strategy,Plague Inc.,Ndemic Creations,$0.99,Necroa Virus Expansion Pack : $1.99 / Unlock 7 Standard Plagues : $2.99 / Neurax Worm Expansion Pack : $1.99,2012-05-25,48657,https://itunes.apple.com/US/app/id525818839
US,PAID,IOS,2019,9,M,8,-1,,Arcade,Geometry Dash,RobTop Games AB,$1.99,,2013-08-13,43996,https://itunes.apple.com/US/app/id625334537
US,PAID,IOS,2019,9,M,9,-3,,Photo & Video,Facetune,Lightricks Ltd.,$3.99,,2013-03-07,37595,https://itunes.apple.com/US/app/id606310581
US,PAID,IOS,2019,9,M,10,+6,,Adventure,Terraria,"505 Games (US), Inc.",$4.99,,2013-08-28,31149,https://itunes.apple.com/US/app/id640364616
US,PAID,IOS,2019,9,M,11,-3,,,Procreate Pocket,Savage Interactive Pty Ltd,$4.99,,2014-12-17,26778,https://itunes.apple.com/US/app/id916366645
US,PAID,IOS,2019,9,M,12,-2,,Adventure,Pocket Build,MoonBear LTD,$0.99,Micro Tip : $0.99 / Power Builder (weekly) : $0.99 / Power Builder (monthly) : $2.99,2017-10-31,26084,https://itunes.apple.com/US/app/id1293681293
US,PAID,IOS,2019,9,M,13,-4,,Sportsgame,True Skate,True Axis,$1.99,Skatepark: Mondo Ramp : $0.99 / Skatepark: The Factory : $0.99 / Skatepark: The Valley : $0.99,2012-10-18,24002,https://itunes.apple.com/US/app/id549105915
US,PAID,IOS,2019,9,M,14,-1,,Action,Grand Theft Auto: San Andreas,Rockstar Games,$6.99,,2013-12-12,21705,https://itunes.apple.com/US/app/id763692274
US,PAID,IOS,2019,9,M,15,-4,,Strategy,Bloons TD 5,Ninja Kiwi,$2.99,Tower Unlock All Upgrades : $0.99 / 500 Monkey Money : $0.99 / Pile O' Monkey Money : $4.99,2012-11-15,21125,https://itunes.apple.com/US/app/id563718995
US,PAID,IOS,2019,9,M,16,+3,,Music,TonalEnergy Tuner & Metronome,"TonalEnergy, Inc",$3.99,,2012-02-17,19418,https://itunes.apple.com/US/app/id497716362
US,PAID,IOS,2019,9,M,17,+6,,Strategy,Papa's Freezeria To Go!,Flipline Studios,$0.99,,2014-02-26,15716,https://itunes.apple.com/US/app/id824305459
US,PAID,IOS,2019,9,M,18,+2,,Healthcare & Fitness,The Wonder Weeks,Domus Technica,$3.99,"Chapter eBook, Leap 1 : $0.99 / Chapter eBook, Leap 2 : $0.99 / Chapter eBook, Leap 4 : $0.99",2012-05-30,15683,https://itunes.apple.com/US/app/id529815782
US,PAID,IOS,2019,9,M,19,-5,,Weather,Dark Sky Weather,Apple,$3.99,,2012-04-16,15508,https://itunes.apple.com/US/app/id517329357
US,PAID,IOS,2019,9,M,20,-5,,Board,The Game of Life,Marmalade Game Studio,$2.99,Halloween : $3.99 / Winter Wonderland : $3.99 / Enchanted Valley : $3.99,2016-07-14,14578,https://itunes.apple.com/US/app/id1117405948
US,PAID,IOS,2019,9,M,21,+6,,Strategy,Five Nights at Freddy's,"Clickteam, LLC",$2.99,Survival Kit : $4.99 / Freddy Plushie : $0.99 / Bonnie Plushie : $0.99,2014-09-11,14262,https://itunes.apple.com/US/app/id912536422
US,PAID,IOS,2019,9,M,22,+4,,Productivity,Forest - Stay focused,"SEEKRTECH CO., LTD.",$1.99,Bottle of Sunshine Elixir : $0.99 / Box of Sunshine Elixir : $1.99 / Small pot of Crystal : $4.99,2014-05-10,13784,https://itunes.apple.com/US/app/id866450515
US,PAID,IOS,2019,9,M,23,+1,,Education,SkyView®,Terminal Eleven LLC,$1.99,,2010-12-10,12983,https://itunes.apple.com/US/app/id404990064
US,PAID,IOS,2019,9,M,24,+152,,Games,Dead Cells,Playdigious,$8.99,,2019-07-17,12911,https://itunes.apple.com/US/app/id1389752090
US,PAID,IOS,2019,9,M,25,+31,,Education,XtraMath,XtraMath,$4.99,,2014-06-08,12870,https://itunes.apple.com/US/app/id882931712
US,PAID,IOS,2019,9,M,26,-8,,Strategy,Rebel Inc.,Ndemic Creations,$1.99,Region Tour : $3.99 / Early Unlock Cheats : $9.99 / All Advisors Unlock : $9.99,2018-12-04,11546,https://itunes.apple.com/US/app/id1439187947
US,PAID,IOS,2019,9,M,27,new,,Lifestyle,Shock My Friends: Tap Roulette,Abdelsatar Mahmoud,$7.99,,2019-10-21,11463,https://itunes.apple.com/US/app/id1479638155
US,PAID,IOS,2019,9,M,28,+1,,Business,Scanner Pro: PDF Scanner App,Readdle Inc.,$3.99,Fax Pack 1 : $0.99 / Fax Pack 2 : $1.99 / Fax Pack 3 : $4.99,2009-10-09,11302,https://itunes.apple.com/US/app/id333710667
US,PAID,IOS,2019,9,M,29,+23,,Card,Exploding Kittens®,Exploding Kittens,$1.99,Animals Avatar Pack : $0.99 / Party Expansion Pack : $1.99 / Betrayal Expansion Deck : $1.99,2016-01-21,11077,https://itunes.apple.com/US/app/id1040227414
US,PAID,IOS,2019,9,M,30,+3,,Healthcare & Fitness,AutoSleep Track Sleep on Watch,Tantsissa,$3.99,,2016-12-19,10871,https://itunes.apple.com/US/app/id1164801111
US,PAID,IOS,2019,9,M,31,-6,,Photo & Video,TouchRetouch,ADVA Soft GmbH,$1.99,,2010-06-08,10851,https://itunes.apple.com/US/app/id373311252
US,PAID,IOS,2019,9,M,32,new,,Utilities,PanTa - Open Party,Liping Liang,$0.99,PRO : $0.99,2020-03-13,10719,https://itunes.apple.com/US/app/id1453040300
