"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+28","Photo & Video","TouchRetouch","Adva-Soft","$1.99","","2020-02-19","195655","https://itunes.apple.com/US/app/id373311252"
"2","-1","Games","Minecraft","Mojang","$6.99","Minecraft Store Item 2 : $1.99 / Minecraft Store Item 6 : $5.99 / Realms Plus:10 Friends w/trial : $7.99","2020-06-23","186832","https://itunes.apple.com/US/app/id479516143"
"3","+3","Games","Plague Inc.","Ndemic Creations","$0.99","Necroa Virus Expansion Pack : $1.99 / Unlock 7 Standard Plagues : $2.99 / Neurax Worm Expansion Pack : $1.99","2020-02-26","121873","https://itunes.apple.com/US/app/id525818839"
"4","-2","Games","Heads Up!","Warner Bros.","0.0","Adult Supervision : $1.99 / Just For Kids : 0 / Mix It Up : 0","2020-06-05","100102","https://itunes.apple.com/US/app/id623592465"
"5","-2","Games","Bloons TD 6","Ninja Kiwi","$4.99","Full Tower Unlock : $4.99 / Monkey Money : $1.99 / Pile O Monkey Money Sale : $2.99","2020-06-03","81106","https://itunes.apple.com/US/app/id1118115766"
"6","-1","","Procreate Pocket","Savage Interactive Pty Ltd","$4.99","","2020-05-15","72234","https://itunes.apple.com/US/app/id916366645"
"7","-3","Games","Monopoly","Marmalade Game Studio","$3.99","Explorer Pack : $4.99 / 1935 Atlantic City Theme : $6.99 / 1935 Atlantic City Board : $4.99","2020-06-25","59341","https://itunes.apple.com/US/app/id1477966166"
"8","-1","Games","Geometry Dash","RobTop Games AB","$1.99","","2017-11-16","40377","https://itunes.apple.com/US/app/id625334537"
"9","-1","Games","NBA 2K20","2K","$1.99","All-Star VC Pack : $4.99 / Starter VC Pack : $1.99 / Superstar VC Pack : $9.99","2020-03-28","31347","https://itunes.apple.com/US/app/id1471692155"
"10","+1","Business","HotSchedules","HotSchedules","$2.99","","2020-06-11","29315","https://itunes.apple.com/US/app/id294934058"
"11","+1","Photo & Video","Facetune","Lightricks Ltd.","$3.99","","2020-06-17","28722","https://itunes.apple.com/US/app/id606310581"
