"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Duolingo: Learn Languages Free","Duolingo","0.0","$0.99 - $125.99 per item","2020-07-20","269047","https://play.google.com/store/apps/details?id=com.duolingo"
"2","+2","Education","Remind: School Communication","Remind101","0.0","","2020-07-17","109626","https://play.google.com/store/apps/details?id=com.remind101"
"3","+12","Education","Coloring Book Dolls","Coloring Book Dev","0.0","₩1,000 - ₩13,000 per item","2018-12-24","88182","https://play.google.com/store/apps/details?id=dollsforkids.coloringbook.fun"
"4","-1","Education","ABCmouse.com","Age of Learning, Inc.","0.0","$9.95 - $79.95 per item","2020-07-15","84245","https://play.google.com/store/apps/details?id=mobi.abcmouse.academy_goo"
"5","-3","Education","Photomath","Photomath, Inc.","0.0","$0.99 - $59.99 per item","2020-07-08","77970","https://play.google.com/store/apps/details?id=com.microblink.photomath"
"6","+2","Education","Google Classroom","Google LLC","0.0","","2020-06-10","52294","https://play.google.com/store/apps/details?id=com.google.android.apps.classroom"
"7","+2","Education","Lumosity: Brain Training","Lumos Labs, Inc.","0.0","$0.99 - $59.99 per item","2020-07-14","45162","https://play.google.com/store/apps/details?id=com.lumoslabs.lumosity"
"8","-2","Education","ClassDojo","ClassDojo","0.0","$0.99 - $59.99 per item","2020-07-20","39545","https://play.google.com/store/apps/details?id=com.classdojo.android"
"9","+1","Education","PBS KIDS Video","PBS KIDS","0.0","","2020-04-17","37776","https://play.google.com/store/apps/details?id=org.pbskids.video"
"10","-5","Education","Kahoot!","Kahoot!","0.0","$2.99 - $239.99 per item","2020-07-13","37565","https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android"
"11","new","Education","ShakeAlertLA","City of Los Angeles","0.0","","2019-09-04","34556","https://play.google.com/store/apps/details?id=com.app.shakealertla"
"12","-1","Education","Rosetta Stone: Learn Languages","Rosetta Stone Ltd","0.0","$0.99 - $199.99 per item","2020-07-20","31769","https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer"
"13","+25","Education","Canvas Student","Instructure","0.0","","2020-06-17","31084","https://play.google.com/store/apps/details?id=com.instructure.candroid"
"14","+3","Education","Pinkfong Baby Shark - Videos & Games","SMARTSTUDY PINKFONG","0.0","$1.99 per item","2020-06-25","28454","https://play.google.com/store/apps/details?id=kr.co.smartstudy.babyshark_android_googlemarket"
"15","-2","Education","Quizlet: Learn Languages & Vocab with Flashcards","Quizlet Inc.","0.0","$1.99 - $35.99 per item","2020-07-21","21079","https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid"
"16","+35","Education","WordBit Inglés (pantalla bloqueada)","WordBit","0.0","","2020-02-04","20657","https://play.google.com/store/apps/details?id=net.wordbit.enes"
