Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,FREE,AND,2019,9,M,1,+1,,Education,ClassDojo,ClassDojo,0.0,$0.99 - $59.99 per item,2020-07-20,183000,https://play.google.com/store/apps/details?id=com.classdojo.android
US,FREE,AND,2019,9,M,2,-1,,Education,Remind: School Communication,Remind101,0.0,,2020-07-17,115594,https://play.google.com/store/apps/details?id=com.remind101
US,FREE,AND,2019,9,M,3,+1,,Education,Google Classroom,Google LLC,0.0,,2020-06-10,65062,https://play.google.com/store/apps/details?id=com.google.android.apps.classroom
US,FREE,AND,2019,9,M,4,-1,,Education,Duolingo: Learn Languages Free,Duolingo,0.0,$0.99 - $125.99 per item,2020-07-20,60233,https://play.google.com/store/apps/details?id=com.duolingo
US,FREE,AND,2019,9,M,5,+4,,Education,Photomath,"Photomath, Inc.",0.0,$0.99 - $59.99 per item,2020-07-08,48939,https://play.google.com/store/apps/details?id=com.microblink.photomath
US,FREE,AND,2019,9,M,6,+10,,Education,Kahoot!,Kahoot!,0.0,$2.99 - $239.99 per item,2020-07-13,28796,https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android
US,FREE,AND,2019,9,M,7,-2,,Education,PowerSchool Mobile,PowerSchool Group LLC,0.0,,2020-06-29,27424,https://play.google.com/store/apps/details?id=com.powerschool.portal
US,FREE,AND,2019,9,M,8,+22,,Education,Mathway,Mathway,0.0,$9.99 - $149.99 per item,2020-07-15,22450,https://play.google.com/store/apps/details?id=com.bagatrix.mathway.android
US,FREE,AND,2019,9,M,9,-1,,Education,Canvas Student,Instructure,0.0,,2020-06-17,22420,https://play.google.com/store/apps/details?id=com.instructure.candroid
US,FREE,AND,2019,9,M,10,-4,,Education,ABCmouse.com,"Age of Learning, Inc.",0.0,$9.95 - $79.95 per item,2020-07-15,21026,https://play.google.com/store/apps/details?id=mobi.abcmouse.academy_goo
US,FREE,AND,2019,9,M,11,+9,,Education,Quizlet: Learn Languages & Vocab with Flashcards,Quizlet Inc.,0.0,$1.99 - $35.99 per item,2020-07-21,20109,https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid
US,FREE,AND,2019,9,M,12,+2,,Education,Seesaw Parent & Family,Seesaw Learning,0.0,,2020-06-02,19136,https://play.google.com/store/apps/details?id=seesaw.shadowpuppet.co.seesaw
US,FREE,AND,2019,9,M,13,+16,,Education,Noggin Preschool Learning Games & Videos for Kids,Nickelodeon,0.0,$0.99 - $79.99 per item,2020-07-16,18566,https://play.google.com/store/apps/details?id=com.nick.noggin
US,FREE,AND,2019,9,M,14,+32,,Education,Peak – Brain Games & Training,Brainbow Limited,0.0,$0.99 - $149.99 per item,2020-07-01,15119,https://play.google.com/store/apps/details?id=com.brainbow.peak.app
US,FREE,AND,2019,9,M,15,+22,,Entertainment,CuriosityStream - Watch Documentaries Online,CuriosityStream Inc.,0.0,$2.99 - $119.99 per item,2020-07-13,13828,https://play.google.com/store/apps/details?id=com.curiosity.curiositystream
US,FREE,AND,2019,9,M,16,+34,,Education,"Epic!: Kids' Books, Audio Books, Videos & eBooks",Epic! Creations Inc,0.0,$4.99 - $71.99 per item,2020-07-17,12613,https://play.google.com/store/apps/details?id=com.getepic.Epic
US,FREE,AND,2019,9,M,17,+16,,Education,Calculator Pro 2019,PERFECT APPS,0.0,,2019-08-31,11985,https://play.google.com/store/apps/details?id=calculas.rate.math.easy.calcd_hybrid
US,FREE,AND,2019,9,M,18,-1,,Education,Elevate - Brain Training Games,Elevate  Labs,0.0,$0.99 - $159.99 per item,2020-07-20,11469,https://play.google.com/store/apps/details?id=com.wonder
US,FREE,AND,2019,9,M,19,-12,,Education,ClassTag: Classroom Communication,ClassTag,0.0,,2020-06-22,11450,https://play.google.com/store/apps/details?id=com.classtag
US,FREE,AND,2019,9,M,20,-1,,Education,Pinkfong Baby Shark - Videos & Games,SMARTSTUDY PINKFONG,0.0,$1.99 per item,2020-06-25,9438,https://play.google.com/store/apps/details?id=kr.co.smartstudy.babyshark_android_googlemarket
US,FREE,AND,2019,9,M,21,-10,,Education,Campus Student,"Infinite Campus, Inc.",0.0,,2019-12-05,9320,https://play.google.com/store/apps/details?id=com.infinitecampus.student.campusportalhybrid
US,FREE,AND,2019,9,M,22,+34,,Education,Socratic,Socratic,0.0,,2018-06-07,8741,https://play.google.com/store/apps/details?id=org.socratic.android
US,FREE,AND,2019,9,M,23,-8,,Education,"Star Walk 2 Free - Sky Map, Stars & Constellations",Vito Technology,0.0,$0.99 - $5.99 per item,2020-05-05,8296,https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2Free
US,FREE,AND,2019,9,M,24,-2,,Education,Blackboard,Blackboard Inc.,0.0,,2020-07-08,8157,https://play.google.com/store/apps/details?id=com.blackboard.android.bbstudent
US,FREE,AND,2019,9,M,25,+15,,Education,Calculator+,BiaoMobi Team,0.0,,2019-10-23,8018,https://play.google.com/store/apps/details?id=cal.photo.math.calculator.plus.calculate.scan
US,FREE,AND,2019,9,M,26,-14,,Education,PBS KIDS Video,PBS KIDS,0.0,,2020-04-17,7836,https://play.google.com/store/apps/details?id=org.pbskids.video
US,FREE,AND,2019,9,M,27,+15,,Education,Khan Academy,Khan Academy,0.0,,2020-07-15,7616,https://play.google.com/store/apps/details?id=org.khanacademy.android
US,FREE,AND,2019,9,M,28,+4,,Education,WordBit Inglés (pantalla bloqueada),WordBit,0.0,,2020-02-04,7394,https://play.google.com/store/apps/details?id=net.wordbit.enes
US,FREE,AND,2019,9,M,29,-16,,Education,Yousician - An Award Winning Music Education App,Yousician Ltd.,0.0,$5.99 - $179.99 per item,2020-07-13,7181,https://play.google.com/store/apps/details?id=com.yousician.yousician
US,FREE,AND,2019,9,M,30,+8,,Education,Schoology,"Schoology, Inc.",0.0,,2020-06-23,7148,https://play.google.com/store/apps/details?id=com.schoology.app
US,FREE,AND,2019,9,M,31,+116,,Education,Brainly – The Homework App,"Brainly, Inc",0.0,,2020-07-13,6787,https://play.google.com/store/apps/details?id=co.brainly
US,FREE,AND,2019,9,M,32,-6,,Education,Rosetta Stone: Learn Languages,Rosetta Stone Ltd,0.0,$0.99 - $199.99 per item,2020-07-20,6738,https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer
US,FREE,AND,2019,9,M,33,+20,,Education,IXL,IXL Learning,0.0,,2020-07-02,6716,https://play.google.com/store/apps/details?id=com.ixl.ixlmath
US,FREE,AND,2019,9,M,34,+80,,Education,Kids A-Z,Learning A-Z,0.0,,2020-07-08,6688,https://play.google.com/store/apps/details?id=com.learninga_z.onyourown
US,FREE,AND,2019,9,M,35,-25,,Education,Campus Parent,"Infinite Campus, Inc.",0.0,,2019-12-05,6147,https://play.google.com/store/apps/details?id=com.infinitecampus.parent.campusportalhybrid
US,FREE,AND,2019,9,M,36,-18,,Education,Bloomz,Bloomz,0.0,,2020-06-15,6140,https://play.google.com/store/apps/details?id=net.bloomz
US,FREE,AND,2019,9,M,37,-9,,Education,SkyView® Lite,Terminal Eleven,0.0,,2019-12-03,5916,https://play.google.com/store/apps/details?id=com.t11.skyviewfree
US,FREE,AND,2019,9,M,38,-14,,Education,PlantNet Plant Identification,plantnet-project.org,0.0,,2020-07-20,5871,https://play.google.com/store/apps/details?id=org.plantnet
US,FREE,AND,2019,9,M,39,-12,,Education,Skyward Mobile Access,"Skyward, Inc",0.0,,2020-06-26,5715,https://play.google.com/store/apps/details?id=com.skyward.mobileaccess
