Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,GROSS,AND,2019,12,M,1,-,,Education,Duolingo: Learn Languages Free,Duolingo,0.0,$0.99 - $125.99 per item,2020-07-20,288378,https://play.google.com/store/apps/details?id=com.duolingo
US,GROSS,AND,2019,12,M,2,-,,Education,Udemy - Online Courses,Udemy,0.0,$0.99 - $209.99 per item,2020-07-16,190536,https://play.google.com/store/apps/details?id=com.udemy.android
US,GROSS,AND,2019,12,M,3,+1,,Education,Rosetta Stone: Learn Languages,Rosetta Stone Ltd,0.0,$0.99 - $199.99 per item,2020-07-20,96085,https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer
US,GROSS,AND,2019,12,M,4,-1,,Education,Elevate - Brain Training Games,Elevate  Labs,0.0,$0.99 - $159.99 per item,2020-07-20,75250,https://play.google.com/store/apps/details?id=com.wonder
US,GROSS,AND,2019,12,M,5,+1,,Education,"Epic!: Kids' Books, Audio Books, Videos & eBooks",Epic! Creations Inc,0.0,$4.99 - $71.99 per item,2020-07-17,65822,https://play.google.com/store/apps/details?id=com.getepic.Epic
US,GROSS,AND,2019,12,M,6,+1,,Education,Noggin Preschool Learning Games & Videos for Kids,Nickelodeon,0.0,$0.99 - $79.99 per item,2020-07-16,64311,https://play.google.com/store/apps/details?id=com.nick.noggin
US,GROSS,AND,2019,12,M,7,-2,,Education,ClassDojo,ClassDojo,0.0,$0.99 - $59.99 per item,2020-07-20,42862,https://play.google.com/store/apps/details?id=com.classdojo.android
US,GROSS,AND,2019,12,M,8,-,,Education,Lumosity: Brain Training,"Lumos Labs, Inc.",0.0,$0.99 - $59.99 per item,2020-07-14,37994,https://play.google.com/store/apps/details?id=com.lumoslabs.lumosity
US,GROSS,AND,2019,12,M,9,+3,,Education,"Babbel - Learn Languages - Spanish, French & More",Babbel,0.0,$12.95 - $83.40 per item,2020-07-16,35860,https://play.google.com/store/apps/details?id=com.babbel.mobile.android.en
US,GROSS,AND,2019,12,M,10,+1,,Education,"Learn Languages with Memrise - Spanish, French",Memrise,0.0,$0.99 - $139.99 per item,2020-07-17,28332,https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion
US,GROSS,AND,2019,12,M,11,+4,,Education,HOMER - Proven Learn-to-Read Program for Kids 2-8,Homer Learning,0.0,$0.99 - $79.99 per item,2020-04-22,28010,https://play.google.com/store/apps/details?id=com.learnwithhomer.webapp
US,GROSS,AND,2019,12,M,12,-3,,Education,Mathway,Mathway,0.0,$9.99 - $149.99 per item,2020-07-15,26881,https://play.google.com/store/apps/details?id=com.bagatrix.mathway.android
US,GROSS,AND,2019,12,M,13,-3,,Education,Blinkist - Nonfiction Books,Blinks Labs GmbH,0.0,$0.99 - $139.99 per item,2020-07-20,24826,https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android
US,GROSS,AND,2019,12,M,14,-1,,Education,Peak – Brain Games & Training,Brainbow Limited,0.0,$0.99 - $149.99 per item,2020-07-01,23139,https://play.google.com/store/apps/details?id=com.brainbow.peak.app
US,GROSS,AND,2019,12,M,15,-1,,Education,Study with Chegg Homework Help,"Chegg, Inc.",0.0,$0.99 - $14.99 per item,2020-07-12,22678,https://play.google.com/store/apps/details?id=com.chegg
US,GROSS,AND,2019,12,M,16,+6,,Education,MasterClass: Learn from the best,MasterClass Inc.,0.0,$89.99 - $179.99 per item,2020-07-08,21203,https://play.google.com/store/apps/details?id=com.yanka.mc
US,GROSS,AND,2019,12,M,17,-1,,Education,Quizlet: Learn Languages & Vocab with Flashcards,Quizlet Inc.,0.0,$1.99 - $35.99 per item,2020-07-21,17840,https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid
US,GROSS,AND,2019,12,M,18,+13,,Education,Drops: Language learning - learn Japanese and more,Language Drops,0.0,$0.99 - $194.99 per item,2020-07-17,17833,https://play.google.com/store/apps/details?id=com.languagedrops.drops.international
US,GROSS,AND,2019,12,M,19,-1,,Education,Pimsleur - Learn Conversation Fast - 51 Languages,Simon & Schuster,0.0,$14.99 - $159.99 per item,2020-06-16,17609,https://play.google.com/store/apps/details?id=com.simonandschuster.pimsleur.unified.android
US,GROSS,AND,2019,12,M,20,-3,,Entertainment,CuriosityStream - Watch Documentaries Online,CuriosityStream Inc.,0.0,$2.99 - $119.99 per item,2020-07-13,16141,https://play.google.com/store/apps/details?id=com.curiosity.curiositystream
US,GROSS,AND,2019,12,M,21,-,,Education,Skillshare - Creative Classes,"Skillshare, Inc",0.0,$9.99 - $99.99 per item,2020-07-21,14106,https://play.google.com/store/apps/details?id=com.skillshare.Skillshare
US,GROSS,AND,2019,12,M,22,-2,,Education,Course Hero | Homework Help,Course Hero,0.0,$15.00 - $119.40 per item,2020-07-20,13980,https://play.google.com/store/apps/details?id=com.coursehero.coursehero
US,GROSS,AND,2019,12,M,23,-,,Education,"Mimo: Learn coding in JavaScript, Python and HTML",Mimohello GmbH,0.0,$9.99 - $249.99 per item,2020-07-20,13006,https://play.google.com/store/apps/details?id=com.getmimo
US,GROSS,AND,2019,12,M,24,+3,,Education,"Learn Korean, Japanese or Spanish with LingoDeer",LingoDeer - Learn Languages with fun,0.0,$0.99 - $159.99 per item,2020-07-12,12878,https://play.google.com/store/apps/details?id=com.lingodeer
US,GROSS,AND,2019,12,M,25,-1,,Education,The Great Courses Plus - Online Learning Videos,The Teaching Company,0.0,$19.99 - $179.99 per item,2020-07-11,12591,https://play.google.com/store/apps/details?id=com.tgc.greatcoursesplus
