"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Duolingo: Learn Languages Free","Duolingo","0.0","$0.99 - $125.99 per item","2020-07-20","310000","https://play.google.com/store/apps/details?id=com.duolingo"
"2","-","Education","Udemy - Online Courses","Udemy","0.0","$0.99 - $209.99 per item","2020-07-16","128009","https://play.google.com/store/apps/details?id=com.udemy.android"
"3","-","Education","Rosetta Stone: Learn Languages","Rosetta Stone Ltd","0.0","$0.99 - $199.99 per item","2020-07-20","115190","https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer"
"4","+8","Education","MasterClass: Learn from the best","MasterClass Inc.","0.0","$89.99 - $179.99 per item","2020-07-08","81566","https://play.google.com/store/apps/details?id=com.yanka.mc"
"5","+2","Education","Babbel - Learn Languages - Spanish, French & More","Babbel","0.0","$12.95 - $83.40 per item","2020-07-16","60321","https://play.google.com/store/apps/details?id=com.babbel.mobile.android.en"
"6","-","Education","Elevate - Brain Training Games","Elevate  Labs","0.0","$0.99 - $159.99 per item","2020-07-20","52400","https://play.google.com/store/apps/details?id=com.wonder"
"7","+1","Education","ClassDojo","ClassDojo","0.0","$0.99 - $59.99 per item","2020-07-20","43836","https://play.google.com/store/apps/details?id=com.classdojo.android"
"8","+9","Education","PictureThis: Identify Plant, Flower, Weed and More","Glority LLC","0.0","$1.99 - $49.99 per item","2020-07-16","39362","https://play.google.com/store/apps/details?id=cn.danatech.xingseus"
"9","-4","Education","Epic!: Kids' Books, Audio Books, Videos & eBooks","Epic! Creations Inc","0.0","$4.99 - $71.99 per item","2020-07-17","37587","https://play.google.com/store/apps/details?id=com.getepic.Epic"
"10","-6","Education","Noggin Preschool Learning Games & Videos for Kids","Nickelodeon","0.0","$0.99 - $79.99 per item","2020-07-16","36139","https://play.google.com/store/apps/details?id=com.nick.noggin"
"11","-2","Education","Mathway","Mathway","0.0","$9.99 - $149.99 per item","2020-07-15","27531","https://play.google.com/store/apps/details?id=com.bagatrix.mathway.android"
"12","+24","Education","TinyTap - Educational Games for Kids, by Teachers.","TinyTap","0.0","$9.99 - $100.00 per item","2020-07-07","25924","https://play.google.com/store/apps/details?id=tinytap.kids.learning.games"
"13","-3","Education","Lumosity: Brain Training","Lumos Labs, Inc.","0.0","$0.99 - $59.99 per item","2020-07-14","23352","https://play.google.com/store/apps/details?id=com.lumoslabs.lumosity"
"14","-3","Education","Learn Languages with Memrise - Spanish, French","Memrise","0.0","$0.99 - $139.99 per item","2020-07-17","20810","https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion"
"15","-2","Education","Blinkist - Nonfiction Books","Blinks Labs GmbH","0.0","$0.99 - $139.99 per item","2020-07-20","19643","https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android"
"16","-1","Education","Study with Chegg Homework Help","Chegg, Inc.","0.0","$0.99 - $14.99 per item","2020-07-12","19272","https://play.google.com/store/apps/details?id=com.chegg"
"17","-1","Education","HOMER - Proven Learn-to-Read Program for Kids 2-8","Homer Learning","0.0","$0.99 - $79.99 per item","2020-04-22","17829","https://play.google.com/store/apps/details?id=com.learnwithhomer.webapp"
"18","-4","Education","Verbal Ability","NemesisConnect","0.0","$249.99 - $400.00 per item","2019-11-12","17814","https://play.google.com/store/apps/details?id=com.verbalability.goodlearning"
"19","-1","Education","Pimsleur - Learn Conversation Fast - 51 Languages","Simon & Schuster","0.0","$14.99 - $159.99 per item","2020-06-16","16633","https://play.google.com/store/apps/details?id=com.simonandschuster.pimsleur.unified.android"
"20","+15","Education","flowkey: Learn piano","flowkey","0.0","$19.99 - $304.99 per item","2020-06-25","14981","https://play.google.com/store/apps/details?id=com.flowkey.app"
"21","-","Education","Course Hero | Homework Help","Course Hero","0.0","$15.00 - $119.40 per item","2020-07-20","14033","https://play.google.com/store/apps/details?id=com.coursehero.coursehero"
"22","+7","Education","Learn Korean, Japanese or Spanish with LingoDeer","LingoDeer - Learn Languages with fun","0.0","$0.99 - $159.99 per item","2020-07-12","13651","https://play.google.com/store/apps/details?id=com.lingodeer"
"23","-","Education","Skillshare - Creative Classes","Skillshare, Inc","0.0","$9.99 - $99.99 per item","2020-07-21","13421","https://play.google.com/store/apps/details?id=com.skillshare.Skillshare"
"24","+3","Education","Photomath","Photomath, Inc.","0.0","$0.99 - $59.99 per item","2020-07-08","13184","https://play.google.com/store/apps/details?id=com.microblink.photomath"
"25","-5","Education","Peak – Brain Games & Training","Brainbow Limited","0.0","$0.99 - $149.99 per item","2020-07-01","13112","https://play.google.com/store/apps/details?id=com.brainbow.peak.app"
