Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,PAID,AND,2019,7,M,1,-,,Education,SkyView® Explore the Universe,Terminal Eleven,$1.99,,2019-12-03,320000,https://play.google.com/store/apps/details?id=com.t11.skyview
US,PAID,AND,2019,7,M,2,-,,Education,Toca Hair Salon 3,Toca Boca,$3.99,,2019-03-06,160000,https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3
US,PAID,AND,2019,7,M,3,-,,Education,Toca Lab: Elements,Toca Boca,$3.99,,2017-06-01,95724,https://play.google.com/store/apps/details?id=com.tocaboca.tocalab
US,PAID,AND,2019,7,M,4,-,,Education,Toca Life: Hospital,Toca Boca,$3.99,,2018-06-12,83872,https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital
US,PAID,AND,2019,7,M,5,-,,Education,Toca Life: Neighborhood,Toca Boca,$3.99,,2018-11-15,59589,https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood
US,PAID,AND,2019,7,M,6,-,,Education,Star Walk 2 - Night Sky View and Stargazing Guide,Vito Technology,$2.99,$0.99 - $2.99 per item,2020-05-05,53009,https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2
US,PAID,AND,2019,7,M,7,-,,Education,Stellarium Mobile Sky Map,Noctua Software,$3.49,,2020-07-14,44931,https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium
US,PAID,AND,2019,7,M,8,-,,Education,Toca Life: Vacation,Toca Boca,$3.99,,2018-06-21,42372,https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation
US,PAID,AND,2019,7,M,9,-,,Education,Toca Life: Office,Toca Boca,$3.99,,2020-06-02,33998,https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice
US,PAID,AND,2019,7,M,10,-,,Education,Toca Life: School,Toca Boca,$3.99,,2018-07-06,27571,https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool
US,PAID,AND,2019,7,M,11,-,,Education,Toca Life: Pets,Toca Boca,$3.99,,2018-07-06,27367,https://play.google.com/store/apps/details?id=com.tocaboca.tocapets
US,PAID,AND,2019,7,M,12,-,,Education,Toca Life: Stable,Toca Boca,$3.99,,2018-07-06,23041,https://play.google.com/store/apps/details?id=com.tocaboca.tocastable
US,PAID,AND,2019,7,M,13,+2,,Education,Toca Life: Town,Toca Boca,$3.99,,2018-07-06,20772,https://play.google.com/store/apps/details?id=com.tocaboca.tocatown
US,PAID,AND,2019,7,M,14,+4,,Education,Toca Kitchen Sushi Restaurant,Toca Boca,$3.99,,2019-09-19,20657,https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchensushi
US,PAID,AND,2019,7,M,15,-2,,Education,Toca Pet Doctor,Toca Boca,$3.99,,2017-09-19,20328,https://play.google.com/store/apps/details?id=com.tocaboca.tocapetdoctor
US,PAID,AND,2019,7,M,16,-,,Education,PROmote - Army Study Guide,ForceReadiness.com,$5.99,,2020-06-15,19559,https://play.google.com/store/apps/details?id=com.forcereadiness.armypromote
US,PAID,AND,2019,7,M,17,+28,,Education,Astrolapp Live Planets and Sky Map,Ecliptical Apps,$1.99,,2020-04-25,18310,https://play.google.com/store/apps/details?id=com.mkreidl.astrolapp
US,PAID,AND,2019,7,M,18,-4,,Education,Toca Life: After School,Toca Boca,$3.99,,2018-06-21,18147,https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool
US,PAID,AND,2019,7,M,19,+77,,Education,"Flat Earth Sun, Moon & Zodiac Clock",Blue Water Bay Association Pay,$2.99,$0.99 - $10.99 per item,2020-04-27,17564,https://play.google.com/store/apps/details?id=com.flatearthsun
US,PAID,AND,2019,7,M,20,+2,,Education,Toca Life: Farm,Toca Boca,$3.99,,2018-07-06,15063,https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm
US,PAID,AND,2019,7,M,21,-1,,Education,Stack the States®,Dan Russell-Pinson,$2.99,,2018-11-24,14095,https://play.google.com/store/apps/details?id=com.freecloud.StackTheStates
US,PAID,AND,2019,7,M,22,-5,,Education,Prepware General,Aviation Supplies & Academics,$4.99,,2020-04-20,13478,https://play.google.com/store/apps/details?id=com.asa2fly.prepware.general
US,PAID,AND,2019,7,M,23,+6,,Education,Toca Builders,Toca Boca,$3.99,,2017-07-13,13422,https://play.google.com/store/apps/details?id=com.tocaboca.tocabuild
US,PAID,AND,2019,7,M,24,+10,,Education,Toca Mini,Toca Boca,$3.99,,2019-09-19,13108,https://play.google.com/store/apps/details?id=com.tocaboca.tocamini
US,PAID,AND,2019,7,M,25,-2,,Education,Drawing for Kids and Toddlers.,Bini Bambini,$4.49,,2018-08-23,12909,https://play.google.com/store/apps/details?id=com.binibambini.Mini
US,PAID,AND,2019,7,M,26,+10,,Education,Toca Nature,Toca Boca,$3.99,,2019-09-19,11629,https://play.google.com/store/apps/details?id=com.tocaboca.tocanature
US,PAID,AND,2019,7,M,27,+95,,Education,Volcanoes&Earthquakes UPGRADE,VolcanoDiscovery,$5.49,,2015-11-17,11354,https://play.google.com/store/apps/details?id=com.volcanodiscovery.upgrade
US,PAID,AND,2019,7,M,28,-3,,Education,Prepware Airframe,Aviation Supplies & Academics,$4.99,,2020-04-20,11274,https://play.google.com/store/apps/details?id=com.asa2fly.prepware.airframe
US,PAID,AND,2019,7,M,29,-3,,Education,Monkey Preschool Lunchbox,THUP Games,$1.99,,2019-08-06,10994,https://play.google.com/store/apps/details?id=com.thup.lunchbox
US,PAID,AND,2019,7,M,30,+2,,Education,Toca Life: City,Toca Boca,$3.99,,2018-07-06,10944,https://play.google.com/store/apps/details?id=com.tocaboca.tocacity
US,PAID,AND,2019,7,M,31,+2,,Education,Daniel Tiger's Day & Night,PBS KIDS,$2.99,,2020-07-08,10571,https://play.google.com/store/apps/details?id=com.pbs.danieltiger_day_and_night_android
