"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+2","Education","Math Learner: Learning Game","Fun Games For Free","0.0","Math Plus : $24.99 / Math Plus : $29.99 / Math Plus : $99.99","2018-09-06","271228","https://itunes.apple.com/US/app/id1148728253"
"2","-1","Education","Duolingo - Language Lessons","Duolingo","0.0","Duolingo Plus : $79.99","2012-11-13","142809","https://itunes.apple.com/US/app/id570060128"
"3","-1","Education","Photomath","Photomath, Inc.","0.0","Photomath Plus : $2.99 / Photomath Plus : $59.99","2014-10-17","133759","https://itunes.apple.com/US/app/id919087726"
"4","+3","Education","PlantSnap Plant Identification","PlantSnap, Inc.","0.0","Monthly premium subscription : $4.99 / Yearly premium subscription : $14.49 / Lifetime premium access : $18.99","2019-02-22","77138","https://itunes.apple.com/US/app/id1451054346"
"5","-1","Education","Kahoot! Play & Create Quizzes","Kahoot! AS","0.0","Kahoot! Plus : $11.99 / Kahoot! Plus : $119.99 / Kahoot! Pro : $35.99 / K! Plus for Family & Friends : $9.99","2016-09-19","66113","https://itunes.apple.com/US/app/id1131203560"
"6","-1","Education","Google Classroom","Google LLC","0.0","","2015-01-13","53803","https://itunes.apple.com/US/app/id924620788"
"7","-1","Education","Remind: School Communication","remind101","0.0","","2012-05-02","45268","https://itunes.apple.com/US/app/id522826277"
"8","-","Education","Quizlet","Quizlet Inc","0.0","Quizlet Plus : $23.49 / Quizlet Go : $11.99","2012-08-08","44271","https://itunes.apple.com/US/app/id546473125"
"9","+9","Education","PictureThis - Plant Identifier","Glority Global Group Ltd.","0.0","PictureThis Premium : $29.99 / PictureThis Premium : $29.99 / PictureThis Gold : $1.99","2017-07-20","31087","https://itunes.apple.com/US/app/id1252497129"
"10","+1","Education","Elevate - Brain Training","Elevate, Inc.","0.0","Elevate Subscription : $4.99 / 1 Year with 14-Day Trial : $39.99 / Elevate Yearly - 7d trial : $39.99","2014-05-21","30196","https://itunes.apple.com/US/app/id875063456"
"11","-1","Education","Mathway","Mathway, LLC","0.0","Steps (Monthly) : $19.99 / Steps (Annual) : $39.99","2012-09-03","29647","https://itunes.apple.com/US/app/id467329677"
"12","-3","Education","Socratic by Google","Google LLC","0.0","","2015-07-09","28517","https://itunes.apple.com/US/app/id1014164514"
"13","-1","Education","PowerSchool Mobile","PowerSchool Group LLC","0.0","","2015-06-30","23427","https://itunes.apple.com/US/app/id973741088"
