Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
US,GROSS,IOS,2019,1,M,1,-,,Education,Duolingo - Language Lessons,Duolingo,0.0,Duolingo Plus : $79.99,2012-11-13,314688,https://itunes.apple.com/US/app/id570060128
US,GROSS,IOS,2019,1,M,2,+1,,Education,Yousician - Your Music Teacher,Yousician Ltd,0.0,One Instrument Monthly Plan : $19.99 / One Instrument Yearly Subscription : $119.99 / Yousician Subscription Free Trial : $119.99,2015-02-26,135277,https://itunes.apple.com/US/app/id959883039
US,GROSS,IOS,2019,1,M,3,-1,,Education,ABCmouse.com,"Age of Learning, Inc.",0.0,ABCmouse.com : $9.99 / ABCmouse.com : $7.99 / $9.99 Monthly Subscription : $9.99,2012-12-14,91193,https://itunes.apple.com/US/app/id586328581
US,GROSS,IOS,2019,1,M,4,+5,,Education,Blinkist: 15min Book Insights,Blinks Labs,0.0,Blinkist Premium (1 Year) : $79.99 / Blinkist Premium (1 year) : $99.99 / Blinkist Premium (1 Month) : $12.99,2013-11-13,88411,https://itunes.apple.com/US/app/id568839295
US,GROSS,IOS,2019,1,M,5,-1,,Education,Epic - Kids’ Books and Videos,"Epic Creations, Inc.",0.0,Unlimited Children's Books : $7.99,2013-12-01,58112,https://itunes.apple.com/US/app/id719219382
US,GROSS,IOS,2019,1,M,6,+4,,Education,Simply Piano by JoyTunes,JoyTunes,0.0,Premium Access : $119.99 / Full Access : $119.99 / Premium Access (12 Months) : $95.99,2015-09-01,57255,https://itunes.apple.com/US/app/id1019442026
US,GROSS,IOS,2019,1,M,7,-,,Education,Math Learner: Learning Game,Fun Games For Free,0.0,Math Plus : $24.99 / Math Plus : $29.99 / Math Plus : $99.99,2018-09-06,54237,https://itunes.apple.com/US/app/id1148728253
US,GROSS,IOS,2019,1,M,8,+3,,Education,Elevate - Brain Training,"Elevate, Inc.",0.0,Elevate Subscription : $4.99 / 1 Year with 14-Day Trial : $39.99 / Elevate Yearly - 7d trial : $39.99,2014-05-21,38943,https://itunes.apple.com/US/app/id875063456
US,GROSS,IOS,2019,1,M,9,-4,,Education,Rosetta Stone: Learn Languages,"Rosetta Stone, Ltd.",0.0,Spanish 12 Months Access : $109.99 / Spanish (Lat. Am.) – 3 Months : $54.99 / Unlimited Languages - 1 Year : $109.99,2011-06-01,38788,https://itunes.apple.com/US/app/id435588892
US,GROSS,IOS,2019,1,M,10,-4,,Education,HOMER Reading: Learn to Read,Homer,0.0,HOMER Monthly Membership : $7.99 / HOMER Monthly Membership : $79.99 / HOMER 3 Month Membership : $20.99 / Monthly Membership : $9.99,2013-08-01,31778,https://itunes.apple.com/US/app/id601437586
US,GROSS,IOS,2019,1,M,11,-3,,Education,Noggin Preschool Learning App,Nickelodeon,0.0,NOGGIN : $5.99 / NOGGIN : $1.99 / Unlimited Monthly Subscription : $7.99 / Monthly Subscription : $7.99,2015-03-04,31583,https://itunes.apple.com/US/app/id932828299
US,GROSS,IOS,2019,1,M,12,+226,,Education,iClicker Reef,HPHLP,0.0,REEF 1-year subscription (365 days) : $24.99 / REEF 2-Year Subscription (730 days) : $34.99 / REEF 6-Month Subscription (180 days) : $15.99,2014-07-31,30482,https://itunes.apple.com/US/app/id899690067
US,GROSS,IOS,2019,1,M,13,-,,Education,Babbel - Language Learning,Lesson Nine GmbH,0.0,Spanish 1 month : $15.99 / Spanish 3 months : $29.99 / French 3 months : $29.99,2014-06-11,27684,https://itunes.apple.com/US/app/id829587759
US,GROSS,IOS,2019,1,M,14,-,,Education,Lumosity: Brain Training,"Lumos Labs, Inc.",0.0,Lumosity Premium : $11.99,2013-06-19,26261,https://itunes.apple.com/US/app/id577232024
US,GROSS,IOS,2019,1,M,15,-3,,Education,Mathway,"Mathway, LLC",0.0,Steps (Monthly) : $19.99 / Steps (Annual) : $39.99,2012-09-03,23545,https://itunes.apple.com/US/app/id467329677
