"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Education","SkyView®","Terminal Eleven LLC","$1.99","","2010-12-10","299375","https://itunes.apple.com/US/app/id404990064"
"2","-1","Education","Toca Hair Salon 3","Toca Boca AB","$3.99","","2016-12-07","105908","https://itunes.apple.com/US/app/id1119482395"
"3","+1","Education","Teach Your Monster to Read","Teach Monster Games Ltd.","$2.99","","2014-07-23","94956","https://itunes.apple.com/US/app/id828392046"
"4","+1","Education","Star Walk 2 - Night Sky Map","Vito Technology Inc.","$2.99","Satellite Finder in Sky Above : $0.99 / Constellations 3D on Sky Map : $0.99 / Star Tracker AR: Full Version : $2.99","2014-08-20","80034","https://itunes.apple.com/US/app/id892279069"
"5","+1","Education","Toca Kitchen 2","Toca Boca AB","$3.99","","2014-12-18","65677","https://itunes.apple.com/US/app/id943869618"
"6","new","Education","CE5 Contact","Sirius Technology Advanced Research","$9.99","","2020-04-05","62671","https://itunes.apple.com/US/app/id1499236474"
"7","+1","Education","Graphing Calculator Plus","Incpt.Mobis","$4.99","","2017-10-01","57303","https://itunes.apple.com/US/app/id1279565050"
"8","+7","Education","Toca Life: Hospital","Toca Boca AB","$0.99","","2017-04-12","46078","https://itunes.apple.com/US/app/id1156114278"
"9","-6","Education","XtraMath","XtraMath","$4.99","","2014-06-08","31501","https://itunes.apple.com/US/app/id882931712"
"10","-","Education","AnkiMobile Flashcards","Ankitects Pty Ltd","$24.99","","2010-05-26","31379","https://itunes.apple.com/US/app/id373493387"
"11","+3","Education","Toca Life: Neighborhood","Toca Boca AB","$3.99","","2018-10-24","29641","https://itunes.apple.com/US/app/id1436855888"
"12","-","Education","iScore5 APHG","iScore5app, LLC","$2.99","","2019-10-05","24405","https://itunes.apple.com/US/app/id1482339363"
"13","-2","Education","Stack the States®","Freecloud Design, Inc.","$2.99","","2016-08-10","23412","https://itunes.apple.com/US/app/id381342267"
"14","+4","Education","Toca Life: Vacation","Toca Boca AB","$3.99","","2016-06-15","20363","https://itunes.apple.com/US/app/id1114886979"
"15","+6","Education","Toca Life: Town","Toca Boca AB","$3.99","","2014-05-29","17607","https://itunes.apple.com/US/app/id871694174"
"16","-","Education","PROmote - Army Study Guide","ForceReadiness.com","$5.99","","2011-05-07","16022","https://itunes.apple.com/US/app/id435352951"
"17","+31","Education","Toca Life: After School","Toca Boca AB","$0.99","","2018-03-22","15588","https://itunes.apple.com/US/app/id1337598066"
"18","+4","Education","Toca Life: Office","Toca Boca AB","$3.99","","2017-09-20","15325","https://itunes.apple.com/US/app/id1271722569"
"19","-2","Education","PDG PROmote 2019-2021","ForceReadiness.com","$29.99","","2011-11-22","15115","https://itunes.apple.com/US/app/id482303584"
"20","-1","Education","My City : My Friend's House","My Town Games LTD","$2.99","","2020-03-19","13904","https://itunes.apple.com/US/app/id1498732155"
"21","+37","Education","The Mood Meter","Emotionally Intelligent Schools, LLC","$0.99","","2014-03-21","13838","https://itunes.apple.com/US/app/id825930113"
"22","new","Education","My City : Animal Shelter","My Town Games LTD","$2.99","","2020-04-16","13673","https://itunes.apple.com/US/app/id1498742753"
"23","+5","Education","Toca Pet Doctor","Toca Boca AB","$3.99","","2014-02-27","13419","https://itunes.apple.com/US/app/id808108897"
"24","-4","Education","Vocabulary.com","Vocabulary.com","$2.99","","2014-03-18","12962","https://itunes.apple.com/US/app/id815218412"
"25","-","Education","Toca Life: School","Toca Boca AB","$3.99","","2015-10-28","12564","https://itunes.apple.com/US/app/id1043579926"
"26","+23","Education","Elmo Calls","Sesame Street","$1.99","""All Calls"" Pack : $6.99 / ""Happy Habits"" Pack : $0.99 / ""Laugh With Elmo!"" Pack : $0.99","2011-12-09","12102","https://itunes.apple.com/US/app/id467703220"
"27","+11","Education","Toca Life: Pets","Toca Boca AB","$3.99","","2017-12-06","12069","https://itunes.apple.com/US/app/id1290182026"
"28","+1","Education","Toca Boo","Toca Boca AB","$3.99","","2014-10-23","11739","https://itunes.apple.com/US/app/id919097064"
"29","+5","Education","Toca Life: Stable","Toca Boca AB","$3.99","","2016-11-23","11390","https://itunes.apple.com/US/app/id1156110079"
"30","+3","Education","Toca Life: Farm","Toca Boca AB","$3.99","","2016-10-26","10035","https://itunes.apple.com/US/app/id1156121311"
"31","+44","Education","Toca Nature","Toca Boca AB","$3.99","","2014-11-13","9663","https://itunes.apple.com/US/app/id893927401"
