"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Food & Drink","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc","0.0","","2020-07-20","261110","https://play.google.com/store/apps/details?id=com.yelp.android"
"2","-","Travel & Local","Google Earth","Google LLC","0.0","","2020-07-20","165385","https://play.google.com/store/apps/details?id=com.google.earth"
"3","-","Travel & Local","Airbnb","Airbnb","0.0","","2020-07-16","102616","https://play.google.com/store/apps/details?id=com.airbnb.android"
"4","+1","Travel & Local","Booking.com: Hotels, Apartments & Accommodation","Booking.com Hotels & Vacation Rentals","0.0","","2020-07-20","69373","https://play.google.com/store/apps/details?id=com.booking"
"5","-1","Travel & Local","Live Street View - Global Satellite Earth Live Map","FreetoUse","0.0","","2018-11-27","54828","https://play.google.com/store/apps/details?id=map.livestreetview"
"6","-","Travel & Local","Hopper - Book Cheap Flights","Hopper Inc.","0.0","","2020-07-20","44678","https://play.google.com/store/apps/details?id=com.hopper.mountainview.play"
"7","-","Travel & Local","Southwest Airlines","Southwest Airlines","0.0","","2020-07-14","40746","https://play.google.com/store/apps/details?id=com.southwestairlines.mobile"
"8","-","Travel & Local","American Airlines","American Airlines, Inc.","0.0","","2020-07-14","36998","https://play.google.com/store/apps/details?id=com.aa.android"
"9","+1","Travel & Local","Vrbo Vacation Rentals","Vrbo","0.0","","2020-07-14","33400","https://play.google.com/store/apps/details?id=com.vrbo.android"
"10","-1","Travel & Local","Expedia Hotels, Flights & Car Rental Travel Deals","Expedia","0.0","","2020-07-16","31171","https://play.google.com/store/apps/details?id=com.expedia.bookings"
"11","+1","Travel & Local","United Airlines","United Airlines","0.0","","2020-07-07","27203","https://play.google.com/store/apps/details?id=com.united.mobile.android"
"12","-1","Travel & Local","Lime - Your Ride Anytime","Neutron Holdings, Inc.","0.0","","2020-07-17","22426","https://play.google.com/store/apps/details?id=com.limebike"
"13","+2","Travel & Local","Fly Delta","Delta Air Lines, Inc.","0.0","","2020-07-08","22197","https://play.google.com/store/apps/details?id=com.delta.mobile.android"
"14","-1","Travel & Local","My Disney Experience - Walt Disney World","Disney","0.0","","2020-07-09","22100","https://play.google.com/store/apps/details?id=com.disney.wdw.android"
"15","+3","Travel & Local","Hotels.com: Book Hotels, Vacation Rentals and More","Hotels.com LP","0.0","","2020-07-16","18519","https://play.google.com/store/apps/details?id=com.hcom.android"
"16","+1","Travel & Local","Turo - Better Than Car Rental","Turo Inc.","0.0","","2020-07-20","18452","https://play.google.com/store/apps/details?id=com.relayrides.android.relayrides"
